14. ЖЕНЩИНЫ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ПО ВОЗРАСТНЫМ												
ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС												
												
	Всего	из них									Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин, указавших число рожденных детей)
70 и более	16.0	-	3.0	1.0	1.0	1.0	3.0	2.0	5.0	-	79.0	4938.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Приморский край												
Женщины в возрасте 15 лет и более	282.0	58.0	48.0	70.0	53.0	23.0	10.0	5.0	13.0	2.0	628.0	2243.0
в том числе в возрасте, лет:												
15 – 17	22.0	21.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	13.0	11.0	1.0	-	-	-	-	-	-	1.0	1.0	83.0
20 – 29	46.0	14.0	16.0	10.0	5.0	1.0	-	-	-	-	55.0	1196.0
30 – 39	68.0	6.0	13.0	30.0	14.0	3.0	2.0	-	-	-	137.0	2015.0
40 – 49	68.0	4.0	10.0	17.0	23.0	12.0	1.0	1.0	-	-	172.0	2529.0
50 – 59	24.0	1.0	3.0	5.0	7.0	3.0	3.0	-	2.0	-	75.0	3125.0
60 – 69	27.0	1.0	2.0	7.0	3.0	3.0	1.0	2.0	8.0	-	126.0	4667.0
70 и более	14.0	-	3.0	1.0	1.0	1.0	3.0	2.0	3.0	-	62.0	4429.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Хабаровский край												
Женщины в возрасте 15 лет и более	155.0	27.0	35.0	26.0	27.0	17.0	10.0	4.0	7.0	2.0	367.0	2399.0
в том числе в возрасте, лет:												
15 – 17	10.0	9.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	5.0	2.0	2.0	1.0	-	-	-	-	-	-	4.0	800.0
20 – 29	35.0	13.0	15.0	6.0	1.0	-	-	-	-	-	30.0	857.0
30 – 39	33.0	1.0	8.0	7.0	6.0	6.0	4.0	-	1.0	-	91.0	2758.0
40 – 49	41.0	1.0	5.0	6.0	12.0	8.0	5.0	2.0	1.0	1.0	132.0	3300.0
50 – 59	17.0	1.0	2.0	4.0	6.0	1.0	1.0	1.0	1.0	-	50.0	2941.0
60 – 69	12.0	-	3.0	2.0	2.0	2.0	-	1.0	2.0	-	43.0	3583.0
70 и более	2.0	-	-	-	-	-	-	-	2.0	-	17.0	8500.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
УЛЬТА (ОРОКИ)												
Сахалинская область												
Женщины в возрасте 15 лет и более	104.0	25.0	24.0	28.0	11.0	10.0	3.0	2.0	-	1.0	180.0	1748.0
в том числе в возрасте, лет:												
15 – 17	10.0	10.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	7.0	6.0	1.0	-	-	-	-	-	-	-	1.0	143.0
20 – 29	19.0	6.0	10.0	3.0	-	-	-	-	-	-	16.0	842.0
30 – 39	26.0	1.0	6.0	11.0	5.0	2.0	-	-	-	1.0	51.0	2040.0
40 – 49	24.0	2.0	3.0	10.0	1.0	5.0	2.0	1.0	-	-	62.0	2583.0
50 – 59	7.0	-	-	2.0	3.0	2.0	-	-	-	-	21.0	3000.0
60 – 69	10.0	-	3.0	2.0	2.0	1.0	1.0	1.0	-	-	28.0	2800.0
70 и более	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
УЛЬЧИ												
Хабаровский край												
Женщины в возрасте 15 лет и более	879.0	177.0	159.0	240.0	153.0	57.0	28.0	20.0	31.0	14.0	1835.0	2121.0
в том числе в возрасте, лет:												
15 – 17	68.0	61.0	2.0	-	-	-	-	-	-	5.0	2.0	32.0
18 – 19	39.0	27.0	9.0	1.0	-	-	-	-	-	2.0	11.0	297.0
20 – 29	187.0	58.0	63.0	40.0	16.0	5.0	2.0	-	-	3.0	221.0	1201.0
30 – 39	157.0	11.0	33.0	62.0	35.0	8.0	2.0	4.0	1.0	1.0	335.0	2147.0
40 – 49	217.0	11.0	32.0	77.0	55.0	18.0	10.0	5.0	8.0	1.0	562.0	2602.0
50 – 59	102.0	3.0	10.0	39.0	26.0	10.0	5.0	3.0	5.0	1.0	288.0	2851.0
60 – 69	69.0	5.0	7.0	17.0	17.0	11.0	4.0	3.0	5.0	-	211.0	3058.0
70 и более	40.0	1.0	3.0	4.0	4.0	5.0	5.0	5.0	12.0	1.0	205.0	5256.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ХАНТЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	8054.0	1903.0	1485.0	1696.0	1100.0	609.0	339.0	172.0	329.0	421.0	16098.0	2109.0
в том числе в возрасте, лет:												
15 – 17	825.0	721.0	14.0	-	-	-	-	-	-	90.0	14.0	19.0
18 – 19	490.0	367.0	89.0	7.0	-	-	-	-	-	27.0	103.0	222.0
20 – 29	1923.0	564.0	691.0	389.0	116.0	29.0	10.0	1.0	1.0	122.0	1997.0	1109.0
30 – 39	1724.0	96.0	328.0	600.0	355.0	166.0	76.0	23.0	14.0	66.0	3889.0	2346.0
40 – 49	1543.0	65.0	192.0	406.0	373.0	231.0	112.0	58.0	68.0	38.0	4485.0	2980.0
50 – 59	692.0	47.0	82.0	163.0	140.0	91.0	58.0	35.0	53.0	23.0	2125.0	3176.0
60 – 69	561.0	27.0	65.0	96.0	78.0	62.0	53.0	31.0	115.0	34.0	2198.0	4171.0
70 и более	296.0	16.0	24.0	35.0	38.0	30.0	30.0	24.0	78.0	21.0	1287.0	4680.0
Женщины, не указавшие возраст	7.0	-	-	-	-	-	-	-	-	7.0	-	-
Тюменская область												
Женщины в возрасте 15 лет и более	7789.0	1860.0	1425.0	1625.0	1055.0	589.0	330.0	163.0	322.0	420.0	15529.0	2107.0
в том числе в возрасте, лет:												
15 – 17	805.0	702.0	13.0	-	-	-	-	-	-	90.0	13.0	18.0
18 – 19	479.0	358.0	88.0	6.0	-	-	-	-	-	27.0	100.0	221.0
20 – 29	1885.0	558.0	666.0	382.0	116.0	29.0	10.0	1.0	1.0	122.0	1958.0	1111.0
30 – 39	1661.0	92.0	313.0	572.0	344.0	163.0	74.0	23.0	14.0	66.0	3763.0	2359.0
40 – 49	1484.0	65.0	186.0	385.0	355.0	221.0	111.0	55.0	68.0	38.0	4320.0	2988.0
50 – 59	665.0	47.0	77.0	158.0	132.0	87.0	56.0	34.0	52.0	22.0	2046.0	3182.0
60 – 69	534.0	25.0	60.0	89.0	74.0	61.0	52.0	28.0	111.0	34.0	2109.0	4218.0
70 и более	276.0	13.0	22.0	33.0	34.0	28.0	27.0	22.0	76.0	21.0	1220.0	4784.0
Женщины, не указавшие возраст	7.0	-	-	-	-	-	-	-	-	7.0	-	-
Ханты-Мансийский автономный округ – Югра												
Женщины в возрасте 15 лет и более	4783.0	1161.0	954.0	1089.0	628.0	296.0	164.0	77.0	117.0	297.0	8458.0	1885.0
в том числе в возрасте, лет:												
15 – 17	514.0	449.0	9.0	-	-	-	-	-	-	56.0	9.0	20.0
18 – 19	323.0	233.0	64.0	3.0	-	-	-	-	-	23.0	70.0	233.0
20 – 29	1172.0	341.0	433.0	238.0	53.0	8.0	5.0	1.0	1.0	92.0	1139.0	1055.0
30 – 39	1003.0	47.0	216.0	382.0	197.0	71.0	29.0	7.0	4.0	50.0	2071.0	2173.0
40 – 49	859.0	43.0	117.0	251.0	214.0	113.0	45.0	26.0	25.0	25.0	2288.0	2743.0
50 – 59	399.0	25.0	52.0	119.0	86.0	41.0	31.0	16.0	12.0	17.0	1061.0	2777.0
60 – 69	343.0	15.0	47.0	68.0	56.0	42.0	37.0	12.0	44.0	22.0	1160.0	3614.0
70 и более	170.0	8.0	16.0	28.0	22.0	21.0	17.0	15.0	31.0	12.0	660.0	4177.0
Женщины, не указавшие возраст	7.0	-	-	-	-	-	-	-	-	7.0	-	-
Ямало-Ненецкий автономный округ												
Женщины в возрасте 15 лет и более	2973.0	690.0	462.0	535.0	424.0	291.0	165.0	85.0	205.0	116.0	7032.0	2461.0
в том числе в возрасте, лет:												
15 – 17	289.0	251.0	4.0	-	-	-	-	-	-	34.0	4.0	16.0
18 – 19	155.0	124.0	24.0	3.0	-	-	-	-	-	4.0	30.0	199.0
20 – 29	705.0	214.0	231.0	144.0	61.0	21.0	5.0	-	-	29.0	811.0	1200.0
30 – 39	654.0	43.0	95.0	190.0	147.0	92.0	45.0	16.0	10.0	16.0	1690.0	2649.0
40 – 49	614.0	22.0	65.0	133.0	141.0	108.0	65.0	28.0	43.0	9.0	2015.0	3331.0
50 – 59	263.0	21.0	24.0	39.0	45.0	46.0	25.0	18.0	40.0	5.0	981.0	3802.0
60 – 69	189.0	10.0	13.0	21.0	18.0	18.0	15.0	16.0	67.0	11.0	945.0	5309.0
70 и более	104.0	5.0	6.0	5.0	12.0	6.0	10.0	7.0	45.0	8.0	556.0	5792.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Томская область												
Женщины в возрасте 15 лет и более	264.0	43.0	60.0	71.0	44.0	20.0	9.0	9.0	7.0	1.0	566.0	2152.0
в том числе в возрасте, лет:												
15 – 17	20.0	19.0	1.0	-	-	-	-	-	-	-	1.0	50.0
18 – 19	11.0	9.0	1.0	1.0	-	-	-	-	-	-	3.0	273.0
20 – 29	38.0	6.0	25.0	7.0	-	-	-	-	-	-	39.0	1026.0
30 – 39	62.0	4.0	15.0	28.0	10.0	3.0	2.0	-	-	-	123.0	1984.0
40 – 49	59.0	-	6.0	21.0	18.0	10.0	1.0	3.0	-	-	165.0	2797.0
50 – 59	27.0	-	5.0	5.0	8.0	4.0	2.0	1.0	1.0	1.0	79.0	3038.0
60 – 69	27.0	2.0	5.0	7.0	4.0	1.0	1.0	3.0	4.0	-	89.0	3296.0
70 и более	20.0	3.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	-	67.0	3350.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Коми 												
Женщины в возрасте 15 лет и более	1.0	-	-	-	1.0	-	-	-	-	-	3.0	3000.0
в том числе в возрасте, лет:												
15 – 17	-	-	-	-	-	-	-	-	-	-	-	-
18 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 29	-	-	-	-	-	-	-	-	-	-	-	-
30 – 39	1.0	-	-	-	1.0	-	-	-	-	-	3.0	3000.0
40 – 49	-	-	-	-	-	-	-	-	-	-	-	-
50 – 59	-	-	-	-	-	-	-	-	-	-	-	-
60 – 69	-	-	-	-	-	-	-	-	-	-	-	-
70 и более	-	-	-	-	-	-	-	-	-	-	-	-
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЧЕЛКАНЦЫ												
Республика Алтай												
Женщины в возрасте 15 лет и более	274.0	63.0	37.0	71.0	46.0	28.0	13.0	6.0	8.0	2.0	591.0	2173.0
в том числе в возрасте, лет:												
15 – 17	19.0	19.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	10.0	10.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	44.0	16.0	14.0	9.0	4.0	-	-	-	-	1.0	44.0	1023.0
30 – 39	55.0	7.0	6.0	22.0	13.0	3.0	2.0	1.0	-	1.0	117.0	2167.0
40 – 49	76.0	5.0	8.0	27.0	20.0	9.0	6.0	1.0	-	-	194.0	2553.0
50 – 59	27.0	3.0	5.0	7.0	5.0	6.0	-	-	1.0	-	66.0	2444.0
60 – 69	25.0	-	2.0	5.0	2.0	8.0	2.0	2.0	4.0	-	100.0	4000.0
70 и более	18.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	-	70.0	3889.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЧУВАНЦЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	385.0	80.0	88.0	99.0	49.0	19.0	18.0	5.0	5.0	22.0	666.0	1835.0
в том числе в возрасте, лет:												
15 – 17	39.0	34.0	-	-	-	-	-	-	-	5.0	-	0.0
18 – 19	13.0	10.0	-	-	-	-	-	-	-	3.0	-	0.0
20 – 29	72.0	19.0	31.0	18.0	3.0	-	-	-	-	1.0	76.0	1070.0
30 – 39	96.0	6.0	32.0	29.0	13.0	6.0	4.0	-	-	6.0	173.0	1922.0
40 – 49	72.0	5.0	12.0	28.0	14.0	6.0	3.0	-	2.0	2.0	163.0	2329.0
50 – 59	48.0	2.0	6.0	14.0	10.0	5.0	5.0	2.0	1.0	3.0	128.0	2844.0
60 – 69	28.0	3.0	5.0	6.0	8.0	1.0	3.0	2.0	-	-	72.0	2571.0
70 и более	17.0	1.0	2.0	4.0	1.0	1.0	3.0	1.0	2.0	2.0	54.0	3600.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Чукотский автономный округ 												
Женщины в возрасте 15 лет и более	380.0	77.0	86.0	99.0	49.0	19.0	18.0	5.0	5.0	22.0	664.0	1855.0
в том числе в возрасте, лет:												
15 – 17	37.0	32.0	-	-	-	-	-	-	-	5.0	-	0.0
18 – 19	13.0	10.0	-	-	-	-	-	-	-	3.0	-	0.0
20 – 29	71.0	18.0	31.0	18.0	3.0	-	-	-	-	1.0	76.0	1086.0
30 – 39	96.0	6.0	32.0	29.0	13.0	6.0	4.0	-	-	6.0	173.0	1922.0
40 – 49	70.0	5.0	10.0	28.0	14.0	6.0	3.0	-	2.0	2.0	161.0	2368.0
50 – 59	48.0	2.0	6.0	14.0	10.0	5.0	5.0	2.0	1.0	3.0	128.0	2844.0
60 – 69	28.0	3.0	5.0	6.0	8.0	1.0	3.0	2.0	-	-	72.0	2571.0
70 и более	17.0	1.0	2.0	4.0	1.0	1.0	3.0	1.0	2.0	2.0	54.0	3600.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Магаданская область												
Женщины в возрасте 15 лет и более	5.0	3.0	2.0	-	-	-	-	-	-	-	2.0	400.0
в том числе в возрасте, лет:												
15 – 17	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 29	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
30 – 39	-	-	-	-	-	-	-	-	-	-	-	-
40 – 49	2.0	-	2.0	-	-	-	-	-	-	-	2.0	1000.0
50 – 59	-	-	-	-	-	-	-	-	-	-	-	-
60 – 69	-	-	-	-	-	-	-	-	-	-	-	-
70 и более	-	-	-	-	-	-	-	-	-	-	-	-
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЧУКЧИ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	5196.0	1056.0	989.0	1078.0	737.0	430.0	278.0	134.0	155.0	339.0	10539.0	2170.0
в том числе в возрасте, лет:												
15 – 17	544.0	404.0	15.0	1.0	-	-	-	-	-	124.0	17.0	40.0
18 – 19	274.0	199.0	44.0	4.0	-	-	-	-	-	27.0	52.0	211.0
20 – 29	1179.0	293.0	398.0	285.0	90.0	24.0	7.0	1.0	-	81.0	1375.0	1252.0
30 – 39	1236.0	76.0	281.0	364.0	258.0	131.0	62.0	17.0	10.0	37.0	2794.0	2330.0
40 – 49	1115.0	46.0	163.0	291.0	246.0	161.0	89.0	36.0	41.0	42.0	3113.0	2901.0
50 – 59	453.0	26.0	55.0	82.0	85.0	70.0	65.0	37.0	22.0	11.0	1474.0	3335.0
60 – 69	254.0	6.0	23.0	31.0	40.0	33.0	35.0	32.0	43.0	11.0	1063.0	4374.0
70 и более	141.0	6.0	10.0	20.0	18.0	11.0	20.0	11.0	39.0	6.0	651.0	4822.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Чукотский автономный округ												
Женщины в возрасте 15 лет и более	4634.0	923.0	887.0	940.0	665.0	374.0	241.0	126.0	141.0	337.0	9370.0	2181.0
в том числе в возрасте, лет:												
15 – 17	487.0	350.0	13.0	1.0	-	-	-	-	-	123.0	15.0	41.0
18 – 19	256.0	184.0	42.0	3.0	-	-	-	-	-	27.0	48.0	210.0
20 – 29	1055.0	250.0	360.0	251.0	84.0	21.0	7.0	1.0	-	81.0	1239.0	1272.0
30 – 39	1117.0	69.0	248.0	326.0	239.0	117.0	55.0	17.0	10.0	36.0	2537.0	2347.0
40 – 49	983.0	41.0	148.0	246.0	219.0	135.0	77.0	35.0	40.0	42.0	2750.0	2922.0
50 – 59	390.0	19.0	46.0	67.0	71.0	61.0	58.0	35.0	22.0	11.0	1310.0	3456.0
60 – 69	229.0	5.0	21.0	29.0	35.0	33.0	30.0	28.0	37.0	11.0	946.0	4339.0
70 и более	117.0	5.0	9.0	17.0	17.0	7.0	14.0	10.0	32.0	6.0	525.0	4730.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Корякский автономный округ												
Женщины в возрасте 15 лет и более	562.0	133.0	102.0	138.0	72.0	56.0	37.0	8.0	14.0	2.0	1169.0	2088.0
в том числе в возрасте, лет:												
15 – 17	57.0	54.0	2.0	-	-	-	-	-	-	1.0	2.0	36.0
18 – 19	18.0	15.0	2.0	1.0	-	-	-	-	-	-	4.0	222.0
20 – 29	124.0	43.0	38.0	34.0	6.0	3.0	-	-	-	-	136.0	1097.0
30 – 39	119.0	7.0	33.0	38.0	19.0	14.0	7.0	-	-	1.0	257.0	2178.0
40 – 49	132.0	5.0	15.0	45.0	27.0	26.0	12.0	1.0	1.0	-	363.0	2750.0
50 – 59	63.0	7.0	9.0	15.0	14.0	9.0	7.0	2.0	-	-	164.0	2603.0
60 – 69	25.0	1.0	2.0	2.0	5.0	-	5.0	4.0	6.0	-	117.0	4680.0
70 и более	24.0	1.0	1.0	3.0	1.0	4.0	6.0	1.0	7.0	-	126.0	5250.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ШОРЦЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	1116.0	192.0	169.0	221.0	184.0	90.0	73.0	38.0	65.0	84.0	2686.0	2603.0
в том числе в возрасте, лет:												
15 – 17	81.0	69.0	2.0	-	-	-	-	-	-	10.0	2.0	28.0
18 – 19	42.0	28.0	12.0	-	-	-	-	-	-	2.0	12.0	300.0
20 – 29	192.0	45.0	62.0	45.0	15.0	6.0	-	2.0	1.0	16.0	241.0	1369.0
30 – 39	193.0	13.0	33.0	58.0	46.0	17.0	9.0	3.0	1.0	13.0	425.0	2361.0
40 – 49	227.0	11.0	26.0	55.0	57.0	22.0	22.0	4.0	11.0	19.0	623.0	2995.0
50 – 59	100.0	8.0	10.0	23.0	22.0	14.0	6.0	5.0	7.0	5.0	298.0	3137.0
60 – 69	146.0	9.0	12.0	28.0	20.0	18.0	18.0	11.0	24.0	6.0	574.0	4100.0
70 и более	135.0	9.0	12.0	12.0	24.0	13.0	18.0	13.0	21.0	13.0	511.0	4189.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Кемеровская область												
Женщины в возрасте 15 лет и более	978.0	181.0	159.0	209.0	172.0	79.0	66.0	36.0	61.0	15.0	2494.0	2590.0
в том числе в возрасте, лет:												
15 – 17	71.0	66.0	2.0	-	-	-	-	-	-	3.0	2.0	29.0
18 – 19	39.0	27.0	12.0	-	-	-	-	-	-	-	12.0	308.0
20 – 29	161.0	41.0	57.0	42.0	14.0	4.0	-	2.0	1.0	-	219.0	1360.0
30 – 39	168.0	11.0	30.0	56.0	44.0	15.0	8.0	3.0	1.0	-	399.0	2375.0
40 – 49	198.0	11.0	25.0	54.0	55.0	19.0	20.0	3.0	11.0	-	586.0	2960.0
50 – 59	85.0	8.0	10.0	21.0	16.0	14.0	4.0	5.0	6.0	1.0	259.0	3083.0
60 – 69	134.0	8.0	12.0	25.0	20.0	16.0	17.0	11.0	22.0	3.0	539.0	4115.0
70 и более	122.0	9.0	11.0	11.0	23.0	11.0	17.0	12.0	20.0	8.0	478.0	4193.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Хакасия												
Женщины в возрасте 15 лет и более	102.0	6.0	5.0	6.0	4.0	4.0	4.0	2.0	2.0	69.0	93.0	2818.0
в том числе в возрасте, лет:												
15 – 17	8.0	1.0	-	-	-	-	-	-	-	7.0	-	0.0
18 – 19	2.0	-	-	-	-	-	-	-	-	2.0	-	-
20 – 29	23.0	2.0	3.0	-	1.0	1.0	-	-	-	16.0	10.0	1429.0
30 – 39	19.0	2.0	1.0	-	1.0	1.0	1.0	-	-	13.0	13.0	2167.0
40 – 49	23.0	-	-	1.0	1.0	-	1.0	1.0	-	19.0	16.0	4000.0
50 – 59	9.0	-	-	2.0	1.0	-	2.0	-	-	4.0	17.0	3400.0
60 – 69	10.0	1.0	-	3.0	-	1.0	-	-	2.0	3.0	26.0	3714.0
70 и более	8.0	-	1.0	-	-	1.0	-	1.0	-	5.0	11.0	3667.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Алтай												
Женщины в возрасте 15 лет и более	36.0	5.0	5.0	6.0	8.0	7.0	3.0	-	2.0	-	99.0	2750.0
в том числе в возрасте, лет:												
15 – 17	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	8.0	2.0	2.0	3.0	-	1.0	-	-	-	-	12.0	1500.0
30 – 39	6.0	-	2.0	2.0	1.0	1.0	-	-	-	-	13.0	2167.0
40 – 49	6.0	-	1.0	-	1.0	3.0	1.0	-	-	-	21.0	3500.0
50 – 59	6.0	-	-	-	5.0	-	-	-	1.0	-	22.0	3667.0
60 – 69	2.0	-	-	-	-	1.0	1.0	-	-	-	9.0	4500.0
70 и более	5.0	-	-	1.0	1.0	1.0	1.0	-	1.0	-	22.0	4400.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЭВЕНКИ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	8946.0	2155.0	1708.0	1902.0	1257.0	769.0	446.0	215.0	339.0	155.0	18737.0	2131.0
в том числе в возрасте, лет:												
15 – 17	910.0	856.0	20.0	1.0	-	-	-	-	-	33.0	22.0	25.0
18 – 19	378.0	299.0	69.0	4.0	1.0	-	-	-	-	5.0	80.0	214.0
20 – 29	1914.0	580.0	712.0	396.0	137.0	44.0	11.0	3.0	2.0	29.0	2178.0	1155.0
30 – 39	1921.0	143.0	413.0	629.0	392.0	186.0	71.0	33.0	23.0	31.0	4321.0	2286.0
40 – 49	1904.0	125.0	262.0	472.0	428.0	288.0	162.0	67.0	76.0	24.0	5469.0	2909.0
50 – 59	874.0	68.0	126.0	220.0	157.0	128.0	75.0	40.0	52.0	8.0	2606.0	3009.0
60 – 69	677.0	55.0	78.0	134.0	105.0	75.0	73.0	38.0	107.0	12.0	2487.0	3740.0
70 и более	368.0	29.0	28.0	46.0	37.0	48.0	54.0	34.0	79.0	13.0	1574.0	4434.0
Женщины, не указавшие возраст	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
Республика Саха (Якутия)												
Женщины в возрасте 15 лет и более	4057.0	978.0	691.0	801.0	592.0	381.0	235.0	126.0	196.0	57.0	9214.0	2304.0
в том числе в возрасте, лет:												
15 – 17	422.0	397.0	8.0	1.0	-	-	-	-	-	16.0	10.0	25.0
18 – 19	178.0	146.0	26.0	3.0	1.0	-	-	-	-	2.0	35.0	199.0
20 – 29	857.0	233.0	295.0	206.0	78.0	27.0	6.0	2.0	-	10.0	1091.0	1288.0
30 – 39	818.0	68.0	158.0	248.0	184.0	82.0	45.0	19.0	5.0	9.0	1911.0	2362.0
40 – 49	851.0	61.0	106.0	184.0	205.0	145.0	74.0	36.0	37.0	3.0	2557.0	3015.0
50 – 59	409.0	32.0	50.0	88.0	71.0	69.0	44.0	22.0	30.0	3.0	1307.0	3219.0
60 – 69	324.0	25.0	33.0	53.0	39.0	33.0	39.0	28.0	67.0	7.0	1356.0	4278.0
70 и более	198.0	16.0	15.0	18.0	14.0	25.0	27.0	19.0	57.0	7.0	947.0	4958.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Красноярский край												
Женщины в возрасте 15 лет и более	1616.0	425.0	329.0	357.0	193.0	138.0	69.0	31.0	53.0	21.0	3156.0	1979.0
в том числе в возрасте, лет:												
15 – 17	172.0	166.0	5.0	-	-	-	-	-	-	1.0	5.0	29.0
18 – 19	77.0	61.0	14.0	-	-	-	-	-	-	2.0	14.0	187.0
20 – 29	366.0	122.0	131.0	76.0	26.0	7.0	2.0	-	-	2.0	399.0	1096.0
30 – 39	357.0	24.0	88.0	114.0	61.0	41.0	9.0	5.0	10.0	5.0	820.0	2330.0
40 – 49	323.0	18.0	47.0	80.0	58.0	53.0	35.0	12.0	15.0	5.0	963.0	3028.0
50 – 59	164.0	17.0	24.0	48.0	24.0	22.0	13.0	6.0	9.0	1.0	473.0	2902.0
60 – 69	115.0	12.0	13.0	33.0	21.0	12.0	6.0	4.0	13.0	1.0	352.0	3088.0
70 и более	42.0	5.0	7.0	6.0	3.0	3.0	4.0	4.0	6.0	4.0	130.0	3421.0
Женщины, не указавшие возраст	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
Эвенкийский автономный округ												
Женщины в возрасте 15 лет и более	1423.0	394.0	291.0	328.0	163.0	122.0	63.0	22.0	39.0	1.0	2697.0	1897.0
в том числе в возрасте, лет:												
15 – 17	154.0	153.0	1.0	-	-	-	-	-	-	-	1.0	6.0
18 – 19	68.0	57.0	11.0	-	-	-	-	-	-	-	11.0	162.0
20 – 29	335.0	113.0	119.0	73.0	22.0	6.0	2.0	-	-	-	365.0	1090.0
30 – 39	307.0	23.0	76.0	105.0	50.0	36.0	8.0	3.0	6.0	-	685.0	2231.0
40 – 49	289.0	17.0	44.0	70.0	53.0	48.0	32.0	10.0	15.0	-	878.0	3038.0
50 – 59	141.0	14.0	21.0	42.0	20.0	20.0	12.0	4.0	7.0	1.0	395.0	2821.0
60 – 69	97.0	12.0	12.0	32.0	15.0	9.0	5.0	3.0	9.0	-	275.0	2835.0
70 и более	32.0	5.0	7.0	6.0	3.0	3.0	4.0	2.0	2.0	-	87.0	2719.0
Женщины, не указавшие возраст	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
Хабаровский край												
Женщины в возрасте 15 лет и более	1498.0	321.0	348.0	335.0	241.0	103.0	61.0	23.0	54.0	12.0	3036.0	2043.0
в том числе в возрасте, лет:												
15 – 17	137.0	131.0	5.0	-	-	-	-	-	-	1.0	5.0	37.0
18 – 19	53.0	38.0	14.0	1.0	-	-	-	-	-	-	16.0	302.0
20 – 29	315.0	100.0	134.0	55.0	17.0	6.0	-	-	1.0	2.0	326.0	1042.0
30 – 39	356.0	24.0	82.0	120.0	79.0	26.0	10.0	5.0	6.0	4.0	785.0	2230.0
40 – 49	340.0	19.0	65.0	93.0	83.0	29.0	25.0	8.0	15.0	3.0	910.0	2700.0
50 – 59	142.0	3.0	31.0	37.0	30.0	19.0	6.0	6.0	8.0	2.0	409.0	2921.0
60 – 69	106.0	5.0	14.0	21.0	23.0	13.0	11.0	2.0	17.0	-	386.0	3642.0
70 и более	49.0	1.0	3.0	8.0	9.0	10.0	9.0	2.0	7.0	-	199.0	4061.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Бурятия												
Женщины в возрасте 15 лет и более	497.0	126.0	99.0	124.0	66.0	34.0	23.0	9.0	13.0	3.0	952.0	1927.0
