4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ  ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Всего	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
Экономически неактивные	112371.0	20.0	4071.0	1547.0	13196.0	18449.0	22861.0	39284.0	11673.0	1260.0	10.0
Кировская область											
Городское и сельское  население	1023826.0	1474.0	128155.0	23794.0	297603.0	196080.0	195274.0	143567.0	32205.0	3181.0	2493.0
Экономически активные	732901.0	1332.0	113392.0	16258.0	249937.0	159039.0	131781.0	53217.0	7203.0	289.0	453.0
в том числе:											
занятые в экономике	667050.0	1293.0	109811.0	14376.0	232882.0	143687.0	116401.0	42642.0	5653.0	240.0	65.0
из них:											
учащиеся	37512.0	78.0	1919.0	8359.0	12189.0	4135.0	9783.0	1020.0	29.0	-	-
безработные	65851.0	39.0	3581.0	1882.0	17055.0	15352.0	15380.0	10575.0	1550.0	49.0	388.0
из них:											
учащиеся	8000.0	-	64.0	1409.0	1315.0	475.0	3342.0	1278.0	117.0	-	-
Экономически неактивные	289045.0	142.0	14759.0	7531.0	47651.0	37034.0	63488.0	90329.0	24990.0	2892.0	229.0
Городское население	752424.0	1373.0	109846.0	21346.0	229439.0	128760.0	150804.0	91383.0	15560.0	1425.0	2488.0
Экономически активные	548273.0	1254.0	97604.0	14579.0	194074.0	106283.0	99920.0	30740.0	3247.0	119.0	453.0
в том числе:											
занятые в экономике	502249.0	1219.0	94517.0	12816.0	181628.0	96458.0	88390.0	24562.0	2501.0	93.0	65.0
из них:											
учащиеся	33390.0	72.0	1797.0	7701.0	10541.0	3590.0	8803.0	863.0	23.0	-	-
безработные	46024.0	35.0	3087.0	1763.0	12446.0	9825.0	11530.0	6178.0	746.0	26.0	388.0
из них:											
учащиеся	7196.0	-	58.0	1370.0	1133.0	425.0	3062.0	1067.0	81.0	-	-
Экономически неактивные	202307.0	119.0	12238.0	6762.0	35354.0	22474.0	50879.0	60639.0	12309.0	1306.0	227.0
Сельское население	271402.0	101.0	18309.0	2448.0	68164.0	67320.0	44470.0	52184.0	16645.0	1756.0	5.0
Экономически активные	184628.0	78.0	15788.0	1679.0	55863.0	52756.0	31861.0	22477.0	3956.0	170.0	-
в том числе:											
занятые в экономике	164801.0	74.0	15294.0	1560.0	51254.0	47229.0	28011.0	18080.0	3152.0	147.0	-
из них:											
учащиеся	4122.0	6.0	122.0	658.0	1648.0	545.0	980.0	157.0	6.0	-	-
безработные	19827.0	4.0	494.0	119.0	4609.0	5527.0	3850.0	4397.0	804.0	23.0	-
из них:											
учащиеся	804.0	-	6.0	39.0	182.0	50.0	280.0	211.0	36.0	-	-
Экономически неактивные	86738.0	23.0	2521.0	769.0	12297.0	14560.0	12609.0	29690.0	12681.0	1586.0	2.0
Нижегородская область											
Городское и сельское  население	2396011.0	6283.0	392526.0	73758.0	705656.0	341796.0	497712.0	311480.0	60845.0	5761.0	194.0
Экономически активные	1703980.0	5597.0	341972.0	49098.0	582262.0	272772.0	330917.0	107814.0	12868.0	659.0	21.0
в том числе:											
занятые в экономике	1570198.0	5374.0	328830.0	43725.0	545657.0	248539.0	296926.0	90054.0	10591.0	481.0	21.0
из них:											
учащиеся	73600.0	314.0	4811.0	18104.0	21410.0	5374.0	21378.0	2147.0	62.0	-	-
безработные	133782.0	223.0	13142.0	5373.0	36605.0	24233.0	33991.0	17760.0	2277.0	178.0	-
из них:											
учащиеся	16945.0	27.0	252.0	3350.0	1994.0	629.0	7468.0	3044.0	181.0	-	-
Экономически неактивные	691227.0	686.0	50480.0	24625.0	123283.0	68980.0	166672.0	203431.0	47929.0	5102.0	39.0
Городское население	1932903.0	5976.0	356270.0	68176.0	589951.0	252207.0	404361.0	220762.0	32270.0	2750.0	180.0
Экономически активные	1402705.0	5345.0	310992.0	45203.0	488402.0	203579.0	267455.0	73634.0	7676.0	398.0	21.0
в том числе:											
занятые в экономике	1300206.0	5135.0	299184.0	40188.0	459226.0	186650.0	241375.0	61661.0	6466.0	300.0	21.0
из них:											
учащиеся	66775.0	303.0	4522.0	16891.0	18820.0	4807.0	19481.0	1902.0	49.0	-	-
безработные	102499.0	210.0	11808.0	5015.0	29176.0	16929.0	26080.0	11973.0	1210.0	98.0	-
из них:											
учащиеся	15293.0	26.0	243.0	3202.0	1700.0	576.0	6837.0	2559.0	150.0	-	-
Экономически неактивные	529531.0	631.0	45222.0	22943.0	101451.0	48598.0	136805.0	146940.0	24551.0	2352.0	38.0
Сельское население	463108.0	307.0	36256.0	5582.0	115705.0	89589.0	93351.0	90718.0	28575.0	3011.0	14.0
Экономически активные	301275.0	252.0	30980.0	3895.0	93860.0	69193.0	63462.0	34180.0	5192.0	261.0	-
в том числе:											
занятые в экономике	269992.0	239.0	29646.0	3537.0	86431.0	61889.0	55551.0	28393.0	4125.0	181.0	-
из них:											
учащиеся	6825.0	11.0	289.0	1213.0	2590.0	567.0	1897.0	245.0	13.0	-	-
безработные	31283.0	13.0	1334.0	358.0	7429.0	7304.0	7911.0	5787.0	1067.0	80.0	-
из них:											
учащиеся	1652.0	1.0	9.0	148.0	294.0	53.0	631.0	485.0	31.0	-	-
Экономически неактивные	161696.0	55.0	5258.0	1682.0	21832.0	20382.0	29867.0	56491.0	23378.0	2750.0	1.0
Оренбургская область											
Городское и сельское  население	1489459.0	2400.0	194245.0	39139.0	482914.0	225366.0	265944.0	223234.0	50953.0	4265.0	999.0
Экономически активные	978087.0	2098.0	166343.0	24736.0	377979.0	166869.0	158320.0	71828.0	9503.0	327.0	84.0
в том числе:											
занятые в экономике	877206.0	2046.0	158377.0	21759.0	344711.0	146821.0	137439.0	58090.0	7629.0	255.0	79.0
из них:											
учащиеся	41084.0	162.0	2677.0	10076.0	13762.0	3284.0	9905.0	1182.0	36.0	-	-
безработные	100881.0	52.0	7966.0	2977.0	33268.0	20048.0	20881.0	13738.0	1874.0	72.0	5.0
из них:											
учащиеся	9967.0	-	111.0	1773.0	1640.0	547.0	3739.0	1945.0	212.0	-	-
Экономически неактивные	509345.0	302.0	27847.0	14387.0	104670.0	58370.0	107382.0	150952.0	41307.0	3930.0	198.0
Городское население	889789.0	2057.0	144186.0	31543.0	310856.0	124692.0	150530.0	105648.0	18090.0	1243.0	944.0
Экономически активные	604595.0	1812.0	123898.0	19392.0	247616.0	95144.0	83471.0	29319.0	3745.0	131.0	67.0
в том числе:											
занятые в экономике	547414.0	1764.0	118030.0	16960.0	227390.0	84567.0	72557.0	23142.0	2851.0	91.0	62.0
из них:											
учащиеся	31670.0	148.0	2319.0	8353.0	9915.0	2511.0	7532.0	873.0	19.0	-	-
безработные	57181.0	48.0	5868.0	2432.0	20226.0	10577.0	10914.0	6177.0	894.0	40.0	5.0
из них:											
учащиеся	7734.0	-	101.0	1587.0	1176.0	391.0	3066.0	1255.0	158.0	-	-
Экономически неактивные	283736.0	245.0	20249.0	12135.0	63046.0	29488.0	66893.0	76142.0	14270.0	1108.0	160.0
Сельское население	599670.0	343.0	50059.0	7596.0	172058.0	100674.0	115414.0	117586.0	32863.0	3022.0	55.0
Экономически активные	373492.0	286.0	42445.0	5344.0	130363.0	71725.0	74849.0	42509.0	5758.0	196.0	17.0
в том числе:											
занятые в экономике	329792.0	282.0	40347.0	4799.0	117321.0	62254.0	64882.0	34948.0	4778.0	164.0	17.0
из них:											
учащиеся	9414.0	14.0	358.0	1723.0	3847.0	773.0	2373.0	309.0	17.0	-	-
безработные	43700.0	4.0	2098.0	545.0	13042.0	9471.0	9967.0	7561.0	980.0	32.0	-
из них:											
учащиеся	2233.0	-	10.0	186.0	464.0	156.0	673.0	690.0	54.0	-	-
Экономически неактивные	225609.0	57.0	7598.0	2252.0	41624.0	28882.0	40489.0	74810.0	27037.0	2822.0	38.0
Пензенская область											
Городское и сельское  население	1003725.0	1730.0	153967.0	24762.0	295059.0	149848.0	200929.0	141507.0	31587.0	3090.0	1246.0
Экономически активные	657703.0	1518.0	131579.0	14549.0	230859.0	110723.0	118245.0	44329.0	5565.0	233.0	103.0
в том числе:											
занятые в экономике	561906.0	1454.0	122104.0	11885.0	201287.0	92343.0	95443.0	33184.0	3989.0	136.0	81.0
из них:											
учащиеся	16337.0	69.0	1149.0	4600.0	4584.0	1069.0	4414.0	443.0	9.0	-	-
безработные	95797.0	64.0	9475.0	2664.0	29572.0	18380.0	22802.0	11145.0	1576.0	97.0	22.0
из них:											
учащиеся	6961.0	-	77.0	1574.0	662.0	386.0	3004.0	1182.0	76.0	-	-
Экономически неактивные	342631.0	209.0	22277.0	10157.0	63922.0	38978.0	82212.0	96216.0	25690.0	2832.0	138.0
Городское население	677180.0	1557.0	130485.0	20960.0	215555.0	86832.0	135334.0	73249.0	10921.0	1104.0	1183.0
Экономически активные	468191.0	1376.0	112547.0	12197.0	172720.0	67280.0	79335.0	20565.0	1972.0	124.0	75.0
в том числе:											
занятые в экономике	407780.0	1328.0	104684.0	9909.0	152239.0	57345.0	65040.0	15629.0	1487.0	63.0	56.0
из них:											
учащиеся	14284.0	65.0	1073.0	4059.0	3848.0	928.0	3910.0	392.0	9.0	-	-
безработные	60411.0	48.0	7863.0	2288.0	20481.0	9935.0	14295.0	4936.0	485.0	61.0	19.0
из них:											
учащиеся	5983.0	-	77.0	1483.0	546.0	322.0	2668.0	842.0	45.0	-	-
Экономически неактивные	206756.0	178.0	17881.0	8729.0	42669.0	19473.0	55758.0	52177.0	8808.0	976.0	107.0
Сельское население	326545.0	173.0	23482.0	3802.0	79504.0	63016.0	65595.0	68258.0	20666.0	1986.0	63.0
Экономически активные	189512.0	142.0	19032.0	2352.0	58139.0	43443.0	38910.0	23764.0	3593.0	109.0	28.0
в том числе:											
занятые в экономике	154126.0	126.0	17420.0	1976.0	49048.0	34998.0	30403.0	17555.0	2502.0	73.0	25.0
из них:											
учащиеся	2053.0	4.0	76.0	541.0	736.0	141.0	504.0	51.0	-	-	-
безработные	35386.0	16.0	1612.0	376.0	9091.0	8445.0	8507.0	6209.0	1091.0	36.0	3.0
из них:											
учащиеся	978.0	-	-	91.0	116.0	64.0	336.0	340.0	31.0	-	-
Экономически неактивные	135875.0	31.0	4396.0	1428.0	21253.0	19505.0	26454.0	44039.0	16882.0	1856.0	31.0
Пермская область											
Городское и сельское  население	1935218.0	4333.0	245083.0	45872.0	577995.0	363798.0	323764.0	294158.0	62256.0	5442.0	12517.0
Экономически активные	1337089.0	3913.0	216022.0	31623.0	477494.0	280640.0	204293.0	106695.0	14770.0	489.0	1150.0
в том числе:											
занятые в экономике	1213888.0	3766.0	209235.0	28398.0	445128.0	249562.0	179165.0	85780.0	11658.0	403.0	793.0
из них:											
учащиеся	61375.0	203.0	3871.0	11837.0	20781.0	6509.0	16078.0	2015.0	74.0	-	7.0
безработные	123201.0	147.0	6787.0	3225.0	32366.0	31078.0	25128.0	20915.0	3112.0	86.0	357.0
из них:											
учащиеся	13133.0	22.0	158.0	2000.0	1549.0	817.0	5402.0	2958.0	226.0	-	1.0
Экономически неактивные	588610.0	420.0	29011.0	14232.0	100369.0	83081.0	119296.0	187113.0	47389.0	4943.0	2756.0
Городское население	1485051.0	4092.0	217770.0	41407.0	470847.0	251572.0	254190.0	197044.0	33381.0	2424.0	12324.0
Экономически активные	1053281.0	3711.0	192273.0	28280.0	391914.0	200097.0	158228.0	68952.0	8442.0	287.0	1097.0
в том числе:											
занятые в экономике	963712.0	3575.0	186224.0	25270.0	366202.0	179532.0	139537.0	55617.0	6771.0	226.0	758.0
из них:											
учащиеся	53157.0	197.0	3513.0	10626.0	17387.0	5488.0	14168.0	1713.0	58.0	-	7.0
безработные	89569.0	136.0	6049.0	3010.0	25712.0	20565.0	18691.0	13335.0	1671.0	61.0	339.0
из них:											
учащиеся	11922.0	22.0	140.0	1930.0	1372.0	741.0	5021.0	2545.0	151.0	-	-
Экономически неактивные	422452.0	381.0	25451.0	13110.0	78805.0	51408.0	95810.0	127812.0	24871.0	2127.0	2677.0
Сельское население	450167.0	241.0	27313.0	4465.0	107148.0	112226.0	69574.0	97114.0	28875.0	3018.0	193.0
Экономически активные	283808.0	202.0	23749.0	3343.0	85580.0	80543.0	46065.0	37743.0	6328.0	202.0	53.0
в том числе:											
занятые в экономике	250176.0	191.0	23011.0	3128.0	78926.0	70030.0	39628.0	30163.0	4887.0	177.0	35.0
из них:											
учащиеся	8218.0	6.0	358.0	1211.0	3394.0	1021.0	1910.0	302.0	16.0	-	-
безработные	33632.0	11.0	738.0	215.0	6654.0	10513.0	6437.0	7580.0	1441.0	25.0	18.0
из них:											
учащиеся	1211.0	-	18.0	70.0	177.0	76.0	381.0	413.0	75.0	-	1.0
Экономически неактивные	166158.0	39.0	3560.0	1122.0	21564.0	31673.0	23486.0	59301.0	22518.0	2816.0	79.0
Коми–Пермяцкий автономный округ											
Городское и сельское  население	89152.0	41.0	5889.0	800.0	25568.0	22224.0	10420.0	18666.0	5089.0	448.0	7.0
Экономически активные	52859.0	32.0	5076.0	615.0	19836.0	14664.0	5926.0	5838.0	859.0	11.0	2.0
в том числе:											
занятые в экономике	45469.0	32.0	4941.0	574.0	17947.0	12269.0	4819.0	4268.0	609.0	9.0	1.0
из них:											
учащиеся	1279.0	5.0	78.0	210.0	680.0	125.0	137.0	43.0	1.0	-	-
безработные	7390.0	-	135.0	41.0	1889.0	2395.0	1107.0	1570.0	250.0	2.0	1.0
из них:											
учащиеся	125.0	-	2.0	9.0	44.0	15.0	30.0	23.0	1.0	-	1.0
Экономически неактивные	36293.0	9.0	813.0	185.0	5732.0	7560.0	4494.0	12828.0	4230.0	437.0	5.0
Городское население	25031.0	19.0	2771.0	385.0	9002.0	4231.0	3341.0	4550.0	691.0	40.0	1.0
Экономически активные	15637.0	17.0	2418.0	300.0	7241.0	3000.0	1589.0	912.0	160.0	-	-
в том числе:											
занятые в экономике	13851.0	17.0	2375.0	276.0	6602.0	2500.0	1290.0	677.0	114.0	-	-
из них:											
учащиеся	597.0	4.0	45.0	115.0	298.0	52.0	60.0	23.0	-	-	-
безработные	1786.0	-	43.0	24.0	639.0	500.0	299.0	235.0	46.0	-	-
из них:											
учащиеся	49.0	-	1.0	6.0	19.0	3.0	13.0	6.0	1.0	-	-
Экономически неактивные	9394.0	2.0	353.0	85.0	1761.0	1231.0	1752.0	3638.0	531.0	40.0	1.0
Сельское население	64121.0	22.0	3118.0	415.0	16566.0	17993.0	7079.0	14116.0	4398.0	408.0	6.0
Экономически активные	37222.0	15.0	2658.0	315.0	12595.0	11664.0	4337.0	4926.0	699.0	11.0	2.0
в том числе:											
занятые в экономике	31618.0	15.0	2566.0	298.0	11345.0	9769.0	3529.0	3591.0	495.0	9.0	1.0
из них:											
учащиеся	682.0	1.0	33.0	95.0	382.0	73.0	77.0	20.0	1.0	-	-
безработные	5604.0	-	92.0	17.0	1250.0	1895.0	808.0	1335.0	204.0	2.0	1.0
из них:											
учащиеся	76.0	-	1.0	3.0	25.0	12.0	17.0	17.0	-	-	1.0
Экономически неактивные	26899.0	7.0	460.0	100.0	3971.0	6329.0	2742.0	9190.0	3699.0	397.0	4.0
Самарская область											
Городское и сельское  население	2285891.0	6372.0	416361.0	85294.0	744002.0	287180.0	410762.0	259513.0	54635.0	5197.0	16575.0
Экономически активные	1591983.0	5640.0	357276.0	53996.0	600009.0	221833.0	253521.0	84312.0	13461.0	735.0	1200.0
в том числе:											
занятые в экономике	1456616.0	5379.0	341887.0	47121.0	556770.0	201145.0	223324.0	68575.0	11021.0	605.0	789.0
из них:											
учащиеся	67405.0	325.0	5096.0	19971.0	17984.0	4012.0	17857.0	2086.0	74.0	-	-
безработные	135367.0	261.0	15389.0	6875.0	43239.0	20688.0	30197.0	15737.0	2440.0	130.0	411.0
из них:											
учащиеся	20071.0	34.0	361.0	4497.0	2064.0	656.0	8535.0	3683.0	234.0	7.0	-
Экономически неактивные	681742.0	730.0	59042.0	31269.0	143890.0	65302.0	157145.0	175056.0	41125.0	4447.0	3736.0
Городское население	1870268.0	6013.0	379269.0	78448.0	619449.0	210264.0	340815.0	186627.0	29956.0	2904.0	16523.0
Экономически активные	1326683.0	5355.0	326176.0	49480.0	502743.0	164514.0	210118.0	58607.0	8007.0	515.0	1168.0
в том числе:											
занятые в экономике	1225526.0	5104.0	312501.0	43116.0	470330.0	151566.0	186517.0	48379.0	6810.0	438.0	765.0
из них:											
учащиеся	61130.0	312.0	4790.0	18552.0	15727.0	3519.0	16296.0	1875.0	59.0	-	-
безработные	101157.0	251.0	13675.0	6364.0	32413.0	12948.0	23601.0	10228.0	1197.0	77.0	403.0
из них:											
учащиеся	18479.0	34.0	345.0	4336.0	1825.0	535.0	8034.0	3175.0	188.0	7.0	-
Экономически неактивные	531566.0	656.0	53058.0	28943.0	116619.0	45721.0	130625.0	127928.0	21924.0	2374.0	3718.0
Сельское население	415623.0	359.0	37092.0	6846.0	124553.0	76916.0	69947.0	72886.0	24679.0	2293.0	52.0
Экономически активные	265300.0	285.0	31100.0	4516.0	97266.0	57319.0	43403.0	25705.0	5454.0	220.0	32.0
в том числе:											
занятые в экономике	231090.0	275.0	29386.0	4005.0	86440.0	49579.0	36807.0	20196.0	4211.0	167.0	24.0
из них:											
учащиеся	6275.0	13.0	306.0	1419.0	2257.0	493.0	1561.0	211.0	15.0	-	-
безработные	34210.0	10.0	1714.0	511.0	10826.0	7740.0	6596.0	5509.0	1243.0	53.0	8.0
из них:											
учащиеся	1592.0	-	16.0	161.0	239.0	121.0	501.0	508.0	46.0	-	-
Экономически неактивные	150176.0	74.0	5984.0	2326.0	27271.0	19581.0	26520.0	47128.0	19201.0	2073.0	18.0
Саратовская область											
Городское и сельское  население	1854235.0	4888.0	316548.0	58716.0	551211.0	240911.0	354393.0	262073.0	50130.0	3810.0	11555.0
Экономически активные	1202739.0	4215.0	264155.0	34542.0	426210.0	177104.0	199220.0	86146.0	10506.0	286.0	355.0
в том числе:											
занятые в экономике	1050813.0	3978.0	247302.0	28719.0	379702.0	152009.0	164436.0	66150.0	8079.0	192.0	246.0
из них:											
учащиеся	29328.0	124.0	1447.0	8702.0	6650.0	1856.0	9588.0	943.0	18.0	-	-
безработные	151926.0	237.0	16853.0	5823.0	46508.0	25095.0	34784.0	19996.0	2427.0	94.0	109.0
из них:											
учащиеся	13511.0	16.0	184.0	2947.0	1080.0	536.0	6195.0	2401.0	152.0	-	-
Экономически неактивные	636768.0	669.0	52016.0	23973.0	124211.0	63505.0	154129.0	174509.0	39178.0	3489.0	1089.0
Городское население	1388490.0	4590.0	280657.0	52343.0	438924.0	163350.0	261115.0	151788.0	22736.0	1582.0	11405.0
Экономически активные	932215.0	3966.0	235176.0	30573.0	344778.0	123532.0	145154.0	43514.0	5080.0	131.0	311.0
в том числе:											
занятые в экономике	824261.0	3767.0	220425.0	25360.0	309572.0	107293.0	120328.0	33302.0	3896.0	107.0	211.0
из них:											
учащиеся	26397.0	121.0	1368.0	7953.0	5856.0	1640.0	8627.0	820.0	12.0	-	-
безработные	107954.0	199.0	14751.0	5213.0	35206.0	16239.0	24826.0	10212.0	1184.0	24.0	100.0
из них:											
учащиеся	12198.0	14.0	177.0	2778.0	1018.0	485.0	5720.0	1890.0	116.0	-	-
Экономически неактивные	442861.0	620.0	45127.0	21584.0	93536.0	39622.0	115137.0	107344.0	17467.0	1441.0	983.0
Сельское население	465745.0	298.0	35891.0	6373.0	112287.0	77561.0	93278.0	110285.0	27394.0	2228.0	150.0
Экономически активные	270524.0	249.0	28979.0	3969.0	81432.0	53572.0	54066.0	42632.0	5426.0	155.0	44.0
в том числе:											
занятые в экономике	226552.0	211.0	26877.0	3359.0	70130.0	44716.0	44108.0	32848.0	4183.0	85.0	35.0
из них:											
учащиеся	2931.0	3.0	79.0	749.0	794.0	216.0	961.0	123.0	6.0	-	-
безработные	43972.0	38.0	2102.0	610.0	11302.0	8856.0	9958.0	9784.0	1243.0	70.0	9.0
из них:											
учащиеся	1313.0	2.0	7.0	169.0	62.0	51.0	475.0	511.0	36.0	-	-
Экономически неактивные	193907.0	49.0	6889.0	2389.0	30675.0	23883.0	38992.0	67165.0	21711.0	2048.0	106.0
Ульяновская область											
Городское и сельское  население	957942.0	1716.0	137219.0	22518.0	297829.0	132830.0	198676.0	136676.0	27299.0	3028.0	151.0
Экономически активные	647320.0	1499.0	117356.0	13574.0	239931.0	101995.0	123791.0	44112.0	4683.0	310.0	69.0
в том числе:											
занятые в экономике	577150.0	1438.0	111513.0	11797.0	217854.0	89344.0	106239.0	34978.0	3680.0	242.0	65.0
из них:											
учащиеся	19132.0	63.0	1091.0	4262.0	5976.0	1337.0	5800.0	595.0	7.0	1.0	-
безработные	70170.0	61.0	5843.0	1777.0	22077.0	12651.0	17552.0	9134.0	1003.0	68.0	4.0
из них:											
учащиеся	5366.0	8.0	82.0	962.0	819.0	188.0	2299.0	930.0	78.0	-	-
Экономически неактивные	309047.0	217.0	19766.0	8891.0	57692.0	30723.0	74564.0	91946.0	22471.0	2699.0	78.0
Городское население	722351.0	1591.0	120645.0	20099.0	241816.0	88209.0	147663.0	87720.0	12913.0	1554.0	141.0
Экономически активные	504640.0	1414.0	103826.0	12007.0	197404.0	69843.0	91270.0	26254.0	2337.0	220.0	65.0
в том числе:											
занятые в экономике	455976.0	1356.0	98850.0	10421.0	180824.0	62088.0	79216.0	21061.0	1911.0	188.0	61.0
из них:											
учащиеся	17765.0	61.0	1020.0	3976.0	5535.0	1220.0	5405.0	541.0	6.0	1.0	-
безработные	48664.0	58.0	4976.0	1586.0	16580.0	7755.0	12054.0	5193.0	426.0	32.0	4.0
из них:											
учащиеся	4899.0	8.0	77.0	920.0	744.0	167.0	2135.0	802.0	46.0	-	-
Экономически неактивные	216701.0	177.0	16759.0	8043.0	44241.0	18313.0	56159.0	61098.0	10512.0	1327.0	72.0
Сельское население	235591.0	125.0	16574.0	2419.0	56013.0	44621.0	51013.0	48956.0	14386.0	1474.0	10.0
Экономически активные	142680.0	85.0	13530.0	1567.0	42527.0	32152.0	32521.0	17858.0	2346.0	90.0	4.0
в том числе:											
занятые в экономике	121174.0	82.0	12663.0	1376.0	37030.0	27256.0	27023.0	13917.0	1769.0	54.0	4.0
из них:											
учащиеся	1367.0	2.0	71.0	286.0	441.0	117.0	395.0	54.0	1.0	-	-
безработные	21506.0	3.0	867.0	191.0	5497.0	4896.0	5498.0	3941.0	577.0	36.0	-
из них:											
учащиеся	467.0	-	5.0	42.0	75.0	21.0	164.0	128.0	32.0	-	-
Экономически неактивные	92346.0	40.0	3007.0	848.0	13451.0	12410.0	18405.0	30848.0	11959.0	1372.0	6.0
Уральский федеральный округ											
Городское и сельское  население	8693678.0	19168.0	1270308.0	263535.0	2726214.0	1369418.0	1601404.0	1140996.0	234236.0	18574.0	49825.0
Экономически активные	6102201.0	17165.0	1121300.0	175594.0	2250214.0	1076336.0	1006394.0	394253.0	55223.0	2174.0	3548.0
в том числе:											
занятые в экономике	5532230.0	16572.0	1075933.0	154241.0	2085528.0	966133.0	872386.0	313393.0	43464.0	1597.0	2983.0
из них:											
учащиеся	297323.0	1103.0	20496.0	69838.0	88525.0	25723.0	82003.0	9216.0	391.0	5.0	23.0
безработные	569971.0	593.0	45367.0	21353.0	164686.0	110203.0	134008.0	80860.0	11759.0	577.0	565.0
из них:											
учащиеся	73539.0	32.0	1194.0	13833.0	9158.0	3605.0	32579.0	12106.0	1021.0	4.0	7.0
Экономически неактивные	2509810.0	1940.0	146734.0	86528.0	469195.0	289958.0	586387.0	732726.0	175054.0	16119.0	5169.0
Городское население	7120519.0	17957.0	1159069.0	241830.0	2331868.0	1053519.0	1314803.0	813627.0	129964.0	9459.0	48423.0
Экономически активные	5132054.0	16161.0	1027079.0	161179.0	1945482.0	850961.0	825743.0	268772.0	32083.0	1295.0	3299.0
в том числе:											
занятые в экономике	4687144.0	15597.0	985955.0	141177.0	1810064.0	770674.0	718856.0	215182.0	25893.0	993.0	2753.0
из них:											
учащиеся	274106.0	1068.0	19431.0	65281.0	80477.0	23574.0	75643.0	8291.0	315.0	4.0	22.0
безработные	444910.0	564.0	41124.0	20002.0	135418.0	80287.0	106887.0	53590.0	6190.0	302.0	546.0
из них:											
учащиеся	68176.0	29.0	1159.0	13320.0	8344.0	3242.0	30672.0	10593.0	806.0	4.0	7.0
Экономически неактивные	1920230.0	1756.0	130200.0	79492.0	381365.0	200649.0	482776.0	535427.0	95783.0	8020.0	4762.0
Сельское население	1573159.0	1211.0	111239.0	21705.0	394346.0	315899.0	286601.0	327369.0	104272.0	9115.0	1402.0
Экономически активные	970147.0	1004.0	94221.0	14415.0	304732.0	225375.0	180651.0	125481.0	23140.0	879.0	249.0
в том числе:											
занятые в экономике	845086.0	975.0	89978.0	13064.0	275464.0	195459.0	153530.0	98211.0	17571.0	604.0	230.0
из них:											
учащиеся	23217.0	35.0	1065.0	4557.0	8048.0	2149.0	6360.0	925.0	76.0	1.0	1.0
безработные	125061.0	29.0	4243.0	1351.0	29268.0	29916.0	27121.0	27270.0	5569.0	275.0	19.0
из них:											
учащиеся	5363.0	3.0	35.0	513.0	814.0	363.0	1907.0	1513.0	215.0	-	-
Экономически неактивные	589580.0	184.0	16534.0	7036.0	87830.0	89309.0	103611.0	197299.0	79271.0	8099.0	407.0
Курганская область											
Городское и сельское  население	692853.0	960.0	79803.0	13562.0	205969.0	101798.0	131016.0	120798.0	35954.0	2646.0	347.0
Экономически активные	436852.0	864.0	67932.0	7955.0	159402.0	72219.0	79092.0	42268.0	6795.0	232.0	93.0
в том числе:											
занятые в экономике	384443.0	827.0	64432.0	6867.0	143735.0	62626.0	67449.0	33188.0	5073.0	157.0	89.0
из них:											
учащиеся	14251.0	44.0	988.0	3072.0	4919.0	1261.0	3539.0	410.0	16.0	-	2.0
безработные	52409.0	37.0	3500.0	1088.0	15667.0	9593.0	11643.0	9080.0	1722.0	75.0	4.0
из них:											
учащиеся	4013.0	-	46.0	590.0	730.0	265.0	1703.0	620.0	59.0	-	-
Экономически неактивные	252891.0	96.0	11782.0	5567.0	46149.0	29376.0	51476.0	77326.0	28574.0	2364.0	181.0
Городское население	406096.0	770.0	61020.0	10441.0	138843.0	53314.0	73991.0	55980.0	10791.0	748.0	198.0
Экономически активные	276122.0	698.0	52447.0	6215.0	110982.0	40370.0	44474.0	18607.0	2200.0	74.0	55.0
в том числе:											
занятые в экономике	246950.0	661.0	49774.0	5311.0	100924.0	35732.0	38115.0	14654.0	1679.0	49.0	51.0
из них:											
учащиеся	11405.0	39.0	834.0	2533.0	3907.0	1019.0	2766.0	299.0	7.0	-	1.0
безработные	29172.0	37.0	2673.0	904.0	10058.0	4638.0	6359.0	3953.0	521.0	25.0	4.0
из них:											
учащиеся	3311.0	-	46.0	517.0	540.0	211.0	1492.0	484.0	21.0	-	-
Экономически неактивные	128457.0	72.0	8532.0	4203.0	27593.0	12860.0	29211.0	36790.0	8439.0	654.0	103.0
Сельское население	286757.0	190.0	18783.0	3121.0	67126.0	48484.0	57025.0	64818.0	25163.0	1898.0	149.0
Экономически активные	160730.0	166.0	15485.0	1740.0	48420.0	31849.0	34618.0	23661.0	4595.0	158.0	38.0
в том числе:											
занятые в экономике	137493.0	166.0	14658.0	1556.0	42811.0	26894.0	29334.0	18534.0	3394.0	108.0	38.0
из них:											
учащиеся	2846.0	5.0	154.0	539.0	1012.0	242.0	773.0	111.0	9.0	-	1.0
безработные	23237.0	-	827.0	184.0	5609.0	4955.0	5284.0	5127.0	1201.0	50.0	-
из них:											
учащиеся	702.0	-	-	73.0	190.0	54.0	211.0	136.0	38.0	-	-
