													
4. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ОДИН ИСТОЧНИК СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Население, указавшее один источник средств к существованию	в том числе указали источником средств к существованию											
65 и более	51036.0	17.0	24.0	-	49735.0	1187.0	14.0	-	4.0	-	-	52.0	3.0
возраст не указан	10.0	3.0	1.0	-	1.0	-	-	-	-	-	-	5.0	-
Пензенская область													
Городское и сельское население	1006951.0	446104.0	43858.0	2650.0	267167.0	29080.0	6887.0	8983.0	7883.0	953.0	154.0	188153.0	5079.0
из него в возрасте, лет:													
до 15	63748.0	2.0	2.0	12.0	203.0	194.0	3090.0	-	1043.0	-	4.0	59187.0	11.0
15 – 19	57900.0	8143.0	571.0	1903.0	394.0	494.0	963.0	184.0	1120.0	8.0	3.0	43978.0	139.0
20 – 29	159898.0	106072.0	7270.0	721.0	253.0	1995.0	1427.0	1775.0	2966.0	165.0	28.0	36364.0	862.0
30 – 49	356885.0	262013.0	28061.0	14.0	4240.0	10461.0	1163.0	5092.0	2218.0	610.0	90.0	39973.0	2950.0
50 – 54	87173.0	55965.0	6303.0	-	8943.0	5743.0	192.0	1665.0	268.0	128.0	25.0	7201.0	740.0
55 – 59	40123.0	12644.0	1529.0	-	21185.0	2767.0	23.0	266.0	83.0	37.0	2.0	1327.0	260.0
60 – 64	66230.0	976.0	69.0	-	62882.0	2088.0	7.0	-	82.0	4.0	-	54.0	68.0
65 и более	174901.0	255.0	51.0	-	169054.0	5336.0	22.0	-	91.0	1.0	-	54.0	37.0
возраст не указан	93.0	34.0	2.0	-	13.0	2.0	-	1.0	12.0	-	2.0	15.0	12.0
Мужчины	455802.0	224119.0	23964.0	1334.0	79726.0	16905.0	2293.0	2947.0	6973.0	589.0	70.0	93257.0	3625.0
из них в возрасте, лет:													
до 15	32858.0	-	1.0	8.0	102.0	109.0	1571.0	-	633.0	-	2.0	30426.0	6.0
15 – 19	29706.0	4360.0	314.0	975.0	201.0	315.0	423.0	48.0	992.0	4.0	1.0	21990.0	83.0
20 – 29	83747.0	57455.0	3655.0	348.0	61.0	1263.0	57.0	555.0	2842.0	104.0	17.0	16820.0	570.0
30 – 49	173431.0	124079.0	15135.0	3.0	2415.0	6073.0	167.0	1654.0	2036.0	375.0	38.0	19356.0	2100.0
50 – 54	40375.0	26716.0	3320.0	-	2567.0	3110.0	47.0	423.0	229.0	68.0	9.0	3346.0	540.0
55 – 59	19584.0	10640.0	1473.0	-	3595.0	1963.0	21.0	266.0	81.0	34.0	2.0	1269.0	240.0
60 – 64	25185.0	685.0	50.0	-	23128.0	1160.0	2.0	-	73.0	4.0	-	33.0	50.0
65 и более	50861.0	167.0	15.0	-	47650.0	2911.0	5.0	-	75.0	-	-	14.0	24.0
возраст не указан	55.0	17.0	1.0	-	7.0	1.0	-	1.0	12.0	-	1.0	3.0	12.0
Женщины	551149.0	221985.0	19894.0	1316.0	187441.0	12175.0	4594.0	6036.0	910.0	364.0	84.0	94896.0	1454.0
из них в возрасте, лет:													
до 15	30890.0	2.0	1.0	4.0	101.0	85.0	1519.0	-	410.0	-	2.0	28761.0	5.0
15 – 19	28194.0	3783.0	257.0	928.0	193.0	179.0	540.0	136.0	128.0	4.0	2.0	21988.0	56.0
20 – 29	76151.0	48617.0	3615.0	373.0	192.0	732.0	1370.0	1220.0	124.0	61.0	11.0	19544.0	292.0
30 – 49	183454.0	137934.0	12926.0	11.0	1825.0	4388.0	996.0	3438.0	182.0	235.0	52.0	20617.0	850.0
50 – 54	46798.0	29249.0	2983.0	-	6376.0	2633.0	145.0	1242.0	39.0	60.0	16.0	3855.0	200.0
55 – 59	20539.0	2004.0	56.0	-	17590.0	804.0	2.0	-	2.0	3.0	-	58.0	20.0
60 – 64	41045.0	291.0	19.0	-	39754.0	928.0	5.0	-	9.0	-	-	21.0	18.0
65 и более	124040.0	88.0	36.0	-	121404.0	2425.0	17.0	-	16.0	1.0	-	40.0	13.0
возраст не указан	38.0	17.0	1.0	-	6.0	1.0	-	-	-	-	1.0	12.0	-
Городское население	720646.0	358804.0	5858.0	2102.0	171319.0	19322.0	3768.0	7478.0	6816.0	822.0	122.0	141024.0	3211.0
из него в возрасте, лет:													
до 15	48783.0	1.0	-	8.0	134.0	128.0	1414.0	-	718.0	-	1.0	46372.0	7.0
15 – 19	42681.0	5718.0	65.0	1447.0	242.0	263.0	405.0	148.0	1001.0	6.0	2.0	33306.0	78.0
20 – 29	118550.0	84027.0	795.0	633.0	182.0	1138.0	898.0	1420.0	2894.0	147.0	21.0	25928.0	467.0
30 – 49	264360.0	211719.0	3832.0	14.0	3510.0	6512.0	850.0	4266.0	1953.0	534.0	71.0	29195.0	1904.0
50 – 54	65215.0	45912.0	931.0	-	6899.0	3886.0	162.0	1421.0	170.0	102.0	23.0	5225.0	484.0
55 – 59	29579.0	10313.0	216.0	-	15663.0	1982.0	22.0	223.0	49.0	28.0	2.0	916.0	165.0
60 – 64	44985.0	865.0	10.0	-	42482.0	1515.0	6.0	-	6.0	4.0	-	35.0	62.0
65 и более	106423.0	225.0	8.0	-	102200.0	3897.0	11.0	-	13.0	1.0	-	36.0	32.0
возраст не указан	70.0	24.0	1.0	-	7.0	1.0	-	-	12.0	-	2.0	11.0	12.0
Мужчины	324506.0	175891.0	3377.0	1040.0	51709.0	10916.0	1140.0	2486.0	6197.0	512.0	53.0	68925.0	2260.0
из них в возрасте, лет:													
до 15	25135.0	-	-	6.0	67.0	77.0	716.0	-	430.0	-	1.0	23834.0	4.0
15 – 19	21589.0	2897.0	38.0	726.0	117.0	164.0	172.0	35.0	924.0	4.0	1.0	16468.0	43.0
20 – 29	61378.0	44446.0	424.0	305.0	42.0	717.0	47.0	455.0	2801.0	93.0	11.0	11734.0	303.0
30 – 49	124600.0	97948.0	2189.0	3.0	2117.0	3674.0	142.0	1414.0	1818.0	330.0	28.0	13610.0	1327.0
50 – 54	29242.0	21291.0	511.0	-	2089.0	2015.0	38.0	359.0	151.0	54.0	9.0	2371.0	354.0
55 – 59	14251.0	8542.0	205.0	-	2792.0	1365.0	21.0	223.0	49.0	27.0	2.0	876.0	149.0
60 – 64	16677.0	606.0	9.0	-	15140.0	843.0	2.0	-	6.0	4.0	-	20.0	47.0
65 и более	31591.0	150.0	-	-	29341.0	2061.0	2.0	-	6.0	-	-	10.0	21.0
возраст не указан	43.0	11.0	1.0	-	4.0	-	-	-	12.0	-	1.0	2.0	12.0
Женщины	396140.0	182913.0	2481.0	1062.0	119610.0	8406.0	2628.0	4992.0	619.0	310.0	69.0	72099.0	951.0
из них в возрасте, лет:													
до 15	23648.0	1.0	-	2.0	67.0	51.0	698.0	-	288.0	-	-	22538.0	3.0
15 – 19	21092.0	2821.0	27.0	721.0	125.0	99.0	233.0	113.0	77.0	2.0	1.0	16838.0	35.0
20 – 29	57172.0	39581.0	371.0	328.0	140.0	421.0	851.0	965.0	93.0	54.0	10.0	14194.0	164.0
30 – 49	139760.0	113771.0	1643.0	11.0	1393.0	2838.0	708.0	2852.0	135.0	204.0	43.0	15585.0	577.0
50 – 54	35973.0	24621.0	420.0	-	4810.0	1871.0	124.0	1062.0	19.0	48.0	14.0	2854.0	130.0
55 – 59	15328.0	1771.0	11.0	-	12871.0	617.0	1.0	-	-	1.0	-	40.0	16.0
60 – 64	28308.0	259.0	1.0	-	27342.0	672.0	4.0	-	-	-	-	15.0	15.0
65 и более	74832.0	75.0	8.0	-	72859.0	1836.0	9.0	-	7.0	1.0	-	26.0	11.0
возраст не указан	27.0	13.0	-	-	3.0	1.0	-	-	-	-	1.0	9.0	-
Сельское население	286305.0	87300.0	38000.0	548.0	95848.0	9758.0	3119.0	1505.0	1067.0	131.0	32.0	47129.0	1868.0
из него в возрасте, лет:													
до 15	14965.0	1.0	2.0	4.0	69.0	66.0	1676.0	-	325.0	-	3.0	12815.0	4.0
15 – 19	15219.0	2425.0	506.0	456.0	152.0	231.0	558.0	36.0	119.0	2.0	1.0	10672.0	61.0
20 – 29	41348.0	22045.0	6475.0	88.0	71.0	857.0	529.0	355.0	72.0	18.0	7.0	10436.0	395.0
30 – 49	92525.0	50294.0	24229.0	-	730.0	3949.0	313.0	826.0	265.0	76.0	19.0	10778.0	1046.0
50 – 54	21958.0	10053.0	5372.0	-	2044.0	1857.0	30.0	244.0	98.0	26.0	2.0	1976.0	256.0
55 – 59	10544.0	2331.0	1313.0	-	5522.0	785.0	1.0	43.0	34.0	9.0	-	411.0	95.0
60 – 64	21245.0	111.0	59.0	-	20400.0	573.0	1.0	-	76.0	-	-	19.0	6.0
65 и более	68478.0	30.0	43.0	-	66854.0	1439.0	11.0	-	78.0	-	-	18.0	5.0
возраст не указан	23.0	10.0	1.0	-	6.0	1.0	-	1.0	-	-	-	4.0	-
Мужчины	131296.0	48228.0	20587.0	294.0	28017.0	5989.0	1153.0	461.0	776.0	77.0	17.0	24332.0	1365.0
из них в возрасте, лет:													
до 15	7723.0	-	1.0	2.0	35.0	32.0	855.0	-	203.0	-	1.0	6592.0	2.0
15 – 19	8117.0	1463.0	276.0	249.0	84.0	151.0	251.0	13.0	68.0	-	-	5522.0	40.0
20 – 29	22369.0	13009.0	3231.0	43.0	19.0	546.0	10.0	100.0	41.0	11.0	6.0	5086.0	267.0
30 – 49	48831.0	26131.0	12946.0	-	298.0	2399.0	25.0	240.0	218.0	45.0	10.0	5746.0	773.0
50 – 54	11133.0	5425.0	2809.0	-	478.0	1095.0	9.0	64.0	78.0	14.0	-	975.0	186.0
55 – 59	5333.0	2098.0	1268.0	-	803.0	598.0	-	43.0	32.0	7.0	-	393.0	91.0
60 – 64	8508.0	79.0	41.0	-	7988.0	317.0	-	-	67.0	-	-	13.0	3.0
65 и более	19270.0	17.0	15.0	-	18309.0	850.0	3.0	-	69.0	-	-	4.0	3.0
возраст не указан	12.0	6.0	-	-	3.0	1.0	-	1.0	-	-	-	1.0	-
Женщины	155009.0	39072.0	17413.0	254.0	67831.0	3769.0	1966.0	1044.0	291.0	54.0	15.0	22797.0	503.0
из них в возрасте, лет:													
до 15	7242.0	1.0	1.0	2.0	34.0	34.0	821.0	-	122.0	-	2.0	6223.0	2.0
15 – 19	7102.0	962.0	230.0	207.0	68.0	80.0	307.0	23.0	51.0	2.0	1.0	5150.0	21.0
20 – 29	18979.0	9036.0	3244.0	45.0	52.0	311.0	519.0	255.0	31.0	7.0	1.0	5350.0	128.0
30 – 49	43694.0	24163.0	11283.0	-	432.0	1550.0	288.0	586.0	47.0	31.0	9.0	5032.0	273.0
50 – 54	10825.0	4628.0	2563.0	-	1566.0	762.0	21.0	180.0	20.0	12.0	2.0	1001.0	70.0
55 – 59	5211.0	233.0	45.0	-	4719.0	187.0	1.0	-	2.0	2.0	-	18.0	4.0
60 – 64	12737.0	32.0	18.0	-	12412.0	256.0	1.0	-	9.0	-	-	6.0	3.0
65 и более	49208.0	13.0	28.0	-	48545.0	589.0	8.0	-	9.0	-	-	14.0	2.0
возраст не указан	11.0	4.0	1.0	-	3.0	-	-	-	-	-	-	3.0	-
Пермская область													
Городское и сельское население	1894128.0	885569.0	23567.0	8805.0	362014.0	47243.0	19369.0	7697.0	27787.0	1551.0	306.0	482481.0	27739.0
из него в возрасте, лет:													
до 15	265393.0	4.0	20.0	42.0	996.0	711.0	10753.0	-	3592.0	3.0	36.0	248925.0	311.0
15 – 19	156784.0	26806.0	435.0	6905.0	1338.0	1378.0	2204.0	335.0	3742.0	19.0	23.0	112491.0	1108.0
20 – 29	339908.0	249661.0	3631.0	1831.0	392.0	4140.0	3623.0	1677.0	10455.0	359.0	49.0	58387.0	5703.0
30 – 49	619890.0	496659.0	15028.0	25.0	6715.0	17354.0	2408.0	4369.0	8307.0	952.0	160.0	51931.0	15982.0
50 – 54	133781.0	90748.0	3478.0	-	15944.0	8746.0	215.0	1150.0	833.0	180.0	30.0	8945.0	3512.0
55 – 59	56397.0	18691.0	817.0	-	29987.0	4076.0	58.0	163.0	255.0	35.0	7.0	1440.0	868.0
60 – 64	83558.0	2066.0	61.0	-	78040.0	2957.0	32.0	-	174.0	-	-	99.0	129.0
65 и более	237816.0	638.0	92.0	-	228528.0	7871.0	73.0	-	397.0	2.0	1.0	130.0	84.0
возраст не указан	601.0	296.0	5.0	2.0	74.0	10.0	3.0	3.0	32.0	1.0	-	133.0	42.0
Мужчины	875345.0	442793.0	13148.0	4333.0	106767.0	26082.0	6877.0	3306.0	22552.0	947.0	151.0	230564.0	17825.0
из них в возрасте, лет:													
до 15	135471.0	2.0	10.0	26.0	503.0	407.0	5388.0	-	2084.0	2.0	18.0	126870.0	161.0
15 – 19	78726.0	14473.0	238.0	3528.0	658.0	868.0	920.0	132.0	3158.0	8.0	13.0	54092.0	638.0
20 – 29	172919.0	131588.0	1728.0	772.0	113.0	2508.0	128.0	727.0	9331.0	226.0	24.0	22373.0	3401.0
30 – 49	301142.0	237064.0	8328.0	6.0	3450.0	10244.0	308.0	1864.0	6967.0	575.0	80.0	21915.0	10341.0
50 – 54	62126.0	42754.0	2016.0	-	5439.0	4501.0	70.0	418.0	643.0	102.0	9.0	3862.0	2312.0
55 – 59	28042.0	15014.0	764.0	-	7011.0	2718.0	42.0	163.0	198.0	34.0	7.0	1308.0	783.0
60 – 64	30724.0	1371.0	26.0	-	27555.0	1530.0	8.0	-	78.0	-	-	54.0	102.0
65 и более	65913.0	373.0	34.0	-	62016.0	3300.0	12.0	-	71.0	-	-	42.0	65.0
возраст не указан	282.0	154.0	4.0	1.0	22.0	6.0	1.0	2.0	22.0	-	-	48.0	22.0
Женщины	1018783.0	442776.0	10419.0	4472.0	255247.0	21161.0	12492.0	4391.0	5235.0	604.0	155.0	251917.0	9914.0
из них в возрасте, лет:													
до 15	129922.0	2.0	10.0	16.0	493.0	304.0	5365.0	-	1508.0	1.0	18.0	122055.0	150.0
15 – 19	78058.0	12333.0	197.0	3377.0	680.0	510.0	1284.0	203.0	584.0	11.0	10.0	58399.0	470.0
20 – 29	166989.0	118073.0	1903.0	1059.0	279.0	1632.0	3495.0	950.0	1124.0	133.0	25.0	36014.0	2302.0
30 – 49	318748.0	259595.0	6700.0	19.0	3265.0	7110.0	2100.0	2505.0	1340.0	377.0	80.0	30016.0	5641.0
50 – 54	71655.0	47994.0	1462.0	-	10505.0	4245.0	145.0	732.0	190.0	78.0	21.0	5083.0	1200.0
55 – 59	28355.0	3677.0	53.0	-	22976.0	1358.0	16.0	-	57.0	1.0	-	132.0	85.0
60 – 64	52834.0	695.0	35.0	-	50485.0	1427.0	24.0	-	96.0	-	-	45.0	27.0
65 и более	171903.0	265.0	58.0	-	166512.0	4571.0	61.0	-	326.0	2.0	1.0	88.0	19.0
возраст не указан	319.0	142.0	1.0	1.0	52.0	4.0	2.0	1.0	10.0	1.0	-	85.0	20.0
Городское население	1606748.0	775796.0	4297.0	7484.0	304801.0	37441.0	12810.0	5938.0	22982.0	1416.0	267.0	413718.0	19798.0
из него в возрасте, лет:													
до 15	228406.0	4.0	10.0	40.0	702.0	527.0	6234.0	-	2894.0	1.0	31.0	217690.0	273.0
15 – 19	131138.0	21605.0	77.0	5707.0	939.0	888.0	1284.0	224.0	3109.0	15.0	22.0	96525.0	743.0
20 – 29	287676.0	216263.0	536.0	1710.0	306.0	2852.0	2949.0	1263.0	8978.0	330.0	45.0	48353.0	4091.0
30 – 49	525925.0	436936.0	2694.0	25.0	5823.0	13327.0	2017.0	3398.0	6932.0	867.0	137.0	42450.0	11319.0
50 – 54	114651.0	81210.0	748.0	-	13845.0	7057.0	188.0	918.0	682.0	170.0	25.0	7277.0	2531.0
55 – 59	48772.0	16925.0	152.0	-	26158.0	3387.0	50.0	133.0	196.0	30.0	6.0	1107.0	628.0
60 – 64	71405.0	1973.0	28.0	-	66591.0	2523.0	25.0	-	83.0	-	-	76.0	106.0
65 и более	198240.0	615.0	51.0	-	190371.0	6871.0	61.0	-	82.0	2.0	1.0	114.0	72.0
возраст не указан	535.0	265.0	1.0	2.0	66.0	9.0	2.0	2.0	26.0	1.0	-	126.0	35.0
Мужчины	733987.0	383915.0	2288.0	3651.0	89952.0	20051.0	4084.0	2559.0	18824.0	865.0	128.0	195404.0	12266.0
из них в возрасте, лет:													
до 15	116604.0	2.0	6.0	24.0	339.0	305.0	3103.0	-	1666.0	1.0	16.0	110999.0	143.0
15 – 19	64653.0	11381.0	34.0	2904.0	452.0	551.0	492.0	93.0	2616.0	4.0	12.0	45707.0	407.0
20 – 29	144819.0	113164.0	257.0	716.0	93.0	1725.0	107.0	554.0	7992.0	211.0	21.0	17682.0	2297.0
30 – 49	250675.0	206499.0	1428.0	6.0	3001.0	7665.0	268.0	1456.0	5762.0	522.0	68.0	16913.0	7087.0
50 – 54	51988.0	37598.0	400.0	-	4873.0	3503.0	59.0	322.0	535.0	98.0	5.0	2981.0	1614.0
55 – 59	23917.0	13470.0	135.0	-	6193.0	2192.0	36.0	133.0	168.0	29.0	6.0	999.0	556.0
60 – 64	25717.0	1307.0	10.0	-	22928.0	1290.0	7.0	-	51.0	-	-	40.0	84.0
65 и более	55367.0	357.0	18.0	-	52052.0	2814.0	12.0	-	16.0	-	-	38.0	60.0
возраст не указан	247.0	137.0	-	1.0	21.0	6.0	-	1.0	18.0	-	-	45.0	18.0
Женщины	872761.0	391881.0	2009.0	3833.0	214849.0	17390.0	8726.0	3379.0	4158.0	551.0	139.0	218314.0	7532.0
из них в возрасте, лет:													
до 15	111802.0	2.0	4.0	16.0	363.0	222.0	3131.0	-	1228.0	-	15.0	106691.0	130.0
15 – 19	66485.0	10224.0	43.0	2803.0	487.0	337.0	792.0	131.0	493.0	11.0	10.0	50818.0	336.0
20 – 29	142857.0	103099.0	279.0	994.0	213.0	1127.0	2842.0	709.0	986.0	119.0	24.0	30671.0	1794.0
30 – 49	275250.0	230437.0	1266.0	19.0	2822.0	5662.0	1749.0	1942.0	1170.0	345.0	69.0	25537.0	4232.0
50 – 54	62663.0	43612.0	348.0	-	8972.0	3554.0	129.0	596.0	147.0	72.0	20.0	4296.0	917.0
55 – 59	24855.0	3455.0	17.0	-	19965.0	1195.0	14.0	-	28.0	1.0	-	108.0	72.0
60 – 64	45688.0	666.0	18.0	-	43663.0	1233.0	18.0	-	32.0	-	-	36.0	22.0
65 и более	142873.0	258.0	33.0	-	138319.0	4057.0	49.0	-	66.0	2.0	1.0	76.0	12.0
возраст не указан	288.0	128.0	1.0	1.0	45.0	3.0	2.0	1.0	8.0	1.0	-	81.0	17.0
Сельское население	287380.0	109773.0	19270.0	1321.0	57213.0	9802.0	6559.0	1759.0	4805.0	135.0	39.0	68763.0	7941.0
из него в возрасте, лет:													
до 15	36987.0	-	10.0	2.0	294.0	184.0	4519.0	-	698.0	2.0	5.0	31235.0	38.0
15 – 19	25646.0	5201.0	358.0	1198.0	399.0	490.0	920.0	111.0	633.0	4.0	1.0	15966.0	365.0
20 – 29	52232.0	33398.0	3095.0	121.0	86.0	1288.0	674.0	414.0	1477.0	29.0	4.0	10034.0	1612.0
30 – 49	93965.0	59723.0	12334.0	-	892.0	4027.0	391.0	971.0	1375.0	85.0	23.0	9481.0	4663.0
50 – 54	19130.0	9538.0	2730.0	-	2099.0	1689.0	27.0	232.0	151.0	10.0	5.0	1668.0	981.0
55 – 59	7625.0	1766.0	665.0	-	3829.0	689.0	8.0	30.0	59.0	5.0	1.0	333.0	240.0
60 – 64	12153.0	93.0	33.0	-	11449.0	434.0	7.0	-	91.0	-	-	23.0	23.0
65 и более	39576.0	23.0	41.0	-	38157.0	1000.0	12.0	-	315.0	-	-	16.0	12.0
возраст не указан	66.0	31.0	4.0	-	8.0	1.0	1.0	1.0	6.0	-	-	7.0	7.0
Мужчины	141358.0	58878.0	10860.0	682.0	16815.0	6031.0	2793.0	747.0	3728.0	82.0	23.0	35160.0	5559.0
из них в возрасте, лет:													
до 15	18867.0	-	4.0	2.0	164.0	102.0	2285.0	-	418.0	1.0	2.0	15871.0	18.0
15 – 19	14073.0	3092.0	204.0	624.0	206.0	317.0	428.0	39.0	542.0	4.0	1.0	8385.0	231.0
20 – 29	28100.0	18424.0	1471.0	56.0	20.0	783.0	21.0	173.0	1339.0	15.0	3.0	4691.0	1104.0
30 – 49	50467.0	30565.0	6900.0	-	449.0	2579.0	40.0	408.0	1205.0	53.0	12.0	5002.0	3254.0
50 – 54	10138.0	5156.0	1616.0	-	566.0	998.0	11.0	96.0	108.0	4.0	4.0	881.0	698.0
55 – 59	4125.0	1544.0	629.0	-	818.0	526.0	6.0	30.0	30.0	5.0	1.0	309.0	227.0
60 – 64	5007.0	64.0	16.0	-	4627.0	240.0	1.0	-	27.0	-	-	14.0	18.0
65 и более	10546.0	16.0	16.0	-	9964.0	486.0	-	-	55.0	-	-	4.0	5.0
возраст не указан	35.0	17.0	4.0	-	1.0	-	1.0	1.0	4.0	-	-	3.0	4.0
Женщины	146022.0	50895.0	8410.0	639.0	40398.0	3771.0	3766.0	1012.0	1077.0	53.0	16.0	33603.0	2382.0
из них в возрасте, лет:													
до 15	18120.0	-	6.0	-	130.0	82.0	2234.0	-	280.0	1.0	3.0	15364.0	20.0
15 – 19	11573.0	2109.0	154.0	574.0	193.0	173.0	492.0	72.0	91.0	-	-	7581.0	134.0
20 – 29	24132.0	14974.0	1624.0	65.0	66.0	505.0	653.0	241.0	138.0	14.0	1.0	5343.0	508.0
30 – 49	43498.0	29158.0	5434.0	-	443.0	1448.0	351.0	563.0	170.0	32.0	11.0	4479.0	1409.0
50 – 54	8992.0	4382.0	1114.0	-	1533.0	691.0	16.0	136.0	43.0	6.0	1.0	787.0	283.0
55 – 59	3500.0	222.0	36.0	-	3011.0	163.0	2.0	-	29.0	-	-	24.0	13.0
60 – 64	7146.0	29.0	17.0	-	6822.0	194.0	6.0	-	64.0	-	-	9.0	5.0
65 и более	29030.0	7.0	25.0	-	28193.0	514.0	12.0	-	260.0	-	-	12.0	7.0
возраст не указан	31.0	14.0	-	-	7.0	1.0	-	-	2.0	-	-	4.0	3.0
Коми-Пермяцкий автономный округ													
Городское и сельское население	47329.0	17510.0	3702.0	250.0	9888.0	1913.0	469.0	519.0	675.0	22.0	10.0	10828.0	1543.0
из него в возрасте, лет:													
до 15	4824.0	-	-	1.0	21.0	33.0	231.0	-	329.0	-	-	4208.0	1.0
15 – 19	3736.0	617.0	63.0	234.0	62.0	104.0	103.0	30.0	57.0	1.0	-	2391.0	74.0
20 – 29	8336.0	4974.0	605.0	15.0	14.0	279.0	85.0	118.0	59.0	6.0	2.0	1820.0	359.0
30 – 49	17441.0	10341.0	2557.0	-	167.0	863.0	48.0	316.0	89.0	12.0	5.0	2108.0	935.0
50 – 54	3254.0	1363.0	394.0	-	738.0	292.0	1.0	46.0	15.0	3.0	2.0	250.0	150.0
55 – 59	1131.0	202.0	79.0	-	670.0	88.0	-	9.0	13.0	-	1.0	48.0	21.0
60 – 64	1912.0	10.0	2.0	-	1805.0	62.0	-	-	30.0	-	-	1.0	2.0
65 и более	6693.0	1.0	2.0	-	6411.0	192.0	1.0	-	83.0	-	-	2.0	1.0
возраст не указан	2.0	2.0	-	-	-	-	-	-	-	-	-	-	-
Мужчины	23441.0	9003.0	2211.0	158.0	2991.0	1246.0	172.0	217.0	308.0	14.0	7.0	6017.0	1097.0
из них в возрасте, лет:													
до 15	2457.0	-	-	1.0	11.0	15.0	112.0	-	186.0	-	-	2131.0	1.0
15 – 19	2018.0	320.0	39.0	147.0	43.0	63.0	53.0	15.0	34.0	-	-	1255.0	49.0
20 – 29	4537.0	2632.0	292.0	10.0	4.0	175.0	1.0	37.0	41.0	5.0	2.0	1097.0	241.0
30 – 49	9502.0	5127.0	1527.0	-	75.0	605.0	5.0	130.0	45.0	8.0	4.0	1311.0	665.0
50 – 54	1793.0	744.0	276.0	-	245.0	205.0	1.0	26.0	1.0	1.0	-	176.0	118.0
55 – 59	636.0	173.0	76.0	-	233.0	78.0	-	9.0	-	-	1.0	46.0	20.0
60 – 64	780.0	5.0	-	-	744.0	28.0	-	-	-	-	-	1.0	2.0
65 и более	1717.0	1.0	1.0	-	1636.0	77.0	-	-	1.0	-	-	-	1.0
возраст не указан	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-
Женщины	23888.0	8507.0	1491.0	92.0	6897.0	667.0	297.0	302.0	367.0	8.0	3.0	4811.0	446.0
из них в возрасте, лет:													
до 15	2367.0	-	-	-	10.0	18.0	119.0	-	143.0	-	-	2077.0	-
15 – 19	1718.0	297.0	24.0	87.0	19.0	41.0	50.0	15.0	23.0	1.0	-	1136.0	25.0
20 – 29	3799.0	2342.0	313.0	5.0	10.0	104.0	84.0	81.0	18.0	1.0	-	723.0	118.0
30 – 49	7939.0	5214.0	1030.0	-	92.0	258.0	43.0	186.0	44.0	4.0	1.0	797.0	270.0
50 – 54	1461.0	619.0	118.0	-	493.0	87.0	-	20.0	14.0	2.0	2.0	74.0	32.0
55 – 59	495.0	29.0	3.0	-	437.0	10.0	-	-	13.0	-	-	2.0	1.0
60 – 64	1132.0	5.0	2.0	-	1061.0	34.0	-	-	30.0	-	-	-	-
65 и более	4976.0	-	1.0	-	4775.0	115.0	1.0	-	82.0	-	-	2.0	-
возраст не указан	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-
Городское население	17233.0	7856.0	208.0	14.0	3125.0	641.0	50.0	132.0	320.0	11.0	4.0	4436.0	436.0
из него в возрасте, лет:													
до 15	2126.0	-	-	-	5.0	4.0	14.0	-	201.0	-	-	1902.0	-
15 – 19	1465.0	224.0	1.0	10.0	11.0	17.0	10.0	5.0	31.0	1.0	-	1141.0	14.0
20 – 29	2954.0	2148.0	29.0	4.0	6.0	54.0	13.0	21.0	41.0	4.0	1.0	552.0	81.0
30 – 49	6184.0	4572.0	133.0	-	68.0	266.0	13.0	83.0	46.0	3.0	1.0	720.0	279.0
50 – 54	1196.0	777.0	39.0	-	91.0	117.0	-	17.0	1.0	3.0	2.0	96.0	53.0
55 – 59	443.0	125.0	5.0	-	230.0	48.0	-	6.0	-	-	-	23.0	6.0
60 – 64	697.0	8.0	-	-	659.0	27.0	-	-	-	-	-	1.0	2.0
65 и более	2166.0	-	1.0	-	2055.0	108.0	-	-	-	-	-	1.0	1.0
возраст не указан	2.0	2.0	-	-	-	-	-	-	-	-	-	-	-
Мужчины	8041.0	3676.0	124.0	10.0	951.0	391.0	13.0	61.0	214.0	6.0	2.0	2275.0	318.0
из них в возрасте, лет:													
до 15	1092.0	-	-	-	2.0	3.0	6.0	-	109.0	-	-	972.0	-
15 – 19	676.0	105.0	1.0	7.0	7.0	7.0	4.0	3.0	21.0	-	-	509.0	12.0
20 – 29	1512.0	1063.0	16.0	3.0	-	40.0	-	4.0	40.0	4.0	1.0	293.0	48.0
30 – 49	3058.0	2051.0	84.0	-	38.0	170.0	3.0	43.0	43.0	1.0	1.0	418.0	206.0
50 – 54	581.0	347.0	19.0	-	29.0	76.0	-	5.0	1.0	1.0	-	60.0	43.0
55 – 59	238.0	105.0	4.0	-	49.0	46.0	-	6.0	-	-	-	22.0	6.0
60 – 64	289.0	4.0	-	-	269.0	13.0	-	-	-	-	-	1.0	2.0
65 и более	594.0	-	-	-	557.0	36.0	-	-	-	-	-	-	1.0
возраст не указан	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-
Женщины	9192.0	4180.0	84.0	4.0	2174.0	250.0	37.0	71.0	106.0	5.0	2.0	2161.0	118.0
из них в возрасте, лет:													
до 15	1034.0	-	-	-	3.0	1.0	8.0	-	92.0	-	-	930.0	-
