13. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА		
В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ		
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС		
		
	Численность населения	
неквалифицированные рабочие	89.0	22.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	11.0	2.8
Чукотский автономный округ		
Население, занятое в экономике 	391.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31.0	7.9
специалисты высшего уровня квалификации	47.0	12.0
специалисты среднего уровня квалификации	42.0	10.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12.0	3.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	48.0	12.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	27.0	6.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	41.0	10.5
операторы, аппаратчики, машинисты установок и машин	43.0	11.0
неквалифицированные рабочие	89.0	22.8
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	11.0	2.8
Магаданская область		
Население, занятое в экономике 	1.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	-	-
специалисты высшего уровня квалификации	-	-
специалисты среднего уровня квалификации	1.0	100.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	-	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	-	-
операторы, аппаратчики, машинисты установок и машин	-	-
неквалифицированные рабочие	-	-
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
ЧУКЧИ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	5017.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	235.0	4.7
специалисты высшего уровня квалификации	416.0	8.3
специалисты среднего уровня квалификации	698.0	13.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	96.0	1.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	572.0	11.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	739.0	14.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	548.0	10.9
операторы, аппаратчики, машинисты установок и машин	376.0	7.5
неквалифицированные рабочие	1210.0	24.1
занятые на военной службе	4.0	0.1
лица, неточно указавшие или не указавшие  занятия	123.0	2.5
Чукотский автономный округ		
Население, занятое в экономике 	4683.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	205.0	4.4
специалисты высшего уровня квалификации	381.0	8.1
специалисты среднего уровня квалификации	644.0	13.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	93.0	2.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	531.0	11.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	702.0	15.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	519.0	11.1
операторы, аппаратчики, машинисты установок и машин	361.0	7.7
неквалифицированные рабочие	1120.0	23.9
занятые на военной службе	4.0	0.1
лица, неточно указавшие или не указавшие  занятия	123.0	2.6
Корякский автономный округ		
Население, занятое в экономике 	334.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	30.0	9.0
специалисты высшего уровня квалификации	35.0	10.5
специалисты среднего уровня квалификации	54.0	16.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	3.0	0.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	41.0	12.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	37.0	11.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	29.0	8.7
операторы, аппаратчики, машинисты установок и машин	15.0	4.5
неквалифицированные рабочие	90.0	26.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
ШОРЦЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	554.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	32.0	5.8
специалисты высшего уровня квалификации	44.0	7.9
специалисты среднего уровня квалификации	42.0	7.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11.0	2.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	44.0	7.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	44.0	7.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	85.0	15.4
операторы, аппаратчики, машинисты установок и машин	41.0	7.4
неквалифицированные рабочие	188.0	33.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	23.0	4.2
Кемеровская область		
Население, занятое в экономике 	507.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31.0	6.1
специалисты высшего уровня квалификации	44.0	8.7
специалисты среднего уровня квалификации	42.0	8.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11.0	2.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	41.0	8.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	42.0	8.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	76.0	15.0
операторы, аппаратчики, машинисты установок и машин	36.0	7.1
неквалифицированные рабочие	182.0	35.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	0.4
Республика Хакасия		
Население, занятое в экономике 	30.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1.0	3.3
специалисты высшего уровня квалификации	-	-
специалисты среднего уровня квалификации	-	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1.0	3.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5.0	16.7
операторы, аппаратчики, машинисты установок и машин	-	-
неквалифицированные рабочие	2.0	6.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	21.0	70.0
Республика Алтай		
Население, занятое в экономике 	17.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	-	-
специалисты высшего уровня квалификации	-	-
специалисты среднего уровня квалификации	-	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2.0	11.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2.0	11.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	4.0	23.5
операторы, аппаратчики, машинисты установок и машин	5.0	29.4
неквалифицированные рабочие	4.0	23.5
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
ЭВЕНКИ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	7694.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	612.0	8.0
специалисты высшего уровня квалификации	815.0	10.6
специалисты среднего уровня квалификации	1181.0	15.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	248.0	3.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	860.0	11.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1444.0	18.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	545.0	7.1
операторы, аппаратчики, машинисты установок и машин	554.0	7.2
неквалифицированные рабочие	1231.0	16.0
занятые на военной службе	3.0	0.0
лица, неточно указавшие или не указавшие  занятия	201.0	2.6
Республика Саха (Якутия)		
Население, занятое в экономике 	3968.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	340.0	8.6
специалисты высшего уровня квалификации	412.0	10.4
специалисты среднего уровня квалификации	630.0	15.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	141.0	3.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	455.0	11.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	760.0	19.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	279.0	7.0
операторы, аппаратчики, машинисты установок и машин	344.0	8.7
неквалифицированные рабочие	583.0	14.7
занятые на военной службе	2.0	0.0
лица, неточно указавшие или не указавшие  занятия	22.0	0.6
Красноярский край		
Население, занятое в экономике 	1237.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	116.0	9.4
специалисты высшего уровня квалификации	141.0	11.4
специалисты среднего уровня квалификации	237.0	19.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	39.0	3.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	164.0	13.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	104.0	8.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	69.0	5.6
операторы, аппаратчики, машинисты установок и машин	70.0	5.7
неквалифицированные рабочие	240.0	19.4
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	57.0	4.6
Эвенкийский автономный округ		
Население, занятое в экономике 	1091.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	112.0	10.3
специалисты высшего уровня квалификации	130.0	11.9
специалисты среднего уровня квалификации	221.0	20.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	35.0	3.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	148.0	13.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	63.0	5.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	58.0	5.3
операторы, аппаратчики, машинисты установок и машин	60.0	5.5
неквалифицированные рабочие	215.0	19.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	49.0	4.5
Хабаровский край		
Население, занятое в экономике 	1106.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	67.0	6.1
специалисты высшего уровня квалификации	105.0	9.5
специалисты среднего уровня квалификации	162.0	14.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	38.0	3.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	119.0	10.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	156.0	14.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	114.0	10.3
операторы, аппаратчики, машинисты установок и машин	72.0	6.5
неквалифицированные рабочие	178.0	16.1
занятые на военной службе	1.0	0.1
лица, неточно указавшие или не указавшие  занятия	94.0	8.5
Республика Бурятия		
Население, занятое в экономике 	341.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	40.0	11.7
специалисты высшего уровня квалификации	51.0	15.0
специалисты среднего уровня квалификации	54.0	15.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8.0	2.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	30.0	8.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	30.0	8.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	29.0	8.5
операторы, аппаратчики, машинисты установок и машин	38.0	11.1
неквалифицированные рабочие	58.0	17.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	3.0	0.9
Амурская область		
Население, занятое в экономике 	417.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	19.0	4.6
специалисты высшего уровня квалификации	28.0	6.7
специалисты среднего уровня квалификации	38.0	9.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10.0	2.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	33.0	7.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	163.0	39.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	20.0	4.8
операторы, аппаратчики, машинисты установок и машин	18.0	4.3
неквалифицированные рабочие	88.0	21.1
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Читинская область		
Население, занятое в экономике 	277.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	15.0	5.4
специалисты высшего уровня квалификации	40.0	14.4
специалисты среднего уровня квалификации	24.0	8.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4.0	1.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	27.0	9.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	91.0	32.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	18.0	6.5
операторы, аппаратчики, машинисты установок и машин	3.0	1.1
неквалифицированные рабочие	44.0	15.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	11.0	4.0
Иркутская область		
Население, занятое в экономике 	255.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	9.0	3.5
специалисты высшего уровня квалификации	19.0	7.4
специалисты среднего уровня квалификации	19.0	7.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6.0	2.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	20.0	7.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	133.0	52.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	4.0	1.6
операторы, аппаратчики, машинисты установок и машин	4.0	1.6
неквалифицированные рабочие	27.0	10.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	14.0	5.5
Сахалинская область		
Население, занятое в экономике 	54.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3.0	5.5
специалисты высшего уровня квалификации	13.0	24.1
специалисты среднего уровня квалификации	12.0	22.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	9.0	16.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	7.0	13.0
операторы, аппаратчики, машинисты установок и машин	3.0	5.5
неквалифицированные рабочие	7.0	13.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Томская область		
Население, занятое в экономике 	15.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1.0	6.7
специалисты высшего уровня квалификации	4.0	26.7
специалисты среднего уровня квалификации	-	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	-	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1.0	6.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	3.0	20.0
операторы, аппаратчики, машинисты установок и машин	1.0	6.7
неквалифицированные рабочие	5.0	33.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Тюменская область		
Население, занятое в экономике 	24.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2.0	8.3
специалисты высшего уровня квалификации	2.0	8.3
специалисты среднего уровня квалификации	5.0	20.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2.0	8.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	3.0	12.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6.0	25.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2.0	8.3
операторы, аппаратчики, машинисты установок и машин	1.0	4.2
неквалифицированные рабочие	1.0	4.2
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
ЭВЕНЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	4268.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	319.0	7.5
специалисты высшего уровня квалификации	479.0	11.2
специалисты среднего уровня квалификации	650.0	15.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	111.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	474.0	11.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	786.0	18.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	340.0	8.0
операторы, аппаратчики, машинисты установок и машин	270.0	6.3
неквалифицированные рабочие	804.0	18.8
занятые на военной службе	2.0	0.1
лица, неточно указавшие или не указавшие  занятия	33.0	0.8
Республика Саха (Якутия)		
Население, занятое в экономике 	2544.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	191.0	7.5
специалисты высшего уровня квалификации	270.0	10.6
специалисты среднего уровня квалификации	378.0	14.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	71.0	2.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	260.0	10.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	578.0	22.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	177.0	7.0
операторы, аппаратчики, машинисты установок и машин	149.0	5.8
неквалифицированные рабочие	463.0	18.2
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	7.0	0.3
Магаданская область		
Население, занятое в экономике 	569.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	45.0	7.9
специалисты высшего уровня квалификации	66.0	11.6
специалисты среднего уровня квалификации	87.0	15.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12.0	2.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	64.0	11.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	82.0	14.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	61.0	10.7
операторы, аппаратчики, машинисты установок и машин	48.0	8.4
неквалифицированные рабочие	100.0	17.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	4.0	0.7
Камчатская область		
Население, занятое в экономике 	457.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	46.0	10.1
специалисты высшего уровня квалификации	62.0	13.6
специалисты среднего уровня квалификации	75.0	16.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13.0	2.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	61.0	13.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	33.0	7.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	41.0	9.0
операторы, аппаратчики, машинисты установок и машин	30.0	6.6
неквалифицированные рабочие	90.0	19.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	6.0	1.3
Корякский автономный округ		
Население, занятое в экономике 	232.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	34.0	14.7
специалисты высшего уровня квалификации	26.0	11.2
специалисты среднего уровня квалификации	31.0	13.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10.0	4.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	37.0	15.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11.0	4.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	23.0	9.9
операторы, аппаратчики, машинисты установок и машин	19.0	8.2
неквалифицированные рабочие	39.0	16.8
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	0.9
Чукотский автономный округ		
Население, занятое в экономике 	459.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	25.0	5.5
специалисты высшего уровня квалификации	58.0	12.6
специалисты среднего уровня квалификации	79.0	17.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	9.0	2.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	69.0	15.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	53.0	11.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	30.0	6.5
операторы, аппаратчики, машинисты установок и машин	33.0	7.2
неквалифицированные рабочие	91.0	19.8
занятые на военной службе	1.0	0.2
лица, неточно указавшие или не указавшие  занятия	11.0	2.4
Хабаровский край		
Население, занятое в экономике 	239.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	12.0	5.0
специалисты высшего уровня квалификации	23.0	9.6
специалисты среднего уровня квалификации	31.0	13.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6.0	2.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	20.0	8.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	40.0	16.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	31.0	13.0
операторы, аппаратчики, машинисты установок и машин	10.0	4.2
неквалифицированные рабочие	60.0	25.1
занятые на военной службе	1.0	0.4
лица, неточно указавшие или не указавшие  занятия	5.0	2.1
ЭНЦЫ		
Таймырский (Долгано-Ненецкий) автономный округ		
Население, занятое в экономике 	63.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5.0	7.9
специалисты высшего уровня квалификации	7.0	11.1
специалисты среднего уровня квалификации	9.0	14.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	4.0	6.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	15.0	23.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	9.0	14.3
операторы, аппаратчики, машинисты установок и машин	1.0	1.6
неквалифицированные рабочие	12.0	19.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	1.6
ЭСКИМОСЫ		
Чукотский автономный округ		
Население, занятое в экономике 	562.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	23.0	4.1
специалисты высшего уровня квалификации	62.0	11.0
специалисты среднего уровня квалификации	80.0	14.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17.0	3.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	61.0	10.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	42.0	7.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	77.0	13.7
операторы, аппаратчики, машинисты установок и машин	52.0	9.3
неквалифицированные рабочие	122.0	21.7
занятые на военной службе	4.0	0.7
лица, неточно указавшие или не указавшие  занятия	22.0	3.9
ЮКАГИРЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	291.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31.0	10.7
специалисты высшего уровня квалификации	34.0	11.7
специалисты среднего уровня квалификации	55.0	18.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	2.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	28.0	9.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	55.0	18.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	18.0	6.2
операторы, аппаратчики, машинисты установок и машин	17.0	5.8
неквалифицированные рабочие	44.0	15.1
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	0.7
Республика Саха (Якутия)		
Население, занятое в экономике 	273.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	28.0	10.3
специалисты высшего уровня квалификации	31.0	11.4
специалисты среднего уровня квалификации	52.0	19.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6.0	2.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	25.0	9.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	55.0	20.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	17.0	6.2
операторы, аппаратчики, машинисты установок и машин	15.0	5.5
неквалифицированные рабочие	42.0	15.4
занятые на военной службе	-	-
