																			
2. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																			
																			
																			
	Все население	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
Женщины	1412444.0	1687973.0	626674.0	46974.0	28117.0	379678.0	38480.0	145292.0	7543.0	11022.0	3144.0	1131.0	384393.0	15525.0	9581.0	1129388.0	262106.0	11112.0	257.0
из них в возрасте:																			
моложе трудоспособного	205436.0	315456.0	139.0	243.0	1434.0	2805.0	1466.0	109828.0	-	2881.0	26.0	110.0	195752.0	772.0	829.0	96482.0	105429.0	2668.0	28.0
трудоспособном	833773.0	932991.0	580164.0	27207.0	26680.0	28327.0	19966.0	33598.0	7540.0	6182.0	2212.0	675.0	186385.0	14055.0	6370.0	727082.0	95203.0	4975.0	143.0
старше трудоспособного	371953.0	439034.0	46193.0	19517.0	-	348484.0	17043.0	1850.0	-	1863.0	906.0	346.0	2170.0	662.0	1554.0	305407.0	61438.0	3468.0	86.0
Сельское население	628057.0	908405.0	236018.0	152381.0	8674.0	156807.0	23747.0	121952.0	8649.0	9055.0	1115.0	1111.0	178536.0	10360.0	80.0	360960.0	253867.0	12893.0	257.0
из него в возрасте:																			
моложе трудоспособного	123302.0	228204.0	110.0	935.0	1058.0	3668.0	1609.0	103710.0	-	2133.0	9.0	144.0	114487.0	341.0	-	22921.0	95942.0	4359.0	80.0
трудоспособном	354468.0	477734.0	229644.0	109773.0	7616.0	9988.0	16805.0	15106.0	8648.0	5614.0	663.0	598.0	63435.0	9844.0	26.0	236615.0	112489.0	5213.0	125.0
старше трудоспособного	150132.0	202339.0	6229.0	41650.0	-	143120.0	5332.0	3131.0	-	1307.0	443.0	369.0	591.0	167.0	-	101349.0	45411.0	3320.0	52.0
Мужчины	297225.0	431849.0	128414.0	72838.0	4659.0	52052.0	13908.0	57579.0	2995.0	5836.0	557.0	507.0	85894.0	6610.0	35.0	168387.0	123046.0	5659.0	98.0
из них в возрасте:																			
моложе трудоспособного	63125.0	116771.0	71.0	498.0	656.0	1931.0	926.0	52828.0	-	1132.0	5.0	69.0	58492.0	163.0	-	11845.0	48954.0	2286.0	40.0
трудоспособном	185079.0	246781.0	125961.0	56667.0	4003.0	4362.0	10198.0	4041.0	2995.0	4215.0	377.0	304.0	27280.0	6378.0	13.0	125500.0	57458.0	2068.0	40.0
старше трудоспособного	48960.0	68249.0	2362.0	15666.0	-	45753.0	2783.0	709.0	-	489.0	175.0	134.0	114.0	64.0	-	31012.0	16625.0	1305.0	18.0
Женщины	330832.0	476556.0	107604.0	79543.0	4015.0	104755.0	9839.0	64373.0	5654.0	3219.0	558.0	604.0	92642.0	3750.0	45.0	192573.0	130821.0	7234.0	159.0
из них в возрасте:																			
моложе трудоспособного	60177.0	111433.0	39.0	437.0	402.0	1737.0	683.0	50882.0	-	1001.0	4.0	75.0	55995.0	178.0	-	11076.0	46988.0	2073.0	40.0
трудоспособном	169389.0	230953.0	103683.0	53106.0	3613.0	5626.0	6607.0	11065.0	5653.0	1399.0	286.0	294.0	36155.0	3466.0	13.0	111115.0	55031.0	3145.0	85.0
старше трудоспособного	101172.0	134090.0	3867.0	25984.0	-	97367.0	2549.0	2422.0	-	818.0	268.0	235.0	477.0	103.0	-	70337.0	28786.0	2015.0	34.0
Саратовская область																			
Городское и сельское население	2668310.0	3335980.0	1078889.0	285060.0	63366.0	627590.0	65512.0	318866.0	19370.0	39037.0	5711.0	3653.0	792351.0	36575.0	15457.0	1992428.0	638072.0	22010.0	343.0
из него в возрасте:																			
моложе трудоспособного	463373.0	737012.0	282.0	1715.0	4740.0	7980.0	3942.0	270233.0	-	6659.0	27.0	796.0	439872.0	766.0	1868.0	193782.0	260043.0	7577.0	103.0
трудоспособном	1608704.0	1889109.0	1030928.0	212195.0	58622.0	55347.0	43242.0	48184.0	19370.0	28998.0	4466.0	1941.0	351023.0	34793.0	10237.0	1318183.0	270113.0	9989.0	182.0
старше трудоспособного	595424.0	709653.0	47591.0	71125.0	-	564233.0	18324.0	441.0	-	3371.0	1218.0	916.0	1423.0	1011.0	2707.0	480340.0	107876.0	4443.0	58.0
Мужчины	1229074.0	1548653.0	558392.0	136362.0	29569.0	210911.0	37133.0	148106.0	6200.0	30410.0	2987.0	1609.0	364836.0	22138.0	7054.0	905450.0	306668.0	9745.0	157.0
из них в возрасте:																			
моложе трудоспособного	236297.0	375869.0	204.0	907.0	2766.0	3999.0	2342.0	137241.0	-	3699.0	14.0	414.0	223899.0	384.0	914.0	98968.0	132399.0	3962.0	54.0
трудоспособном	804603.0	939186.0	539233.0	108146.0	26802.0	31612.0	25773.0	10761.0	6200.0	25270.0	2506.0	964.0	140641.0	21278.0	4965.0	664009.0	131786.0	3770.0	73.0
старше трудоспособного	187813.0	233507.0	18912.0	27298.0	-	175294.0	9016.0	101.0	-	1433.0	467.0	231.0	282.0	473.0	886.0	142420.0	42464.0	2013.0	30.0
Женщины	1439236.0	1787327.0	520497.0	148698.0	33797.0	416679.0	28379.0	170760.0	13170.0	8627.0	2724.0	2044.0	427515.0	14437.0	8403.0	1086978.0	331404.0	12265.0	186.0
из них в возрасте:																			
моложе трудоспособного	227076.0	361143.0	78.0	808.0	1974.0	3981.0	1600.0	132992.0	-	2960.0	13.0	382.0	215973.0	382.0	954.0	94814.0	127644.0	3615.0	49.0
трудоспособном	804101.0	949923.0	491695.0	104049.0	31820.0	23735.0	17469.0	37423.0	13170.0	3728.0	1960.0	977.0	210382.0	13515.0	5272.0	654174.0	138327.0	6219.0	109.0
старше трудоспособного	407611.0	476146.0	28679.0	43827.0	-	388939.0	9308.0	340.0	-	1938.0	751.0	685.0	1141.0	538.0	1821.0	337920.0	65412.0	2430.0	28.0
Городское население	1963858.0	2306808.0	849918.0	70430.0	55004.0	454970.0	46605.0	178364.0	15605.0	33987.0	4438.0	1924.0	570080.0	25483.0	15161.0	1601985.0	335501.0	11027.0	184.0
из него в возрасте:																			
моложе трудоспособного	316804.0	465837.0	172.0	522.0	4015.0	4533.0	2401.0	148265.0	-	5170.0	24.0	387.0	299710.0	638.0	1808.0	167695.0	143802.0	3459.0	40.0
трудоспособном	1215661.0	1350698.0	806483.0	48720.0	50987.0	45882.0	29224.0	29729.0	15605.0	26000.0	3752.0	1072.0	269256.0	23988.0	10070.0	1065773.0	134637.0	5076.0	105.0
старше трудоспособного	430680.0	490154.0	43203.0	21186.0	-	404537.0	14978.0	366.0	-	2809.0	662.0	465.0	1095.0	853.0	2673.0	368430.0	57046.0	2492.0	39.0
Мужчины	895215.0	1057459.0	430252.0	32670.0	25395.0	152685.0	25801.0	80896.0	5221.0	27143.0	2361.0	798.0	259307.0	14930.0	6899.0	724522.0	158534.0	5173.0	87.0
из них в возрасте:																			
моложе трудоспособного	161093.0	236775.0	115.0	278.0	2333.0	2270.0	1430.0	74869.0	-	2901.0	12.0	207.0	152037.0	323.0	881.0	85518.0	72844.0	1832.0	18.0
трудоспособном	600840.0	663351.0	412853.0	24593.0	23061.0	27631.0	17161.0	5936.0	5221.0	23021.0	2102.0	514.0	107045.0	14213.0	4873.0	530835.0	62929.0	2155.0	48.0
старше трудоспособного	132965.0	157281.0	17256.0	7799.0	-	122780.0	7209.0	90.0	-	1214.0	247.0	77.0	217.0	392.0	874.0	108129.0	22755.0	1186.0	21.0
Женщины	1068643.0	1249349.0	419666.0	37760.0	29609.0	302285.0	20804.0	97468.0	10384.0	6844.0	2077.0	1126.0	310773.0	10553.0	8262.0	877463.0	176967.0	5854.0	97.0
из них в возрасте:																			
моложе трудоспособного	155711.0	229062.0	57.0	244.0	1682.0	2263.0	971.0	73396.0	-	2269.0	12.0	180.0	147673.0	315.0	927.0	82177.0	70958.0	1627.0	22.0
трудоспособном	614821.0	687347.0	393630.0	24127.0	27926.0	18251.0	12063.0	23793.0	10384.0	2979.0	1650.0	558.0	162211.0	9775.0	5197.0	534938.0	71708.0	2921.0	57.0
старше трудоспособного	297715.0	332873.0	25947.0	13387.0	-	281757.0	7769.0	276.0	-	1595.0	415.0	388.0	878.0	461.0	1799.0	260301.0	34291.0	1306.0	18.0
Сельское население	704452.0	1029172.0	228971.0	214630.0	8362.0	172620.0	18907.0	140502.0	3765.0	5050.0	1273.0	1729.0	222271.0	11092.0	296.0	390443.0	302571.0	10983.0	159.0
из него в возрасте:																			
моложе трудоспособного	146569.0	271175.0	110.0	1193.0	725.0	3447.0	1541.0	121968.0	-	1489.0	3.0	409.0	140162.0	128.0	60.0	26087.0	116241.0	4118.0	63.0
трудоспособном	393043.0	538411.0	224445.0	163475.0	7635.0	9465.0	14018.0	18455.0	3765.0	2998.0	714.0	869.0	81767.0	10805.0	167.0	252410.0	135476.0	4913.0	77.0
старше трудоспособного	164744.0	219499.0	4388.0	49939.0	-	159696.0	3346.0	75.0	-	562.0	556.0	451.0	328.0	158.0	34.0	111910.0	50830.0	1951.0	19.0
Мужчины	333859.0	491194.0	128140.0	103692.0	4174.0	58226.0	11332.0	67210.0	979.0	3267.0	626.0	811.0	105529.0	7208.0	155.0	180928.0	148134.0	4572.0	70.0
из них в возрасте:																			
моложе трудоспособного	75204.0	139094.0	89.0	629.0	433.0	1729.0	912.0	62372.0	-	798.0	2.0	207.0	71862.0	61.0	33.0	13450.0	59555.0	2130.0	36.0
трудоспособном	203763.0	275835.0	126380.0	83553.0	3741.0	3981.0	8612.0	4825.0	979.0	2249.0	404.0	450.0	33596.0	7065.0	92.0	133174.0	68857.0	1615.0	25.0
старше трудоспособного	54848.0	76226.0	1656.0	19499.0	-	52514.0	1807.0	11.0	-	219.0	220.0	154.0	65.0	81.0	12.0	34291.0	19709.0	827.0	9.0
Женщины	370593.0	537978.0	100831.0	110938.0	4188.0	114394.0	7575.0	73292.0	2786.0	1783.0	647.0	918.0	116742.0	3884.0	141.0	209515.0	154437.0	6411.0	89.0
из них в возрасте:																			
моложе трудоспособного	71365.0	132081.0	21.0	564.0	292.0	1718.0	629.0	59596.0	-	691.0	1.0	202.0	68300.0	67.0	27.0	12637.0	56686.0	1988.0	27.0
трудоспособном	189280.0	262576.0	98065.0	79922.0	3894.0	5484.0	5406.0	13630.0	2786.0	749.0	310.0	419.0	48171.0	3740.0	75.0	119236.0	66619.0	3298.0	52.0
старше трудоспособного	109896.0	143273.0	2732.0	30440.0	-	107182.0	1539.0	64.0	-	343.0	336.0	297.0	263.0	77.0	22.0	77619.0	31121.0	1124.0	10.0
Ульяновская область																			
Городское и сельское население	1382811.0	1805552.0	590887.0	209018.0	26371.0	315254.0	51747.0	155625.0	11547.0	19097.0	3255.0	1232.0	411756.0	9763.0	291.0	976345.0	389586.0	16326.0	263.0
из него в возрасте:																			
моложе трудоспособного	247483.0	387059.0	159.0	2415.0	1903.0	5270.0	3157.0	131847.0	-	2983.0	46.0	129.0	238822.0	328.0	114.0	113164.0	128806.0	5313.0	86.0
трудоспособном	840281.0	1037980.0	567669.0	144984.0	24468.0	30418.0	36605.0	23582.0	11547.0	14414.0	2162.0	789.0	172068.0	9274.0	136.0	650169.0	182255.0	7587.0	134.0
старше трудоспособного	295026.0	380504.0	23054.0	61618.0	-	279566.0	11985.0	196.0	-	1699.0	1047.0	314.0	864.0	161.0	28.0	213005.0	78524.0	3426.0	43.0
Мужчины	637892.0	837696.0	300324.0	97967.0	11766.0	104801.0	28942.0	72119.0	3482.0	15478.0	1639.0	525.0	194424.0	6229.0	124.0	445441.0	184860.0	7334.0	133.0
из них в возрасте:																			
моложе трудоспособного	126384.0	197606.0	125.0	1234.0	1091.0	2655.0	1864.0	66862.0	-	1864.0	23.0	62.0	121640.0	186.0	57.0	57887.0	65651.0	2739.0	50.0
трудоспособном	418970.0	515523.0	291147.0	74429.0	10675.0	16004.0	21451.0	5198.0	3482.0	12852.0	1259.0	388.0	72656.0	5982.0	56.0	325540.0	90206.0	3102.0	66.0
старше трудоспособного	92528.0	124563.0	9049.0	22304.0	-	86142.0	5627.0	59.0	-	762.0	357.0	75.0	127.0	61.0	5.0	62010.0	29003.0	1493.0	17.0
Женщины	744919.0	967856.0	290563.0	111051.0	14605.0	210453.0	22805.0	83506.0	8065.0	3619.0	1616.0	707.0	217332.0	3534.0	167.0	530904.0	204726.0	8992.0	130.0
из них в возрасте:																			
моложе трудоспособного	121099.0	189453.0	34.0	1181.0	812.0	2615.0	1293.0	64985.0	-	1119.0	23.0	67.0	117182.0	142.0	57.0	55277.0	63155.0	2574.0	36.0
трудоспособном	421311.0	522457.0	276522.0	70555.0	13793.0	14414.0	15154.0	18384.0	8065.0	1562.0	903.0	401.0	99412.0	3292.0	80.0	324629.0	92049.0	4485.0	68.0
старше трудоспособного	202498.0	255941.0	14005.0	39314.0	-	193424.0	6358.0	137.0	-	937.0	690.0	239.0	737.0	100.0	23.0	150995.0	49521.0	1933.0	26.0
Городское население	1011585.0	1236549.0	468413.0	71753.0	23323.0	209023.0	35131.0	89533.0	7974.0	16053.0	2202.0	713.0	305924.0	6507.0	233.0	794770.0	208104.0	8346.0	132.0
из него в возрасте:																			
моложе трудоспособного	175569.0	253732.0	91.0	557.0	1537.0	3343.0	1962.0	73785.0	-	2061.0	40.0	76.0	170009.0	271.0	99.0	99485.0	73732.0	2229.0	24.0
трудоспособном	643021.0	748699.0	447735.0	50333.0	21786.0	24394.0	24335.0	15608.0	7974.0	13008.0	1646.0	484.0	135283.0	6113.0	102.0	541438.0	97261.0	4145.0	75.0
старше трудоспособного	192980.0	234111.0	20583.0	20862.0	-	181286.0	8834.0	140.0	-	984.0	516.0	153.0	630.0	123.0	23.0	153842.0	37110.0	1972.0	33.0
Мужчины	465225.0	571160.0	233374.0	33265.0	10140.0	70420.0	18818.0	40588.0	2565.0	13818.0	1151.0	304.0	142697.0	4020.0	103.0	363030.0	98211.0	3817.0	64.0
из них в возрасте:																			
моложе трудоспособного	89802.0	129924.0	67.0	283.0	874.0	1704.0	1157.0	37613.0	-	1329.0	18.0	41.0	86684.0	154.0	49.0	50783.0	37783.0	1173.0	14.0
трудоспособном	315669.0	365562.0	225160.0	25411.0	9266.0	13529.0	13705.0	2930.0	2565.0	12059.0	957.0	234.0	55927.0	3819.0	44.0	267477.0	46398.0	1712.0	38.0
старше трудоспособного	59746.0	75671.0	8145.0	7571.0	-	55187.0	3956.0	45.0	-	430.0	176.0	29.0	85.0	47.0	5.0	44767.0	14030.0	932.0	12.0
Женщины	546360.0	665389.0	235039.0	38488.0	13183.0	138603.0	16313.0	48945.0	5409.0	2235.0	1051.0	409.0	163227.0	2487.0	130.0	431740.0	109893.0	4529.0	68.0
из них в возрасте:																			
моложе трудоспособного	85767.0	123808.0	24.0	274.0	663.0	1639.0	805.0	36172.0	-	732.0	22.0	35.0	83325.0	117.0	50.0	48702.0	35949.0	1056.0	10.0
трудоспособном	327352.0	383137.0	222575.0	24922.0	12520.0	10865.0	10630.0	12678.0	5409.0	949.0	689.0	250.0	79356.0	2294.0	58.0	273961.0	50863.0	2433.0	37.0
старше трудоспособного	133234.0	158440.0	12438.0	13291.0	-	126099.0	4878.0	95.0	-	554.0	340.0	124.0	545.0	76.0	18.0	109075.0	23080.0	1040.0	21.0
Сельское население	371226.0	569003.0	122474.0	137265.0	3048.0	106231.0	16616.0	66092.0	3573.0	3044.0	1053.0	519.0	105832.0	3256.0	58.0	181575.0	181482.0	7980.0	131.0
из него в возрасте:																			
моложе трудоспособного	71914.0	133327.0	68.0	1858.0	366.0	1927.0	1195.0	58062.0	-	922.0	6.0	53.0	68813.0	57.0	15.0	13679.0	55074.0	3084.0	62.0
трудоспособном	197260.0	289281.0	119934.0	94651.0	2682.0	6024.0	12270.0	7974.0	3573.0	1406.0	516.0	305.0	36785.0	3161.0	34.0	108731.0	84994.0	3442.0	59.0
старше трудоспособного	102046.0	146393.0	2471.0	40756.0	-	98280.0	3151.0	56.0	-	715.0	531.0	161.0	234.0	38.0	5.0	59163.0	41414.0	1454.0	10.0
Мужчины	172667.0	266536.0	66950.0	64702.0	1626.0	34381.0	10124.0	31531.0	917.0	1660.0	488.0	221.0	51727.0	2209.0	21.0	82411.0	86649.0	3517.0	69.0
из них в возрасте:																			
моложе трудоспособного	36582.0	67682.0	58.0	951.0	217.0	951.0	707.0	29249.0	-	535.0	5.0	21.0	34956.0	32.0	8.0	7104.0	27868.0	1566.0	36.0
трудоспособном	103301.0	149961.0	65987.0	49018.0	1409.0	2475.0	7746.0	2268.0	917.0	793.0	302.0	154.0	16729.0	2163.0	12.0	58063.0	43808.0	1390.0	28.0
старше трудоспособного	32782.0	48892.0	904.0	14733.0	-	30955.0	1671.0	14.0	-	332.0	181.0	46.0	42.0	14.0	-	17243.0	14973.0	561.0	5.0
Женщины	198559.0	302467.0	55524.0	72563.0	1422.0	71850.0	6492.0	34561.0	2656.0	1384.0	565.0	298.0	54105.0	1047.0	37.0	99164.0	94833.0	4463.0	62.0
из них в возрасте:																			
моложе трудоспособного	35332.0	65645.0	10.0	907.0	149.0	976.0	488.0	28813.0	-	387.0	1.0	32.0	33857.0	25.0	7.0	6575.0	27206.0	1518.0	26.0
трудоспособном	93959.0	139320.0	53947.0	45633.0	1273.0	3549.0	4524.0	5706.0	2656.0	613.0	214.0	151.0	20056.0	998.0	22.0	50668.0	41186.0	2052.0	31.0
старше трудоспособного	69264.0	97501.0	1567.0	26023.0	-	67325.0	1480.0	42.0	-	383.0	350.0	115.0	192.0	24.0	5.0	41920.0	26441.0	893.0	5.0
Уральский федеральный округ																			
Городское и сельское население	12373926.0	15502707.0	5707415.0	1362985.0	238783.0	2503840.0	332021.0	1103482.0	85322.0	198773.0	28503.0	13688.0	3793835.0	134060.0	68493.0	9281593.0	2854600.0	165196.0	4044.0
из него в возрасте:																			
моложе трудоспособного	2339488.0	3291806.0	1984.0	15984.0	16795.0	52966.0	25398.0	892330.0	-	38549.0	251.0	1495.0	2239198.0	6856.0	7081.0	1415777.0	874782.0	40938.0	910.0
трудоспособном	7788088.0	9302221.0	5435506.0	949806.0	221926.0	336862.0	228574.0	201144.0	85303.0	146093.0	23210.0	9399.0	1540873.0	123525.0	43596.0	6271377.0	1390914.0	79897.0	2304.0
старше трудоспособного	2232146.0	2905707.0	268563.0	397062.0	-	2113680.0	77988.0	9929.0	-	14005.0	5035.0	2781.0	13095.0	3569.0	6244.0	1592122.0	588610.0	44343.0	827.0
Мужчины	5797903.0	7242780.0	2934074.0	633324.0	112435.0	834778.0	184996.0	493546.0	30741.0	146912.0	15847.0	6144.0	1768621.0	81362.0	34429.0	4360389.0	1328650.0	72719.0	1716.0
из них в возрасте:																			
моложе трудоспособного	1196506.0	1682901.0	1282.0	8300.0	10021.0	26743.0	14740.0	453147.0	-	21162.0	136.0	755.0	1143111.0	3504.0	3765.0	724764.0	446279.0	21216.0	482.0
трудоспособном	3907516.0	4622065.0	2831842.0	480789.0	102380.0	165782.0	135233.0	37411.0	30735.0	119889.0	13923.0	4693.0	623054.0	76334.0	22943.0	3181374.0	669799.0	32555.0	845.0
старше трудоспособного	686851.0	936348.0	100206.0	144176.0	-	642159.0	34999.0	2963.0	-	5762.0	1786.0	690.0	2151.0	1456.0	2014.0	453067.0	212436.0	18946.0	388.0
Женщины	6576023.0	8259927.0	2773341.0	729661.0	126348.0	1669062.0	147025.0	609936.0	54581.0	51861.0	12656.0	7544.0	2025214.0	52698.0	34064.0	4921204.0	1525950.0	92477.0	2328.0
из них в возрасте:																			
моложе трудоспособного	1142982.0	1608905.0	702.0	7684.0	6774.0	26223.0	10658.0	439183.0	-	17387.0	115.0	740.0	1096087.0	3352.0	3316.0	691013.0	428503.0	19722.0	428.0
трудоспособном	3880572.0	4680156.0	2603664.0	469017.0	119546.0	171080.0	93341.0	163733.0	54568.0	26204.0	9287.0	4706.0	917819.0	47191.0	20653.0	3090003.0	721115.0	47342.0	1459.0
старше трудоспособного	1545295.0	1969359.0	168357.0	252886.0	-	1471521.0	42989.0	6966.0	-	8243.0	3249.0	2091.0	10944.0	2113.0	4230.0	1139055.0	376174.0	25397.0	439.0
Городское население	9991785.0	12039994.0	4842075.0	722432.0	209992.0	1972625.0	249677.0	679154.0	64329.0	163770.0	25132.0	10015.0	3001961.0	98832.0	66038.0	7927817.0	1884526.0	110602.0	2802.0
из него в возрасте:																			
моложе трудоспособного	1817786.0	2389110.0	1483.0	7990.0	14470.0	33529.0	18216.0	528605.0	-	28549.0	215.0	1150.0	1749055.0	5848.0	6683.0	1254638.0	535365.0	20662.0	438.0
трудоспособном	6406374.0	7410444.0	4591245.0	481401.0	195461.0	285679.0	165829.0	142369.0	64317.0	124667.0	20845.0	7031.0	1241730.0	89870.0	42361.0	5375070.0	933237.0	54014.0	1692.0
старше трудоспособного	1754353.0	2237967.0	248147.0	232982.0	-	1653148.0	65584.0	8125.0	-	10453.0	4066.0	1821.0	10617.0	3024.0	5947.0	1296110.0	415715.0	35912.0	669.0
Мужчины	4652913.0	5585164.0	2461487.0	328374.0	98102.0	657997.0	135311.0	293007.0	22758.0	123280.0	14013.0	4346.0	1388562.0	57927.0	33122.0	3706328.0	862799.0	49470.0	1194.0
из них в возрасте:																			
моложе трудоспособного	929684.0	1221379.0	902.0	4111.0	8627.0	16895.0	10516.0	267893.0	-	15848.0	118.0	586.0	892879.0	3004.0	3550.0	642080.0	273106.0	10708.0	240.0
трудоспособном	3184240.0	3650416.0	2366667.0	240671.0	89442.0	145556.0	96213.0	22682.0	22752.0	103135.0	12472.0	3409.0	493744.0	53673.0	22200.0	2698031.0	440325.0	23042.0	642.0
старше трудоспособного	532420.0	712153.0	93263.0	83567.0	-	495474.0	28566.0	2414.0	-	4218.0	1422.0	345.0	1687.0	1197.0	1918.0	365200.0	149272.0	15719.0	311.0
Женщины	5338872.0	6454830.0	2380588.0	394058.0	111890.0	1314628.0	114366.0	386147.0	41571.0	40490.0	11119.0	5669.0	1613399.0	40905.0	32916.0	4221489.0	1021727.0	61132.0	1608.0
из них в возрасте:																			
моложе трудоспособного	888102.0	1167731.0	581.0	3879.0	5843.0	16634.0	7700.0	260712.0	-	12701.0	97.0	564.0	856176.0	2844.0	3133.0	612558.0	262259.0	9954.0	198.0
трудоспособном	3222134.0	3760028.0	2224578.0	240730.0	106019.0	140123.0	69616.0	119687.0	41565.0	21532.0	8373.0	3622.0	747986.0	36197.0	20161.0	2677039.0	492912.0	30972.0	1050.0
старше трудоспособного	1221933.0	1525814.0	154884.0	149415.0	-	1157674.0	37018.0	5711.0	-	6235.0	2644.0	1476.0	8930.0	1827.0	4029.0	930910.0	266443.0	20193.0	358.0
Сельское население	2382141.0	3462713.0	865340.0	640553.0	28791.0	531215.0	82344.0	424328.0	20993.0	35003.0	3371.0	3673.0	791874.0	35228.0	2455.0	1353776.0	970074.0	54594.0	1242.0
из него в возрасте:																			
моложе трудоспособного	521702.0	902696.0	501.0	7994.0	2325.0	19437.0	7182.0	363725.0	-	10000.0	36.0	345.0	490143.0	1008.0	398.0	161139.0	339417.0	20276.0	472.0
трудоспособном	1381714.0	1891777.0	844261.0	468405.0	26465.0	51183.0	62745.0	58775.0	20986.0	21426.0	2365.0	2368.0	299143.0	33655.0	1235.0	896307.0	457677.0	25883.0	612.0
старше трудоспособного	477793.0	667740.0	20416.0	164080.0	-	460532.0	12404.0	1804.0	-	3552.0	969.0	960.0	2478.0	545.0	297.0	296012.0	172895.0	8431.0	158.0
Мужчины	1144990.0	1657616.0	472587.0	304950.0	14333.0	176781.0	49685.0	200539.0	7983.0	23632.0	1834.0	1798.0	380059.0	23435.0	1307.0	654061.0	465851.0	23249.0	522.0
из них в возрасте:																			
моложе трудоспособного	266822.0	461522.0	380.0	4189.0	1394.0	9848.0	4224.0	185254.0	-	5314.0	18.0	169.0	250232.0	500.0	215.0	82684.0	173173.0	10508.0	242.0
трудоспособном	723276.0	971649.0	465175.0	240118.0	12938.0	20226.0	39020.0	14729.0	7983.0	16754.0	1451.0	1284.0	129310.0	22661.0	743.0	483343.0	229474.0	9513.0	203.0
старше трудоспособного	154431.0	224195.0	6943.0	60609.0	-	146685.0	6433.0	549.0	-	1544.0	364.0	345.0	464.0	259.0	96.0	87867.0	63164.0	3227.0	77.0
Женщины	1237151.0	1805097.0	392753.0	335603.0	14458.0	354434.0	32659.0	223789.0	13010.0	11371.0	1537.0	1875.0	411815.0	11793.0	1148.0	699715.0	504223.0	31345.0	720.0
из них в возрасте:																			
моложе трудоспособного	254880.0	441174.0	121.0	3805.0	931.0	9589.0	2958.0	178471.0	-	4686.0	18.0	176.0	239911.0	508.0	183.0	78455.0	166244.0	9768.0	230.0
трудоспособном	658438.0	920128.0	379086.0	228287.0	13527.0	30957.0	23725.0	44046.0	13003.0	4672.0	914.0	1084.0	169833.0	10994.0	492.0	412964.0	228203.0	16370.0	409.0
старше трудоспособного	323362.0	443545.0	13473.0	103471.0	-	313847.0	5971.0	1255.0	-	2008.0	605.0	615.0	2014.0	286.0	201.0	208145.0	109731.0	5204.0	81.0
Курганская область																			
Городское и сельское население	1019532.0	1417171.0	391006.0	205889.0	23718.0	242720.0	30248.0	159122.0	8460.0	15023.0	1341.0	1074.0	323455.0	15115.0	345.0	639149.0	362434.0	17284.0	320.0
из него в возрасте:																			
моложе трудоспособного	193673.0	337975.0	117.0	2109.0	1615.0	6226.0	2037.0	136077.0	-	2810.0	17.0	100.0	186546.0	321.0	60.0	55553.0	131853.0	6116.0	91.0
трудоспособном	603643.0	785426.0	378087.0	146391.0	22103.0	22836.0	21660.0	22841.0	8459.0	10564.0	1014.0	676.0	136235.0	14560.0	219.0	430036.0	164978.0	8218.0	192.0
старше трудоспособного	222136.0	293715.0	12793.0	57379.0	-	213651.0	6545.0	202.0	-	1637.0	310.0	298.0	669.0	231.0	26.0	153534.0	65590.0	2949.0	37.0
Мужчины	470578.0	656128.0	200009.0	96595.0	11099.0	79901.0	17566.0	73943.0	2700.0	10842.0	725.0	508.0	152344.0	9896.0	172.0	292278.0	170671.0	7330.0	127.0
из них в возрасте:																			
моложе трудоспособного	98904.0	172397.0	93.0	1109.0	947.0	3144.0	1156.0	69112.0	-	1532.0	7.0	61.0	95072.0	164.0	39.0	28571.0	67101.0	3148.0	45.0
трудоспособном	301487.0	386838.0	195292.0	74199.0	10152.0	10229.0	13133.0	4771.0	2700.0	8614.0	605.0	353.0	57178.0	9612.0	112.0	219021.0	79313.0	2978.0	63.0
старше трудоспособного	70151.0	96868.0	4620.0	21286.0	-	66526.0	3274.0	59.0	-	689.0	113.0	94.0	90.0	117.0	5.0	44671.0	24252.0	1204.0	19.0
Женщины	548954.0	761043.0	190997.0	109294.0	12619.0	162819.0	12682.0	85179.0	5760.0	4181.0	616.0	566.0	171111.0	5219.0	173.0	346871.0	191763.0	9954.0	193.0
из них в возрасте:																			
моложе трудоспособного	94769.0	165578.0	24.0	1000.0	668.0	3082.0	881.0	66965.0	-	1278.0	10.0	39.0	91474.0	157.0	21.0	26982.0	64752.0	2968.0	46.0
трудоспособном	302156.0	398588.0	182795.0	72192.0	11951.0	12607.0	8527.0	18070.0	5759.0	1950.0	409.0	323.0	79057.0	4948.0	107.0	211015.0	85665.0	5240.0	129.0
старше трудоспособного	151985.0	196847.0	8173.0	36093.0	-	147125.0	3271.0	143.0	-	948.0	197.0	204.0	579.0	114.0	21.0	108863.0	41338.0	1745.0	18.0
Городское население	574381.0	725853.0	251369.0	44715.0	16945.0	128498.0	16771.0	70197.0	4627.0	7364.0	904.0	553.0	177073.0	6837.0	172.0	428852.0	139175.0	6080.0	102.0
из него в возрасте:																			
