							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
возраст не указан	107.0	58.0	49.0	0.0	0.0	0.0	845.0
Медианный возраст	42.3	38.6	46.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	129307.0	66202.0	63105.0	16.8	18.5	15.4	953.0
трудоспособном	408704.0	222706.0	185998.0	53.2	62.1	45.3	835.0
старше трудоспособного	230913.0	69358.0	161555.0	30.0	19.4	39.3	2329.0
0 – 13 лет	103093.0	52880.0	50213.0	13.4	14.8	12.2	950.0
0 – 17 лет	151683.0	77871.0	73812.0	19.7	21.7	18.0	948.0
16 – 29 лет	131071.0	71667.0	59404.0	17.0	20.0	14.5	829.0
Оренбургская область							
Все население	2179551.0	1022177.0	1157374.0	100.0	100.0	100.0	1132.0
в том числе в возрасте, лет:							
0 – 4	104223.0	53321.0	50902.0	4.8	5.2	4.4	955.0
5 – 9	114283.0	58689.0	55594.0	5.30000019073	5.7	4.8	947.0
10 – 14	172990.0	88364.0	84626.0	7.9	8.69999980927	7.3	958.0
15 – 19	198466.0	99863.0	98603.0	9.1	9.8	8.5	987.0
20 – 24	173452.0	88041.0	85411.0	8.0	8.6	7.4	970.0
25 – 29	155808.0	76994.0	78814.0	7.1	7.5	6.8	1024.0
30 – 34	144608.0	71554.0	73054.0	6.6	7.0	6.3	1021.0
35 – 39	158917.0	77889.0	81028.0	7.3	7.6	7.0	1040.0
40 – 44	194843.0	94919.0	99924.0	8.9	9.3	8.6	1053.0
45 – 49	166919.0	79641.0	87278.0	7.7	7.8	7.59999990463	1096.0
50 – 54	137886.0	64680.0	73206.0	6.3	6.3	6.3	1132.0
55 – 59	71578.0	31961.0	39617.0	3.3	3.1	3.4	1240.0
60 – 64	118089.0	48406.0	69683.0	5.4	4.7	6.0	1440.0
65 – 69	92405.0	36650.0	55755.0	4.2	3.6	4.8	1521.0
70 – 74	85377.0	29782.0	55595.0	3.9	2.9	4.8	1867.0
75 – 79	54080.0	13916.0	40164.0	2.5	1.4	3.5	2886.0
80 – 84	18595.0	3964.0	14631.0	0.9	0.4	1.3	3691.0
85 и более	14768.0	2489.0	12279.0	0.7	0.300000011921	1.1	4933.0
возраст не указан	2264.0	1054.0	1210.0	0.1	0.1	0.1	1148.0
Медианный возраст	35.9	33.1	38.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	433964.0	221923.0	212041.0	19.9	21.7	18.3	955.0
трудоспособном	1320392.0	663993.0	656399.0	60.6	65.0	56.7	989.0
старше трудоспособного	422931.0	135207.0	287724.0	19.4	13.2	24.9	2128.0
0 – 13 лет	351508.0	180103.0	171405.0	16.1	17.6	14.8	952.0
0 – 17 лет	514351.0	262469.0	251882.0	23.6	25.7	21.8	960.0
16 – 29 лет	485258.0	243349.0	241909.0	22.3	23.8	20.9	994.0
Городское население	1260128.0	578997.0	681131.0	100.0	100.0	100.0	1176.0
в том числе в возрасте, лет:							
0 – 4	55639.0	28526.0	27113.0	4.4	4.9	4.0	950.0
5 – 9	58100.0	29769.0	28331.0	4.6	5.1	4.09999990463	952.0
10 – 14	87573.0	44438.0	43135.0	7.0	7.7	6.3	971.0
15 – 19	124643.0	59700.0	64943.0	9.9	10.3	9.5	1088.0
20 – 24	110832.0	54210.0	56622.0	8.8	9.4	8.3	1044.0
25 – 29	97836.0	48355.0	49481.0	7.8	8.30000019073	7.3	1023.0
30 – 34	84495.0	41594.0	42901.0	6.7	7.2	6.3	1031.0
35 – 39	87571.0	42178.0	45393.0	6.9	7.3	6.7	1076.0
40 – 44	111444.0	52335.0	59109.0	8.8	9.0	8.7	1129.0
45 – 49	99732.0	46093.0	53639.0	7.9	8.0	7.9	1164.0
50 – 54	84738.0	38604.0	46134.0	6.7	6.7	6.8	1195.0
55 – 59	43593.0	19319.0	24274.0	3.5	3.3	3.6	1256.0
60 – 64	65279.0	26202.0	39077.0	5.2	4.5	5.7	1491.0
65 – 69	50672.0	19390.0	31282.0	4.0	3.3	4.6	1613.0
70 – 74	45931.0	15406.0	30525.0	3.6	2.7	4.5	1981.0
75 – 79	30930.0	8046.0	22884.0	2.5	1.4	3.29999995232	2844.0
80 – 84	10914.0	2359.0	8555.0	0.9	0.4	1.20000004768	3627.0
85 и более	8030.0	1470.0	6560.0	0.6	0.3	1.0	4463.0
возраст не указан	2176.0	1003.0	1173.0	0.2	0.2	0.2	1169.0
Медианный возраст	35.7	32.8	38.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	224423.0	114401.0	110022.0	17.8	19.7	16.1	962.0
трудоспособном	797499.0	390720.0	406779.0	63.3	67.5	59.7	1041.0
старше трудоспособного	236030.0	72873.0	163157.0	18.7	12.6	24.0	2239.0
0 – 13 лет	180785.0	92417.0	88368.0	14.3	16.0	13.0	956.0
0 – 17 лет	274391.0	138485.0	135906.0	21.8	23.9	20.0	981.0
16 – 29 лет	310200.0	150597.0	159603.0	24.6	26.0	23.4	1060.0
Сельское население	919423.0	443180.0	476243.0	100.0	100.0	100.0	1075.0
в том числе в возрасте, лет:							
0 – 4	48584.0	24795.0	23789.0	5.3	5.6	5.0	959.0
5 – 9	56183.0	28920.0	27263.0	6.1	6.5	5.7	943.0
10 – 14	85417.0	43926.0	41491.0	9.3	9.9	8.7	945.0
15 – 19	73823.0	40163.0	33660.0	8.0	9.1	7.1	838.0
20 – 24	62620.0	33831.0	28789.0	6.8	7.6	6.0	851.0
25 – 29	57972.0	28639.0	29333.0	6.3	6.5	6.2	1024.0
30 – 34	60113.0	29960.0	30153.0	6.5	6.8	6.3	1006.0
35 – 39	71346.0	35711.0	35635.0	7.8	8.1	7.5	998.0
40 – 44	83399.0	42584.0	40815.0	9.1	9.6	8.6	958.0
45 – 49	67187.0	33548.0	33639.0	7.3	7.6	7.1	1003.0
50 – 54	53148.0	26076.0	27072.0	5.8	5.9	5.7	1038.0
55 – 59	27985.0	12642.0	15343.0	3.09999990463	2.79999995232	3.2	1214.0
60 – 64	52810.0	22204.0	30606.0	5.80000019073	5.0	6.4	1378.0
65 – 69	41733.0	17260.0	24473.0	4.5	3.9	5.1	1418.0
70 – 74	39446.0	14376.0	25070.0	4.3	3.2	5.3	1744.0
75 – 79	23150.0	5870.0	17280.0	2.5	1.3	3.6	2944.0
80 – 84	7681.0	1605.0	6076.0	0.8	0.4	1.3	3786.0
85 и более	6738.0	1019.0	5719.0	0.7	0.2	1.2	5612.0
возраст не указан	88.0	51.0	37.0	0.0	0.0	0.0	725.0
Медианный возраст	36.1	33.6	38.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	209541.0	107522.0	102019.0	22.8	24.2	21.4	949.0
трудоспособном	522893.0	273273.0	249620.0	56.9	61.7	52.4	913.0
старше трудоспособного	186901.0	62334.0	124567.0	20.3	14.1	26.2	1998.0
0 – 13 лет	170723.0	87686.0	83037.0	18.6	19.8	17.4	947.0
0 – 17 лет	239960.0	123984.0	115976.0	26.1	28.0	24.4	935.0
16 – 29 лет	175058.0	92752.0	82306.0	19.0	20.9	17.3	887.0
Пензенская область							
Все население	1452941.0	664372.0	788569.0	100.0	100.0	100.0	1187.0
в том числе в возрасте, лет:							
0 – 4	54317.0	27966.0	26351.0	3.7	4.2	3.3	942.0
5 – 9	63343.0	32428.0	30915.0	4.4	4.9	3.9	953.0
10 – 14	101082.0	51574.0	49508.0	7.0	7.8	6.3	960.0
15 – 19	115425.0	57136.0	58289.0	7.9	8.6	7.4	1020.0
20 – 24	100208.0	49496.0	50712.0	6.9	7.4	6.4	1025.0
25 – 29	96363.0	47887.0	48476.0	6.6	7.2	6.19999980927	1012.0
30 – 34	93948.0	46333.0	47615.0	6.5	7.0	6.0	1028.0
35 – 39	102411.0	50205.0	52206.0	7.0	7.6	6.6	1040.0
40 – 44	124829.0	60701.0	64128.0	8.6	9.1	8.1	1056.0
45 – 49	119131.0	56490.0	62641.0	8.2	8.5	8.0	1109.0
50 – 54	111768.0	51772.0	59996.0	7.7	7.8	7.6	1159.0
55 – 59	57995.0	25854.0	32141.0	4.0	3.9	4.1	1243.0
60 – 64	94588.0	38746.0	55842.0	6.5	5.8	7.1	1441.0
65 – 69	69490.0	27043.0	42447.0	4.8	4.1	5.4	1570.0
70 – 74	65953.0	22618.0	43335.0	4.5	3.4	5.5	1916.0
75 – 79	48161.0	12274.0	35887.0	3.3	1.8	4.6	2924.0
80 – 84	19745.0	3843.0	15902.0	1.4	0.6	2.0	4138.0
85 и более	13926.0	1883.0	12043.0	1.0	0.3	1.5	6396.0
возраст не указан	258.0	123.0	135.0	0.0	0.0	0.0	1098.0
Медианный возраст	40.0	37.1	42.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	243778.0	124624.0	119154.0	16.8	18.8	15.1	956.0
трудоспособном	864901.0	433218.0	431683.0	59.5	65.2	54.8	996.0
старше трудоспособного	344004.0	106407.0	237597.0	23.7	16.0	30.1	2233.0
0 – 13 лет	194448.0	99581.0	94867.0	13.4	15.0	12.0	953.0
0 – 17 лет	290729.0	148549.0	142180.0	20.0	22.4	18.0	957.0
16 – 29 лет	286960.0	141863.0	145097.0	19.8	21.4	18.4	1023.0
Городское население	945214.0	428656.0	516558.0	100.0	100.0	100.0	1205.0
в том числе в возрасте, лет:							
0 – 4	34457.0	17760.0	16697.0	3.70000004768	4.1	3.2	940.0
5 – 9	39137.0	20090.0	19047.0	4.1	4.7	3.7	948.0
10 – 14	63508.0	32369.0	31139.0	6.7	7.6	6.0	962.0
15 – 19	81534.0	39799.0	41735.0	8.6	9.3	8.1	1049.0
20 – 24	71956.0	35153.0	36803.0	7.6	8.2	7.1	1047.0
25 – 29	67681.0	33417.0	34264.0	7.2	7.8	6.6	1025.0
30 – 34	63979.0	31080.0	32899.0	6.8	7.3	6.4	1059.0
35 – 39	67539.0	32116.0	35423.0	7.1	7.5	6.80000019073	1103.0
40 – 44	81963.0	38246.0	43717.0	8.7	8.9	8.5	1143.0
45 – 49	79390.0	36158.0	43232.0	8.4	8.4	8.4	1196.0
50 – 54	76139.0	33992.0	42147.0	8.1	7.9	8.2	1240.0
55 – 59	39856.0	17301.0	22555.0	4.2	4.0	4.4	1304.0
60 – 64	57908.0	23516.0	34392.0	6.1	5.5	6.7	1462.0
65 – 69	40435.0	15447.0	24988.0	4.3	3.6	4.8	1618.0
70 – 74	35238.0	11979.0	23259.0	3.7	2.8	4.5	1942.0
75 – 79	26253.0	6827.0	19426.0	2.8	1.6	3.8	2845.0
80 – 84	10608.0	2173.0	8435.0	1.1	0.5	1.6	3882.0
85 и более	7417.0	1134.0	6283.0	0.8	0.3	1.2	5541.0
возраст не указан	216.0	99.0	117.0	0.0	0.0	0.0	1182.0
Медианный возраст	38.8	35.8	41.2				
Из общей численности - население в возрасте:							
моложе трудоспособного	153221.0	78350.0	74871.0	16.2	18.3	14.5	956.0
трудоспособном	591363.0	289131.0	302232.0	62.6	67.5	58.5	1045.0
старше трудоспособного	200414.0	61076.0	139338.0	21.2	14.2	27.0	2281.0
0 – 13 лет	121732.0	62383.0	59349.0	12.9	14.6	11.5	951.0
0 – 17 лет	186120.0	94796.0	91324.0	19.7	22.1	17.7	963.0
16 – 29 лет	205052.0	100238.0	104814.0	21.7	23.4	20.3	1046.0
Сельское население	507727.0	235716.0	272011.0	100.0	100.0	100.0	1154.0
в том числе в возрасте, лет:							
0 – 4	19860.0	10206.0	9654.0	3.9	4.3	3.5	946.0
5 – 9	24206.0	12338.0	11868.0	4.8	5.2	4.4	962.0
10 – 14	37574.0	19205.0	18369.0	7.4	8.19999980927	6.8	956.0
15 – 19	33891.0	17337.0	16554.0	6.7	7.4	6.1	955.0
20 – 24	28252.0	14343.0	13909.0	5.6	6.1	5.1	970.0
25 – 29	28682.0	14470.0	14212.0	5.6	6.1	5.2	982.0
30 – 34	29969.0	15253.0	14716.0	5.9	6.5	5.4	965.0
35 – 39	34872.0	18089.0	16783.0	6.9	7.7	6.2	928.0
40 – 44	42866.0	22455.0	20411.0	8.5	9.5	7.5	909.0
45 – 49	39741.0	20332.0	19409.0	7.8	8.6	7.1	955.0
50 – 54	35629.0	17780.0	17849.0	7.0	7.59999990463	6.6	1004.0
55 – 59	18139.0	8553.0	9586.0	3.6	3.6	3.5	1121.0
60 – 64	36680.0	15230.0	21450.0	7.2	6.5	7.9	1408.0
65 – 69	29055.0	11596.0	17459.0	5.7	4.9	6.4	1506.0
70 – 74	30715.0	10639.0	20076.0	6.0	4.5	7.4	1887.0
75 – 79	21908.0	5447.0	16461.0	4.3	2.3	6.1	3022.0
80 – 84	9137.0	1670.0	7467.0	1.8	0.7	2.7	4471.0
85 и более	6509.0	749.0	5760.0	1.3	0.3	2.1	7690.0
возраст не указан	42.0	24.0	18.0	0.0	0.0	0.0	750.0
Медианный возраст	42.0	39.2	44.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	90557.0	46274.0	44283.0	17.8	19.7	16.3	957.0
трудоспособном	273538.0	144087.0	129451.0	53.9	61.1	47.6	898.0
старше трудоспособного	143590.0	45331.0	98259.0	28.3	19.2	36.1	2168.0
0 – 13 лет	72716.0	37198.0	35518.0	14.3	15.8	13.1	955.0
0 – 17 лет	104609.0	53753.0	50856.0	20.6	22.8	18.7	946.0
16 – 29 лет	81908.0	41625.0	40283.0	16.1	17.7	14.8	968.0
Пермская область							
Все население	2819421.0	1305658.0	1513763.0	100.0	100.0	100.0	1159.0
в том числе в возрасте, лет:							
0 – 4	136349.0	69610.0	66739.0	4.8	5.3	4.4	959.0
5 – 9	137653.0	70316.0	67337.0	4.9	5.4	4.5	958.0
10 – 14	211693.0	107754.0	103939.0	7.5	8.19999980927	6.9	965.0
15 – 19	255952.0	127099.0	128853.0	9.1	9.7	8.5	1014.0
20 – 24	216533.0	106991.0	109542.0	7.7	8.2	7.2	1024.0
25 – 29	217816.0	108452.0	109364.0	7.7	8.3	7.2	1008.0
30 – 34	191187.0	95274.0	95913.0	6.8	7.3	6.3	1007.0
35 – 39	191931.0	94753.0	97178.0	6.8	7.3	6.4	1026.0
40 – 44	237049.0	115075.0	121974.0	8.4	8.8	8.1	1060.0
45 – 49	228191.0	107652.0	120539.0	8.1	8.2	8.0	1120.0
50 – 54	203371.0	94127.0	109244.0	7.2	7.2	7.2	1161.0
55 – 59	101726.0	45340.0	56386.0	3.6	3.5	3.7	1244.0
60 – 64	144103.0	58196.0	85907.0	5.1	4.5	5.7	1476.0
65 – 69	115646.0	42736.0	72910.0	4.1	3.3	4.8	1706.0
70 – 74	111356.0	36173.0	75183.0	4.0	2.8	5.0	2078.0
75 – 79	70694.0	17086.0	53608.0	2.5	1.3	3.5	3138.0
80 – 84	27656.0	5007.0	22649.0	1.0	0.4	1.5	4523.0
85 и более	17576.0	2592.0	14984.0	0.6	0.2	1.0	5781.0
возраст не указан	2939.0	1425.0	1514.0	0.1	0.1	0.1	1062.0
Медианный возраст	36.2	33.2	39.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	539268.0	274734.0	264534.0	19.1	21.0	17.5	963.0
трудоспособном	1733797.0	867709.0	866088.0	61.5	66.5	57.2	998.0
старше трудоспособного	543417.0	161790.0	381627.0	19.3	12.4	25.2	2359.0
0 – 13 лет	434517.0	221584.0	212933.0	15.4	17.0	14.1	961.0
0 – 17 лет	642979.0	327162.0	315817.0	22.8	25.1	20.9	965.0
16 – 29 лет	636728.0	315488.0	321240.0	22.6	24.2	21.2	1018.0
Городское население	2121647.0	967708.0	1153939.0	100.0	100.0	100.0	1192.0
в том числе в возрасте, лет:							
0 – 4	97390.0	49682.0	47708.0	4.6	5.1	4.1	960.0
5 – 9	96352.0	49316.0	47036.0	4.59999990463	5.1	4.1	954.0
10 – 14	148704.0	75673.0	73031.0	7.0	7.8	6.3	965.0
15 – 19	196003.0	95318.0	100685.0	9.2	9.8	8.7	1056.0
20 – 24	170326.0	82972.0	87354.0	8.0	8.6	7.6	1053.0
25 – 29	171207.0	84221.0	86986.0	8.1	8.7	7.5	1033.0
30 – 34	146699.0	72203.0	74496.0	6.9	7.5	6.5	1032.0
35 – 39	142251.0	68653.0	73598.0	6.7	7.1	6.4	1072.0
40 – 44	175447.0	82640.0	92807.0	8.3	8.5	8.0	1123.0
45 – 49	172551.0	78787.0	93764.0	8.1	8.1	8.1	1190.0
50 – 54	157672.0	71024.0	86648.0	7.4	7.3	7.5	1220.0
55 – 59	81130.0	35393.0	45737.0	3.8	3.7	4.0	1292.0
60 – 64	110886.0	44047.0	66839.0	5.2	4.6	5.8	1517.0
65 – 69	86924.0	31617.0	55307.0	4.1	3.3	4.8	1749.0
70 – 74	79836.0	25933.0	53903.0	3.8	2.7	4.7	2079.0
75 – 79	52146.0	13016.0	39130.0	2.5	1.39999997616	3.4	3006.0
80 – 84	20519.0	3861.0	16658.0	1.0	0.4	1.5	4314.0
85 и более	12882.0	2040.0	10842.0	0.6	0.2	0.9	5315.0
возраст не указан	2722.0	1312.0	1410.0	0.1	0.1	0.1	1075.0
Медианный возраст	36.3	33.1	39.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	381349.0	194124.0	187225.0	18.0	20.1	16.2	964.0
трудоспособном	1328646.0	651758.0	676888.0	62.6	67.3	58.7	1039.0
старше трудоспособного	408930.0	120514.0	288416.0	19.3	12.5	25.0	2393.0
0 – 13 лет	306105.0	156092.0	150013.0	14.4	16.1	13.0	961.0
0 – 17 лет	460065.0	232967.0	227098.0	21.7	24.1	19.7	975.0
16 – 29 лет	498633.0	243058.0	255575.0	23.5	25.1	22.1	1051.0
Сельское население	697774.0	337950.0	359824.0	100.0	100.0	100.0	1065.0
в том числе в возрасте, лет:							
0 – 4	38959.0	19928.0	19031.0	5.6	5.9	5.3	955.0
5 – 9	41301.0	21000.0	20301.0	5.9	6.2	5.6	967.0
10 – 14	62989.0	32081.0	30908.0	9.0	9.5	8.6	963.0
15 – 19	59949.0	31781.0	28168.0	8.6	9.4	7.8	886.0
20 – 24	46207.0	24019.0	22188.0	6.6	7.1	6.2	924.0
25 – 29	46609.0	24231.0	22378.0	6.7	7.2	6.2	924.0
30 – 34	44488.0	23071.0	21417.0	6.4	6.8	6.0	928.0
35 – 39	49680.0	26100.0	23580.0	7.1	7.7	6.6	903.0
40 – 44	61602.0	32435.0	29167.0	8.8	9.6	8.1	899.0
45 – 49	55640.0	28865.0	26775.0	8.0	8.60000038147	7.4	928.0
50 – 54	45699.0	23103.0	22596.0	6.5	6.8	6.3	978.0
55 – 59	20596.0	9947.0	10649.0	3.0	3.0	3.0	1071.0
60 – 64	33217.0	14149.0	19068.0	4.8	4.2	5.3	1348.0
65 – 69	28722.0	11119.0	17603.0	4.1	3.3	4.9	1583.0
70 – 74	31520.0	10240.0	21280.0	4.5	3.0	5.9	2078.0
75 – 79	18548.0	4070.0	14478.0	2.7	1.2	4.0	3557.0
80 – 84	7137.0	1146.0	5991.0	1.0	0.3	1.7	5228.0
85 и более	4694.0	552.0	4142.0	0.7	0.2	1.10000002384	7504.0
возраст не указан	217.0	113.0	104.0	0.0	0.0	0.0	920.0
Медианный возраст	35.9	33.4	38.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	157919.0	80610.0	77309.0	22.6	23.9	21.5	959.0
трудоспособном	405151.0	215951.0	189200.0	58.1	63.9	52.6	876.0
старше трудоспособного	134487.0	41276.0	93211.0	19.3	12.2	25.9	2258.0
0 – 13 лет	128412.0	65492.0	62920.0	18.4	19.4	17.5	961.0
0 – 17 лет	182914.0	94195.0	88719.0	26.2	27.9	24.7	942.0
16 – 29 лет	138095.0	72430.0	65665.0	19.8	21.4	18.2	907.0
Коми-Пермяцкий автономный округ							
Все население	136076.0	65074.0	71002.0	100.0	100.0	100.0	1091.0
в том числе в возрасте, лет:							
0 – 4	7786.0	3985.0	3801.0	5.7	6.1	5.4	954.0
5 – 9	8424.0	4343.0	4081.0	6.2	6.7	5.7	940.0
10 – 14	12305.0	6233.0	6072.0	9.0	9.6	8.6	974.0
15 – 19	12456.0	6121.0	6335.0	9.2	9.4	8.9	1035.0
20 – 24	8080.0	4024.0	4056.0	5.9	6.2	5.7	1008.0
25 – 29	8447.0	4273.0	4174.0	6.2	6.6	5.9	977.0
30 – 34	8652.0	4465.0	4187.0	6.4	6.80000019073	5.9	938.0
35 – 39	9945.0	5200.0	4745.0	7.3	8.0	6.7	912.0
40 – 44	12035.0	6488.0	5547.0	8.8	10.0	7.8	855.0
45 – 49	11125.0	5911.0	5214.0	8.2	9.1	7.3	882.0
50 – 54	8907.0	4606.0	4301.0	6.59999990463	7.1	6.1	934.0
55 – 59	3584.0	1773.0	1811.0	2.6	2.7	2.5	1021.0
60 – 64	6316.0	2583.0	3733.0	4.6	4.0	5.3	1445.0
65 – 69	5601.0	2057.0	3544.0	4.1	3.2	5.0	1723.0
70 – 74	6242.0	1906.0	4336.0	4.6	2.9	6.1	2275.0
75 – 79	3928.0	803.0	3125.0	2.9	1.2	4.4	3892.0
80 – 84	1329.0	194.0	1135.0	1.0	0.3	1.6	5851.0
85 и более	901.0	103.0	798.0	0.7	0.10000000149	1.1	7748.0
возраст не указан	13.0	6.0	7.0	0.0	0.0	0.0	1167.0
Медианный возраст	36.1	34.0	38.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	31711.0	16141.0	15570.0	23.3	24.8	21.9	965.0
трудоспособном	78224.0	41281.0	36943.0	57.5	63.4	52.1	895.0
старше трудоспособного	26128.0	7646.0	18482.0	19.2	11.8	26.0	2417.0
0 – 13 лет	25557.0	13028.0	12529.0	18.8	20.0	17.6	962.0
0 – 17 лет	37057.0	18855.0	18202.0	27.2	29.0	25.6	965.0
16 – 29 лет	25787.0	12838.0	12949.0	19.0	19.7	18.2	1009.0
Городское население	35740.0	16125.0	19615.0	100.0	100.0	100.0	1216.0
в том числе в возрасте, лет:							
0 – 4	1761.0	898.0	863.0	4.9	5.6	4.4	961.0
5 – 9	1859.0	928.0	931.0	5.2	5.8	4.80000019073	1003.0
10 – 14	2817.0	1450.0	1367.0	7.9	9.0	7.0	943.0
15 – 19	5023.0	2126.0	2897.0	14.1	13.2	14.8	1363.0
20 – 24	2442.0	1124.0	1318.0	6.8	7.0	6.7	1173.0
25 – 29	2332.0	1128.0	1204.0	6.5	7.0	6.1	1067.0
30 – 34	2189.0	1067.0	1122.0	6.1	6.6	5.7	1052.0
35 – 39	2450.0	1173.0	1277.0	6.9	7.3	6.5	1089.0
40 – 44	3005.0	1471.0	1534.0	8.4	9.1	7.8	1043.0
45 – 49	2814.0	1329.0	1485.0	7.9	8.2	7.6	1117.0
50 – 54	2368.0	1127.0	1241.0	6.6	7.0	6.3	1101.0
55 – 59	1060.0	480.0	580.0	3.0	3.0	3.0	1208.0
60 – 64	1561.0	636.0	925.0	4.4	3.9	4.7	1454.0
65 – 69	1310.0	485.0	825.0	3.7	3.0	4.2	1701.0
70 – 74	1299.0	412.0	887.0	3.6	2.6	4.5	2153.0
75 – 79	866.0	202.0	664.0	2.4	1.20000004768	3.4	3287.0
80 – 84	332.0	63.0	269.0	0.9	0.4	1.4	4270.0
85 и более	246.0	24.0	222.0	0.7	0.1	1.1	9250.0
возраст не указан	6.0	2.0	4.0	0.0	0.0	0.0	2000.0
Медианный возраст	33.6	31.8	35.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	7563.0	3766.0	3797.0	21.2	23.4	19.4	1008.0
трудоспособном	21977.0	10535.0	11442.0	61.5	65.3	58.3	1086.0
старше трудоспособного	6194.0	1822.0	4372.0	17.3	11.3	22.3	2400.0
0 – 13 лет	5675.0	2877.0	2798.0	15.9	17.8	14.3	973.0
0 – 17 лет	9849.0	4755.0	5094.0	27.6	29.5	26.0	1071.0
16 – 29 лет	8671.0	3888.0	4783.0	24.3	24.1	24.4	1230.0
Сельское население	100336.0	48949.0	51387.0	100.0	100.0	100.0	1050.0
в том числе в возрасте, лет:							
0 – 4	6025.0	3087.0	2938.0	6.0	6.3	5.7	952.0
5 – 9	6565.0	3415.0	3150.0	6.5	7.0	6.1	922.0
10 – 14	9488.0	4783.0	4705.0	9.5	9.8	9.2	984.0
15 – 19	7433.0	3995.0	3438.0	7.4	8.2	6.7	861.0
20 – 24	5638.0	2900.0	2738.0	5.6	5.9	5.3	944.0
25 – 29	6115.0	3145.0	2970.0	6.1	6.4	5.8	944.0
30 – 34	6463.0	3398.0	3065.0	6.4	6.9	6.0	902.0
35 – 39	7495.0	4027.0	3468.0	7.5	8.2	6.7	861.0
40 – 44	9030.0	5017.0	4013.0	9.0	10.2	7.8	800.0
45 – 49	8311.0	4582.0	3729.0	8.3	9.4	7.3	814.0
50 – 54	6539.0	3479.0	3060.0	6.5	7.1	5.90000009537	880.0
55 – 59	2524.0	1293.0	1231.0	2.5	2.6	2.4	952.0
60 – 64	4755.0	1947.0	2808.0	4.7	4.0	5.5	1442.0
65 – 69	4291.0	1572.0	2719.0	4.3	3.2	5.3	1730.0
70 – 74	4943.0	1494.0	3449.0	4.9	3.1	6.7	2309.0
75 – 79	3062.0	601.0	2461.0	3.1	1.2	4.8	4095.0
80 – 84	997.0	131.0	866.0	1.0	0.3	1.7	6611.0
85 и более	655.0	79.0	576.0	0.7	0.2	1.1	7291.0
возраст не указан	7.0	4.0	3.0	0.0	0.0	0.0	750.0
Медианный возраст	36.8	34.6	39.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	24148.0	12375.0	11773.0	24.1	25.3	22.9	951.0
трудоспособном	56247.0	30746.0	25501.0	56.0	62.8	49.6	829.0
старше трудоспособного	19934.0	5824.0	14110.0	19.9	11.9	27.5	2423.0
0 – 13 лет	19882.0	10151.0	9731.0	19.8	20.7	18.9	959.0
0 – 17 лет	27208.0	14100.0	13108.0	27.1	28.8	25.5	930.0
16 – 29 лет	17116.0	8950.0	8166.0	17.1	18.3	15.9	912.0
Самарская область							
Все население	3239737.0	1496461.0	1743276.0	100.0	100.0	100.0	1165.0
в том числе в возрасте, лет:							
0 – 4	126512.0	65121.0	61391.0	3.9	4.30000019073	3.5	943.0
5 – 9	144856.0	74085.0	70771.0	4.5	4.90000009537	4.1	955.0
10 – 14	218159.0	111745.0	106414.0	6.7	7.5	6.1	952.0
15 – 19	278326.0	141939.0	136387.0	8.6	9.5	7.8	961.0
20 – 24	254169.0	128501.0	125668.0	7.90000009537	8.6	7.2	978.0
25 – 29	247978.0	123532.0	124446.0	7.7	8.3	7.1	1007.0
30 – 34	227510.0	113397.0	114113.0	7.0	7.6	6.5	1006.0
35 – 39	224490.0	109822.0	114668.0	6.9	7.3	6.6	1044.0
40 – 44	270361.0	128666.0	141695.0	8.3	8.6	8.1	1101.0
45 – 49	259575.0	119879.0	139696.0	8.0	8.0	8.0	1165.0
50 – 54	240907.0	107381.0	133526.0	7.4	7.2	7.7	1243.0
55 – 59	133592.0	57977.0	75615.0	4.1	3.9	4.3	1304.0
60 – 64	193175.0	78794.0	114381.0	6.0	5.3	6.6	1452.0
65 – 69	138309.0	53164.0	85145.0	4.3	3.5	4.9	1602.0
70 – 74	133715.0	45616.0	88099.0	4.1	3.0	5.1	1931.0
75 – 79	88684.0	24337.0	64347.0	2.7	1.6	3.7	2644.0
80 – 84	32057.0	6783.0	25274.0	1.0	0.5	1.4	3726.0
85 и более	24616.0	4352.0	20264.0	0.8	0.3	1.2	4656.0
возраст не указан	2746.0	1370.0	1376.0	0.1	0.1	0.1	1004.0
Медианный возраст	37.9	34.5	40.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	544623.0	279010.0	265613.0	16.8	18.7	15.2	952.0
трудоспособном	2006197.0	1003035.0	1003162.0	61.9	67.0	57.6	1000.0
