5. ОБЕСПЕЧЕННОСТЬ РАЗЛИЧНЫМИ ВИДАМИ БЛАГОУСТРОЙСТВА ЖИЛОГО ПОМЕЩЕНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ,
ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Всего домохозяйств	число домохозяйств, проживающих в помещениях, оборудованных														Число домохозяйств, не указавших виды благоустройства
в коммунальных квартирах	20916.0	20649.0	1127.0	18778.0	336.0	19220.0	910.0	390.0	20054.0	19418.0	13468.0	10764.0	2773.0	12589.0	-	234.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	328172.0	327120.0	3214.0	269413.0	38808.0	31881.0	213910.0	88707.0	146489.0	62268.0	34781.0	6976.0	14548.0	16970.0	44.0	510.0
в том числе:																
в индивидуальных домах	265824.0	265006.0	2217.0	216090.0	33092.0	2127.0	188905.0	82258.0	97116.0	24393.0	6571.0	210.0	6285.0	2764.0	40.0	391.0
в отдельных квартирах	61639.0	61419.0	968.0	52806.0	5625.0	29438.0	24775.0	6322.0	48943.0	37546.0	28006.0	6735.0	8230.0	14146.0	4.0	108.0
в коммунальных квартирах	709.0	695.0	29.0	517.0	91.0	316.0	230.0	127.0	430.0	329.0	204.0	31.0	33.0	60.0	-	11.0
Удмуртская Республика																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	510355.0	507410.0	38087.0	292085.0	131844.0	310840.0	39760.0	157122.0	394991.0	331141.0	305489.0	261340.0	19852.0	271464.0	56.0	1587.0
в том числе:																
в индивидуальных домах	141060.0	140092.0	6002.0	29115.0	77576.0	3830.0	29219.0	107475.0	59525.0	17456.0	5783.0	555.0	2413.0	2046.0	30.0	355.0
в отдельных квартирах	361561.0	359744.0	30479.0	259124.0	53114.0	300715.0	10297.0	48638.0	328848.0	307323.0	294744.0	256071.0	17106.0	265246.0	25.0	1095.0
в коммунальных квартирах	7734.0	7574.0	1606.0	3846.0	1154.0	6295.0	244.0	1009.0	6618.0	6362.0	4962.0	4714.0	333.0	4172.0	1.0	137.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	356980.0	354908.0	30979.0	261566.0	45944.0	285057.0	20089.0	48939.0	306242.0	290833.0	276703.0	252532.0	16073.0	259834.0	36.0	1340.0
в том числе:																
в индивидуальных домах	50379.0	49948.0	2312.0	17456.0	22864.0	2254.0	16389.0	30950.0	15829.0	7134.0	2488.0	423.0	1287.0	1239.0	18.0	231.0
в отдельных квартирах	299304.0	297818.0	27096.0	240447.0	22076.0	276804.0	3489.0	17089.0	284148.0	277607.0	269465.0	247458.0	14471.0	254495.0	17.0	972.0
в коммунальных квартирах	7297.0	7142.0	1571.0	3663.0	1004.0	5999.0	211.0	900.0	6265.0	6092.0	4750.0	4651.0	315.0	4100.0	1.0	137.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	153375.0	152502.0	7108.0	30519.0	85900.0	25783.0	19671.0	108183.0	88749.0	40308.0	28786.0	8808.0	3779.0	11630.0	20.0	247.0
в том числе:																
в индивидуальных домах	90681.0	90144.0	3690.0	11659.0	54712.0	1576.0	12830.0	76525.0	43696.0	10322.0	3295.0	132.0	1126.0	807.0	12.0	124.0
в отдельных квартирах	62257.0	61926.0	3383.0	18677.0	31038.0	23911.0	6808.0	31549.0	44700.0	29716.0	25279.0	8613.0	2635.0	10751.0	8.0	123.0
в коммунальных квартирах	437.0	432.0	35.0	183.0	150.0	296.0	33.0	109.0	353.0	270.0	212.0	63.0	18.0	72.0	-	-
Чувашская Республика																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	423912.0	422244.0	17567.0	262978.0	124620.0	221782.0	88058.0	122208.0	242159.0	228574.0	213869.0	164150.0	36153.0	195487.0	45.0	803.0
в том числе:																
в индивидуальных домах	187093.0	186287.0	7387.0	53317.0	110981.0	2929.0	79726.0	113861.0	20870.0	9788.0	3643.0	256.0	2310.0	1808.0	40.0	256.0
в отдельных квартирах	232879.0	232072.0	9639.0	207057.0	13166.0	215727.0	7870.0	8069.0	218018.0	215631.0	207801.0	161632.0	33397.0	191449.0	5.0	496.0
в коммунальных квартирах	3940.0	3885.0	541.0	2604.0	473.0	3126.0	462.0	278.0	3271.0	3155.0	2425.0	2262.0	446.0	2230.0	-	51.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	245579.0	244649.0	10545.0	214677.0	15933.0	207703.0	20328.0	15723.0	214741.0	209842.0	201664.0	161631.0	32957.0	190424.0	15.0	593.0
в том числе:																
в индивидуальных домах	29082.0	28923.0	1038.0	15374.0	10118.0	1557.0	15690.0	11216.0	6648.0	3446.0	1644.0	188.0	1169.0	1026.0	10.0	90.0
в отдельных квартирах	212823.0	212103.0	8973.0	196794.0	5480.0	203132.0	4304.0	4274.0	204935.0	203347.0	197673.0	159207.0	31353.0	187205.0	5.0	454.0
в коммунальных квартирах	3674.0	3623.0	534.0	2509.0	335.0	3014.0	334.0	233.0	3158.0	3049.0	2347.0	2236.0	435.0	2193.0	-	49.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	178333.0	177595.0	7022.0	48301.0	108687.0	14079.0	67730.0	106485.0	27418.0	18732.0	12205.0	2519.0	3196.0	5063.0	30.0	210.0
в том числе:																
в индивидуальных домах	158011.0	157364.0	6349.0	37943.0	100863.0	1372.0	64036.0	102645.0	14222.0	6342.0	1999.0	68.0	1141.0	782.0	30.0	166.0
в отдельных квартирах	20056.0	19969.0	666.0	10263.0	7686.0	12595.0	3566.0	3795.0	13083.0	12284.0	10128.0	2425.0	2044.0	4244.0	-	42.0
в коммунальных квартирах	266.0	262.0	7.0	95.0	138.0	112.0	128.0	45.0	113.0	106.0	78.0	26.0	11.0	37.0	-	2.0
Кировская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	548849.0	546664.0	52807.0	175035.0	266140.0	288098.0	16542.0	244314.0	414282.0	318595.0	285335.0	222840.0	25080.0	239782.0	50.0	1024.0
в том числе:																
в индивидуальных домах	123993.0	123399.0	4613.0	5273.0	88581.0	1967.0	9454.0	113678.0	50169.0	13537.0	5512.0	645.0	1625.0	1719.0	22.0	185.0
в отдельных квартирах	412061.0	410634.0	47219.0	164970.0	171957.0	276351.0	6961.0	127957.0	352661.0	294777.0	271780.0	215011.0	22927.0	231049.0	28.0	699.0
в коммунальных квартирах	12795.0	12631.0	975.0	4792.0	5602.0	9780.0	127.0	2679.0	11452.0	10281.0	8043.0	7184.0	528.0	7014.0	-	140.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	385589.0	384190.0	46713.0	163402.0	146397.0	265121.0	9685.0	109799.0	321227.0	279860.0	257660.0	212872.0	22025.0	227526.0	35.0	793.0
в том числе:																
в индивидуальных домах	48314.0	48114.0	2037.0	3119.0	31699.0	1462.0	4961.0	42142.0	17908.0	6071.0	2588.0	503.0	831.0	984.0	12.0	93.0
в отдельных квартирах	324932.0	323887.0	43750.0	155580.0	109333.0	254121.0	4621.0	65152.0	292204.0	263767.0	247218.0	205313.0	20684.0	219664.0	23.0	568.0
в коммунальных квартирах	12343.0	12189.0	926.0	4703.0	5365.0	9538.0	103.0	2505.0	11115.0	10022.0	7854.0	7056.0	510.0	6878.0	-	132.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	163260.0	162474.0	6094.0	11633.0	119743.0	22977.0	6857.0	134515.0	93055.0	38735.0	27675.0	9968.0	3055.0	12256.0	15.0	231.0
в том числе:																
в индивидуальных домах	75679.0	75285.0	2576.0	2154.0	56882.0	505.0	4493.0	71536.0	32261.0	7466.0	2924.0	142.0	794.0	735.0	10.0	92.0
в отдельных квартирах	87129.0	86747.0	3469.0	9390.0	62624.0	22230.0	2340.0	62805.0	60457.0	31010.0	24562.0	9698.0	2243.0	11385.0	5.0	131.0
в коммунальных квартирах	452.0	442.0	49.0	89.0	237.0	242.0	24.0	174.0	337.0	259.0	189.0	128.0	18.0	136.0	-	8.0
Нижегородская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	1286252.0	1278239.0	61617.0	931165.0	218232.0	819190.0	247459.0	208108.0	1040072.0	937676.0	860856.0	454508.0	329232.0	750231.0	168.0	4223.0
в том числе:																
в индивидуальных домах	324116.0	322038.0	8542.0	125005.0	143236.0	5968.0	152473.0	163111.0	124345.0	48795.0	24355.0	1313.0	18697.0	13060.0	115.0	862.0
в отдельных квартирах	944721.0	939173.0	52429.0	791611.0	73878.0	800845.0	91506.0	43941.0	900456.0	874596.0	827527.0	448833.0	305837.0	729409.0	53.0	3013.0
в коммунальных квартирах	17415.0	17028.0	646.0	14549.0	1118.0	12377.0	3480.0	1056.0	15271.0	14285.0	8974.0	4362.0	4698.0	7762.0	-	348.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	982759.0	976652.0	52096.0	817499.0	78550.0	762090.0	143614.0	66113.0	888928.0	835950.0	780145.0	440825.0	294423.0	706298.0	92.0	3476.0
в том числе:																
в индивидуальных домах	128800.0	127969.0	3884.0	72535.0	36339.0	3833.0	81411.0	41075.0	63652.0	27727.0	15459.0	1114.0	12807.0	9048.0	51.0	386.0
в отдельных квартирах	837489.0	832579.0	47620.0	730830.0	41427.0	746196.0	59015.0	24301.0	810545.0	794330.0	756022.0	435489.0	277026.0	689694.0	41.0	2757.0
в коммунальных квартирах	16470.0	16104.0	592.0	14134.0	784.0	12061.0	3188.0	737.0	14731.0	13893.0	8664.0	4222.0	4590.0	7556.0	-	333.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	303493.0	301587.0	9521.0	113666.0	139682.0	57100.0	103845.0	141995.0	151144.0	101726.0	80711.0	13683.0	34809.0	43933.0	76.0	747.0
в том числе:																
в индивидуальных домах	195316.0	194069.0	4658.0	52470.0	106897.0	2135.0	71062.0	122036.0	60693.0	21068.0	8896.0	199.0	5890.0	4012.0	64.0	476.0
в отдельных квартирах	107232.0	106594.0	4809.0	60781.0	32451.0	54649.0	32491.0	19640.0	89911.0	80266.0	71505.0	13344.0	28811.0	39715.0	12.0	256.0
в коммунальных квартирах	945.0	924.0	54.0	415.0	334.0	316.0	292.0	319.0	540.0	392.0	310.0	140.0	108.0	206.0	-	15.0
Оренбургская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	728632.0	726554.0	15846.0	604595.0	100256.0	371030.0	278287.0	75202.0	530278.0	466021.0	398045.0	267726.0	95329.0	351899.0	54.0	861.0
в том числе:																
в индивидуальных домах	273008.0	272258.0	3330.0	208071.0	56600.0	12139.0	202763.0	55921.0	116170.0	72306.0	33528.0	1593.0	23203.0	20263.0	42.0	251.0
в отдельных квартирах	450183.0	448907.0	12051.0	392296.0	43126.0	355350.0	74088.0	18904.0	409749.0	389861.0	361657.0	264120.0	71325.0	329063.0	11.0	561.0
в коммунальных квартирах	5441.0	5389.0	465.0	4228.0	530.0	3541.0	1436.0	377.0	4359.0	3854.0	2860.0	2013.0	801.0	2573.0	1.0	49.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	420248.0	418747.0	11245.0	388358.0	18365.0	319140.0	81700.0	15340.0	372640.0	346275.0	322568.0	251498.0	62657.0	306155.0	33.0	739.0
в том числе:																
в индивидуальных домах	89348.0	88974.0	1120.0	79380.0	7569.0	5140.0	70891.0	11056.0	49675.0	28146.0	15013.0	1261.0	12177.0	10611.0	25.0	182.0
в отдельных квартирах	326514.0	325423.0	9689.0	305481.0	10511.0	310829.0	9849.0	4099.0	319174.0	314722.0	304997.0	248347.0	49793.0	293191.0	8.0	522.0
в коммунальных квартирах	4386.0	4350.0	436.0	3497.0	285.0	3171.0	960.0	185.0	3791.0	3407.0	2558.0	1890.0	687.0	2353.0	-	35.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	308384.0	307807.0	4601.0	216237.0	81891.0	51890.0	196587.0	59862.0	157638.0	119746.0	75477.0	16228.0	32672.0	45744.0	21.0	122.0
в том числе:																
в индивидуальных домах	183660.0	183284.0	2210.0	128691.0	49031.0	6999.0	131872.0	44865.0	66495.0	44160.0	18515.0	332.0	11026.0	9652.0	17.0	69.0
в отдельных квартирах	123669.0	123484.0	2362.0	86815.0	32615.0	44521.0	64239.0	14805.0	90575.0	75139.0	56660.0	15773.0	21532.0	35872.0	3.0	39.0
в коммунальных квартирах	1055.0	1039.0	29.0	731.0	245.0	370.0	476.0	192.0	568.0	447.0	302.0	123.0	114.0	220.0	1.0	14.0
Пензенская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	527136.0	525012.0	15153.0	406051.0	77371.0	238726.0	168602.0	111753.0	357747.0	308941.0	272235.0	155593.0	78748.0	228306.0	144.0	1068.0
в том числе:																
в индивидуальных домах	215038.0	214075.0	5641.0	127350.0	61536.0	4031.0	115593.0	91449.0	75807.0	45993.0	27998.0	414.0	12499.0	11373.0	99.0	373.0
в отдельных квартирах	305515.0	304453.0	9337.0	272699.0	15615.0	230037.0	51747.0	19801.0	276281.0	257900.0	241225.0	153079.0	65197.0	214187.0	43.0	601.0
в коммунальных квартирах	6583.0	6484.0	175.0	6002.0	220.0	4658.0	1262.0	503.0	5659.0	5048.0	3012.0	2100.0	1052.0	2746.0	2.0	94.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	330575.0	329234.0	9245.0	301978.0	12209.0	224152.0	79388.0	22565.0	276621.0	252733.0	232407.0	150090.0	66178.0	211437.0	74.0	766.0
в том числе:																
в индивидуальных домах	69797.0	69412.0	1028.0	58638.0	6890.0	2528.0	51901.0	13710.0	32765.0	20088.0	12098.0	303.0	7263.0	6545.0	46.0	157.0
в отдельных квартирах	254477.0	253613.0	8056.0	237474.0	5203.0	216999.0	26359.0	8450.0	238320.0	227698.0	217367.0	147691.0	57875.0	202162.0	26.0	522.0
в коммунальных квартирах	6301.0	6209.0	161.0	5866.0	116.0	4625.0	1128.0	405.0	5536.0	4947.0	2942.0	2096.0	1040.0	2730.0	2.0	87.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	196561.0	195778.0	5908.0	104073.0	65162.0	14574.0	89214.0	89188.0	81126.0	56208.0	39828.0	5503.0	12570.0	16869.0	70.0	302.0
в том числе:																
в индивидуальных домах	145241.0	144663.0	4613.0	68712.0	54646.0	1503.0	63692.0	77739.0	43042.0	25905.0	15900.0	111.0	5236.0	4828.0	53.0	216.0
в отдельных квартирах	51038.0	50840.0	1281.0	35225.0	10412.0	13038.0	25388.0	11351.0	37961.0	30202.0	23858.0	5388.0	7322.0	12025.0	17.0	79.0
в коммунальных квартирах	282.0	275.0	14.0	136.0	104.0	33.0	134.0	98.0	123.0	101.0	70.0	4.0	12.0	16.0	-	7.0
Пермская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	951107.0	943795.0	51898.0	600732.0	210789.0	636060.0	48222.0	265196.0	734459.0	658188.0	613034.0	528441.0	49597.0	562504.0	127.0	4036.0
в том числе:																
в индивидуальных домах	199242.0	197159.0	10334.0	23017.0	113842.0	7404.0	31418.0	162624.0	59068.0	18007.0	7768.0	1347.0	3717.0	3674.0	74.0	775.0
в отдельных квартирах	730167.0	725453.0	40690.0	561086.0	94604.0	610108.0	16374.0	100514.0	656022.0	621394.0	591233.0	514485.0	44578.0	546314.0	34.0	2824.0
в коммунальных квартирах	21698.0	21183.0	874.0	16629.0	2343.0	18548.0	430.0	2058.0	19369.0	18787.0	14033.0	12609.0	1302.0	12516.0	19.0	437.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	715573.0	710555.0	39705.0	568783.0	70949.0	600599.0	27494.0	81075.0	641108.0	609163.0	578632.0	512065.0	45110.0	542825.0	77.0	3200.0
в том числе:																
в индивидуальных домах	76075.0	75310.0	4038.0	19877.0	34683.0	5512.0	20856.0	48807.0	30487.0	9788.0	4516.0	983.0	2730.0	2613.0	35.0	380.0
в отдельных квартирах	618748.0	614993.0	34850.0	532603.0	34342.0	576980.0	6281.0	30646.0	591792.0	580990.0	560345.0	498594.0	41131.0	527857.0	23.0	2399.0
в коммунальных квартирах	20750.0	20252.0	817.0	16303.0	1924.0	18107.0	357.0	1622.0	18829.0	18385.0	13771.0	12488.0	1249.0	12355.0	19.0	421.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	235534.0	233240.0	12193.0	31949.0	139840.0	35461.0	20728.0	184121.0	93351.0	49025.0	34402.0	16376.0	4487.0	19679.0	50.0	836.0
в том числе:																
в индивидуальных домах	123167.0	121849.0	6296.0	3140.0	79159.0	1892.0	10562.0	113817.0	28581.0	8219.0	3252.0	364.0	987.0	1061.0	39.0	395.0
в отдельных квартирах	111419.0	110460.0	5840.0	28483.0	60262.0	33128.0	10093.0	69868.0	64230.0	40404.0	30888.0	15891.0	3447.0	18457.0	11.0	425.0
в коммунальных квартирах	948.0	931.0	57.0	326.0	419.0	441.0	73.0	436.0	540.0	402.0	262.0	121.0	53.0	161.0	-	16.0
Коми–Пермяцкий автономный округ																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	46106.0	45841.0	1882.0	4002.0	27400.0	5379.0	2066.0	39247.0	8719.0	5813.0	4867.0	84.0	2112.0	2104.0	2.0	95.0
в том числе:																
в индивидуальных домах	24038.0	23889.0	798.0	30.0	14997.0	136.0	1259.0	23066.0	1638.0	310.0	129.0	9.0	48.0	41.0	1.0	48.0
в отдельных квартирах	21925.0	21814.0	1074.0	3945.0	12336.0	5200.0	799.0	16093.0	7027.0	5456.0	4704.0	72.0	2054.0	2054.0	1.0	43.0
в коммунальных квартирах	143.0	138.0	10.0	27.0	67.0	43.0	8.0	88.0	54.0	47.0	34.0	3.0	10.0	9.0	-	4.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	11038.0	10974.0	904.0	3919.0	4678.0	4996.0	785.0	5461.0	5630.0	5217.0	4613.0	53.0	2070.0	2041.0	-	32.0
в том числе:																
в индивидуальных домах	3196.0	3171.0	276.0	7.0	2338.0	51.0	493.0	2846.0	358.0	133.0	54.0	2.0	30.0	18.0	-	7.0
в отдельных квартирах	7763.0	7728.0	621.0	3885.0	2325.0	4905.0	286.0	2586.0	5226.0	5039.0	4525.0	48.0	2030.0	2014.0	-	21.0
в коммунальных квартирах	79.0	75.0	7.0	27.0	15.0	40.0	6.0	29.0	46.0	45.0	34.0	3.0	10.0	9.0	-	4.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	35068.0	34867.0	978.0	83.0	22722.0	383.0	1281.0	33786.0	3089.0	596.0	254.0	31.0	42.0	63.0	2.0	63.0
в том числе:																
в индивидуальных домах	20842.0	20718.0	522.0	23.0	12659.0	85.0	766.0	20220.0	1280.0	177.0	75.0	7.0	18.0	23.0	1.0	41.0
в отдельных квартирах	14162.0	14086.0	453.0	60.0	10011.0	295.0	513.0	13507.0	1801.0	417.0	179.0	24.0	24.0	40.0	1.0	22.0
в коммунальных квартирах	64.0	63.0	3.0	-	52.0	3.0	2.0	59.0	8.0	2.0	-	-	-	-	-	-
Самарская  область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	1103894.0	1097615.0	211615.0	812458.0	52895.0	830760.0	193130.0	64242.0	951358.0	899860.0	831001.0	567361.0	210054.0	754953.0	134.0	4093.0
в том числе:																
в индивидуальных домах	206987.0	205712.0	6829.0	148127.0	37412.0	6597.0	141921.0	52202.0	86791.0	49914.0	20481.0	1224.0	12562.0	10316.0	107.0	675.0
в отдельных квартирах	870374.0	865947.0	200064.0	644315.0	14920.0	801527.0	49188.0	10996.0	840229.0	826380.0	792667.0	555370.0	190728.0	728389.0	27.0	2879.0
в коммунальных квартирах	26533.0	25956.0	4722.0	20016.0	563.0	22636.0	2021.0	1044.0	24338.0	23566.0	17853.0	10767.0	6764.0	16248.0	-	539.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	879229.0	873937.0	204479.0	640647.0	21828.0	779526.0	65201.0	25273.0	827424.0	805194.0	771478.0	561539.0	185020.0	726612.0	77.0	3602.0
в том числе:																
в индивидуальных домах	77009.0	76333.0	2729.0	55275.0	15330.0	3490.0	52949.0	18254.0	38677.0	20639.0	9795.0	1055.0	7121.0	5874.0	56.0	387.0
в отдельных квартирах	776453.0	772407.0	197074.0	565925.0	6054.0	753669.0	10572.0	6072.0	764919.0	761353.0	744018.0	549743.0	171205.0	704583.0	21.0	2681.0
в коммунальных квартирах	25767.0	25197.0	4676.0	19447.0	444.0	22367.0	1680.0	947.0	23828.0	23202.0	17665.0	10741.0	6694.0	16155.0	-	534.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	224665.0	223678.0	7136.0	171811.0	31067.0	51234.0	127929.0	38969.0	123934.0	94666.0	59523.0	5822.0	25034.0	28341.0	57.0	491.0
в том числе:																
в индивидуальных домах	129978.0	129379.0	4100.0	92852.0	22082.0	3107.0	88972.0	33948.0	48114.0	29275.0	10686.0	169.0	5441.0	4442.0	51.0	288.0
в отдельных квартирах	93921.0	93540.0	2990.0	78390.0	8866.0	47858.0	38616.0	4924.0	75310.0	65027.0	48649.0	5627.0	19523.0	23806.0	6.0	198.0
в коммунальных квартирах	766.0	759.0	46.0	569.0	119.0	269.0	341.0	97.0	510.0	364.0	188.0	26.0	70.0	93.0	-	5.0
Саратовская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	943242.0	937811.0	18694.0	849916.0	44698.0	506105.0	317575.0	99890.0	684828.0	615000.0	557922.0	370405.0	125529.0	478608.0	276.0	2948.0
в том числе:																
в индивидуальных домах	289340.0	287727.0	5295.0	236271.0	29427.0	3507.0	210296.0	65747.0	101413.0	55146.0	34290.0	1083.0	18646.0	16130.0	187.0	632.0
в отдельных квартирах	639843.0	636364.0	12816.0	600754.0	15157.0	493718.0	105163.0	31573.0	571095.0	548703.0	517190.0	365415.0	104659.0	457096.0	86.0	2024.0
в коммунальных квартирах	14059.0	13720.0	583.0	12891.0	114.0	8880.0	2116.0	2570.0	12320.0	11151.0	6442.0	3907.0	2224.0	5382.0	3.0	292.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	694268.0	690039.0	14615.0	655116.0	10078.0	487191.0	150572.0	44846.0	593561.0	544792.0	503783.0	366367.0	102885.0	454444.0	148.0	2498.0
в том числе:																
в индивидуальных домах	140371.0	139487.0	2637.0	123944.0	6604.0	2677.0	108359.0	24264.0	67954.0	33897.0	20919.0	939.0	12482.0	10836.0	91.0	389.0
в отдельных квартирах	540237.0	537226.0	11402.0	518592.0	3399.0	475691.0	40322.0	18099.0	513422.0	499855.0	476500.0	361546.0	88208.0	438266.0	54.0	1819.0
в коммунальных квартирах	13660.0	13326.0	576.0	12580.0	75.0	8823.0	1891.0	2483.0	12185.0	11040.0	6364.0	3882.0	2195.0	5342.0	3.0	290.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	248974.0	247772.0	4079.0	194800.0	34620.0	18914.0	167003.0	55044.0	91267.0	70208.0	54139.0	4038.0	22644.0	24164.0	128.0	450.0
в том числе:																
в индивидуальных домах	148969.0	148240.0	2658.0	112327.0	22823.0	830.0	101937.0	41483.0	33459.0	21249.0	13371.0	144.0	6164.0	5294.0	96.0	243.0
в отдельных квартирах	99606.0	99138.0	1414.0	82162.0	11758.0	18027.0	64841.0	13474.0	57673.0	48848.0	40690.0	3869.0	16451.0	18830.0	32.0	205.0
в коммунальных квартирах	399.0	394.0	7.0	311.0	39.0	57.0	225.0	87.0	135.0	111.0	78.0	25.0	29.0	40.0	-	2.0
Ульяновская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	487438.0	486029.0	89236.0	261451.0	121237.0	281056.0	94619.0	110259.0	363633.0	324353.0	283398.0	190311.0	56373.0	239853.0	37.0	710.0
в том числе:																
в индивидуальных домах	151191.0	150775.0	2689.0	58105.0	82022.0	3362.0	63259.0	84575.0	50990.0	25962.0	8754.0	317.0	4616.0	3326.0	26.0	139.0
в отдельных квартирах	328382.0	327459.0	83076.0	199279.0	39002.0	270905.0	30619.0	25483.0	305242.0	291354.0	269423.0	185679.0	51153.0	231775.0	11.0	507.0
в коммунальных квартирах	7865.0	7795.0	3471.0	4067.0	213.0	6789.0	741.0	201.0	7401.0	7037.0	5221.0	4315.0	604.0	4752.0	-	64.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	345025.0	343946.0	86569.0	209981.0	41682.0	266069.0	46528.0	30601.0	303749.0	285450.0	259924.0	187316.0	49465.0	230714.0	20.0	596.0
в том числе:																
в индивидуальных домах	56062.0	55872.0	990.0	30894.0	22456.0	2472.0	32709.0	20913.0	26322.0	14578.0	5252.0	276.0	3498.0	2467.0	11.0	62.0
в отдельных квартирах	281278.0	280459.0	82129.0	175137.0	19045.0	256885.0	13138.0	9521.0	270142.0	263927.0	249521.0	182757.0	45376.0	223534.0	9.0	470.0
в коммунальных квартирах	7685.0	7615.0	3450.0	3950.0	181.0	6712.0	681.0	167.0	7285.0	6945.0	5151.0	4283.0	591.0	4713.0	-	64.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	142413.0	142083.0	2667.0	51470.0	79555.0	14987.0	48091.0	79658.0	59884.0	38903.0	23474.0	2995.0	6908.0	9139.0	17.0	114.0
в том числе:																
в индивидуальных домах	95129.0	94903.0	1699.0	27211.0	59566.0	890.0	30550.0	63662.0	24668.0	11384.0	3502.0	41.0	1118.0	859.0	15.0	77.0
в отдельных квартирах	47104.0	47000.0	947.0	24142.0	19957.0	14020.0	17481.0	15962.0	35100.0	27427.0	19902.0	2922.0	5777.0	8241.0	2.0	37.0
в коммунальных квартирах	180.0	180.0	21.0	117.0	32.0	77.0	60.0	34.0	116.0	92.0	70.0	32.0	13.0	39.0	-	-
Уральский федеральный округ																
Курганская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	361258.0	358932.0	34821.0	60956.0	250210.0	152833.0	22417.0	186581.0	168195.0	153748.0	137799.0	105176.0	10939.0	111692.0	39.0	711.0
в том числе:																
в индивидуальных домах	138772.0	137510.0	15129.0	4050.0	110130.0	5413.0	14145.0	120468.0	14191.0	7572.0	3647.0	251.0	782.0	672.0	24.0	291.0
в отдельных квартирах	219900.0	218882.0	19439.0	56312.0	138554.0	145509.0	8189.0	65603.0	152110.0	144365.0	132708.0	103671.0	10099.0	109807.0	15.0	379.0
в коммунальных квартирах	2586.0	2540.0	253.0	594.0	1526.0	1911.0	83.0	510.0	1894.0	1811.0	1444.0	1254.0	58.0	1213.0	-	41.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	198863.0	197968.0	18595.0	56638.0	119541.0	136501.0	10766.0	50630.0	140193.0	134857.0	124253.0	103275.0	9823.0	109002.0	29.0	362.0
в том числе:																
в индивидуальных домах	40852.0	40491.0	5035.0	3358.0	30840.0	2688.0	6822.0	31377.0	4763.0	3003.0	1331.0	187.0	460.0	364.0	16.0	123.0
