5.5. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И ПОЛУ						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В процентах ко всему населению		
безработные	177106.0	86155.0	90951.0	8.8	9.1	8.5
из них:						
учащиеся	18394.0	7608.0	10786.0	0.9	0.8	1.0
пенсионеры	19157.0	9849.0	9308.0	0.9	1.0	0.9
Экономически неактивное население	638005.0	257799.0	380206.0	31.6	27.2	35.6
Новосибирская область						
Все население в возрасте 15-64 лет	1881911.0	881583.0	1000328.0	100.0	100.0	100.0
Экономически активное население	1279156.0	650461.0	628695.0	68.0	73.8	62.8
в том числе:						
занятые в экономике	1159467.0	592167.0	567300.0	61.6	67.2	56.7
из них:						
учащиеся	62917.0	25608.0	37309.0	3.3	2.9	3.7
пенсионеры	64878.0	28188.0	36690.0	3.4	3.2	3.7
безработные	119689.0	58294.0	61395.0	6.4	6.6	6.1
из них:						
учащиеся	18717.0	8164.0	10553.0	1.0	0.9	1.1
пенсионеры	10444.0	4945.0	5499.0	0.6	0.6	0.5
Экономически неактивное население	602712.0	231110.0	371602.0	32.0	26.2	37.1
Омская область						
Все население в возрасте 15-64 лет	1444489.0	676855.0	767634.0	100.0	100.0	100.0
Экономически активное население	932437.0	475481.0	456956.0	64.6	70.2	59.5
в том числе:						
занятые в экономике	827109.0	423379.0	403730.0	57.3	62.5	52.6
из них:						
учащиеся	32120.0	12868.0	19252.0	2.2	1.9	2.5
пенсионеры	42009.0	18267.0	23742.0	2.9	2.7	3.1
безработные	105328.0	52102.0	53226.0	7.3	7.7	6.9
из них:						
учащиеся	11578.0	5353.0	6225.0	0.8	0.8	0.8
пенсионеры	7741.0	3932.0	3809.0	0.5	0.6	0.5
Экономически неактивное население	511349.0	201046.0	310303.0	35.4	29.7	40.4
Томская область						
Все население в возрасте 15-64 лет	754587.0	359835.0	394752.0	100.0	100.0	100.0
Экономически активное население	495641.0	251796.0	243845.0	65.7	70.0	61.8
в том числе:						
занятые в экономике	430823.0	219316.0	211507.0	57.1	61.0	53.6
из них:						
учащиеся	27362.0	12477.0	14885.0	3.6	3.5	3.8
пенсионеры	31015.0	12929.0	18086.0	4.1	3.6	4.6
безработные	64818.0	32480.0	32338.0	8.6	9.0	8.2
из них:						
учащиеся	10178.0	4684.0	5494.0	1.3	1.3	1.4
пенсионеры	4878.0	2313.0	2565.0	0.6	0.6	0.6
Экономически неактивное население	258946.0	108039.0	150907.0	34.3	30.0	38.2
Читинская область						
Все население в возрасте 15-64 лет	772390.0	366748.0	405642.0	100.0	100.0	100.0
Экономически активное население	498231.0	253250.0	244981.0	64.5	69.1	60.4
в том числе:						
занятые в экономике	410344.0	209821.0	200523.0	53.1	57.2	49.4
из них:						
учащиеся	22124.0	8900.0	13224.0	2.9	2.4	3.3
пенсионеры	22214.0	8969.0	13245.0	2.9	2.4	3.3
безработные	87887.0	43429.0	44458.0	11.4	11.9	11.0
из них:						
учащиеся	5662.0	2335.0	3327.0	0.7	0.6	0.8
пенсионеры	6840.0	3318.0	3522.0	0.9	0.9	0.9
Экономически неактивное население	265563.0	109957.0	155606.0	34.4	30.0	38.4
Агинский Бурятский автономный округ						
Все население в возрасте 15-64 лет	46342.0	22554.0	23788.0	100.0	100.0	100.0
Экономически активное население	27501.0	13849.0	13652.0	59.3	61.4	57.4
в том числе:						
занятые в экономике	20965.0	10167.0	10798.0	45.2	45.1	45.4
из них:						
учащиеся	1408.0	522.0	886.0	3.0	2.3	3.7
пенсионеры	1303.0	447.0	856.0	2.8	2.0	3.6
безработные	6536.0	3682.0	2854.0	14.1	16.3	12.0
из них:						
учащиеся	366.0	153.0	213.0	0.8	0.7	0.9
пенсионеры	333.0	170.0	163.0	0.7	0.8	0.7
Экономически неактивное население	18731.0	8656.0	10075.0	40.4	38.4	42.4
Дальневосточный федеральный округ						
Все население в возрасте 15-64 лет	4757757.0	2287622.0	2470135.0	100.0	100.0	100.0
Экономически активное население	3267438.0	1675942.0	1591496.0	68.7	73.3	64.4
в том числе:						
занятые в экономике	2869370.0	1479476.0	1389894.0	60.3	64.7	56.3
из них:						
учащиеся	144182.0	62377.0	81805.0	3.0	2.7	3.3
пенсионеры	275218.0	111833.0	163385.0	5.8	4.9	6.6
безработные	398068.0	196466.0	201602.0	8.4	8.6	8.1
из них:						
учащиеся	39405.0	16884.0	22521.0	0.8	0.7	0.9
пенсионеры	44743.0	22207.0	22536.0	0.9	1.0	0.9
Экономически неактивное население	1415705.0	576749.0	838956.0	29.8	25.2	34.0
Республика Саха (Якутия)						
Все население в возрасте 15-64 лет	658753.0	320229.0	338524.0	100.0	100.0	100.0
Экономически активное население	464075.0	235876.0	228199.0	70.4	73.7	67.4
в том числе:						
занятые в экономике	418585.0	211939.0	206646.0	63.5	66.2	61.0
из них:						
учащиеся	27426.0	11159.0	16267.0	4.2	3.5	4.8
пенсионеры	44921.0	15466.0	29455.0	6.8	4.8	8.7
безработные	45490.0	23937.0	21553.0	6.9	7.5	6.4
из них:						
учащиеся	5531.0	2457.0	3074.0	0.8	0.8	0.9
пенсионеры	5007.0	2188.0	2819.0	0.8	0.7	0.8
Экономически неактивное население	187272.0	80949.0	106323.0	28.4	25.3	31.4
Приморский край						
Все население в возрасте 15-64 лет	1468907.0	701605.0	767302.0	100.0	100.0	100.0
Экономически активное население	998462.0	512976.0	485486.0	68.0	73.1	63.3
в том числе:						
занятые в экономике	868386.0	450969.0	417417.0	59.1	64.3	54.4
из них:						
учащиеся	30721.0	13857.0	16864.0	2.1	2.0	2.2
пенсионеры	63433.0	28036.0	35397.0	4.3	4.0	4.6
безработные	130076.0	62007.0	68069.0	8.9	8.8	8.9
из них:						
учащиеся	11993.0	5330.0	6663.0	0.8	0.8	0.9
пенсионеры	13794.0	7280.0	6514.0	0.9	1.0	0.8
Экономически неактивное население	438451.0	174185.0	264266.0	29.8	24.8	34.4
Хабаровский край						
Все население в возрасте 15-64 лет	1022156.0	486314.0	535842.0	100.0	100.0	100.0
Экономически активное население	707953.0	358888.0	349065.0	69.3	73.8	65.1
в том числе:						
занятые в экономике	629433.0	320635.0	308798.0	61.6	65.9	57.6
из них:						
учащиеся	34770.0	15304.0	19466.0	3.4	3.1	3.6
пенсионеры	66853.0	28074.0	38779.0	6.5	5.8	7.2
безработные	78520.0	38253.0	40267.0	7.7	7.9	7.5
из них:						
учащиеся	10165.0	4394.0	5771.0	1.0	0.9	1.1
пенсионеры	10084.0	4876.0	5208.0	1.0	1.0	1.0
Экономически неактивное население	304932.0	123323.0	181609.0	29.8	25.4	33.9
Амурская область						
Все население в возрасте 15-64 лет	631101.0	300780.0	330321.0	100.0	100.0	100.0
Экономически активное население	420876.0	217164.0	203712.0	66.7	72.2	61.7
в том числе:						
занятые в экономике	363927.0	189547.0	174380.0	57.7	63.0	52.8
из них:						
учащиеся	16900.0	7501.0	9399.0	2.7	2.5	2.8
пенсионеры	23180.0	9931.0	13249.0	3.7	3.3	4.0
безработные	56949.0	27617.0	29332.0	9.0	9.2	8.9
из них:						
учащиеся	4531.0	1746.0	2785.0	0.7	0.6	0.8
пенсионеры	4922.0	2464.0	2458.0	0.8	0.8	0.7
Экономически неактивное население	205672.0	81629.0	124043.0	32.6	27.1	37.6
Камчатская область						
Все население в возрасте 15-64 лет	265963.0	133195.0	132768.0	100.0	100.0	100.0
Экономически активное население	181832.0	96405.0	85427.0	68.4	72.4	64.3
в том числе:						
занятые в экономике	158126.0	83749.0	74377.0	59.5	62.9	56.0
из них:						
учащиеся	10211.0	4345.0	5866.0	3.8	3.3	4.4
пенсионеры	21646.0	8949.0	12697.0	8.1	6.7	9.6
безработные	23706.0	12656.0	11050.0	8.9	9.5	8.3
из них:						
учащиеся	2274.0	971.0	1303.0	0.9	0.7	1.0
пенсионеры	3200.0	1655.0	1545.0	1.2	1.2	1.2
Экономически неактивное население	71960.0	30364.0	41596.0	27.1	22.8	31.3
Корякский автономный округ						
Все население в возрасте 15-64 лет	18329.0	9435.0	8894.0	100.0	100.0	100.0
Экономически активное население	13883.0	7228.0	6655.0	75.7	76.6	74.8
в том числе:						
занятые в экономике	10930.0	5446.0	5484.0	59.6	57.7	61.6
из них:						
учащиеся	376.0	130.0	246.0	2.1	1.4	2.8
пенсионеры	1702.0	572.0	1130.0	9.3	6.1	12.7
безработные	2953.0	1782.0	1171.0	16.1	18.9	13.2
из них:						
учащиеся	52.0	26.0	26.0	0.3	0.3	0.3
пенсионеры	188.0	79.0	109.0	1.0	0.8	1.2
Экономически неактивное население	4177.0	2076.0	2101.0	22.8	22.0	23.6
Магаданская область						
Все население в возрасте 15-64 лет	140069.0	68695.0	71374.0	100.0	100.0	100.0
Экономически активное население	103229.0	52497.0	50732.0	73.7	76.4	71.1
в том числе:						
занятые в экономике	89720.0	45727.0	43993.0	64.1	66.6	61.6
из них:						
учащиеся	7133.0	2979.0	4154.0	5.1	4.3	5.8
пенсионеры	13562.0	4762.0	8800.0	9.7	6.9	12.3
безработные	13509.0	6770.0	6739.0	9.6	9.8	9.5
из них:						
учащиеся	1582.0	650.0	932.0	1.1	0.9	1.3
пенсионеры	1847.0	944.0	903.0	1.3	1.4	1.3
Экономически неактивное население	33945.0	14700.0	19245.0	24.2	21.4	27.0
Сахалинская область						
Все население в возрасте 15-64 лет	399302.0	193270.0	206032.0	100.0	100.0	100.0
Экономически активное население	276140.0	142302.0	133838.0	69.2	73.6	65.0
в том числе:						
занятые в экономике	239851.0	124044.0	115807.0	60.1	64.2	56.2
из них:						
учащиеся	11067.0	4897.0	6170.0	2.8	2.5	3.0
пенсионеры	32708.0	12760.0	19948.0	8.2	6.6	9.7
безработные	36289.0	18258.0	18031.0	9.1	9.4	8.8
из них:						
учащиеся	2349.0	983.0	1366.0	0.6	0.5	0.7
пенсионеры	4709.0	2189.0	2520.0	1.2	1.1	1.2
Экономически неактивное население	119863.0	49392.0	70471.0	30.0	25.6	34.2
Еврейская автономная область						
Все население в возрасте 15-64 лет	130951.0	62241.0	68710.0	100.0	100.0	100.0
Экономически активное население	83150.0	42710.0	40440.0	63.5	68.6	58.9
в том числе:						
занятые в экономике	72245.0	37121.0	35124.0	55.2	59.6	51.1
из них:						
учащиеся	4264.0	1677.0	2587.0	3.3	2.7	3.8
пенсионеры	4374.0	1762.0	2612.0	3.3	2.8	3.8
безработные	10905.0	5589.0	5316.0	8.3	9.0	7.8
из них:						
учащиеся	737.0	261.0	476.0	0.6	0.4	0.7
пенсионеры	843.0	434.0	409.0	0.6	0.7	0.6
Экономически неактивное население	46793.0	19083.0	27710.0	35.7	30.7	40.3
Чукотский автономный округ						
Все население в возрасте 15-64 лет	40555.0	21293.0	19262.0	100.0	100.0	100.0
Экономически активное население	31721.0	17124.0	14597.0	78.2	80.4	75.8
в том числе:						
занятые в экономике	29097.0	15745.0	13352.0	71.7	73.9	69.3
из них:						
учащиеся	1690.0	658.0	1032.0	4.2	3.1	5.4
пенсионеры	4541.0	2093.0	2448.0	11.2	9.8	12.7
безработные	2624.0	1379.0	1245.0	6.5	6.5	6.5
из них:						
учащиеся	243.0	92.0	151.0	0.6	0.4	0.8
пенсионеры	337.0	177.0	160.0	0.8	0.8	0.8
Экономически неактивное население	6817.0	3124.0	3693.0	16.8	14.7	19.2
