9. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
Русские	372100.0	237238.0	216941.0	20297.0	94666.0	11797.0	28196.0	203.0	463554.0	242966.0	222220.0	20746.0	87236.0	77859.0	55267.0	226.0
Татары	28345.0	18251.0	16770.0	1481.0	7582.0	771.0	1734.0	7.0	35105.0	18439.0	16999.0	1440.0	7437.0	5352.0	3867.0	10.0
Казахи	9669.0	5836.0	5390.0	446.0	3227.0	164.0	441.0	1.0	11344.0	5470.0	5001.0	469.0	4171.0	837.0	859.0	7.0
Украинцы	17271.0	13413.0	12359.0	1054.0	1807.0	943.0	1107.0	1.0	21874.0	11837.0	10833.0	1004.0	1930.0	5549.0	2558.0	-
Башкиры	7525.0	4724.0	4310.0	414.0	2203.0	175.0	417.0	6.0	9318.0	4952.0	4486.0	466.0	2318.0	1108.0	939.0	1.0
Мордва	7545.0	5749.0	5320.0	429.0	994.0	357.0	442.0	3.0	9612.0	5345.0	4902.0	443.0	963.0	2374.0	928.0	2.0
Немцы	3898.0	2662.0	2435.0	227.0	836.0	153.0	244.0	3.0	4580.0	2479.0	2257.0	222.0	861.0	767.0	471.0	2.0
Чуваши	2508.0	1803.0	1636.0	167.0	452.0	92.0	161.0	-	3380.0	1923.0	1744.0	179.0	405.0	681.0	370.0	1.0
Белорусы	2408.0	1860.0	1698.0	162.0	276.0	125.0	146.0	1.0	2733.0	1541.0	1424.0	117.0	246.0	646.0	296.0	4.0
Сельское население	335659.0	228705.0	205886.0	22819.0	78532.0	10769.0	17561.0	92.0	374242.0	230346.0	207464.0	22882.0	47875.0	71227.0	24730.0	64.0
Русские	210511.0	141433.0	127155.0	14278.0	50300.0	6759.0	11983.0	36.0	239063.0	145624.0	130980.0	14644.0	31182.0	45183.0	17043.0	31.0
Татары	33335.0	23025.0	21140.0	1885.0	7591.0	989.0	1717.0	13.0	37357.0	23491.0	21532.0	1959.0	4241.0	7376.0	2246.0	3.0
Казахи	34174.0	22779.0	20735.0	2044.0	9267.0	905.0	1216.0	7.0	35224.0	22135.0	20158.0	1977.0	6438.0	4917.0	1727.0	7.0
Украинцы	14283.0	11300.0	10215.0	1085.0	1669.0	663.0	650.0	1.0	17351.0	10508.0	9369.0	1139.0	1209.0	4439.0	1195.0	-
Башкиры	11593.0	7590.0	6826.0	764.0	3077.0	296.0	626.0	4.0	12899.0	8124.0	7247.0	877.0	1572.0	2349.0	851.0	3.0
Мордва	13722.0	10262.0	9281.0	981.0	2107.0	662.0	686.0	5.0	16137.0	9687.0	8770.0	917.0	1319.0	4366.0	762.0	3.0
Немцы	3077.0	2206.0	1996.0	210.0	685.0	80.0	106.0	-	3368.0	2187.0	1950.0	237.0	470.0	468.0	243.0	-
Чуваши	4442.0	3003.0	2666.0	337.0	1045.0	181.0	213.0	-	5062.0	3137.0	2755.0	382.0	436.0	1207.0	281.0	1.0
Белорусы	1511.0	1197.0	1044.0	153.0	161.0	73.0	80.0	-	1722.0	1112.0	946.0	166.0	103.0	404.0	103.0	-
Пензенская область																
Все население	539752.0	362042.0	337360.0	24682.0	118454.0	19409.0	39011.0	836.0	669435.0	363825.0	339355.0	24470.0	103511.0	135756.0	65456.0	887.0
Русские	460925.0	306050.0	284910.0	21140.0	102920.0	16639.0	34985.0	331.0	580623.0	311144.0	289818.0	21326.0	91318.0	118312.0	59560.0	289.0
Татары	32363.0	22043.0	21147.0	896.0	8002.0	1008.0	1285.0	25.0	36499.0	21849.0	21011.0	838.0	6290.0	6256.0	2084.0	20.0
Мордва	28980.0	21306.0	19905.0	1401.0	4624.0	1190.0	1844.0	16.0	35016.0	20523.0	19140.0	1383.0	3907.0	8179.0	2393.0	14.0
Украинцы	5396.0	4401.0	4091.0	310.0	423.0	258.0	311.0	3.0	6389.0	3882.0	3579.0	303.0	470.0	1358.0	677.0	2.0
Чуваши	2533.0	1801.0	1712.0	89.0	501.0	84.0	147.0	-	3117.0	1882.0	1781.0	101.0	413.0	628.0	189.0	5.0
Городское население	350308.0	232431.0	218047.0	14384.0	79239.0	11185.0	26746.0	707.0	441696.0	234085.0	219897.0	14188.0	75762.0	78878.0	52180.0	791.0
Русские	315375.0	207450.0	194752.0	12698.0	72693.0	10168.0	24828.0	236.0	403070.0	211980.0	199175.0	12805.0	69634.0	72807.0	48431.0	218.0
Татары	11231.0	7470.0	7064.0	406.0	2940.0	261.0	550.0	10.0	13312.0	7392.0	7016.0	376.0	2967.0	1685.0	1255.0	13.0
Мордва	11988.0	9161.0	8629.0	532.0	1682.0	368.0	768.0	9.0	14506.0	8545.0	8022.0	523.0	1885.0	2629.0	1439.0	8.0
Украинцы	4005.0	3280.0	3100.0	180.0	296.0	201.0	225.0	3.0	4541.0	2670.0	2512.0	158.0	352.0	962.0	555.0	2.0
Чуваши	635.0	445.0	416.0	29.0	134.0	22.0	34.0	-	782.0	468.0	437.0	31.0	134.0	93.0	87.0	-
Сельское население	189444.0	129611.0	119313.0	10298.0	39215.0	8224.0	12265.0	129.0	227739.0	129740.0	119458.0	10282.0	27749.0	56878.0	13276.0	96.0
Русские	145550.0	98600.0	90158.0	8442.0	30227.0	6471.0	10157.0	95.0	177553.0	99164.0	90643.0	8521.0	21684.0	45505.0	11129.0	71.0
Татары	21132.0	14573.0	14083.0	490.0	5062.0	747.0	735.0	15.0	23187.0	14457.0	13995.0	462.0	3323.0	4571.0	829.0	7.0
Мордва	16992.0	12145.0	11276.0	869.0	2942.0	822.0	1076.0	7.0	20510.0	11978.0	11118.0	860.0	2022.0	5550.0	954.0	6.0
Украинцы	1391.0	1121.0	991.0	130.0	127.0	57.0	86.0	-	1848.0	1212.0	1067.0	145.0	118.0	396.0	122.0	-
Чуваши	1898.0	1356.0	1296.0	60.0	367.0	62.0	113.0	-	2335.0	1414.0	1344.0	70.0	279.0	535.0	102.0	5.0
Пермская область																
Все население	1030934.0	654904.0	541448.0	113456.0	265385.0	35187.0	69293.0	6165.0	1249278.0	658469.0	545336.0	113133.0	242308.0	222141.0	119461.0	6899.0
Русские	863126.0	542665.0	450245.0	92420.0	230926.0	28530.0	59364.0	1641.0	1059891.0	553749.0	459548.0	94201.0	214155.0	185682.0	104543.0	1762.0
Татары	52495.0	35085.0	29304.0	5781.0	11721.0	2020.0	3610.0	59.0	63276.0	34928.0	29486.0	5442.0	9575.0	12883.0	5831.0	59.0
Коми-пермяки	38281.0	25128.0	18599.0	6529.0	9387.0	1623.0	2128.0	15.0	48175.0	27551.0	20639.0	6912.0	8202.0	9660.0	2753.0	9.0
Башкиры	15228.0	10300.0	8449.0	1851.0	3474.0	476.0	975.0	3.0	17756.0	10514.0	8647.0	1867.0	2867.0	2854.0	1516.0	5.0
Удмурты	9828.0	7158.0	6184.0	974.0	1801.0	409.0	459.0	1.0	14018.0	7986.0	6764.0	1222.0	2291.0	2770.0	968.0	3.0
Украинцы	12706.0	9975.0	8534.0	1441.0	1215.0	748.0	758.0	10.0	11858.0	6728.0	5928.0	800.0	1189.0	2620.0	1309.0	12.0
Белорусы	5059.0	3928.0	3414.0	514.0	465.0	343.0	317.0	6.0	5490.0	3009.0	2595.0	414.0	477.0	1478.0	520.0	6.0
Немцы	4441.0	3130.0	2715.0	415.0	813.0	241.0	253.0	4.0	4773.0	2510.0	2138.0	372.0	760.0	1038.0	459.0	6.0
Чуваши	3244.0	2293.0	1923.0	370.0	540.0	186.0	225.0	-	3551.0	2059.0	1727.0	332.0	331.0	865.0	295.0	1.0
Марийцы	2193.0	1379.0	1094.0	285.0	572.0	84.0	158.0	-	2601.0	1560.0	1237.0	323.0	369.0	455.0	217.0	-
Городское население	773591.0	490149.0	413300.0	76849.0	197238.0	25796.0	54413.0	5995.0	966745.0	494680.0	417956.0	76724.0	194425.0	166899.0	103973.0	6768.0
Русские	673118.0	423274.0	356930.0	66344.0	178095.0	21907.0	48263.0	1579.0	850903.0	434306.0	366605.0	67701.0	176099.0	146144.0	92637.0	1717.0
Татары	33910.0	22368.0	19111.0	3257.0	7591.0	1330.0	2570.0	51.0	42184.0	22172.0	19107.0	3065.0	6876.0	8400.0	4687.0	49.0
Коми-пермяки	12834.0	8721.0	6804.0	1917.0	2889.0	469.0	749.0	6.0	18658.0	9956.0	7808.0	2148.0	4003.0	3067.0	1625.0	7.0
Башкиры	7010.0	4633.0	3956.0	677.0	1720.0	193.0	462.0	2.0	8570.0	4803.0	4112.0	691.0	1677.0	1149.0	937.0	4.0
Удмурты	5605.0	4132.0	3651.0	481.0	948.0	246.0	278.0	1.0	8429.0	4561.0	3911.0	650.0	1501.0	1630.0	735.0	2.0
Украинцы	10065.0	7947.0	6950.0	997.0	919.0	611.0	580.0	8.0	10126.0	5683.0	5081.0	602.0	1008.0	2265.0	1159.0	11.0
Белорусы	3913.0	3041.0	2691.0	350.0	361.0	257.0	251.0	3.0	4389.0	2364.0	2082.0	282.0	403.0	1172.0	444.0	6.0
Немцы	3651.0	2571.0	2244.0	327.0	674.0	194.0	209.0	3.0	4034.0	2097.0	1812.0	285.0	664.0	856.0	411.0	6.0
Чуваши	1807.0	1330.0	1147.0	183.0	263.0	98.0	116.0	-	2094.0	1225.0	1068.0	157.0	193.0	447.0	228.0	1.0
Марийцы	1193.0	793.0	664.0	129.0	265.0	51.0	84.0	-	1477.0	885.0	739.0	146.0	214.0	223.0	155.0	-
Сельское население	257343.0	164755.0	128148.0	36607.0	68147.0	9391.0	14880.0	170.0	282533.0	163789.0	127380.0	36409.0	47883.0	55242.0	15488.0	131.0
Русские	190008.0	119391.0	93315.0	26076.0	52831.0	6623.0	11101.0	62.0	208988.0	119443.0	92943.0	26500.0	38056.0	39538.0	11906.0	45.0
Татары	18585.0	12717.0	10193.0	2524.0	4130.0	690.0	1040.0	8.0	21092.0	12756.0	10379.0	2377.0	2699.0	4483.0	1144.0	10.0
Коми-пермяки	25447.0	16407.0	11795.0	4612.0	6498.0	1154.0	1379.0	9.0	29517.0	17595.0	12831.0	4764.0	4199.0	6593.0	1128.0	2.0
Башкиры	8218.0	5667.0	4493.0	1174.0	1754.0	283.0	513.0	1.0	9186.0	5711.0	4535.0	1176.0	1190.0	1705.0	579.0	1.0
Удмурты	4223.0	3026.0	2533.0	493.0	853.0	163.0	181.0	-	5589.0	3425.0	2853.0	572.0	790.0	1140.0	233.0	1.0
Украинцы	2641.0	2028.0	1584.0	444.0	296.0	137.0	178.0	2.0	1732.0	1045.0	847.0	198.0	181.0	355.0	150.0	1.0
Белорусы	1146.0	887.0	723.0	164.0	104.0	86.0	66.0	3.0	1101.0	645.0	513.0	132.0	74.0	306.0	76.0	-
Немцы	790.0	559.0	471.0	88.0	139.0	47.0	44.0	1.0	739.0	413.0	326.0	87.0	96.0	182.0	48.0	-
Чуваши	1437.0	963.0	776.0	187.0	277.0	88.0	109.0	-	1457.0	834.0	659.0	175.0	138.0	418.0	67.0	-
Марийцы	1000.0	586.0	430.0	156.0	307.0	33.0	74.0	-	1124.0	675.0	498.0	177.0	155.0	232.0	62.0	-
Коми–Пермяцкий автономный округ																
Все население	48934.0	31199.0	22648.0	8551.0	13034.0	2133.0	2548.0	20.0	55433.0	31407.0	22862.0	8545.0	10084.0	11340.0	2591.0	11.0
Коми-пермяки	29790.0	19203.0	13846.0	5357.0	7652.0	1352.0	1572.0	11.0	34846.0	19692.0	14290.0	5402.0	5895.0	7671.0	1585.0	3.0
Русские	17356.0	10641.0	7769.0	2872.0	5130.0	681.0	899.0	5.0	18976.0	10724.0	7797.0	2927.0	4004.0	3320.0	925.0	3.0
Городское население	12359.0	7861.0	5845.0	2016.0	3390.0	480.0	624.0	4.0	15818.0	7970.0	5956.0	2014.0	3958.0	2776.0	1107.0	7.0
Коми-пермяки	7126.0	4740.0	3518.0	1222.0	1734.0	287.0	363.0	2.0	9498.0	4825.0	3584.0	1241.0	2192.0	1763.0	716.0	2.0
Русские	4889.0	2868.0	2129.0	739.0	1596.0	177.0	246.0	2.0	5924.0	2909.0	2182.0	727.0	1697.0	946.0	370.0	2.0
Сельское население	36575.0	23338.0	16803.0	6535.0	9644.0	1653.0	1924.0	16.0	39615.0	23437.0	16906.0	6531.0	6126.0	8564.0	1484.0	4.0
Коми-пермяки	22664.0	14463.0	10328.0	4135.0	5918.0	1065.0	1209.0	9.0	25348.0	14867.0	10706.0	4161.0	3703.0	5908.0	869.0	1.0
Русские	12467.0	7773.0	5640.0	2133.0	3534.0	504.0	653.0	3.0	13052.0	7815.0	5615.0	2200.0	2307.0	2374.0	555.0	1.0
Самарская область																
Все население	1217459.0	773040.0	711623.0	61417.0	300594.0	42149.0	92429.0	9247.0	1477682.0	775759.0	714957.0	60802.0	251058.0	269826.0	174269.0	6770.0
Русские	996845.0	625463.0	577056.0	48407.0	255364.0	34650.0	79380.0	1988.0	1238966.0	641258.0	591547.0	49711.0	219334.0	225527.0	151791.0	1056.0
Татары	49113.0	31287.0	28864.0	2423.0	13173.0	1303.0	3241.0	109.0	57507.0	31807.0	29504.0	2303.0	9918.0	9659.0	6084.0	39.0
Чуваши	40080.0	27226.0	24899.0	2327.0	8853.0	1594.0	2378.0	29.0	48687.0	28408.0	25837.0	2571.0	6563.0	9678.0	4025.0	13.0
Мордва	35521.0	26115.0	24146.0	1969.0	5375.0	1602.0	2379.0	50.0	44346.0	24667.0	22732.0	1935.0	4474.0	11142.0	4049.0	14.0
Украинцы	26671.0	20639.0	19202.0	1437.0	2848.0	1298.0	1782.0	104.0	30865.0	17520.0	16310.0	1210.0	2547.0	6914.0	3848.0	36.0
Азербайджанцы	6759.0	4859.0	4051.0	808.0	1468.0	59.0	287.0	86.0	3452.0	2811.0	2461.0	350.0	434.0	79.0	121.0	7.0
Казахи	5640.0	3497.0	3255.0	242.0	1763.0	132.0	236.0	12.0	5785.0	3458.0	3219.0	239.0	1313.0	685.0	329.0	-
Белорусы	6229.0	4879.0	4560.0	319.0	608.0	312.0	419.0	11.0	7238.0	4079.0	3823.0	256.0	576.0	1672.0	906.0	5.0
Немцы	3970.0	2758.0	2539.0	219.0	804.0	156.0	239.0	13.0	4473.0	2374.0	2181.0	193.0	742.0	849.0	499.0	9.0
Башкиры	3208.0	1839.0	1683.0	156.0	1092.0	71.0	202.0	4.0	3359.0	1955.0	1790.0	165.0	592.0	450.0	359.0	3.0
Городское население	983358.0	616586.0	569839.0	46747.0	248248.0	32750.0	76648.0	9126.0	1207022.0	619612.0	573339.0	46273.0	215710.0	209915.0	155081.0	6704.0
Русские	833040.0	517939.0	479574.0	38365.0	217385.0	28165.0	67662.0	1889.0	1048024.0	532811.0	493269.0	39542.0	192919.0	183975.0	137299.0	1020.0
Татары	34635.0	21395.0	19733.0	1662.0	9935.0	841.0	2358.0	106.0	40975.0	21978.0	20359.0	1619.0	7974.0	5945.0	5041.0	37.0
Чуваши	16887.0	11593.0	10784.0	809.0	3723.0	532.0	1010.0	29.0	21197.0	12039.0	11095.0	944.0	3299.0	3349.0	2500.0	10.0
Мордва	20287.0	15072.0	14051.0	1021.0	2959.0	793.0	1414.0	49.0	25933.0	14249.0	13237.0	1012.0	2864.0	5848.0	2958.0	14.0
Украинцы	22668.0	17520.0	16394.0	1126.0	2402.0	1106.0	1536.0	104.0	26213.0	14704.0	13774.0	930.0	2263.0	5704.0	3509.0	33.0
Азербайджанцы	5918.0	4230.0	3544.0	686.0	1305.0	51.0	249.0	83.0	2973.0	2420.0	2125.0	295.0	369.0	71.0	106.0	7.0
Казахи	1377.0	669.0	608.0	61.0	594.0	24.0	79.0	11.0	1412.0	641.0	573.0	68.0	574.0	72.0	125.0	-
Белорусы	5456.0	4296.0	4052.0	244.0	508.0	267.0	374.0	11.0	6336.0	3537.0	3343.0	194.0	520.0	1436.0	838.0	5.0
Немцы	3198.0	2183.0	2014.0	169.0	667.0	129.0	206.0	13.0	3652.0	1858.0	1707.0	151.0	616.0	716.0	453.0	9.0
Башкиры	1794.0	886.0	811.0	75.0	766.0	28.0	110.0	4.0	1822.0	996.0	916.0	80.0	401.0	167.0	255.0	3.0
Сельское население	234101.0	156454.0	141784.0	14670.0	52346.0	9399.0	15781.0	121.0	270660.0	156147.0	141618.0	14529.0	35348.0	59911.0	19188.0	66.0
Русские	163805.0	107524.0	97482.0	10042.0	37979.0	6485.0	11718.0	99.0	190942.0	108447.0	98278.0	10169.0	26415.0	41552.0	14492.0	36.0
Татары	14478.0	9892.0	9131.0	761.0	3238.0	462.0	883.0	3.0	16532.0	9829.0	9145.0	684.0	1944.0	3714.0	1043.0	2.0
Чуваши	23193.0	15633.0	14115.0	1518.0	5130.0	1062.0	1368.0	-	27490.0	16369.0	14742.0	1627.0	3264.0	6329.0	1525.0	3.0
Мордва	15234.0	11043.0	10095.0	948.0	2416.0	809.0	965.0	1.0	18413.0	10418.0	9495.0	923.0	1610.0	5294.0	1091.0	-
Украинцы	4003.0	3119.0	2808.0	311.0	446.0	192.0	246.0	-	4652.0	2816.0	2536.0	280.0	284.0	1210.0	339.0	3.0
Азербайджанцы	841.0	629.0	507.0	122.0	163.0	8.0	38.0	3.0	479.0	391.0	336.0	55.0	65.0	8.0	15.0	-
Казахи	4263.0	2828.0	2647.0	181.0	1169.0	108.0	157.0	1.0	4373.0	2817.0	2646.0	171.0	739.0	613.0	204.0	-
Белорусы	773.0	583.0	508.0	75.0	100.0	45.0	45.0	-	902.0	542.0	480.0	62.0	56.0	236.0	68.0	-
Немцы	772.0	575.0	525.0	50.0	137.0	27.0	33.0	-	821.0	516.0	474.0	42.0	126.0	133.0	46.0	-
Башкиры	1414.0	953.0	872.0	81.0	326.0	43.0	92.0	-	1537.0	959.0	874.0	85.0	191.0	283.0	104.0	-
Саратовская область																
Все население	992780.0	643259.0	580369.0	62890.0	234273.0	36251.0	73723.0	5274.0	1212197.0	649223.0	586494.0	62729.0	195913.0	226730.0	133943.0	6388.0
Русские	844011.0	542009.0	490756.0	51253.0	202599.0	31412.0	66315.0	1676.0	1052040.0	556416.0	503686.0	52730.0	172760.0	199697.0	121321.0	1846.0
Казахи	27927.0	17969.0	16107.0	1862.0	8092.0	675.0	1150.0	41.0	30416.0	17667.0	15783.0	1884.0	6933.0	3921.0	1843.0	52.0
Украинцы	28607.0	22656.0	20752.0	1904.0	2660.0	1596.0	1673.0	22.0	34940.0	20011.0	18235.0	1776.0	2467.0	8839.0	3593.0	30.0
Татары	22299.0	14399.0	13136.0	1263.0	5834.0	693.0	1333.0	40.0	25577.0	14409.0	13232.0	1177.0	4292.0	4394.0	2449.0	33.0
Армяне	10113.0	6916.0	5930.0	986.0	2619.0	198.0	365.0	15.0	8154.0	5475.0	4855.0	620.0	1601.0	723.0	347.0	8.0
Мордва	6957.0	5168.0	4681.0	487.0	962.0	364.0	457.0	6.0	8725.0	4961.0	4477.0	484.0	723.0	2359.0	678.0	4.0
Азербайджанцы	6823.0	4873.0	3957.0	916.0	1620.0	55.0	260.0	15.0	4138.0	3170.0	2786.0	384.0	708.0	103.0	144.0	13.0
Чуваши	6166.0	4158.0	3649.0	509.0	1366.0	247.0	388.0	7.0	8273.0	4901.0	4263.0	638.0	948.0	1672.0	746.0	6.0
Белорусы	5145.0	4135.0	3734.0	401.0	485.0	245.0	278.0	2.0	6930.0	4224.0	3837.0	387.0	452.0	1626.0	621.0	7.0
Немцы	4391.0	3076.0	2733.0	343.0	1008.0	95.0	202.0	10.0	5386.0	3170.0	2770.0	400.0	949.0	761.0	500.0	6.0
Чеченцы	3163.0	1801.0	1315.0	486.0	1227.0	23.0	99.0	13.0	2316.0	1484.0	1126.0	358.0	602.0	132.0	94.0	4.0
Городское население	734124.0	468223.0	425610.0	42613.0	177239.0	26207.0	57464.0	4991.0	912946.0	472946.0	430578.0	42368.0	155530.0	163989.0	114338.0	6143.0
Русские	650339.0	412093.0	375457.0	36636.0	160232.0	23456.0	53067.0	1491.0	823687.0	424163.0	386464.0	37699.0	142497.0	149547.0	105791.0	1689.0
Казахи	5990.0	3471.0	3107.0	364.0	2133.0	95.0	275.0	16.0	7240.0	3442.0	3036.0	406.0	2556.0	582.0	635.0	25.0
Украинцы	19419.0	15404.0	14231.0	1173.0	1693.0	1096.0	1211.0	15.0	23797.0	13359.0	12331.0	1028.0	1735.0	5833.0	2846.0	24.0
Татары	14842.0	9307.0	8524.0	783.0	4110.0	446.0	950.0	29.0	17190.0	9319.0	8547.0	772.0	3121.0	2784.0	1940.0	26.0
Армяне	7421.0	5061.0	4382.0	679.0	1941.0	131.0	273.0	15.0	6006.0	3966.0	3536.0	430.0	1252.0	512.0	269.0	7.0
Мордва	3704.0	2777.0	2539.0	238.0	497.0	205.0	220.0	5.0	4707.0	2618.0	2394.0	224.0	389.0	1217.0	481.0	2.0
Азербайджанцы	4754.0	3435.0	2819.0	616.0	1085.0	38.0	182.0	14.0	2710.0	2129.0	1900.0	229.0	433.0	42.0	97.0	9.0
Чуваши	2772.0	1919.0	1719.0	200.0	592.0	81.0	175.0	5.0	3440.0	2024.0	1817.0	207.0	416.0	575.0	419.0	6.0
Белорусы	3450.0	2774.0	2554.0	220.0	315.0	166.0	193.0	2.0	4426.0	2618.0	2421.0	197.0	329.0	995.0	479.0	5.0
Немцы	1899.0	1302.0	1173.0	129.0	459.0	38.0	95.0	5.0	2397.0	1298.0	1140.0	158.0	452.0	388.0	258.0	1.0
Чеченцы	1062.0	568.0	404.0	164.0	447.0	5.0	38.0	4.0	673.0	409.0	312.0	97.0	190.0	39.0	33.0	2.0
Сельское население	258656.0	175036.0	154759.0	20277.0	57034.0	10044.0	16259.0	283.0	299251.0	176277.0	155916.0	20361.0	40383.0	62741.0	19605.0	245.0
Русские	193672.0	129916.0	115299.0	14617.0	42367.0	7956.0	13248.0	185.0	228353.0	132253.0	117222.0	15031.0	30263.0	50150.0	15530.0	157.0
Казахи	21937.0	14498.0	13000.0	1498.0	5959.0	580.0	875.0	25.0	23176.0	14225.0	12747.0	1478.0	4377.0	3339.0	1208.0	27.0
Украинцы	9188.0	7252.0	6521.0	731.0	967.0	500.0	462.0	7.0	11143.0	6652.0	5904.0	748.0	732.0	3006.0	747.0	6.0
Татары	7457.0	5092.0	4612.0	480.0	1724.0	247.0	383.0	11.0	8387.0	5090.0	4685.0	405.0	1171.0	1610.0	509.0	7.0
Армяне	2692.0	1855.0	1548.0	307.0	678.0	67.0	92.0	-	2148.0	1509.0	1319.0	190.0	349.0	211.0	78.0	1.0
Мордва	3253.0	2391.0	2142.0	249.0	465.0	159.0	237.0	1.0	4018.0	2343.0	2083.0	260.0	334.0	1142.0	197.0	2.0
Азербайджанцы	2069.0	1438.0	1138.0	300.0	535.0	17.0	78.0	1.0	1428.0	1041.0	886.0	155.0	275.0	61.0	47.0	4.0
Чуваши	3394.0	2239.0	1930.0	309.0	774.0	166.0	213.0	2.0	4833.0	2877.0	2446.0	431.0	532.0	1097.0	327.0	-
Белорусы	1695.0	1361.0	1180.0	181.0	170.0	79.0	85.0	-	2504.0	1606.0	1416.0	190.0	123.0	631.0	142.0	2.0
Немцы	2492.0	1774.0	1560.0	214.0	549.0	57.0	107.0	5.0	2989.0	1872.0	1630.0	242.0	497.0	373.0	242.0	5.0
Чеченцы	2101.0	1233.0	911.0	322.0	780.0	18.0	61.0	9.0	1643.0	1075.0	814.0	261.0	412.0	93.0	61.0	2.0
Ульяновская область																
Все население	511516.0	344127.0	316114.0	28013.0	116656.0	17170.0	33169.0	394.0	623838.0	346244.0	318470.0	27774.0	101048.0	117523.0	58733.0	290.0
Русские	367216.0	242360.0	222502.0	19858.0	86126.0	12793.0	25675.0	262.0	455340.0	245875.0	225771.0	20104.0	75229.0	88385.0	45644.0	207.0
Татары	62191.0	42474.0	39523.0	2951.0	14580.0	1702.0	3368.0	67.0	73719.0	42882.0	40109.0	2773.0	12417.0	12414.0	5968.0	38.0
Чуваши	41171.0	28932.0	26600.0	2332.0	8974.0	1172.0	2066.0	27.0	51528.0	31199.0	28507.0	2692.0	8365.0	8011.0	3934.0	19.0
Мордва	20016.0	15103.0	14113.0	990.0	3002.0	812.0	1083.0	16.0	24407.0	14316.0	13369.0	947.0	2661.0	5884.0	1535.0	11.0
Украинцы	6856.0	5403.0	4978.0	425.0	749.0	328.0	375.0	1.0	7604.0	4657.0	4287.0	370.0	690.0	1476.0	780.0	1.0
Городское население	375429.0	249397.0	230560.0	18837.0	89179.0	11390.0	25194.0	269.0	460600.0	250942.0	232382.0	18560.0	81648.0	77521.0	50269.0	220.0
Русские	285461.0	186256.0	172293.0	13963.0	69498.0	9108.0	20410.0	189.0	355837.0	189521.0	175345.0	14176.0	63125.0	62913.0	40110.0	168.0
Татары	41337.0	27801.0	25931.0	1870.0	10260.0	933.0	2300.0	43.0	49813.0	28333.0	26541.0	1792.0	9731.0	6851.0	4876.0	22.0
Чуваши	23196.0	16470.0	15298.0	1172.0	4965.0	529.0	1218.0	14.0	29780.0	17653.0	16315.0	1338.0	5573.0	3597.0	2945.0	12.0
Мордва	8912.0	6887.0	6434.0	453.0	1279.0	273.0	469.0	4.0	10666.0	6369.0	5966.0	403.0	1303.0	2043.0	947.0	4.0
Украинцы	5599.0	4411.0	4095.0	316.0	607.0	269.0	312.0	-	6081.0	3691.0	3455.0	236.0	590.0	1118.0	681.0	1.0
Сельское население	136087.0	94730.0	85554.0	9176.0	27477.0	5780.0	7975.0	125.0	163238.0	95302.0	86088.0	9214.0	19400.0	40002.0	8464.0	70.0
Русские	81755.0	56104.0	50209.0	5895.0	16628.0	3685.0	5265.0	73.0	99503.0	56354.0	50426.0	5928.0	12104.0	25472.0	5534.0	39.0
Татары	20854.0	14673.0	13592.0	1081.0	4320.0	769.0	1068.0	24.0	23906.0	14549.0	13568.0	981.0	2686.0	5563.0	1092.0	16.0
Чуваши	17975.0	12462.0	11302.0	1160.0	4009.0	643.0	848.0	13.0	21748.0	13546.0	12192.0	1354.0	2792.0	4414.0	989.0	7.0
Мордва	11104.0	8216.0	7679.0	537.0	1723.0	539.0	614.0	12.0	13741.0	7947.0	7403.0	544.0	1358.0	3841.0	588.0	7.0
Украинцы	1257.0	992.0	883.0	109.0	142.0	59.0	63.0	1.0	1523.0	966.0	832.0	134.0	100.0	358.0	99.0	-
Уральский федеральный округ																
Курганская область																
Все население	371682.0	252903.0	220536.0	32367.0	81665.0	11977.0	24764.0	373.0	454224.0	255405.0	222922.0	32483.0	72130.0	84469.0	41832.0	388.0
Русские	337361.0	228336.0	199598.0	28738.0	74955.0	10806.0	22965.0	299.0	417585.0	233428.0	203854.0	29574.0	66870.0	77832.0	39155.0	300.0
Татары	7725.0	5336.0	4628.0	708.0	1617.0	268.0	495.0	9.0	9251.0	5335.0	4638.0	697.0	1365.0	1801.0	736.0	14.0
Башкиры	5501.0	3667.0	3176.0	491.0	1384.0	154.0	292.0	4.0	6160.0	3846.0	3348.0	498.0	944.0	1019.0	346.0	5.0
Казахи	5334.0	3432.0	3028.0	404.0	1544.0	128.0	220.0	10.0	5491.0	3225.0	2878.0	347.0	1328.0	633.0	296.0	9.0
Украинцы	5134.0	4209.0	3687.0	522.0	415.0	242.0	263.0	5.0	5432.0	3313.0	2929.0	384.0	363.0	1241.0	514.0	1.0
Городское население	207987.0	139907.0	124170.0	15737.0	46331.0	6513.0	15028.0	208.0	265529.0	142557.0	126681.0	15876.0	46510.0	45677.0	30557.0	228.0
