5. ГРУППИРОВКА ГОРОДОВ И ПОСЕЛКОВ ГОРОДСКОГО ТИПА ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                          ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	в том числе городские поселения с числом жителей1)  								
численность населения	302340.0	84304.0	207919.0	10117.0	-	-	-	-	-	-
мужчины	139967.0	39153.0	96076.0	4738.0	-	-	-	-	-	-
женщины	162373.0	45151.0	111843.0	5379.0	-	-	-	-	-	-
Оренбургская область										
Число городских поселений	16.0	3.0	1.0	1.0	6.0	2.0	1.0	1.0	1.0	-
численность населения	1260128.0	5196.0	8344.0	18545.0	180225.0	141179.0	106315.0	250963.0	549361.0	-
мужчины	578997.0	2480.0	4915.0	8557.0	83327.0	64802.0	51062.0	112115.0	251739.0	-
женщины	681131.0	2716.0	3429.0	9988.0	96898.0	76377.0	55253.0	138848.0	297622.0	-
Число городов	12.0	-	-	1.0	6.0	2.0	1.0	1.0	1.0	-
численность населения	1246588.0	-	-	18545.0	180225.0	141179.0	106315.0	250963.0	549361.0	-
мужчины	571602.0	-	-	8557.0	83327.0	64802.0	51062.0	112115.0	251739.0	-
женщины	674986.0	-	-	9988.0	96898.0	76377.0	55253.0	138848.0	297622.0	-
Число поселков городского типа	4.0	3.0	1.0	-	-	-	-	-	-	-
численность населения	13540.0	5196.0	8344.0	-	-	-	-	-	-	-
мужчины	7395.0	2480.0	4915.0	-	-	-	-	-	-	-
женщины	6145.0	2716.0	3429.0	-	-	-	-	-	-	-
Пензенская область										
Число городских поселений	27.0	4.0	14.0	2.0	4.0	2.0	-	-	1.0	-
численность населения	945214.0	11630.0	109883.0	23896.0	126760.0	155020.0	-	-	518025.0	-
мужчины	428656.0	5266.0	50044.0	11038.0	57255.0	70712.0	-	-	234341.0	-
женщины	516558.0	6364.0	59839.0	12858.0	69505.0	84308.0	-	-	283684.0	-
Число городов	11.0	-	4.0	-	4.0	2.0	-	-	1.0	-
численность населения	832532.0	-	32727.0	-	126760.0	155020.0	-	-	518025.0	-
мужчины	377078.0	-	14770.0	-	57255.0	70712.0	-	-	234341.0	-
женщины	455454.0	-	17957.0	-	69505.0	84308.0	-	-	283684.0	-
Число поселков городского типа	16.0	4.0	10.0	2.0	-	-	-	-	-	-
численность населения	112682.0	11630.0	77156.0	23896.0	-	-	-	-	-	-
мужчины	51578.0	5266.0	35274.0	11038.0	-	-	-	-	-	-
женщины	61104.0	6364.0	41882.0	12858.0	-	-	-	-	-	-
Пермская область										
Число городских поселений	69.0	31.0	13.0	9.0	8.0	5.0	2.0	-	-	1.0
численность населения	2121647.0	67975.0	96725.0	121007.0	226535.0	332144.0	275608.0	-	-	1001653.0
мужчины	967708.0	31795.0	47314.0	57017.0	103512.0	150921.0	125672.0	-	-	451477.0
женщины	1153939.0	36180.0	49411.0	63990.0	123023.0	181223.0	149936.0	-	-	550176.0
Число городов	25.0	1.0	3.0	5.0	8.0	5.0	2.0	-	-	1.0
численность населения	1936562.0	4376.0	19894.0	76352.0	226535.0	332144.0	275608.0	-	-	1001653.0
мужчины	877971.0	2059.0	9018.0	35312.0	103512.0	150921.0	125672.0	-	-	451477.0
женщины	1058591.0	2317.0	10876.0	41040.0	123023.0	181223.0	149936.0	-	-	550176.0
Число поселков городского типа	44.0	30.0	10.0	4.0	-	-	-	-	-	-
численность населения	185085.0	63599.0	76831.0	44655.0	-	-	-	-	-	-
мужчины	89737.0	29736.0	38296.0	21705.0	-	-	-	-	-	-
женщины	95348.0	33863.0	38535.0	22950.0	-	-	-	-	-	-
Коми-Пермяцкий автономный округ										
Число городских поселений	2.0	1.0	-	-	1.0	-	-	-	-	-
численность населения	35740.0	3826.0	-	-	31914.0	-	-	-	-	-
мужчины	16125.0	1756.0	-	-	14369.0	-	-	-	-	-
женщины	19615.0	2070.0	-	-	17545.0	-	-	-	-	-
Число городов	1.0	-	-	-	1.0	-	-	-	-	-
численность населения	31914.0	-	-	-	31914.0	-	-	-	-	-
мужчины	14369.0	-	-	-	14369.0	-	-	-	-	-
женщины	17545.0	-	-	-	17545.0	-	-	-	-	-
Число поселков городского типа	1.0	1.0	-	-	-	-	-	-	-	-
численность населения	3826.0	3826.0	-	-	-	-	-	-	-	-
мужчины	1756.0	1756.0	-	-	-	-	-	-	-	-
женщины	2070.0	2070.0	-	-	-	-	-	-	-	-
Самарская область										
Число городских поселений	35.0	8.0	12.0	4.0	5.0	2.0	2.0	-	1.0	1.0
численность населения	2611680.0	17757.0	89486.0	58253.0	160385.0	123960.0	301080.0	-	702879.0	1157880.0
мужчины	1199236.0	8123.0	42807.0	29314.0	73223.0	55626.0	137204.0	-	330163.0	522776.0
женщины	1412444.0	9634.0	46679.0	28939.0	87162.0	68334.0	163876.0	-	372716.0	635104.0
Число городов	11.0	-	-	1.0	4.0	2.0	2.0	-	1.0	1.0
численность населения	2441651.0	-	-	19388.0	136464.0	123960.0	301080.0	-	702879.0	1157880.0
мужчины	1116953.0	-	-	8949.0	62235.0	55626.0	137204.0	-	330163.0	522776.0
женщины	1324698.0	-	-	10439.0	74229.0	68334.0	163876.0	-	372716.0	635104.0
Число поселков городского типа	24.0	8.0	12.0	3.0	1.0	-	-	-	-	-
численность населения	170029.0	17757.0	89486.0	38865.0	23921.0	-	-	-	-	-
мужчины	82283.0	8123.0	42807.0	20365.0	10988.0	-	-	-	-	-
женщины	87746.0	9634.0	46679.0	18500.0	12933.0	-	-	-	-	-
Саратовская область										
Число городских поселений	48.0	11.0	16.0	8.0	8.0	2.0	2.0	-	1.0	-
численность населения	1963858.0	33137.0	115899.0	116180.0	261679.0	169454.0	394454.0	-	873055.0	-
мужчины	895215.0	16032.0	53347.0	54549.0	119260.0	79184.0	180803.0	-	392040.0	-
женщины	1068643.0	17105.0	62552.0	61631.0	142419.0	90270.0	213651.0	-	481015.0	-
Число городов	18.0	-	1.0	5.0	7.0	2.0	2.0	-	1.0	-
численность населения	1752553.0	-	6738.0	79260.0	229592.0	169454.0	394454.0	-	873055.0	-
мужчины	795841.0	-	2983.0	36115.0	104716.0	79184.0	180803.0	-	392040.0	-
женщины	956712.0	-	3755.0	43145.0	124876.0	90270.0	213651.0	-	481015.0	-
Число поселков городского типа	30.0	11.0	15.0	3.0	1.0	-	-	-	-	-
численность населения	211305.0	33137.0	109161.0	36920.0	32087.0	-	-	-	-	-
мужчины	99374.0	16032.0	50364.0	18434.0	14544.0	-	-	-	-	-
женщины	111931.0	17105.0	58797.0	18486.0	17543.0	-	-	-	-	-
Ульяновская область										
Число городских поселений	39.0	16.0	15.0	5.0	1.0	-	1.0	-	1.0	-
численность населения	1011585.0	50323.0	104544.0	69612.0	20288.0	-	130871.0	-	635947.0	-
мужчины	465225.0	22788.0	47970.0	32754.0	9199.0	-	61231.0	-	291283.0	-
женщины	546360.0	27535.0	56574.0	36858.0	11089.0	-	69640.0	-	344664.0	-
Число городов	6.0	-	1.0	2.0	1.0	-	1.0	-	1.0	-
численность населения	831999.0	-	8396.0	36497.0	20288.0	-	130871.0	-	635947.0	-
мужчины	382902.0	-	3795.0	17394.0	9199.0	-	61231.0	-	291283.0	-
женщины	449097.0	-	4601.0	19103.0	11089.0	-	69640.0	-	344664.0	-
Число поселков городского типа	33.0	16.0	14.0	3.0	-	-	-	-	-	-
численность населения	179586.0	50323.0	96148.0	33115.0	-	-	-	-	-	-
мужчины	82323.0	22788.0	44175.0	15360.0	-	-	-	-	-	-
женщины	97263.0	27535.0	51973.0	17755.0	-	-	-	-	-	-
Уральский федеральный округ										
Число городских поселений	288.0	96.0	49.0	59.0	50.0	21.0	6.0	4.0	1.0	2.0
численность населения	9991785.0	237562.0	345864.0	831562.0	1715506.0	1522001.0	1018275.0	1439585.0	510719.0	2370711.0
мужчины	4652913.0	112314.0	169710.0	396418.0	808322.0	715673.0	475883.0	667639.0	236347.0	1070607.0
женщины	5338872.0	125248.0	176154.0	435144.0	907184.0	806328.0	542392.0	771946.0	274372.0	1300104.0
Число городов	114.0	-	2.0	29.0	49.0	21.0	6.0	4.0	1.0	2.0
численность населения	9010005.0	-	17757.0	442991.0	1687966.0	1522001.0	1018275.0	1439585.0	510719.0	2370711.0
мужчины	4177545.0	-	8179.0	209091.0	794126.0	715673.0	475883.0	667639.0	236347.0	1070607.0
женщины	4832460.0	-	9578.0	233900.0	893840.0	806328.0	542392.0	771946.0	274372.0	1300104.0
Число поселков городского типа	174.0	96.0	47.0	30.0	1.0	-	-	-	-	-
численность населения	981780.0	237562.0	328107.0	388571.0	27540.0	-	-	-	-	-
мужчины	475368.0	112314.0	161531.0	187327.0	14196.0	-	-	-	-	-
женщины	506412.0	125248.0	166576.0	201244.0	13344.0	-	-	-	-	-
Курганская область										
Число городских поселений	15.0	1.0	6.0	6.0	-	1.0	-	1.0	-	-
численность населения	574381.0	4178.0	52515.0	91308.0	-	80865.0	-	345515.0	-	-
мужчины	259411.0	1912.0	24042.0	41911.0	-	36064.0	-	155482.0	-	-
женщины	314970.0	2266.0	28473.0	49397.0	-	44801.0	-	190033.0	-	-
Число городов	9.0	-	1.0	6.0	-	1.0	-	1.0	-	-
численность населения	527630.0	-	9942.0	91308.0	-	80865.0	-	345515.0	-	-
мужчины	238025.0	-	4568.0	41911.0	-	36064.0	-	155482.0	-	-
женщины	289605.0	-	5374.0	49397.0	-	44801.0	-	190033.0	-	-
Число поселков городского типа	6.0	1.0	5.0	-	-	-	-	-	-	-
численность населения	46751.0	4178.0	42573.0	-	-	-	-	-	-	-
мужчины	21386.0	1912.0	19474.0	-	-	-	-	-	-	-
женщины	25365.0	2266.0	23099.0	-	-	-	-	-	-	-
Свердловская область										
Число городских поселений	144.0	67.0	19.0	25.0	20.0	9.0	2.0	1.0	-	1.0
численность населения	3943529.0	152832.0	122679.0	346428.0	690867.0	628258.0	318430.0	390498.0	-	1293537.0
мужчины	1809040.0	71769.0	58846.0	163964.0	316729.0	289616.0	143568.0	179975.0	-	584573.0
женщины	2134489.0	81063.0	63833.0	182464.0	374138.0	338642.0	174862.0	210523.0	-	708964.0
Число городов	47.0	-	1.0	13.0	20.0	9.0	2.0	1.0	-	1.0
численность населения	3527869.0	-	7815.0	198464.0	690867.0	628258.0	318430.0	390498.0	-	1293537.0
мужчины	1612131.0	-	3611.0	94059.0	316729.0	289616.0	143568.0	179975.0	-	584573.0
женщины	1915738.0	-	4204.0	104405.0	374138.0	338642.0	174862.0	210523.0	-	708964.0
Число поселков городского типа	97.0	67.0	18.0	12.0	-	-	-	-	-	-
численность населения	415660.0	152832.0	114864.0	147964.0	-	-	-	-	-	-
мужчины	196909.0	71769.0	55235.0	69905.0	-	-	-	-	-	-
женщины	218751.0	81063.0	59629.0	78059.0	-	-	-	-	-	-
Тюменская область										
Число городских поселений	69.0	18.0	13.0	11.0	16.0	7.0	2.0	1.0	1.0	-
численность населения	2526133.0	55514.0	96169.0	164639.0	553728.0	513463.0	346874.0	285027.0	510719.0	-
мужчины	1227654.0	27051.0	49392.0	82002.0	272263.0	249580.0	171065.0	139954.0	236347.0	-
женщины	1298479.0	28463.0	46777.0	82637.0	281465.0	263883.0	175809.0	145073.0	274372.0	-
Число городов	28.0	-	-	2.0	15.0	7.0	2.0	1.0	1.0	-
численность населения	2218009.0	-	-	35738.0	526188.0	513463.0	346874.0	285027.0	510719.0	-
мужчины	1073115.0	-	-	18102.0	258067.0	249580.0	171065.0	139954.0	236347.0	-
женщины	1144894.0	-	-	17636.0	268121.0	263883.0	175809.0	145073.0	274372.0	-
Число поселков городского типа	41.0	18.0	13.0	9.0	1.0	-	-	-	-	-
численность населения	308124.0	55514.0	96169.0	128901.0	27540.0	-	-	-	-	-
мужчины	154539.0	27051.0	49392.0	63900.0	14196.0	-	-	-	-	-
женщины	153585.0	28463.0	46777.0	65001.0	13344.0	-	-	-	-	-
Ханты-Мансийский автономный округ - Югра										
Число городских поселений	40.0	12.0	7.0	6.0	9.0	3.0	2.0	1.0	-	-
численность населения	1301924.0	35974.0	51612.0	94948.0	325559.0	161930.0	346874.0	285027.0	-	-
мужчины	644353.0	17622.0	25716.0	48054.0	161845.0	80097.0	171065.0	139954.0	-	-
женщины	657571.0	18352.0	25896.0	46894.0	163714.0	81833.0	175809.0	145073.0	-	-
Число городов	16.0	-	-	2.0	8.0	3.0	2.0	1.0	-	-
численность населения	1127588.0	-	-	35738.0	298019.0	161930.0	346874.0	285027.0	-	-
мужчины	556867.0	-	-	18102.0	147649.0	80097.0	171065.0	139954.0	-	-
женщины	570721.0	-	-	17636.0	150370.0	81833.0	175809.0	145073.0	-	-
Число поселков городского типа	24.0	12.0	7.0	4.0	1.0	-	-	-	-	-
численность населения	174336.0	35974.0	51612.0	59210.0	27540.0	-	-	-	-	-
мужчины	87486.0	17622.0	25716.0	29952.0	14196.0	-	-	-	-	-
женщины	86850.0	18352.0	25896.0	29258.0	13344.0	-	-	-	-	-
Ямало-Ненецкий автономный округ										
Число городских поселений	16.0	3.0	4.0	2.0	5.0	2.0	-	-	-	-
численность населения	422826.0	6568.0	29570.0	29385.0	166407.0	190896.0	-	-	-	-
мужчины	212128.0	3448.0	16457.0	15034.0	82190.0	94999.0	-	-	-	-
женщины	210698.0	3120.0	13113.0	14351.0	84217.0	95897.0	-	-	-	-
Число городов	7.0	-	-	-	5.0	2.0	-	-	-	-
численность населения	357303.0	-	-	-	166407.0	190896.0	-	-	-	-
мужчины	177189.0	-	-	-	82190.0	94999.0	-	-	-	-
женщины	180114.0	-	-	-	84217.0	95897.0	-	-	-	-
Число поселков городского типа	9.0	3.0	4.0	2.0	-	-	-	-	-	-
численность населения	65523.0	6568.0	29570.0	29385.0	-	-	-	-	-	-
мужчины	34939.0	3448.0	16457.0	15034.0	-	-	-	-	-	-
женщины	30584.0	3120.0	13113.0	14351.0	-	-	-	-	-	-
Челябинская область										
Число городских поселений	60.0	10.0	11.0	17.0	14.0	4.0	2.0	1.0	-	1.0
численность населения	2947742.0	25038.0	74501.0	229187.0	470911.0	299415.0	352971.0	418545.0	-	1077174.0
мужчины	1356808.0	11582.0	37430.0	108541.0	219330.0	140413.0	161250.0	192228.0	-	486034.0
женщины	1590934.0	13456.0	37071.0	120646.0	251581.0	159002.0	191721.0	226317.0	-	591140.0
Число городов	30.0	-	-	8.0	14.0	4.0	2.0	1.0	-	1.0
численность населения	2736497.0	-	-	117481.0	470911.0	299415.0	352971.0	418545.0	-	1077174.0
мужчины	1254274.0	-	-	55019.0	219330.0	140413.0	161250.0	192228.0	-	486034.0
женщины	1482223.0	-	-	62462.0	251581.0	159002.0	191721.0	226317.0	-	591140.0
Число поселков городского типа	30.0	10.0	11.0	9.0	-	-	-	-	-	-
численность населения	211245.0	25038.0	74501.0	111706.0	-	-	-	-	-	-
мужчины	102534.0	11582.0	37430.0	53522.0	-	-	-	-	-	-
женщины	108711.0	13456.0	37071.0	58184.0	-	-	-	-	-	-
Сибирский федеральный округ										
Число городских поселений	423.0	147.0	99.0	83.0	48.0	21.0	14.0	5.0	4.0	2.0
численность населения	14272877.0	392603.0	711928.0	1138332.0	1481103.0	1418365.0	2009497.0	1907961.0	2653564.0	2559524.0
мужчины	6606929.0	187881.0	343754.0	536985.0	695651.0	659309.0	934964.0	878436.0	1200551.0	1169398.0
женщины	7665948.0	204722.0	368174.0	601347.0	785452.0	759056.0	1074533.0	1029525.0	1453013.0	1390126.0
Число городов	132.0	3.0	6.0	32.0	45.0	21.0	14.0	5.0	4.0	2.0
численность населения	12493179.0	10934.0	48726.0	466728.0	1417880.0	1418365.0	2009497.0	1907961.0	2653564.0	2559524.0
мужчины	5755625.0	5153.0	22957.0	218392.0	666465.0	659309.0	934964.0	878436.0	1200551.0	1169398.0
женщины	6737554.0	5781.0	25769.0	248336.0	751415.0	759056.0	1074533.0	1029525.0	1453013.0	1390126.0
Число поселков городского типа	291.0	144.0	93.0	51.0	3.0	-	-	-	-	-
численность населения	1779698.0	381669.0	663202.0	671604.0	63223.0	-	-	-	-	-
мужчины	851304.0	182728.0	320797.0	318593.0	29186.0	-	-	-	-	-
женщины	928394.0	198941.0	342405.0	353011.0	34037.0	-	-	-	-	-
Республика Алтай										
Число городских поселений	1.0	-	-	-	-	1.0	-	-	-	-
численность населения	53538.0	-	-	-	-	53538.0	-	-	-	-
мужчины	23996.0	-	-	-	-	23996.0	-	-	-	-
женщины	29542.0	-	-	-	-	29542.0	-	-	-	-
Число городов	1.0	-	-	-	-	1.0	-	-	-	-
численность населения	53538.0	-	-	-	-	53538.0	-	-	-	-
мужчины	23996.0	-	-	-	-	23996.0	-	-	-	-
женщины	29542.0	-	-	-	-	29542.0	-	-	-	-
Число поселков городского типа	-	-	-	-	-	-	-	-	-	-
Республика Бурятия										
Число городских поселений	35.0	17.0	10.0	5.0	2.0	-	-	1.0	-	-
численность населения	584970.0	40700.0	64292.0	68651.0	51936.0	-	-	359391.0	-	-
мужчины	275010.0	19660.0	30827.0	33237.0	25194.0	-	-	166092.0	-	-
женщины	309960.0	21040.0	33465.0	35414.0	26742.0	-	-	193299.0	-	-
Число городов	6.0	1.0	-	2.0	2.0	-	-	1.0	-	-
численность населения	447380.0	4953.0	-	31100.0	51936.0	-	-	359391.0	-	-
мужчины	209119.0	2325.0	-	15508.0	25194.0	-	-	166092.0	-	-
женщины	238261.0	2628.0	-	15592.0	26742.0	-	-	193299.0	-	-
Число поселков городского типа	29.0	16.0	10.0	3.0	-	-	-	-	-	-
численность населения	137590.0	35747.0	64292.0	37551.0	-	-	-	-	-	-
мужчины	65891.0	17335.0	30827.0	17729.0	-	-	-	-	-	-
женщины	71699.0	18412.0	33465.0	19822.0	-	-	-	-	-	-
Республика Тыва										
Число городских поселений	7.0	1.0	2.0	3.0	-	-	1.0	-	-	-
численность населения	157299.0	3706.0	15052.0	34436.0	-	-	104105.0	-	-	-
мужчины	73433.0	1661.0	7096.0	16388.0	-	-	48288.0	-	-	-
женщины	83866.0	2045.0	7956.0	18048.0	-	-	55817.0	-	-	-
Число городов	5.0	-	2.0	2.0	-	-	1.0	-	-	-
численность населения	143130.0	-	15052.0	23973.0	-	-	104105.0	-	-	-
мужчины	66825.0	-	7096.0	11441.0	-	-	48288.0	-	-	-
женщины	76305.0	-	7956.0	12532.0	-	-	55817.0	-	-	-
Число поселков городского типа	2.0	1.0	-	1.0	-	-	-	-	-	-
численность населения	14169.0	3706.0	-	10463.0	-	-	-	-	-	-
мужчины	6608.0	1661.0	-	4947.0	-	-	-	-	-	-
женщины	7561.0	2045.0	-	5516.0	-	-	-	-	-	-
Республика Хакасия										
Число городских поселений	17.0	7.0	4.0	3.0	-	2.0	1.0	-	-	-
численность населения	386865.0	23080.0	28978.0	46278.0	-	123332.0	165197.0	-	-	-
мужчины	179167.0	11459.0	13407.0	21497.0	-	56561.0	76243.0	-	-	-
женщины	207698.0	11621.0	15571.0	24781.0	-	66771.0	88954.0	-	-	-
Число городов	5.0	-	-	2.0	-	2.0	1.0	-	-	-
численность населения	319894.0	-	-	31365.0	-	123332.0	165197.0	-	-	-
мужчины	147538.0	-	-	14734.0	-	56561.0	76243.0	-	-	-
женщины	172356.0	-	-	16631.0	-	66771.0	88954.0	-	-	-
Число поселков городского типа	12.0	7.0	4.0	1.0	-	-	-	-	-	-
численность населения	66971.0	23080.0	28978.0	14913.0	-	-	-	-	-	-
мужчины	31629.0	11459.0	13407.0	6763.0	-	-	-	-	-	-
женщины	35342.0	11621.0	15571.0	8150.0	-	-	-	-	-	-
Алтайский край										
Число городских поселений	26.0	5.0	3.0	8.0	5.0	2.0	2.0	-	1.0	-
численность населения	1386765.0	13282.0	19794.0	112247.0	148685.0	110383.0	381625.0	-	600749.0	-
мужчины	635394.0	6140.0	9046.0	55019.0	68172.0	52302.0	175982.0	-	268733.0	-
женщины	751371.0	7142.0	10748.0	57228.0	80513.0	58081.0	205643.0	-	332016.0	-
Число городов	12.0	-	-	3.0	4.0	2.0	2.0	-	1.0	-
численность населения	1263318.0	-	-	41937.0	128624.0	110383.0	381625.0	-	600749.0	-
мужчины	575310.0	-	-	19312.0	58981.0	52302.0	175982.0	-	268733.0	-
женщины	688008.0	-	-	22625.0	69643.0	58081.0	205643.0	-	332016.0	-
Число поселков городского типа	14.0	5.0	3.0	5.0	1.0	-	-	-	-	-
численность населения	123447.0	13282.0	19794.0	70310.0	20061.0	-	-	-	-	-
мужчины	60084.0	6140.0	9046.0	35707.0	9191.0	-	-	-	-	-
женщины	63363.0	7142.0	10748.0	34603.0	10870.0	-	-	-	-	-
Красноярский край										
Число городских поселений	71.0	25.0	17.0	11.0	8.0	6.0	3.0	-	1.0	-
численность населения	2245715.0	59368.0	120804.0	162656.0	220612.0	416358.0	356576.0	-	909341.0	-
мужчины	1044771.0	27959.0	59270.0	76462.0	103633.0	196570.0	168981.0	-	411896.0	-
женщины	1200944.0	31409.0	61534.0	86194.0	116979.0	219788.0	187595.0	-	497445.0	-
Число городов	25.0	1.0	1.0	6.0	7.0	6.0	3.0	-	1.0	-
численность населения	1987632.0	2929.0	8627.0	94535.0	199266.0	416358.0	356576.0	-	909341.0	-
мужчины	920664.0	1364.0	4200.0	43913.0	93740.0	196570.0	168981.0	-	411896.0	-
женщины	1066968.0	1565.0	4427.0	50622.0	105526.0	219788.0	187595.0	-	497445.0	-
Число поселков городского типа	46.0	24.0	16.0	5.0	1.0	-	-	-	-	-
численность населения	258083.0	56439.0	112177.0	68121.0	21346.0	-	-	-	-	-
мужчины	124107.0	26595.0	55070.0	32549.0	9893.0	-	-	-	-	-
женщины	133976.0	29844.0	57107.0	35572.0	11453.0	-	-	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ										
Число городских поселений	2.0	1.0	-	-	1.0	-	-	-	-	-
численность населения	26330.0	1198.0	-	-	25132.0	-	-	-	-	-
мужчины	12562.0	675.0	-	-	11887.0	-	-	-	-	-
женщины	13768.0	523.0	-	-	13245.0	-	-	-	-	-
Число городов	1.0	-	-	-	1.0	-	-	-	-	-
численность населения	25132.0	-	-	-	25132.0	-	-	-	-	-
мужчины	11887.0	-	-	-	11887.0	-	-	-	-	-
женщины	13245.0	-	-	-	13245.0	-	-	-	-	-
Число поселков городского типа	1.0	1.0	-	-	-	-	-	-	-	-
численность населения	1198.0	1198.0	-	-	-	-	-	-	-	-
мужчины	675.0	675.0	-	-	-	-	-	-	-	-
женщины	523.0	523.0	-	-	-	-	-	-	-	-
Эвенкийский автономный округ										
Число городских поселений	1.0	-	1.0	-	-	-	-	-	-	-
численность населения	5836.0	-	5836.0	-	-	-	-	-	-	-
мужчины	2813.0	-	2813.0	-	-	-	-	-	-	-
женщины	3023.0	-	3023.0	-	-	-	-	-	-	-
Число городов	-	-	-	-	-	-	-	-	-	-
Число поселков городского типа	1.0	-	1.0	-	-	-	-	-	-	-
численность населения	5836.0	-	5836.0	-	-	-	-	-	-	-
мужчины	2813.0	-	2813.0	-	-	-	-	-	-	-
женщины	3023.0	-	3023.0	-	-	-	-	-	-	-
Иркутская область										
Число городских поселений	77.0	35.0	17.0	10.0	8.0	3.0	2.0	1.0	1.0	-
численность населения	2047614.0	82972.0	114976.0	139048.0	307853.0	202116.0	347710.0	259335.0	593604.0	-
мужчины	948285.0	40687.0	55909.0	64819.0	145512.0	91104.0	162353.0	118748.0	269153.0	-
женщины	1099329.0	42285.0	59067.0	74229.0	162341.0	111012.0	185357.0	140587.0	324451.0	-
Число городов	22.0	-	1.0	6.0	8.0	3.0	2.0	1.0	1.0	-
численность населения	1808566.0	-	7383.0	90565.0	307853.0	202116.0	347710.0	259335.0	593604.0	-
мужчины	832288.0	-	3520.0	41898.0	145512.0	91104.0	162353.0	118748.0	269153.0	-
женщины	976278.0	-	3863.0	48667.0	162341.0	111012.0	185357.0	140587.0	324451.0	-
Число поселков городского типа	55.0	35.0	16.0	4.0	-	-	-	-	-	-
численность населения	239048.0	82972.0	107593.0	48483.0	-	-	-	-	-	-
мужчины	115997.0	40687.0	52389.0	22921.0	-	-	-	-	-	-
женщины	123051.0	42285.0	55204.0	25562.0	-	-	-	-	-	-
Усть-Ордынский Бурятский автономный округ										
Число городских поселений	-	-	-	-	-	-	-	-	-	-
Кемеровская область										
Число городских поселений	66.0	22.0	13.0	12.0	9.0	4.0	4.0	1.0	1.0	-
численность населения	2512948.0	71221.0	88790.0	171331.0	296287.0	305517.0	545178.0	484754.0	549870.0	-
мужчины	1161297.0	33534.0	43740.0	80794.0	138741.0	143202.0	251957.0	218560.0	250769.0	-
женщины	1351651.0	37687.0	45050.0	90537.0	157546.0	162315.0	293221.0	266194.0	299101.0	-
Число городов	20.0	-	1.0	-	9.0	4.0	4.0	1.0	1.0	-
численность населения	2191078.0	-	9472.0	-	296287.0	305517.0	545178.0	484754.0	549870.0	-
мужчины	1007545.0	-	4316.0	-	138741.0	143202.0	251957.0	218560.0	250769.0	-
женщины	1183533.0	-	5156.0	-	157546.0	162315.0	293221.0	266194.0	299101.0	-
Число поселков городского типа	46.0	22.0	12.0	12.0	-	-	-	-	-	-
численность населения	321870.0	71221.0	79318.0	171331.0	-	-	-	-	-	-
мужчины	153752.0	33534.0	39424.0	80794.0	-	-	-	-	-	-
женщины	168118.0	37687.0	39894.0	90537.0	-	-	-	-	-	-
Новосибирская область										
Число городских поселений	32.0	4.0	5.0	12.0	8.0	2.0	-	-	-	1.0
численность населения	2021597.0	15592.0	40391.0	163807.0	225098.0	151201.0	-	-	-	1425508.0
мужчины	927879.0	7291.0	19434.0	76247.0	104941.0	69133.0	-	-	-	650833.0
женщины	1093718.0	8301.0	20957.0	87560.0	120157.0	82068.0	-	-	-	774675.0
Число городов	14.0	-	-	4.0	7.0	2.0	-	-	-	1.0
численность населения	1838498.0	-	-	58507.0	203282.0	151201.0	-	-	-	1425508.0
мужчины	841729.0	-	-	26924.0	94839.0	69133.0	-	-	-	650833.0
женщины	996769.0	-	-	31583.0	108443.0	82068.0	-	-	-	774675.0
Число поселков городского типа	18.0	4.0	5.0	8.0	1.0	-	-	-	-	-
численность населения	183099.0	15592.0	40391.0	105300.0	21816.0	-	-	-	-	-
мужчины	86150.0	7291.0	19434.0	49323.0	10102.0	-	-	-	-	-
женщины	96949.0	8301.0	20957.0	55977.0	11714.0	-	-	-	-	-
Омская область										
Число городских поселений	30.0	2.0	16.0	8.0	3.0	-	-	-	-	1.0
численность населения	1428480.0	6533.0	115215.0	95032.0	77684.0	-	-	-	-	1134016.0
мужчины	654532.0	2993.0	53542.0	43874.0	35558.0	-	-	-	-	518565.0
женщины	773948.0	3540.0	61673.0	51158.0	42126.0	-	-	-	-	615451.0
Число городов	6.0	-	-	2.0	3.0	-	-	-	-	1.0
численность населения	1236719.0	-	-	25019.0	77684.0	-	-	-	-	1134016.0
мужчины	565587.0	-	-	11464.0	35558.0	-	-	-	-	518565.0
женщины	671132.0	-	-	13555.0	42126.0	-	-	-	-	615451.0
Число поселков городского типа	24.0	2.0	16.0	6.0	-	-	-	-	-	-
численность населения	191761.0	6533.0	115215.0	70013.0	-	-	-	-	-	-
мужчины	88945.0	2993.0	53542.0	32410.0	-	-	-	-	-	-
женщины	102816.0	3540.0	61673.0	37603.0	-	-	-	-	-	-
Томская область										
Число городских поселений	7.0	1.0	1.0	-	3.0	-	1.0	1.0	-	-
численность населения	708541.0	3052.0	8221.0	-	100324.0	-	109106.0	487838.0	-	-
мужчины	331084.0	1464.0	3951.0	-	48350.0	-	51160.0	226159.0	-	-
женщины	377457.0	1588.0	4270.0	-	51974.0	-	57946.0	261679.0	-	-
Число городов	6.0	1.0	-	-	3.0	-	1.0	1.0	-	-
численность населения	700320.0	3052.0	-	-	100324.0	-	109106.0	487838.0	-	-
мужчины	327133.0	1464.0	-	-	48350.0	-	51160.0	226159.0	-	-
