2. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, ПРОЖИВАЮЩИЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ТИПАМ ЖИЛЫХ ПОМЕЩЕНИЙ, ЧИСЛУ ЗАНИМАЕМЫХ КОМНАТ И РАЗМЕРУ ДОМОХОЗЯЙСТВ								
								
	Всего частных домохозяйств	в том числе домохозяйства, состоящие из						Средний размер домохозяйства, человек
не указавшие число комнат	30.0	9.0	12.0	5.0	2.0	2.0	13.0	2.3
в отдельных квартирах	299304.0	52992.0	80113.0	79228.0	59555.0	27416.0	149214.0	2.8
в них занимают:								
часть комнаты	275.0	175.0	48.0	29.0	18.0	5.0	28.0	1.7
1 комнату	62624.0	25979.0	18746.0	12223.0	4689.0	987.0	5236.0	2.0
2 комнаты	131587.0	21269.0	41771.0	36910.0	24029.0	7608.0	40378.0	2.7
3 комнаты	81618.0	4743.0	16671.0	24425.0	23503.0	12276.0	66658.0	3.3
4 и более комнат 	22984.0	747.0	2837.0	5594.0	7282.0	6524.0	36824.0	3.9
не указавшие число комнат	216.0	79.0	40.0	47.0	34.0	16.0	90.0	2.4
в коммунальных квартирах	7297.0	2463.0	1911.0	1591.0	995.0	337.0	1828.0	2.3
в них занимают:								
часть комнаты	133.0	62.0	42.0	19.0	8.0	2.0	13.0	1.9
1 комнату	5528.0	2238.0	1522.0	1099.0	536.0	133.0	710.0	2.1
2 комнаты	1401.0	144.0	324.0	398.0	390.0	145.0	790.0	3.1
3 комнаты	213.0	19.0	22.0	69.0	58.0	45.0	246.0	3.5
4 и более комнат 	22.0	-	1.0	6.0	3.0	12.0	69.0	4.6
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	12040.0	2551.0	3494.0	3484.0	1839.0	672.0	3709.0	2.6
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	153375.0	28526.0	38676.0	32119.0	31456.0	22598.0	124784.0	3.0
в том числе проживают:								
в индивидуальных домах	90681.0	18953.0	24343.0	16748.0	16619.0	14018.0	77726.0	2.9
в них занимают:								
1 комнату	39863.0	12777.0	12326.0	5888.0	4838.0	4034.0	22325.0	2.4
2 комнаты	25603.0	4650.0	7342.0	4972.0	4711.0	3928.0	21747.0	2.9
3 комнаты	19303.0	1324.0	3837.0	4553.0	5278.0	4311.0	23825.0	3.5
4 и более комнат	5896.0	199.0	835.0	1332.0	1791.0	1739.0	9799.0	3.9
не указавшие число комнат	16.0	3.0	3.0	3.0	1.0	6.0	30.0	3.2
в отдельных квартирах	62257.0	9405.0	14244.0	15271.0	14776.0	8561.0	46960.0	3.0
в них занимают:								
часть комнаты	45.0	21.0	11.0	7.0	3.0	3.0	16.0	2.0
1 комнату	12466.0	4148.0	3196.0	2513.0	1827.0	782.0	4242.0	2.4
2 комнаты	23571.0	3703.0	6138.0	5961.0	5270.0	2499.0	13485.0	2.9
3 комнаты	24349.0	1464.0	4659.0	6380.0	7117.0	4729.0	26112.0	3.5
4 и более комнат 	1814.0	66.0	237.0	409.0	557.0	545.0	3090.0	3.9
не указавшие число комнат	12.0	3.0	3.0	1.0	2.0	3.0	15.0	2.9
в коммунальных квартирах	437.0	168.0	89.0	100.0	61.0	19.0	98.0	2.3
в них занимают:								
часть комнаты	26.0	19.0	2.0	4.0	-	1.0	5.0	1.5
1 комнату	309.0	139.0	67.0	68.0	28.0	7.0	36.0	2.0
2 комнаты	94.0	10.0	19.0	25.0	29.0	11.0	57.0	3.1
3 комнаты	7.0	-	1.0	2.0	4.0	-	-	3.4
4 и более комнат 	1.0	-	-	1.0	-	-	-	3.0
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	2560.0	469.0	564.0	716.0	519.0	292.0	1605.0	2.9
Чувашская Республика								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	423912.0	88333.0	104401.0	94472.0	84017.0	52689.0	292006.0	2.9
в том числе проживают:								
в индивидуальных домах	187093.0	48348.0	46993.0	31377.0	30521.0	29854.0	167153.0	2.8
в них занимают:								
1 комнату	58803.0	24833.0	14819.0	7599.0	6403.0	5149.0	28668.0	2.2
2 комнаты	78731.0	18574.0	22576.0	13748.0	11911.0	11922.0	66479.0	2.8
3 комнаты	32560.0	3605.0	6905.0	6780.0	7605.0	7665.0	42877.0	3.4
4 и более комнат	16958.0	1317.0	2684.0	3243.0	4599.0	5115.0	29111.0	3.8
не указавшие число комнат	41.0	19.0	9.0	7.0	3.0	3.0	18.0	2.1
в отдельных квартирах	232879.0	38947.0	56522.0	62121.0	52642.0	22647.0	123840.0	2.9
в них занимают:								
часть комнаты	307.0	205.0	52.0	34.0	11.0	5.0	27.0	1.6
1 комнату	60875.0	20961.0	16686.0	13637.0	8126.0	1465.0	7762.0	2.2
2 комнаты	94224.0	13408.0	26389.0	27265.0	20136.0	7026.0	37581.0	2.8
3 комнаты	67713.0	3912.0	12274.0	19000.0	21313.0	11214.0	61616.0	3.4
4 и более комнат 	9613.0	380.0	1094.0	2162.0	3044.0	2933.0	16831.0	4.0
не указавшие число комнат	147.0	81.0	27.0	23.0	12.0	4.0	23.0	1.9
в коммунальных квартирах	3940.0	1038.0	886.0	974.0	854.0	188.0	1013.0	2.6
в них занимают:								
часть комнаты	128.0	69.0	25.0	21.0	9.0	4.0	22.0	1.9
1 комнату	2615.0	855.0	678.0	623.0	401.0	58.0	316.0	2.3
2 комнаты	1052.0	104.0	170.0	286.0	391.0	101.0	539.0	3.2
3 комнаты	117.0	7.0	10.0	38.0	42.0	20.0	108.0	3.6
4 и более комнат 	28.0	3.0	3.0	6.0	11.0	5.0	28.0	3.5
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	8401.0	1737.0	2227.0	2605.0	1352.0	480.0	2621.0	2.6
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	245579.0	43771.0	61240.0	64127.0	53141.0	23300.0	127734.0	2.8
в том числе проживают:								
в индивидуальных домах	29082.0	6752.0	7880.0	6135.0	5268.0	3047.0	17016.0	2.7
в них занимают:								
1 комнату	6909.0	2372.0	1842.0	1313.0	992.0	390.0	2105.0	2.3
2 комнаты	10784.0	2863.0	3288.0	2149.0	1606.0	878.0	4819.0	2.5
3 комнаты	7033.0	1061.0	1893.0	1706.0	1540.0	833.0	4591.0	2.9
4 и более комнат	4335.0	446.0	850.0	965.0	1129.0	945.0	5496.0	3.5
не указавшие число комнат	21.0	10.0	7.0	2.0	1.0	1.0	5.0	1.9
в отдельных квартирах	212823.0	36046.0	52524.0	57088.0	47075.0	20090.0	109837.0	2.9
в них занимают:								
часть комнаты	290.0	195.0	48.0	33.0	10.0	4.0	22.0	1.6
1 комнату	56493.0	19594.0	15675.0	12708.0	7290.0	1226.0	6491.0	2.2
2 комнаты	85442.0	12297.0	24539.0	24831.0	17663.0	6112.0	32655.0	2.8
3 комнаты	61576.0	3534.0	11233.0	17484.0	19331.0	9994.0	54861.0	3.4
4 и более комнат 	8882.0	348.0	1003.0	2011.0	2769.0	2751.0	15790.0	4.0
не указавшие число комнат	140.0	78.0	26.0	21.0	12.0	3.0	18.0	1.9
в коммунальных квартирах	3674.0	973.0	836.0	904.0	798.0	163.0	881.0	2.6
в них занимают:								
часть комнаты	121.0	64.0	24.0	21.0	9.0	3.0	16.0	1.9
1 комнату	2467.0	805.0	643.0	592.0	378.0	49.0	269.0	2.3
2 комнаты	964.0	95.0	156.0	256.0	365.0	92.0	491.0	3.2
3 комнаты	97.0	7.0	10.0	30.0	35.0	15.0	82.0	3.5
4 и более комнат 	25.0	2.0	3.0	5.0	11.0	4.0	23.0	3.6
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	7689.0	1608.0	2095.0	2404.0	1204.0	378.0	2070.0	2.6
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	178333.0	44562.0	43161.0	30345.0	30876.0	29389.0	164272.0	2.9
в том числе проживают:								
в индивидуальных домах	158011.0	41596.0	39113.0	25242.0	25253.0	26807.0	150137.0	2.8
в них занимают:								
1 комнату	51894.0	22461.0	12977.0	6286.0	5411.0	4759.0	26563.0	2.2
2 комнаты	67947.0	15711.0	19288.0	11599.0	10305.0	11044.0	61660.0	2.8
3 комнаты	25527.0	2544.0	5012.0	5074.0	6065.0	6832.0	38286.0	3.5
4 и более комнат	12623.0	871.0	1834.0	2278.0	3470.0	4170.0	23615.0	3.9
не указавшие число комнат	20.0	9.0	2.0	5.0	2.0	2.0	13.0	2.5
в отдельных квартирах	20056.0	2901.0	3998.0	5033.0	5567.0	2557.0	14003.0	3.1
в них занимают:								
часть комнаты	17.0	10.0	4.0	1.0	1.0	1.0	5.0	1.8
1 комнату	4382.0	1367.0	1011.0	929.0	836.0	239.0	1271.0	2.5
2 комнаты	8782.0	1111.0	1850.0	2434.0	2473.0	914.0	4926.0	3.1
3 комнаты	6137.0	378.0	1041.0	1516.0	1982.0	1220.0	6755.0	3.5
4 и более комнат 	731.0	32.0	91.0	151.0	275.0	182.0	1041.0	3.8
не указавшие число комнат	7.0	3.0	1.0	2.0	-	1.0	5.0	2.3
в коммунальных квартирах	266.0	65.0	50.0	70.0	56.0	25.0	132.0	2.7
в них занимают:								
часть комнаты	7.0	5.0	1.0	-	-	1.0	6.0	1.9
1 комнату	148.0	50.0	35.0	31.0	23.0	9.0	47.0	2.4
2 комнаты	88.0	9.0	14.0	30.0	26.0	9.0	48.0	3.2
3 комнаты	20.0	-	-	8.0	7.0	5.0	26.0	3.9
4 и более комнат 	3.0	1.0	-	1.0	-	1.0	5.0	3.0
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	712.0	129.0	132.0	201.0	148.0	102.0	551.0	3.0
Кировская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	548849.0	129797.0	166007.0	131801.0	86497.0	34747.0	187920.0	2.5
в том числе проживают:								
в индивидуальных домах	123993.0	35588.0	40967.0	22781.0	15950.0	8707.0	47918.0	2.4
в них занимают:								
1 комнату	46710.0	19740.0	16319.0	5878.0	3105.0	1668.0	9181.0	2.0
2 комнаты	43426.0	12172.0	15554.0	7997.0	5016.0	2687.0	14753.0	2.4
3 комнаты	28529.0	3274.0	8027.0	7592.0	6360.0	3276.0	17883.0	3.0
4 и более комнат	5287.0	386.0	1055.0	1307.0	1464.0	1075.0	6096.0	3.5
не указавшие число комнат	41.0	16.0	12.0	7.0	5.0	1.0	5.0	2.1
в отдельных квартирах	412061.0	89116.0	121430.0	106420.0	69405.0	25690.0	138118.0	2.6
в них занимают:								
часть комнаты	539.0	387.0	88.0	47.0	15.0	2.0	10.0	1.4
1 комнату	94458.0	43742.0	28406.0	15856.0	5280.0	1174.0	6241.0	1.9
2 комнаты	179711.0	34029.0	60050.0	49743.0	27974.0	7915.0	41888.0	2.5
3 комнаты	126663.0	10325.0	31171.0	37966.0	33004.0	14197.0	76543.0	3.1
4 и более комнат 	10442.0	527.0	1642.0	2769.0	3113.0	2391.0	13376.0	3.6
не указавшие число комнат	248.0	106.0	73.0	39.0	19.0	11.0	60.0	2.0
в коммунальных квартирах	12795.0	5093.0	3610.0	2600.0	1142.0	350.0	1884.0	2.1
в них занимают:								
часть комнаты	189.0	141.0	26.0	14.0	6.0	2.0	10.0	1.4
1 комнату	9062.0	4421.0	2604.0	1526.0	442.0	69.0	363.0	1.8
2 комнаты	3093.0	501.0	906.0	922.0	556.0	208.0	1120.0	2.7
3 комнаты	399.0	30.0	71.0	125.0	117.0	56.0	300.0	3.3
4 и более комнат 	52.0	-	3.0	13.0	21.0	15.0	91.0	4.2
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	14380.0	4088.0	4279.0	4008.0	1528.0	477.0	2568.0	2.3
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	385589.0	87577.0	116470.0	98272.0	61149.0	22121.0	118767.0	2.5
в том числе проживают:								
в индивидуальных домах	48314.0	13127.0	15919.0	9858.0	6465.0	2945.0	16124.0	2.4
в них занимают:								
1 комнату	15120.0	6034.0	5232.0	2298.0	1118.0	438.0	2377.0	2.0
2 комнаты	19050.0	5273.0	6775.0	3822.0	2250.0	930.0	5059.0	2.3
3 комнаты	11343.0	1599.0	3369.0	3017.0	2322.0	1036.0	5621.0	2.8
4 и более комнат	2776.0	212.0	537.0	715.0	772.0	540.0	3062.0	3.5
не указавшие число комнат	25.0	9.0	6.0	6.0	3.0	1.0	5.0	2.2
в отдельных квартирах	324932.0	69578.0	97050.0	85886.0	53577.0	18841.0	100843.0	2.6
в них занимают:								
часть комнаты	496.0	360.0	78.0	43.0	13.0	2.0	10.0	1.4
1 комнату	75516.0	35014.0	23179.0	12923.0	3775.0	625.0	3256.0	1.8
2 комнаты	146442.0	26763.0	49844.0	41796.0	22267.0	5772.0	30315.0	2.5
3 комнаты	93084.0	6940.0	22507.0	28644.0	24744.0	10249.0	55014.0	3.1
4 и более комнат 	9162.0	401.0	1371.0	2444.0	2764.0	2182.0	12188.0	3.7
не указавшие число комнат	232.0	100.0	71.0	36.0	14.0	11.0	60.0	2.0
в коммунальных квартирах	12343.0	4872.0	3501.0	2528.0	1107.0	335.0	1800.0	2.1
в них занимают:								
часть комнаты	156.0	115.0	23.0	11.0	6.0	1.0	5.0	1.4
1 комнату	8747.0	4248.0	2530.0	1481.0	424.0	64.0	336.0	1.8
2 комнаты	2998.0	479.0	875.0	900.0	543.0	201.0	1081.0	2.7
3 комнаты	391.0	30.0	70.0	123.0	113.0	55.0	295.0	3.3
4 и более комнат 	51.0	-	3.0	13.0	21.0	14.0	83.0	4.2
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	12878.0	3691.0	3880.0	3624.0	1290.0	393.0	2107.0	2.3
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	163260.0	42220.0	49537.0	33529.0	25348.0	12626.0	69153.0	2.5
в том числе проживают:								
в индивидуальных домах	75679.0	22461.0	25048.0	12923.0	9485.0	5762.0	31794.0	2.4
в них занимают:								
1 комнату	31590.0	13706.0	11087.0	3580.0	1987.0	1230.0	6804.0	1.9
2 комнаты	24376.0	6899.0	8779.0	4175.0	2766.0	1757.0	9694.0	2.4
3 комнаты	17186.0	1675.0	4658.0	4575.0	4038.0	2240.0	12262.0	3.1
4 и более комнат	2511.0	174.0	518.0	592.0	692.0	535.0	3034.0	3.5
не указавшие число комнат	16.0	7.0	6.0	1.0	2.0	-	-	1.9
в отдельных квартирах	87129.0	19538.0	24380.0	20534.0	15828.0	6849.0	37275.0	2.6
в них занимают:								
часть комнаты	43.0	27.0	10.0	4.0	2.0	-	-	1.6
1 комнату	18942.0	8728.0	5227.0	2933.0	1505.0	549.0	2985.0	2.0
2 комнаты	33269.0	7266.0	10206.0	7947.0	5707.0	2143.0	11573.0	2.6
3 комнаты	33579.0	3385.0	8664.0	9322.0	8260.0	3948.0	21529.0	3.1
4 и более комнат 	1280.0	126.0	271.0	325.0	349.0	209.0	1188.0	3.3
не указавшие число комнат	16.0	6.0	2.0	3.0	5.0	-	-	2.4
в коммунальных квартирах	452.0	221.0	109.0	72.0	35.0	15.0	84.0	1.9
в них занимают:								
часть комнаты	33.0	26.0	3.0	3.0	-	1.0	5.0	1.4
1 комнату	315.0	173.0	74.0	45.0	18.0	5.0	27.0	1.8
2 комнаты	95.0	22.0	31.0	22.0	13.0	7.0	39.0	2.5
3 комнаты	8.0	-	1.0	2.0	4.0	1.0	5.0	3.6
4 и более комнат 	1.0	-	-	-	-	1.0	8.0	8.0
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1502.0	397.0	399.0	384.0	238.0	84.0	461.0	2.5
Нижегородская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	1286252.0	305584.0	374203.0	312987.0	206932.0	86546.0	469903.0	2.6
в том числе проживают:								
в индивидуальных домах	324116.0	107831.0	101451.0	53912.0	39508.0	21414.0	118773.0	2.3
в них занимают:								
1 комнату	78577.0	39474.0	24328.0	8427.0	4322.0	2026.0	11236.0	1.8
2 комнаты	146822.0	52947.0	51448.0	22066.0	13559.0	6802.0	37459.0	2.1
3 комнаты	66980.0	11695.0	18941.0	15968.0	13677.0	6699.0	36686.0	2.8
4 и более комнат	31653.0	3686.0	6713.0	7432.0	7944.0	5878.0	33345.0	3.3
не указавшие число комнат	84.0	29.0	21.0	19.0	6.0	9.0	47.0	2.4
в отдельных квартирах	944721.0	191233.0	268091.0	255334.0	165575.0	64488.0	347603.0	2.6
в них занимают:								
часть комнаты	613.0	353.0	154.0	74.0	26.0	6.0	30.0	1.7
1 комнату	192981.0	86600.0	58346.0	34580.0	11224.0	2231.0	11902.0	1.9
2 комнаты	439108.0	82793.0	144655.0	125453.0	66945.0	19262.0	101935.0	2.5
3 комнаты	273945.0	18975.0	58243.0	85090.0	76459.0	35178.0	190098.0	3.2
4 и более комнат 	37261.0	2213.0	6445.0	9979.0	10841.0	7783.0	43487.0	3.5
не указавшие число комнат	813.0	299.0	248.0	158.0	80.0	28.0	151.0	2.1
в коммунальных квартирах	17415.0	6520.0	4661.0	3741.0	1849.0	644.0	3527.0	2.2
в них занимают:								
часть комнаты	355.0	181.0	83.0	54.0	26.0	11.0	63.0	1.9
1 комнату	11542.0	5475.0	3156.0	2037.0	685.0	189.0	1008.0	1.9
2 комнаты	4517.0	781.0	1232.0	1362.0	858.0	284.0	1562.0	2.7
3 комнаты	805.0	60.0	165.0	245.0	221.0	114.0	643.0	3.3
4 и более комнат 	182.0	16.0	23.0	39.0	59.0	45.0	246.0	3.6
не указавшие число комнат	14.0	7.0	2.0	4.0	-	1.0	5.0	2.0
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	29205.0	6049.0	8302.0	8810.0	4328.0	1716.0	9366.0	2.6
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	982759.0	213266.0	283387.0	256003.0	163444.0	66659.0	360340.0	2.6
в том числе проживают:								
в индивидуальных домах	128800.0	33973.0	37554.0	26682.0	20071.0	10520.0	58167.0	2.5
в них занимают:								
1 комнату	19974.0	8854.0	6069.0	3016.0	1466.0	569.0	3111.0	2.0
2 комнаты	50436.0	15816.0	16550.0	9531.0	5973.0	2566.0	13982.0	2.3
3 комнаты	37920.0	6884.0	10592.0	9296.0	7524.0	3624.0	19736.0	2.8
4 и более комнат	20428.0	2408.0	4331.0	4829.0	5104.0	3756.0	21312.0	3.3
не указавшие число комнат	42.0	11.0	12.0	10.0	4.0	5.0	26.0	2.5
в отдельных квартирах	837489.0	173053.0	241401.0	225827.0	141661.0	55547.0	298945.0	2.6
в них занимают:								
часть комнаты	553.0	314.0	143.0	69.0	23.0	4.0	20.0	1.7
1 комнату	176165.0	79472.0	53800.0	31462.0	9695.0	1736.0	9204.0	1.9
2 комнаты	392110.0	74675.0	131787.0	111810.0	57348.0	16490.0	86989.0	2.5
3 комнаты	235070.0	16343.0	49850.0	73568.0	64991.0	30318.0	163613.0	3.2
4 и более комнат 	32802.0	1955.0	5584.0	8762.0	9530.0	6971.0	38968.0	3.6
не указавшие число комнат	789.0	294.0	237.0	156.0	74.0	28.0	151.0	2.1
в коммунальных квартирах	16470.0	6240.0	4432.0	3494.0	1712.0	592.0	3228.0	2.2
в них занимают:								
часть комнаты	329.0	166.0	77.0	52.0	25.0	9.0	51.0	1.9
1 комнату	10977.0	5252.0	3025.0	1916.0	619.0	165.0	875.0	1.9
2 комнаты	4238.0	744.0	1156.0	1268.0	805.0	265.0	1452.0	2.7
3 комнаты	743.0	56.0	150.0	220.0	208.0	109.0	610.0	3.3
4 и более комнат 	169.0	15.0	22.0	34.0	55.0	43.0	235.0	3.6
не указавшие число комнат	14.0	7.0	2.0	4.0	-	1.0	5.0	2.0
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	24665.0	5007.0	7149.0	7530.0	3555.0	1424.0	7742.0	2.6
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	303493.0	92318.0	90816.0	56984.0	43488.0	19887.0	109563.0	2.4
в том числе проживают:								
в индивидуальных домах	195316.0	73858.0	63897.0	27230.0	19437.0	10894.0	60606.0	2.2
в них занимают:								
1 комнату	58603.0	30620.0	18259.0	5411.0	2856.0	1457.0	8125.0	1.8
2 комнаты	96386.0	37131.0	34898.0	12535.0	7586.0	4236.0	23477.0	2.1
3 комнаты	29060.0	4811.0	8349.0	6672.0	6153.0	3075.0	16950.0	2.9
4 и более комнат	11225.0	1278.0	2382.0	2603.0	2840.0	2122.0	12033.0	3.3
не указавшие число комнат	42.0	18.0	9.0	9.0	2.0	4.0	21.0	2.2
в отдельных квартирах	107232.0	18180.0	26690.0	29507.0	23914.0	8941.0	48658.0	2.8
в них занимают:								
часть комнаты	60.0	39.0	11.0	5.0	3.0	2.0	10.0	1.6
1 комнату	16816.0	7128.0	4546.0	3118.0	1529.0	495.0	2698.0	2.0
2 комнаты	46998.0	8118.0	12868.0	13643.0	9597.0	2772.0	14946.0	2.7
3 комнаты	38875.0	2632.0	8393.0	11522.0	11468.0	4860.0	26485.0	3.2
4 и более комнат 	4459.0	258.0	861.0	1217.0	1311.0	812.0	4519.0	3.5
не указавшие число комнат	24.0	5.0	11.0	2.0	6.0	-	-	2.4
в коммунальных квартирах	945.0	280.0	229.0	247.0	137.0	52.0	299.0	2.5
в них занимают:								
часть комнаты	26.0	15.0	6.0	2.0	1.0	2.0	12.0	1.9
1 комнату	565.0	223.0	131.0	121.0	66.0	24.0	133.0	2.2
2 комнаты	279.0	37.0	76.0	94.0	53.0	19.0	110.0	2.8
3 комнаты	62.0	4.0	15.0	25.0	13.0	5.0	33.0	3.1
4 и более комнат 	13.0	1.0	1.0	5.0	4.0	2.0	11.0	3.5
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	4540.0	1042.0	1153.0	1280.0	773.0	292.0	1624.0	2.6
Оренбургская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	728632.0	137265.0	205247.0	182473.0	140061.0	63586.0	348543.0	2.8
в том числе проживают:								
в индивидуальных домах	273008.0	52583.0	77722.0	59369.0	53424.0	29910.0	165531.0	2.8
в них занимают:								
1 комнату	27447.0	10044.0	7938.0	4704.0	3233.0	1528.0	8472.0	2.2
2 комнаты	93535.0	24729.0	30925.0	17387.0	13274.0	7220.0	39781.0	2.5
3 комнаты	85973.0	11772.0	23957.0	21128.0	19020.0	10096.0	55480.0	3.0
4 и более комнат	65888.0	5992.0	14866.0	16115.0	17869.0	11046.0	61692.0	3.3
не указавшие число комнат	165.0	46.0	36.0	35.0	28.0	20.0	106.0	2.7
в отдельных квартирах	450183.0	82887.0	126124.0	121857.0	85925.0	33390.0	181445.0	2.7
в них занимают:								
часть комнаты	499.0	386.0	65.0	35.0	9.0	4.0	28.0	1.4
1 комнату	78678.0	33461.0	23406.0	15180.0	5493.0	1138.0	6106.0	2.0
2 комнаты	188063.0	35102.0	60051.0	53173.0	31251.0	8486.0	45213.0	2.6
3 комнаты	152145.0	12225.0	36759.0	45064.0	40117.0	17980.0	97899.0	3.2
4 и более комнат 	30298.0	1540.0	5702.0	8298.0	8998.0	5760.0	32081.0	3.5
не указавшие число комнат	500.0	173.0	141.0	107.0	57.0	22.0	118.0	2.2
в коммунальных квартирах	5441.0	1795.0	1401.0	1247.0	712.0	286.0	1567.0	2.3
в них занимают:								
часть комнаты	177.0	103.0	47.0	20.0	7.0	-	-	1.6
1 комнату	2963.0	1342.0	782.0	545.0	221.0	73.0	394.0	2.0
2 комнаты	1631.0	273.0	422.0	493.0	339.0	104.0	564.0	2.8
3 комнаты	468.0	47.0	105.0	138.0	104.0	74.0	411.0	3.2
4 и более комнат 	150.0	10.0	29.0	42.0	35.0	34.0	193.0	3.5
не указавшие число комнат	52.0	20.0	16.0	9.0	6.0	1.0	5.0	2.1
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	29175.0	7503.0	7462.0	8177.0	4285.0	1748.0	9706.0	2.5
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	420248.0	82311.0	119569.0	111217.0	77405.0	29746.0	161380.0	2.7
в том числе проживают:								
в индивидуальных домах	89348.0	16387.0	23832.0	20967.0	18578.0	9584.0	52860.0	2.8
в них занимают:								
1 комнату	7356.0	2500.0	1968.0	1546.0	994.0	348.0	1905.0	2.3
2 комнаты	22877.0	5634.0	7037.0	4948.0	3678.0	1580.0	8664.0	2.5
3 комнаты	29903.0	4789.0	7988.0	7558.0	6493.0	3075.0	16777.0	2.9
4 и более комнат	29095.0	3432.0	6813.0	6888.0	7394.0	4568.0	25444.0	3.2
не указавшие число комнат	117.0	32.0	26.0	27.0	19.0	13.0	70.0	2.7
в отдельных квартирах	326514.0	64458.0	94625.0	89227.0	58251.0	19953.0	107364.0	2.6
в них занимают:								
часть комнаты	452.0	347.0	59.0	34.0	8.0	4.0	28.0	1.4
1 комнату	64807.0	27880.0	19622.0	12400.0	4182.0	723.0	3848.0	1.9
2 комнаты	150991.0	27830.0	49483.0	43226.0	24253.0	6199.0	32792.0	2.6
3 комнаты	95243.0	7377.0	22519.0	29450.0	25628.0	10269.0	55408.0	3.1
4 и более комнат 	14564.0	854.0	2817.0	4020.0	4135.0	2738.0	15180.0	3.5
не указавшие число комнат	457.0	170.0	125.0	97.0	45.0	20.0	108.0	2.2
в коммунальных квартирах	4386.0	1466.0	1112.0	1023.0	576.0	209.0	1156.0	2.3
в них занимают:								
часть комнаты	151.0	82.0	43.0	19.0	7.0	-	-	1.7
1 комнату	2381.0	1092.0	624.0	445.0	179.0	41.0	223.0	1.9
2 комнаты	1328.0	224.0	331.0	409.0	280.0	84.0	457.0	2.8
3 комнаты	346.0	42.0	75.0	102.0	74.0	53.0	300.0	3.2
4 и более комнат 	131.0	9.0	23.0	39.0	30.0	30.0	171.0	3.5
не указавшие число комнат	49.0	17.0	16.0	9.0	6.0	1.0	5.0	2.1
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	22145.0	6114.0	5912.0	6061.0	2971.0	1087.0	5960.0	2.4
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	308384.0	54954.0	85678.0	71256.0	62656.0	33840.0	187163.0	2.8
в том числе проживают:								
в индивидуальных домах	183660.0	36196.0	53890.0	38402.0	34846.0	20326.0	112671.0	2.8
в них занимают:								
1 комнату	20091.0	7544.0	5970.0	3158.0	2239.0	1180.0	6567.0	2.2
2 комнаты	70658.0	19095.0	23888.0	12439.0	9596.0	5640.0	31117.0	2.5
3 комнаты	56070.0	6983.0	15969.0	13570.0	12527.0	7021.0	38703.0	3.0
4 и более комнат	36793.0	2560.0	8053.0	9227.0	10475.0	6478.0	36248.0	3.4
не указавшие число комнат	48.0	14.0	10.0	8.0	9.0	7.0	36.0	2.7
в отдельных квартирах	123669.0	18429.0	31499.0	32630.0	27674.0	13437.0	74081.0	2.9
в них занимают:								
часть комнаты	47.0	39.0	6.0	1.0	1.0	-	-	1.2
1 комнату	13871.0	5581.0	3784.0	2780.0	1311.0	415.0	2258.0	2.1
