			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
Женщины, указавшие два источника средств к существованию	400094.0	158521.0	241573.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	45286.0	6550.0	38736.0
стипендию	504.0	480.0	24.0
пенсию (кроме пенсии по инвалидности)	22976.0	18213.0	4763.0
пенсию по инвалидности	2325.0	1540.0	785.0
пособие (кроме пособия по безработице)	6678.0	4568.0	2110.0
пособие по безработице	100.0	68.0	32.0
другой вид государственного обеспечения	1185.0	1066.0	119.0
сбережения	282.0	247.0	35.0
доход от сдачи внаем или в аренду имущества	1938.0	428.0	1510.0
на иждивении отдельных лиц	3221.0	2280.0	941.0
иной источник	1218.0	756.0	462.0
личное подсобное хозяйство и			
стипендию	26.0	3.0	23.0
пенсию (кроме пенсии по инвалидности)	43871.0	8019.0	35852.0
пенсию по инвалидности	3103.0	495.0	2608.0
пособие (кроме пособия по безработице)	1663.0	122.0	1541.0
пособие по безработице	448.0	80.0	368.0
другой вид государственного обеспечения	159.0	7.0	152.0
сбережения	164.0	39.0	125.0
доход от сдачи внаем или в аренду имущества	762.0	17.0	745.0
на иждивении отдельных лиц	22912.0	2725.0	20187.0
иной источник	974.0	78.0	896.0
стипендию и			
пенсию	132.0	90.0	42.0
пособие (кроме пособия по безработице)	142.0	103.0	39.0
сбережения	7.0	7.0	-
доход от сдачи внаем или в аренду имущества	15.0	13.0	2.0
на иждивении отдельных лиц	24209.0	19405.0	4804.0
иной источник	48.0	42.0	6.0
пенсию и			
пособие	1233.0	559.0	674.0
сбережения	446.0	355.0	91.0
доход от сдачи внаем или в аренду имущества	4376.0	534.0	3842.0
на иждивении отдельных лиц	7411.0	3961.0	3450.0
иной источник	350.0	244.0	106.0
пособие и			
сбережения	42.0	36.0	6.0
доход от сдачи внаем или в аренду имущества	222.0	59.0	163.0
на иждивении отдельных лиц	191941.0	79373.0	112568.0
иной источник	505.0	228.0	277.0
другие сочетания источников средств к существованию	9220.0	5731.0	3489.0
Астраханская область			
Все население, указавшее два источника средств к существованию	202504.0	102446.0	100058.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	20792.0	5514.0	15278.0
стипендию	716.0	683.0	33.0
пенсию (кроме пенсии по инвалидности)	21421.0	18516.0	2905.0
пенсию по инвалидности	1259.0	925.0	334.0
пособие (кроме пособия по безработице)	2163.0	1613.0	550.0
пособие по безработице	70.0	37.0	33.0
другой вид государственного обеспечения	2908.0	2630.0	278.0
сбережения	251.0	225.0	26.0
доход от сдачи внаем или в аренду имущества	153.0	138.0	15.0
на иждивении отдельных лиц	1514.0	1178.0	336.0
иной источник	2565.0	1684.0	881.0
личное подсобное хозяйство и			
стипендию	39.0	11.0	28.0
пенсию (кроме пенсии по инвалидности)	12395.0	2921.0	9474.0
пенсию по инвалидности	702.0	127.0	575.0
пособие (кроме пособия по безработице)	357.0	37.0	320.0
пособие по безработице	477.0	78.0	399.0
другой вид государственного обеспечения	35.0	7.0	28.0
сбережения	45.0	22.0	23.0
доход от сдачи внаем или в аренду имущества	25.0	7.0	18.0
на иждивении отдельных лиц	4432.0	796.0	3636.0
иной источник	1657.0	156.0	1501.0
стипендию и			
пенсию	199.0	120.0	79.0
пособие (кроме пособия по безработице)	156.0	101.0	55.0
сбережения	9.0	9.0	-
доход от сдачи внаем или в аренду имущества	6.0	6.0	-
на иждивении отдельных лиц	16686.0	13342.0	3344.0
иной источник	78.0	67.0	11.0
пенсию и			
пособие	958.0	391.0	567.0
сбережения	148.0	122.0	26.0
доход от сдачи внаем или в аренду имущества	133.0	120.0	13.0
на иждивении отдельных лиц	4958.0	3178.0	1780.0
иной источник	491.0	352.0	139.0
пособие и			
сбережения	27.0	24.0	3.0
доход от сдачи внаем или в аренду имущества	40.0	27.0	13.0
на иждивении отдельных лиц	96877.0	42200.0	54677.0
иной источник	467.0	297.0	170.0
другие сочетания источников средств к существованию	7295.0	4785.0	2510.0
Мужчины, указавшие два источника средств к существованию	98655.0	49399.0	49256.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	11722.0	2809.0	8913.0
стипендию	342.0	325.0	17.0
пенсию (кроме пенсии по инвалидности)	10305.0	9191.0	1114.0
пенсию по инвалидности	756.0	534.0	222.0
пособие (кроме пособия по безработице)	127.0	91.0	36.0
пособие по безработице	17.0	7.0	10.0
другой вид государственного обеспечения	2622.0	2423.0	199.0
сбережения	144.0	132.0	12.0
доход от сдачи внаем или в аренду имущества	71.0	59.0	12.0
на иждивении отдельных лиц	589.0	446.0	143.0
иной источник	1545.0	977.0	568.0
личное подсобное хозяйство и			
стипендию	17.0	5.0	12.0
пенсию (кроме пенсии по инвалидности)	4832.0	1126.0	3706.0
пенсию по инвалидности	466.0	80.0	386.0
пособие (кроме пособия по безработице)	71.0	8.0	63.0
пособие по безработице	190.0	31.0	159.0
другой вид государственного обеспечения	7.0	1.0	6.0
сбережения	23.0	10.0	13.0
доход от сдачи внаем или в аренду имущества	12.0	3.0	9.0
на иждивении отдельных лиц	1630.0	263.0	1367.0
иной источник	1110.0	107.0	1003.0
стипендию и			
пенсию	92.0	47.0	45.0
пособие (кроме пособия по безработице)	70.0	47.0	23.0
сбережения	7.0	7.0	-
доход от сдачи внаем или в аренду имущества	2.0	2.0	-
на иждивении отдельных лиц	7357.0	5777.0	1580.0
иной источник	48.0	40.0	8.0
пенсию и			
пособие	432.0	162.0	270.0
сбережения	53.0	43.0	10.0
доход от сдачи внаем или в аренду имущества	27.0	23.0	4.0
на иждивении отдельных лиц	2262.0	1401.0	861.0
иной источник	217.0	139.0	78.0
пособие и			
сбережения	7.0	7.0	-
доход от сдачи внаем или в аренду имущества	20.0	10.0	10.0
на иждивении отдельных лиц	47465.0	20418.0	27047.0
иной источник	155.0	94.0	61.0
другие сочетания источников средств к существованию	3843.0	2554.0	1289.0
Женщины, указавшие два источника средств к существованию	103849.0	53047.0	50802.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	9070.0	2705.0	6365.0
стипендию	374.0	358.0	16.0
пенсию (кроме пенсии по инвалидности)	11116.0	9325.0	1791.0
пенсию по инвалидности	503.0	391.0	112.0
пособие (кроме пособия по безработице)	2036.0	1522.0	514.0
пособие по безработице	53.0	30.0	23.0
другой вид государственного обеспечения	286.0	207.0	79.0
сбережения	107.0	93.0	14.0
доход от сдачи внаем или в аренду имущества	82.0	79.0	3.0
на иждивении отдельных лиц	925.0	732.0	193.0
иной источник	1020.0	707.0	313.0
личное подсобное хозяйство и			
стипендию	22.0	6.0	16.0
пенсию (кроме пенсии по инвалидности)	7563.0	1795.0	5768.0
пенсию по инвалидности	236.0	47.0	189.0
пособие (кроме пособия по безработице)	286.0	29.0	257.0
пособие по безработице	287.0	47.0	240.0
другой вид государственного обеспечения	28.0	6.0	22.0
сбережения	22.0	12.0	10.0
доход от сдачи внаем или в аренду имущества	13.0	4.0	9.0
на иждивении отдельных лиц	2802.0	533.0	2269.0
иной источник	547.0	49.0	498.0
стипендию и			
пенсию	107.0	73.0	34.0
пособие (кроме пособия по безработице)	86.0	54.0	32.0
сбережения	2.0	2.0	-
доход от сдачи внаем или в аренду имущества	4.0	4.0	-
на иждивении отдельных лиц	9329.0	7565.0	1764.0
иной источник	30.0	27.0	3.0
пенсию и			
пособие	526.0	229.0	297.0
сбережения	95.0	79.0	16.0
доход от сдачи внаем или в аренду имущества	106.0	97.0	9.0
на иждивении отдельных лиц	2696.0	1777.0	919.0
иной источник	274.0	213.0	61.0
пособие и			
сбережения	20.0	17.0	3.0
доход от сдачи внаем или в аренду имущества	20.0	17.0	3.0
на иждивении отдельных лиц	49412.0	21782.0	27630.0
иной источник	312.0	203.0	109.0
другие сочетания источников средств к существованию	3452.0	2231.0	1221.0
Волгоградская область			
Все население, указавшее два источника средств к существованию	646826.0	379374.0	267452.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	105798.0	36733.0	69065.0
стипендию	1797.0	1773.0	24.0
пенсию (кроме пенсии по инвалидности)	61156.0	57089.0	4067.0
пенсию по инвалидности	5399.0	4487.0	912.0
пособие (кроме пособия по безработице)	6059.0	5172.0	887.0
пособие по безработице	170.0	146.0	24.0
другой вид государственного обеспечения	8393.0	8299.0	94.0
сбережения	494.0	465.0	29.0
доход от сдачи внаем или в аренду имущества	796.0	372.0	424.0
на иждивении отдельных лиц	5370.0	4646.0	724.0
иной источник	7434.0	6178.0	1256.0
личное подсобное хозяйство и			
стипендию	83.0	61.0	22.0
пенсию (кроме пенсии по инвалидности)	67906.0	27528.0	40378.0
пенсию по инвалидности	5278.0	1646.0	3632.0
пособие (кроме пособия по безработице)	1601.0	331.0	1270.0
пособие по безработице	1272.0	313.0	959.0
другой вид государственного обеспечения	228.0	69.0	159.0
сбережения	186.0	116.0	70.0
доход от сдачи внаем или в аренду имущества	855.0	26.0	829.0
на иждивении отдельных лиц	19826.0	6140.0	13686.0
иной источник	3542.0	946.0	2596.0
стипендию и			
пенсию	506.0	441.0	65.0
пособие (кроме пособия по безработице)	239.0	216.0	23.0
сбережения	16.0	14.0	2.0
доход от сдачи внаем или в аренду имущества	9.0	6.0	3.0
на иждивении отдельных лиц	30378.0	27687.0	2691.0
иной источник	288.0	285.0	3.0
пенсию и			
пособие	2436.0	1364.0	1072.0
сбережения	502.0	419.0	83.0
доход от сдачи внаем или в аренду имущества	1592.0	565.0	1027.0
на иждивении отдельных лиц	17244.0	12375.0	4869.0
иной источник	1351.0	1059.0	292.0
пособие и			
сбережения	41.0	38.0	3.0
доход от сдачи внаем или в аренду имущества	159.0	70.0	89.0
на иждивении отдельных лиц	263216.0	153237.0	109979.0
иной источник	1054.0	712.0	342.0
другие сочетания источников средств к существованию	24152.0	18350.0	5802.0
Мужчины, указавшие два источника средств к существованию	312237.0	181134.0	131103.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	58312.0	19012.0	39300.0
стипендию	965.0	952.0	13.0
пенсию (кроме пенсии по инвалидности)	28515.0	26938.0	1577.0
пенсию по инвалидности	3226.0	2626.0	600.0
пособие (кроме пособия по безработице)	424.0	367.0	57.0
пособие по безработице	44.0	35.0	9.0
другой вид государственного обеспечения	7455.0	7424.0	31.0
сбережения	276.0	255.0	21.0
доход от сдачи внаем или в аренду имущества	441.0	170.0	271.0
на иждивении отдельных лиц	2106.0	1779.0	327.0
иной источник	4318.0	3443.0	875.0
личное подсобное хозяйство и			
стипендию	51.0	37.0	14.0
пенсию (кроме пенсии по инвалидности)	26359.0	10399.0	15960.0
пенсию по инвалидности	3221.0	965.0	2256.0
пособие (кроме пособия по безработице)	261.0	55.0	206.0
пособие по безработице	397.0	126.0	271.0
другой вид государственного обеспечения	48.0	24.0	24.0
сбережения	105.0	66.0	39.0
доход от сдачи внаем или в аренду имущества	406.0	11.0	395.0
на иждивении отдельных лиц	6630.0	2283.0	4347.0
иной источник	2327.0	556.0	1771.0
стипендию и			
пенсию	224.0	189.0	35.0
пособие (кроме пособия по безработице)	94.0	79.0	15.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	4.0	2.0	2.0
на иждивении отдельных лиц	13653.0	12336.0	1317.0
иной источник	176.0	175.0	1.0
пенсию и			
пособие	977.0	495.0	482.0
сбережения	189.0	157.0	32.0
доход от сдачи внаем или в аренду имущества	465.0	125.0	340.0
на иждивении отдельных лиц	7544.0	5363.0	2181.0
иной источник	621.0	477.0	144.0
пособие и			
сбережения	7.0	7.0	-
доход от сдачи внаем или в аренду имущества	74.0	29.0	45.0
на иждивении отдельных лиц	129506.0	74665.0	54841.0
иной источник	361.0	240.0	121.0
другие сочетания источников средств к существованию	12450.0	9267.0	3183.0
Женщины, указавшие два источника средств к существованию	334589.0	198240.0	136349.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	47486.0	17721.0	29765.0
стипендию	832.0	821.0	11.0
пенсию (кроме пенсии по инвалидности)	32641.0	30151.0	2490.0
пенсию по инвалидности	2173.0	1861.0	312.0
пособие (кроме пособия по безработице)	5635.0	4805.0	830.0
пособие по безработице	126.0	111.0	15.0
другой вид государственного обеспечения	938.0	875.0	63.0
сбережения	218.0	210.0	8.0
доход от сдачи внаем или в аренду имущества	355.0	202.0	153.0
на иждивении отдельных лиц	3264.0	2867.0	397.0
иной источник	3116.0	2735.0	381.0
личное подсобное хозяйство и			
стипендию	32.0	24.0	8.0
пенсию (кроме пенсии по инвалидности)	41547.0	17129.0	24418.0
пенсию по инвалидности	2057.0	681.0	1376.0
пособие (кроме пособия по безработице)	1340.0	276.0	1064.0
пособие по безработице	875.0	187.0	688.0
другой вид государственного обеспечения	180.0	45.0	135.0
сбережения	81.0	50.0	31.0
доход от сдачи внаем или в аренду имущества	449.0	15.0	434.0
на иждивении отдельных лиц	13196.0	3857.0	9339.0
иной источник	1215.0	390.0	825.0
стипендию и			
пенсию	282.0	252.0	30.0
пособие (кроме пособия по безработице)	145.0	137.0	8.0
сбережения	11.0	9.0	2.0
доход от сдачи внаем или в аренду имущества	5.0	4.0	1.0
на иждивении отдельных лиц	16725.0	15351.0	1374.0
иной источник	112.0	110.0	2.0
пенсию и			
пособие	1459.0	869.0	590.0
сбережения	313.0	262.0	51.0
доход от сдачи внаем или в аренду имущества	1127.0	440.0	687.0
на иждивении отдельных лиц	9700.0	7012.0	2688.0
иной источник	730.0	582.0	148.0
пособие и			
сбережения	34.0	31.0	3.0
доход от сдачи внаем или в аренду имущества	85.0	41.0	44.0
на иждивении отдельных лиц	133710.0	78572.0	55138.0
иной источник	693.0	472.0	221.0
другие сочетания источников средств к существованию	11702.0	9083.0	2619.0
Ростовская область			
Все население, указавшее два источника средств к существованию	1039658.0	546991.0	492667.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	116892.0	16955.0	99937.0
стипендию	2925.0	2812.0	113.0
пенсию (кроме пенсии по инвалидности)	81793.0	71405.0	10388.0
пенсию по инвалидности	13014.0	9434.0	3580.0
пособие (кроме пособия по безработице)	10382.0	8168.0	2214.0
пособие по безработице	236.0	176.0	60.0
другой вид государственного обеспечения	13098.0	10915.0	2183.0
сбережения	782.0	697.0	85.0
доход от сдачи внаем или в аренду имущества	3116.0	768.0	2348.0
на иждивении отдельных лиц	7490.0	5811.0	1679.0
иной источник	4051.0	3171.0	880.0
личное подсобное хозяйство и			
стипендию	102.0	22.0	80.0
пенсию (кроме пенсии по инвалидности)	79156.0	18132.0	61024.0
пенсию по инвалидности	10902.0	2313.0	8589.0
пособие (кроме пособия по безработице)	2058.0	205.0	1853.0
пособие по безработице	634.0	226.0	408.0
другой вид государственного обеспечения	233.0	44.0	189.0
сбережения	382.0	152.0	230.0
доход от сдачи внаем или в аренду имущества	1978.0	38.0	1940.0
на иждивении отдельных лиц	29124.0	4893.0	24231.0
иной источник	2603.0	346.0	2257.0
стипендию и			
пенсию	940.0	720.0	220.0
пособие (кроме пособия по безработице)	829.0	644.0	185.0
сбережения	39.0	38.0	1.0
доход от сдачи внаем или в аренду имущества	22.0	21.0	1.0
на иждивении отдельных лиц	94269.0	79999.0	14270.0
иной источник	265.0	248.0	17.0
пенсию и			
пособие	4516.0	2692.0	1824.0
сбережения	665.0	515.0	150.0
доход от сдачи внаем или в аренду имущества	5495.0	1129.0	4366.0
на иждивении отдельных лиц	17340.0	10888.0	6452.0
иной источник	965.0	758.0	207.0
пособие и			
сбережения	115.0	96.0	19.0
доход от сдачи внаем или в аренду имущества	366.0	195.0	171.0
на иждивении отдельных лиц	503789.0	270011.0	233778.0
иной источник	916.0	637.0	279.0
другие сочетания источников средств к существованию	28176.0	21717.0	6459.0
Мужчины, указавшие два источника средств к существованию	505266.0	264851.0	240415.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	66308.0	9131.0	57177.0
стипендию	1661.0	1605.0	56.0
пенсию (кроме пенсии по инвалидности)	39026.0	34594.0	4432.0
пенсию по инвалидности	7331.0	5101.0	2230.0
пособие (кроме пособия по безработице)	742.0	598.0	144.0
пособие по безработице	64.0	48.0	16.0
другой вид государственного обеспечения	12226.0	10216.0	2010.0
сбережения	483.0	425.0	58.0
доход от сдачи внаем или в аренду имущества	1726.0	383.0	1343.0
на иждивении отдельных лиц	3322.0	2579.0	743.0
иной источник	2577.0	1965.0	612.0
личное подсобное хозяйство и			
стипендию	51.0	12.0	39.0
пенсию (кроме пенсии по инвалидности)	30895.0	7035.0	23860.0
пенсию по инвалидности	6198.0	1241.0	4957.0
пособие (кроме пособия по безработице)	163.0	30.0	133.0
пособие по безработице	274.0	121.0	153.0
другой вид государственного обеспечения	63.0	18.0	45.0
сбережения	235.0	100.0	135.0
доход от сдачи внаем или в аренду имущества	1012.0	21.0	991.0
на иждивении отдельных лиц	8671.0	1436.0	7235.0
иной источник	1736.0	225.0	1511.0
стипендию и			
пенсию	457.0	344.0	113.0
пособие (кроме пособия по безработице)	383.0	296.0	87.0
сбережения	26.0	25.0	1.0
доход от сдачи внаем или в аренду имущества	14.0	14.0	-
на иждивении отдельных лиц	45896.0	38609.0	7287.0
иной источник	131.0	121.0	10.0
пенсию и			
пособие	2038.0	1195.0	843.0
сбережения	270.0	201.0	69.0
доход от сдачи внаем или в аренду имущества	1803.0	281.0	1522.0
на иждивении отдельных лиц	7613.0	4621.0	2992.0
иной источник	492.0	378.0	114.0
пособие и			
сбережения	41.0	34.0	7.0
доход от сдачи внаем или в аренду имущества	166.0	89.0	77.0
на иждивении отдельных лиц	245910.0	130057.0	115853.0
иной источник	330.0	221.0	109.0
другие сочетания источников средств к существованию	14932.0	11481.0	3451.0
Женщины, указавшие два источника средств к существованию	534392.0	282140.0	252252.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	50584.0	7824.0	42760.0
стипендию	1264.0	1207.0	57.0
пенсию (кроме пенсии по инвалидности)	42767.0	36811.0	5956.0
пенсию по инвалидности	5683.0	4333.0	1350.0
пособие (кроме пособия по безработице)	9640.0	7570.0	2070.0
пособие по безработице	172.0	128.0	44.0
другой вид государственного обеспечения	872.0	699.0	173.0
сбережения	299.0	272.0	27.0
доход от сдачи внаем или в аренду имущества	1390.0	385.0	1005.0
на иждивении отдельных лиц	4168.0	3232.0	936.0
иной источник	1474.0	1206.0	268.0
личное подсобное хозяйство и			
стипендию	51.0	10.0	41.0
пенсию (кроме пенсии по инвалидности)	48261.0	11097.0	37164.0
пенсию по инвалидности	4704.0	1072.0	3632.0
пособие (кроме пособия по безработице)	1895.0	175.0	1720.0
пособие по безработице	360.0	105.0	255.0
другой вид государственного обеспечения	170.0	26.0	144.0
сбережения	147.0	52.0	95.0
доход от сдачи внаем или в аренду имущества	966.0	17.0	949.0
на иждивении отдельных лиц	20453.0	3457.0	16996.0
иной источник	867.0	121.0	746.0
стипендию и			
пенсию	483.0	376.0	107.0
пособие (кроме пособия по безработице)	446.0	348.0	98.0
сбережения	13.0	13.0	-
доход от сдачи внаем или в аренду имущества	8.0	7.0	1.0
на иждивении отдельных лиц	48373.0	41390.0	6983.0
иной источник	134.0	127.0	7.0
пенсию и			
пособие	2478.0	1497.0	981.0
сбережения	395.0	314.0	81.0
доход от сдачи внаем или в аренду имущества	3692.0	848.0	2844.0
на иждивении отдельных лиц	9727.0	6267.0	3460.0
иной источник	473.0	380.0	93.0
пособие и			
сбережения	74.0	62.0	12.0
доход от сдачи внаем или в аренду имущества	200.0	106.0	94.0
на иждивении отдельных лиц	257879.0	139954.0	117925.0
иной источник	586.0	416.0	170.0
другие сочетания источников средств к существованию	13244.0	10236.0	3008.0
Приволжский федеральный округ			
Все население, указавшее два источника средств к существованию	9535805.0	4679980.0	4855825.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	2529237.0	880533.0	1648704.0
стипендию	18664.0	18025.0	639.0
пенсию (кроме пенсии по инвалидности)	573347.0	527613.0	45734.0
пенсию по инвалидности	65546.0	53406.0	12140.0
пособие (кроме пособия по безработице)	96009.0	79560.0	16449.0
пособие по безработице	1691.0	1404.0	287.0
другой вид государственного обеспечения	103180.0	73179.0	30001.0
сбережения	7593.0	6968.0	625.0
доход от сдачи внаем или в аренду имущества	4549.0	4024.0	525.0
на иждивении отдельных лиц	48742.0	42540.0	6202.0
иной источник	37023.0	31862.0	5161.0
личное подсобное хозяйство и			
стипендию	4071.0	1674.0	2397.0
пенсию (кроме пенсии по инвалидности)	1572293.0	472718.0	1099575.0
пенсию по инвалидности	134026.0	36114.0	97912.0
пособие (кроме пособия по безработице)	34336.0	5659.0	28677.0
пособие по безработице	31400.0	11558.0	19842.0
другой вид государственного обеспечения	2567.0	637.0	1930.0
сбережения	3311.0	1566.0	1745.0
доход от сдачи внаем или в аренду имущества	1223.0	334.0	889.0
на иждивении отдельных лиц	361675.0	114949.0	246726.0
иной источник	34900.0	9046.0	25854.0
стипендию и			
пенсию	8338.0	6341.0	1997.0
пособие (кроме пособия по безработице)	5150.0	4062.0	1088.0
сбережения	106.0	100.0	6.0
доход от сдачи внаем или в аренду имущества	154.0	133.0	21.0
на иждивении отдельных лиц	472432.0	401851.0	70581.0
иной источник	1326.0	1232.0	94.0
пенсию и			
пособие	30125.0	16244.0	13881.0
сбережения	7008.0	5263.0	1745.0
доход от сдачи внаем или в аренду имущества	5269.0	4293.0	976.0
на иждивении отдельных лиц	148390.0	102536.0	45854.0
иной источник	5696.0	4876.0	820.0
пособие и			
сбережения	682.0	588.0	94.0
доход от сдачи внаем или в аренду имущества	2684.0	1272.0	1412.0
на иждивении отдельных лиц	2990095.0	1613080.0	1377015.0
иной источник	6701.0	5080.0	1621.0
другие сочетания источников средств к существованию	186266.0	139660.0	46606.0
Мужчины, указавшие два источника средств к существованию	4497249.0	2164219.0	2333030.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	1353138.0	443064.0	910074.0
стипендию	9833.0	9494.0	339.0
пенсию (кроме пенсии по инвалидности)	251317.0	233630.0	17687.0
пенсию по инвалидности	38143.0	30112.0	8031.0
пособие (кроме пособия по безработице)	6275.0	5324.0	951.0
пособие по безработице	532.0	419.0	113.0
другой вид государственного обеспечения	85922.0	59004.0	26918.0
сбережения	4308.0	3947.0	361.0
доход от сдачи внаем или в аренду имущества	2267.0	1973.0	294.0
на иждивении отдельных лиц	19412.0	16389.0	3023.0
иной источник	21776.0	18184.0	3592.0
личное подсобное хозяйство и			
стипендию	2317.0	918.0	1399.0
пенсию (кроме пенсии по инвалидности)	540791.0	166702.0	374089.0
пенсию по инвалидности	82251.0	21020.0	61231.0
пособие (кроме пособия по безработице)	4656.0	976.0	3680.0
пособие по безработице	10699.0	4290.0	6409.0
другой вид государственного обеспечения	541.0	195.0	346.0
сбережения	2033.0	953.0	1080.0
доход от сдачи внаем или в аренду имущества	597.0	160.0	437.0
на иждивении отдельных лиц	165480.0	51575.0	113905.0
иной источник	24477.0	6015.0	18462.0
стипендию и			
пенсию	3565.0	2603.0	962.0
пособие (кроме пособия по безработице)	2218.0	1696.0	522.0
сбережения	48.0	44.0	4.0
доход от сдачи внаем или в аренду имущества	71.0	60.0	11.0
на иждивении отдельных лиц	221997.0	184270.0	37727.0
иной источник	673.0	613.0	60.0
пенсию и			
пособие	11980.0	5974.0	6006.0
сбережения	2324.0	1814.0	510.0
доход от сдачи внаем или в аренду имущества	1099.0	831.0	268.0
на иждивении отдельных лиц	70161.0	47730.0	22431.0
иной источник	2531.0	2104.0	427.0
пособие и			
сбережения	225.0	193.0	32.0
доход от сдачи внаем или в аренду имущества	1292.0	601.0	691.0
на иждивении отдельных лиц	1454575.0	769556.0	685019.0
иной источник	2291.0	1725.0	566.0
другие сочетания источников средств к существованию	95434.0	70061.0	25373.0
Женщины, указавшие два источника средств к существованию	5038556.0	2515761.0	2522795.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	1176099.0	437469.0	738630.0
стипендию	8831.0	8531.0	300.0
пенсию (кроме пенсии по инвалидности)	322030.0	293983.0	28047.0
пенсию по инвалидности	27403.0	23294.0	4109.0
пособие (кроме пособия по безработице)	89734.0	74236.0	15498.0
пособие по безработице	1159.0	985.0	174.0
другой вид государственного обеспечения	17258.0	14175.0	3083.0
сбережения	3285.0	3021.0	264.0
доход от сдачи внаем или в аренду имущества	2282.0	2051.0	231.0
на иждивении отдельных лиц	29330.0	26151.0	3179.0
иной источник	15247.0	13678.0	1569.0
личное подсобное хозяйство и			
стипендию	1754.0	756.0	998.0
пенсию (кроме пенсии по инвалидности)	1031502.0	306016.0	725486.0
пенсию по инвалидности	51775.0	15094.0	36681.0
пособие (кроме пособия по безработице)	29680.0	4683.0	24997.0
пособие по безработице	20701.0	7268.0	13433.0
другой вид государственного обеспечения	2026.0	442.0	1584.0
сбережения	1278.0	613.0	665.0
доход от сдачи внаем или в аренду имущества	626.0	174.0	452.0
на иждивении отдельных лиц	196195.0	63374.0	132821.0
иной источник	10423.0	3031.0	7392.0
стипендию и			
пенсию	4773.0	3738.0	1035.0
пособие (кроме пособия по безработице)	2932.0	2366.0	566.0
сбережения	58.0	56.0	2.0
доход от сдачи внаем или в аренду имущества	83.0	73.0	10.0
на иждивении отдельных лиц	250435.0	217581.0	32854.0
иной источник	653.0	619.0	34.0
пенсию и			
пособие	18145.0	10270.0	7875.0
сбережения	4684.0	3449.0	1235.0
доход от сдачи внаем или в аренду имущества	4170.0	3462.0	708.0
на иждивении отдельных лиц	78229.0	54806.0	23423.0
иной источник	3165.0	2772.0	393.0
пособие и			
сбережения	457.0	395.0	62.0
доход от сдачи внаем или в аренду имущества	1392.0	671.0	721.0
на иждивении отдельных лиц	1535520.0	843524.0	691996.0
иной источник	4410.0	3355.0	1055.0
другие сочетания источников средств к существованию	90832.0	69599.0	21233.0
Республика Башкортостан			
Все население, указавшее два источника средств к существованию	1390388.0	536767.0	853621.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	420267.0	121662.0	298605.0
стипендию	1967.0	1876.0	91.0
пенсию (кроме пенсии по инвалидности)	56777.0	52124.0	4653.0
пенсию по инвалидности	7381.0	6015.0	1366.0
пособие (кроме пособия по безработице)	12240.0	9456.0	2784.0
пособие по безработице	288.0	232.0	56.0
другой вид государственного обеспечения	6088.0	5851.0	237.0
сбережения	1265.0	1186.0	79.0
доход от сдачи внаем или в аренду имущества	542.0	479.0	63.0
на иждивении отдельных лиц	8005.0	6735.0	1270.0
иной источник	6027.0	4842.0	1185.0
личное подсобное хозяйство и			
стипендию	767.0	226.0	541.0
пенсию (кроме пенсии по инвалидности)	282802.0	68491.0	214311.0
пенсию по инвалидности	15281.0	3247.0	12034.0
пособие (кроме пособия по безработице)	8479.0	848.0	7631.0
пособие по безработице	3226.0	1407.0	1819.0
другой вид государственного обеспечения	695.0	131.0	564.0
сбережения	509.0	285.0	224.0
доход от сдачи внаем или в аренду имущества	111.0	44.0	67.0
на иждивении отдельных лиц	65759.0	18410.0	47349.0
иной источник	6200.0	1314.0	4886.0
стипендию и			
пенсию	1267.0	863.0	404.0
пособие (кроме пособия по безработице)	955.0	668.0	287.0
сбережения	15.0	14.0	1.0
доход от сдачи внаем или в аренду имущества	6.0	4.0	2.0
на иждивении отдельных лиц	71838.0	59006.0	12832.0
иной источник	177.0	160.0	17.0
пенсию и			
пособие	4434.0	1859.0	2575.0
сбережения	912.0	794.0	118.0
доход от сдачи внаем или в аренду имущества	531.0	480.0	51.0
