9. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, СОСТОЯЩИХ ИЗ ОДНОГО ЧЕЛОВЕКА, ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
				
	Всего	в том числе в возрасте		
из них указали один источник средств к существованию	122356.0	327.0	47410.0	74554.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	32280.0	2.0	31648.0	600.0
личное подсобное хозяйство	2575.0	-	2536.0	38.0
стипендию	372.0	38.0	333.0	-
пенсию (кроме пенсии по инвалидности)	72079.0	2.0	1600.0	70467.0
пенсию по инвалидности	6449.0	1.0	3061.0	3386.0
пособие (кроме пособия по безработице)	75.0	7.0	50.0	18.0
пособие по безработице	248.0	-	248.0	-
другой вид государственного обеспечения	18.0	-	14.0	4.0
сбережения	235.0	-	232.0	3.0
доход от сдачи внаем или в аренду имущества	63.0	-	63.0	-
на иждивении отдельных лиц	6656.0	277.0	6347.0	24.0
иной источник	1306.0	-	1278.0	14.0
Указавшие два источника средств к существованию	34615.0	584.0	13918.0	20108.0
Указавшие три и более источника средств к существованию	1887.0	89.0	882.0	916.0
Пензенская область				
Население частных домохозяйств, состоящих из одного человека	128547.0	255.0	43687.0	84527.0
из них указали один источник средств к существованию	106568.0	70.0	36998.0	69484.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	24496.0	2.0	24020.0	465.0
личное подсобное хозяйство	2847.0	-	2803.0	44.0
стипендию	125.0	5.0	120.0	-
пенсию (кроме пенсии по инвалидности)	68700.0	5.0	1533.0	67158.0
пенсию по инвалидности	3833.0	-	2060.0	1771.0
пособие (кроме пособия по безработице)	103.0	4.0	84.0	15.0
пособие по безработице	821.0	-	821.0	-
другой вид государственного обеспечения	28.0	-	25.0	3.0
сбережения	215.0	-	213.0	2.0
доход от сдачи внаем или в аренду имущества	31.0	-	31.0	-
на иждивении отдельных лиц	4314.0	54.0	4244.0	15.0
иной источник	1055.0	-	1044.0	11.0
Указавшие два источника средств к существованию	20750.0	156.0	6095.0	14499.0
Указавшие три и более источника средств к существованию	792.0	26.0	320.0	446.0
Пермская область				
Население частных домохозяйств, состоящих из одного человека	231947.0	1321.0	98808.0	131190.0
из них указали один источник средств к существованию	166584.0	465.0	74494.0	91537.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	51405.0	4.0	50413.0	945.0
личное подсобное хозяйство	2525.0	1.0	2480.0	44.0
стипендию	622.0	53.0	569.0	-
пенсию (кроме пенсии по инвалидности)	90619.0	12.0	3086.0	87502.0
пенсию по инвалидности	6758.0	1.0	3833.0	2921.0
пособие (кроме пособия по безработице)	209.0	15.0	158.0	36.0
пособие по безработице	709.0	-	708.0	-
другой вид государственного обеспечения	80.0	9.0	68.0	3.0
сбережения	342.0	-	342.0	-
доход от сдачи внаем или в аренду имущества	71.0	-	71.0	-
на иждивении отдельных лиц	8124.0	364.0	7696.0	46.0
иной источник	5120.0	6.0	5070.0	40.0
Указавшие два источника средств к существованию	58740.0	692.0	20600.0	37438.0
Указавшие три и более источника средств к существованию	3428.0	125.0	1629.0	1674.0
Коми–Пермяцкий автономный округ				
Население частных домохозяйств, состоящих из одного человека	11831.0	387.0	5352.0	6089.0
из них указали один источник средств к существованию	5085.0	49.0	2615.0	2421.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	906.0	-	897.0	9.0
личное подсобное хозяйство	494.0	-	493.0	1.0
стипендию	172.0	36.0	136.0	-
пенсию (кроме пенсии по инвалидности)	2459.0	1.0	116.0	2342.0
пенсию по инвалидности	263.0	-	197.0	66.0
пособие (кроме пособия по безработице)	1.0	-	-	1.0
пособие по безработице	47.0	-	47.0	-
другой вид государственного обеспечения	-	-	-	-
сбережения	5.0	-	5.0	-
доход от сдачи внаем или в аренду имущества	1.0	-	1.0	-
на иждивении отдельных лиц	372.0	12.0	360.0	-
иной источник	365.0	-	363.0	2.0
Указавшие два источника средств к существованию	6396.0	266.0	2561.0	3569.0
Указавшие три и более источника средств к существованию	347.0	72.0	176.0	99.0
Самарская область				
Население частных домохозяйств, состоящих из одного человека	255677.0	637.0	99724.0	154825.0
из них указали один источник средств к существованию	213421.0	290.0	86471.0	126577.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	66057.0	6.0	64079.0	1939.0
личное подсобное хозяйство	1453.0	-	1373.0	80.0
стипендию	741.0	18.0	723.0	-
пенсию (кроме пенсии по инвалидности)	122905.0	5.0	2931.0	119940.0
пенсию по инвалидности	8159.0	-	3738.0	4417.0
пособие (кроме пособия по безработице)	233.0	24.0	163.0	46.0
пособие по безработице	1000.0	-	1000.0	-
другой вид государственного обеспечения	93.0	8.0	67.0	18.0
сбережения	523.0	-	516.0	7.0
доход от сдачи внаем или в аренду имущества	72.0	1.0	69.0	2.0
на иждивении отдельных лиц	8620.0	222.0	8320.0	70.0
иной источник	3565.0	6.0	3492.0	58.0
Указавшие два источника средств к существованию	36978.0	287.0	10547.0	26135.0
Указавшие три и более источника средств к существованию	2174.0	30.0	615.0	1529.0
Саратовская область				
Население частных домохозяйств, состоящих из одного человека	233019.0	1201.0	94262.0	137394.0
из них указали один источник средств к существованию	197242.0	518.0	77795.0	118911.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	50062.0	2.0	48704.0	1353.0
личное подсобное хозяйство	2667.0	-	2579.0	87.0
стипендию	1580.0	88.0	1492.0	-
пенсию (кроме пенсии по инвалидности)	116832.0	4.0	2675.0	114144.0
пенсию по инвалидности	6221.0	-	3045.0	3175.0
пособие (кроме пособия по безработице)	157.0	8.0	131.0	18.0
пособие по безработице	1548.0	-	1548.0	-
другой вид государственного обеспечения	170.0	2.0	154.0	14.0
сбережения	426.0	-	417.0	9.0
доход от сдачи внаем или в аренду имущества	78.0	-	78.0	-
на иждивении отдельных лиц	13867.0	411.0	13412.0	42.0
иной источник	3634.0	3.0	3560.0	69.0
Указавшие два источника средств к существованию	32057.0	652.0	14165.0	17236.0
Указавшие три и более источника средств к существованию	1136.0	20.0	612.0	504.0
Ульяновская область				
Население частных домохозяйств, состоящих из одного человека	113650.0	192.0	41210.0	72243.0
из них указали один источник средств к существованию	91272.0	107.0	34611.0	56552.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	24737.0	1.0	24196.0	539.0
личное подсобное хозяйство	1372.0	-	1340.0	32.0
стипендию	126.0	-	126.0	-
пенсию (кроме пенсии по инвалидности)	55367.0	3.0	1241.0	54123.0
пенсию по инвалидности	3846.0	-	2036.0	1810.0
пособие (кроме пособия по безработице)	98.0	3.0	75.0	20.0
пособие по безработице	596.0	-	596.0	-
другой вид государственного обеспечения	12.0	1.0	8.0	3.0
сбережения	181.0	-	180.0	1.0
доход от сдачи внаем или в аренду имущества	34.0	-	34.0	-
на иждивении отдельных лиц	3929.0	98.0	3816.0	14.0
иной источник	974.0	1.0	963.0	10.0
Указавшие два источника средств к существованию	21585.0	75.0	6263.0	15247.0
Указавшие три и более источника средств к существованию	779.0	10.0	330.0	439.0
Уральский федеральный округ				
Население частных домохозяйств, состоящих из одного человека	1001122.0	2495.0	441613.0	554619.0
из них указали один источник средств к существованию	800681.0	1320.0	368229.0	430833.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	278202.0	9.0	271916.0	6110.0
личное подсобное хозяйство	7488.0	2.0	7059.0	424.0
стипендию	2336.0	86.0	2247.0	-
пенсию (кроме пенсии по инвалидности)	425133.0	33.0	13520.0	411514.0
пенсию по инвалидности	27224.0	8.0	15047.0	12163.0
пособие (кроме пособия по безработице)	987.0	34.0	839.0	114.0
пособие по безработице	5256.0	-	5255.0	-
другой вид государственного обеспечения	397.0	37.0	305.0	51.0
сбережения	2533.0	-	2516.0	17.0
доход от сдачи внаем или в аренду имущества	425.0	-	415.0	7.0
на иждивении отдельных лиц	36137.0	1102.0	34765.0	239.0
иной источник	14563.0	9.0	14345.0	194.0
Указавшие два источника средств к существованию	175403.0	984.0	59038.0	115354.0
Указавшие три и более источника средств к существованию	10348.0	103.0	3972.0	6271.0
Курганская область				
Население частных домохозяйств, состоящих из одного человека	86555.0	124.0	30489.0	55931.0
из них указали один источник средств к существованию	68666.0	68.0	25187.0	43407.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	16358.0	1.0	16092.0	264.0
личное подсобное хозяйство	1449.0	-	1430.0	18.0
стипендию	289.0	21.0	268.0	-
пенсию (кроме пенсии по инвалидности)	42890.0	1.0	855.0	42033.0
пенсию по инвалидности	2407.0	-	1352.0	1055.0
пособие (кроме пособия по безработице)	62.0	3.0	48.0	11.0
пособие по безработице	443.0	-	443.0	-
другой вид государственного обеспечения	17.0	2.0	12.0	3.0
сбережения	109.0	-	108.0	1.0
доход от сдачи внаем или в аренду имущества	31.0	-	31.0	-
на иждивении отдельных лиц	2453.0	40.0	2400.0	13.0
иной источник	2158.0	-	2148.0	9.0
Указавшие два источника средств к существованию	17178.0	47.0	5010.0	12121.0
Указавшие три и более источника средств к существованию	662.0	8.0	259.0	395.0
Свердловская область				
Население частных домохозяйств, состоящих из одного человека	417718.0	1172.0	172083.0	243694.0
из них указали один источник средств к существованию	324329.0	625.0	139108.0	184496.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	104712.0	6.0	102129.0	2529.0
личное подсобное хозяйство	2336.0	2.0	2113.0	220.0
стипендию	833.0	13.0	818.0	-
пенсию (кроме пенсии по инвалидности)	180738.0	18.0	5084.0	175603.0
пенсию по инвалидности	12420.0	3.0	6574.0	5841.0
пособие (кроме пособия по безработице)	410.0	18.0	347.0	45.0
пособие по безработице	1792.0	-	1792.0	-
другой вид государственного обеспечения	169.0	8.0	133.0	26.0
сбережения	731.0	-	723.0	8.0
доход от сдачи внаем или в аренду имущества	106.0	-	99.0	6.0
на иждивении отдельных лиц	13395.0	553.0	12734.0	99.0
иной источник	6687.0	4.0	6562.0	119.0
Указавшие два источника средств к существованию	80648.0	455.0	25281.0	54897.0
Указавшие три и более источника средств к существованию	5019.0	53.0	1819.0	3146.0
Тюменская область				
Население частных домохозяйств, состоящих из одного человека	199073.0	477.0	123530.0	73819.0
из них указали один источник средств к существованию	166336.0	273.0	106643.0	59262.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	83576.0	1.0	81914.0	1558.0
личное подсобное хозяйство	1412.0	-	1288.0	124.0
стипендию	637.0	21.0	616.0	-
пенсию (кроме пенсии по инвалидности)	59203.0	5.0	3745.0	55432.0
пенсию по инвалидности	5414.0	1.0	3413.0	1997.0
пособие (кроме пособия по безработице)	263.0	6.0	223.0	34.0
пособие по безработице	1415.0	-	1415.0	-
другой вид государственного обеспечения	131.0	15.0	104.0	12.0
сбережения	994.0	-	991.0	3.0
доход от сдачи внаем или в аренду имущества	135.0	-	134.0	-
на иждивении отдельных лиц	8811.0	220.0	8514.0	58.0
иной источник	4345.0	4.0	4286.0	44.0
Указавшие два источника средств к существованию	25708.0	155.0	12320.0	13221.0
Указавшие три и более источника средств к существованию	1645.0	12.0	986.0	647.0
Ханты-Мансийский автономный округ - Югра				
Население частных домохозяйств, состоящих из одного человека	70499.0	155.0	52206.0	17728.0
из них указали один источник средств к существованию	61667.0	115.0	47482.0	14016.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	40545.0	-	39769.0	732.0
личное подсобное хозяйство	147.0	-	142.0	5.0
стипендию	192.0	12.0	180.0	-
пенсию (кроме пенсии по инвалидности)	14797.0	1.0	2011.0	12781.0
пенсию по инвалидности	1462.0	-	1015.0	447.0
пособие (кроме пособия по безработице)	132.0	2.0	112.0	18.0
пособие по безработице	789.0	-	789.0	-
другой вид государственного обеспечения	56.0	10.0	44.0	2.0
сбережения	530.0	-	530.0	-
доход от сдачи внаем или в аренду имущества	69.0	-	68.0	-
на иждивении отдельных лиц	1633.0	88.0	1520.0	22.0
иной источник	1315.0	2.0	1302.0	9.0
Указавшие два источника средств к существованию	6726.0	29.0	3305.0	3389.0
Указавшие три и более источника средств к существованию	268.0	-	140.0	128.0
Ямало-Ненецкий автономный округ				
Население частных домохозяйств, состоящих из одного человека	28106.0	92.0	23577.0	4243.0
из них указали один источник средств к существованию	23508.0	38.0	20572.0	2857.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	17702.0	1.0	17327.0	354.0
личное подсобное хозяйство	20.0	-	20.0	-
стипендию	23.0	1.0	22.0	-
пенсию (кроме пенсии по инвалидности)	3252.0	1.0	816.0	2429.0
пенсию по инвалидности	382.0	-	320.0	61.0
пособие (кроме пособия по безработице)	65.0	-	64.0	1.0
пособие по безработице	370.0	-	370.0	-
другой вид государственного обеспечения	31.0	2.0	29.0	-
сбережения	240.0	-	239.0	1.0
доход от сдачи внаем или в аренду имущества	14.0	-	14.0	-
на иждивении отдельных лиц	706.0	33.0	655.0	8.0
иной источник	703.0	-	696.0	3.0
Указавшие два источника средств к существованию	3074.0	35.0	1788.0	1250.0
Указавшие три и более источника средств к существованию	286.0	8.0	245.0	33.0
Челябинская область				
Население частных домохозяйств, состоящих из одного человека	297776.0	722.0	115511.0	181175.0
из них указали один источник средств к существованию	241350.0	354.0	97291.0	143668.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	73556.0	1.0	71781.0	1759.0
личное подсобное хозяйство	2291.0	-	2228.0	62.0
стипендию	577.0	31.0	545.0	-
пенсию (кроме пенсии по инвалидности)	142302.0	9.0	3836.0	138446.0
пенсию по инвалидности	6983.0	4.0	3708.0	3270.0
пособие (кроме пособия по безработице)	252.0	7.0	221.0	24.0
пособие по безработице	1606.0	-	1605.0	-
другой вид государственного обеспечения	80.0	12.0	56.0	10.0
сбережения	699.0	-	694.0	5.0
доход от сдачи внаем или в аренду имущества	153.0	-	151.0	1.0
на иждивении отдельных лиц	11478.0	289.0	11117.0	69.0
иной источник	1373.0	1.0	1349.0	22.0
Указавшие два источника средств к существованию	51869.0	327.0	16427.0	35115.0
Указавшие три и более источника средств к существованию	3022.0	30.0	908.0	2083.0
Сибирский федеральный округ				
Население частных домохозяйств, состоящих из одного человека	1478389.0	4198.0	671985.0	800893.0
из них указали один источник средств к существованию	1110309.0	2069.0	525740.0	582349.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	352909.0	19.0	345408.0	7381.0
личное подсобное хозяйство	18769.0	1.0	18175.0	590.0
стипендию	2906.0	105.0	2801.0	-
пенсию (кроме пенсии по инвалидности)	577498.0	63.0	23161.0	554255.0
пенсию по инвалидности	44071.0	18.0	25056.0	18990.0
пособие (кроме пособия по безработице)	1442.0	50.0	1174.0	216.0
пособие по безработице	9271.0	-	9271.0	-
другой вид государственного обеспечения	549.0	58.0	434.0	57.0
сбережения	3046.0	1.0	3013.0	30.0
доход от сдачи внаем или в аренду имущества	614.0	2.0	573.0	39.0
на иждивении отдельных лиц	72188.0	1738.0	70014.0	427.0
иной источник	27046.0	14.0	26660.0	364.0
Указавшие два источника средств к существованию	339889.0	1678.0	130953.0	207229.0
Указавшие три и более источника средств к существованию	21138.0	407.0	10539.0	10191.0
Республика Алтай				
Население частных домохозяйств, состоящих из одного человека	13136.0	223.0	6833.0	6075.0
из них указали один источник средств к существованию	6416.0	81.0	3741.0	2594.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	1658.0	-	1637.0	21.0
личное подсобное хозяйство	698.0	-	691.0	7.0
стипендию	156.0	15.0	141.0	-
пенсию (кроме пенсии по инвалидности)	2482.0	-	83.0	2399.0
пенсию по инвалидности	369.0	-	209.0	160.0
пособие (кроме пособия по безработице)	3.0	1.0	2.0	-
пособие по безработице	29.0	-	29.0	-
другой вид государственного обеспечения	1.0	-	1.0	-
сбережения	12.0	-	12.0	-
доход от сдачи внаем или в аренду имущества	5.0	-	5.0	-
на иждивении отдельных лиц	882.0	65.0	811.0	6.0
иной источник	121.0	-	120.0	1.0
Указавшие два источника средств к существованию	6187.0	126.0	2742.0	3317.0
Указавшие три и более источника средств к существованию	482.0	15.0	310.0	157.0
Республика Бурятия				
Население частных домохозяйств, состоящих из одного человека	53519.0	268.0	26210.0	26998.0
из них указали один источник средств к существованию	42031.0	107.0	21213.0	20710.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	14039.0	-	13831.0	207.0
личное подсобное хозяйство	1392.0	-	1373.0	19.0
стипендию	33.0	1.0	32.0	-
пенсию (кроме пенсии по инвалидности)	20444.0	6.0	802.0	19636.0
пенсию по инвалидности	2218.0	1.0	1393.0	824.0
пособие (кроме пособия по безработице)	30.0	2.0	25.0	3.0
пособие по безработице	293.0	-	293.0	-
другой вид государственного обеспечения	104.0	31.0	73.0	-
сбережения	74.0	-	74.0	-
доход от сдачи внаем или в аренду имущества	11.0	-	11.0	-
на иждивении отдельных лиц	2186.0	66.0	2110.0	10.0
иной источник	1207.0	-	1196.0	11.0
Указавшие два источника средств к существованию	10595.0	115.0	4484.0	5995.0
Указавшие три и более источника средств к существованию	722.0	42.0	412.0	268.0
Республика Тыва				
Население частных домохозяйств, состоящих из одного человека	10394.0	151.0	6484.0	3757.0
из них указали один источник средств к существованию	6620.0	36.0	4043.0	2541.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	2085.0	-	2049.0	36.0
личное подсобное хозяйство	243.0	-	230.0	13.0
стипендию	46.0	1.0	45.0	-
пенсию (кроме пенсии по инвалидности)	2725.0	1.0	327.0	2397.0
пенсию по инвалидности	387.0	-	293.0	94.0
пособие (кроме пособия по безработице)	6.0	1.0	5.0	-
пособие по безработице	101.0	-	101.0	-
другой вид государственного обеспечения	5.0	-	5.0	-
сбережения	22.0	-	22.0	-
доход от сдачи внаем или в аренду имущества	8.0	-	8.0	-
на иждивении отдельных лиц	902.0	33.0	868.0	1.0
иной источник	90.0	-	90.0	-
Указавшие два источника средств к существованию	3162.0	62.0	1972.0	1128.0
Указавшие три и более источника средств к существованию	610.0	53.0	469.0	88.0
Республика Хакасия				
Население частных домохозяйств, состоящих из одного человека	39379.0	110.0	17808.0	21455.0
из них указали один источник средств к существованию	31383.0	56.0	14493.0	16832.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	9241.0	-	9060.0	179.0
личное подсобное хозяйство	477.0	-	442.0	35.0
стипендию	38.0	1.0	37.0	-
пенсию (кроме пенсии по инвалидности)	16486.0	3.0	583.0	15900.0
пенсию по инвалидности	1533.0	-	851.0	682.0
пособие (кроме пособия по безработице)	44.0	2.0	39.0	3.0
пособие по безработице	331.0	-	331.0	-
другой вид государственного обеспечения	11.0	-	9.0	2.0
сбережения	69.0	-	69.0	-
доход от сдачи внаем или в аренду имущества	9.0	-	8.0	1.0
на иждивении отдельных лиц	1916.0	50.0	1852.0	14.0
иной источник	1228.0	-	1212.0	16.0
Указавшие два источника средств к существованию	7424.0	45.0	2997.0	4382.0
Указавшие три и более источника средств к существованию	529.0	9.0	284.0	236.0
Алтайский край				
Население частных домохозяйств, состоящих из одного человека	194293.0	569.0	82860.0	110850.0
из них указали один источник средств к существованию	121651.0	242.0	56454.0	64954.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	35330.0	1.0	34810.0	519.0
личное подсобное хозяйство	3132.0	1.0	3091.0	40.0
стипендию	337.0	12.0	325.0	-
пенсию (кроме пенсии по инвалидности)	64056.0	2.0	2018.0	62035.0
пенсию по инвалидности	4910.0	-	2627.0	2283.0
пособие (кроме пособия по безработице)	121.0	5.0	101.0	15.0
пособие по безработице	891.0	-	891.0	-
другой вид государственного обеспечения	37.0	-	30.0	7.0
сбережения	281.0	-	276.0	5.0
доход от сдачи внаем или в аренду имущества	57.0	-	57.0	-
на иждивении отдельных лиц	9256.0	221.0	9013.0	22.0
иной источник	3243.0	-	3215.0	28.0
Указавшие два источника средств к существованию	68881.0	273.0	24753.0	43852.0
Указавшие три и более источника средств к существованию	3656.0	54.0	1577.0	2025.0
Красноярский край				
Население частных домохозяйств, состоящих из одного человека	229009.0	377.0	112354.0	115553.0
из них указали один источник средств к существованию	173260.0	189.0	90120.0	82878.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	64291.0	2.0	62925.0	1310.0
личное подсобное хозяйство	3761.0	-	3566.0	195.0
стипендию	311.0	1.0	310.0	-
пенсию (кроме пенсии по инвалидности)	81977.0	11.0	3851.0	78110.0
пенсию по инвалидности	7083.0	2.0	3959.0	3115.0
пособие (кроме пособия по безработице)	295.0	7.0	248.0	40.0
пособие по безработице	2239.0	-	2239.0	-
другой вид государственного обеспечения	49.0	3.0	38.0	8.0
сбережения	656.0	-	652.0	3.0
доход от сдачи внаем или в аренду имущества	123.0	-	114.0	9.0
на иждивении отдельных лиц	10307.0	163.0	10076.0	64.0
иной источник	2168.0	-	2142.0	24.0
Указавшие два источника средств к существованию	49008.0	149.0	18317.0	30529.0
Указавшие три и более источника средств к существованию	3098.0	18.0	1384.0	1695.0
Таймырский (Долгано-Ненецкий) автономный округ				
Население частных домохозяйств, состоящих из одного человека	3317.0	5.0	2564.0	729.0
из них указали один источник средств к существованию	2529.0	3.0	2085.0	437.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	1623.0	-	1591.0	29.0
личное подсобное хозяйство	7.0	-	7.0	-
стипендию	2.0	-	2.0	-
пенсию (кроме пенсии по инвалидности)	498.0	-	113.0	385.0
пенсию по инвалидности	89.0	1.0	67.0	21.0
пособие (кроме пособия по безработице)	13.0	-	13.0	-
пособие по безработице	145.0	-	145.0	-
другой вид государственного обеспечения	4.0	-	3.0	1.0
сбережения	32.0	-	32.0	-
доход от сдачи внаем или в аренду имущества	-	-	-	-
на иждивении отдельных лиц	84.0	2.0	80.0	1.0
иной источник	32.0	-	32.0	-
Указавшие два источника средств к существованию	539.0	1.0	282.0	256.0
Указавшие три и более источника средств к существованию	29.0	-	17.0	12.0
Эвенкийский автономный округ				
Население частных домохозяйств, состоящих из одного человека	1310.0	1.0	895.0	410.0
из них указали один источник средств к существованию	967.0	-	727.0	238.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	529.0	-	517.0	12.0
личное подсобное хозяйство	25.0	-	25.0	-
стипендию	-	-	-	-
пенсию (кроме пенсии по инвалидности)	256.0	-	39.0	217.0
пенсию по инвалидности	32.0	-	22.0	9.0
пособие (кроме пособия по безработице)	1.0	-	1.0	-
пособие по безработице	49.0	-	49.0	-
другой вид государственного обеспечения	-	-	-	-
сбережения	17.0	-	16.0	-
доход от сдачи внаем или в аренду имущества	-	-	-	-
на иждивении отдельных лиц	30.0	-	30.0	-
иной источник	28.0	-	28.0	-
Указавшие два источника средств к существованию	308.0	1.0	155.0	152.0
Указавшие три и более источника средств к существованию	33.0	-	13.0	20.0
Иркутская область				
Население частных домохозяйств, состоящих из одного человека	181367.0	379.0	81716.0	98984.0
из них указали один источник средств к существованию	142146.0	237.0	66811.0	75069.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	45831.0	7.0	44686.0	1122.0
личное подсобное хозяйство	1700.0	-	1635.0	65.0
стипендию	473.0	12.0	461.0	-
пенсию (кроме пенсии по инвалидности)	75464.0	15.0	4041.0	71401.0
пенсию по инвалидности	5951.0	3.0	3682.0	2266.0
пособие (кроме пособия по безработице)	240.0	14.0	195.0	29.0
пособие по безработице	1017.0	-	1017.0	-
другой вид государственного обеспечения	94.0	7.0	80.0	7.0
сбережения	308.0	1.0	303.0	4.0
доход от сдачи внаем или в аренду имущества	72.0	1.0	66.0	5.0
на иждивении отдельных лиц	5994.0	170.0	5746.0	75.0
иной источник	5002.0	7.0	4899.0	95.0
Указавшие два источника средств к существованию	35276.0	112.0	12909.0	22250.0
Указавшие три и более источника средств к существованию	2195.0	19.0	911.0	1265.0
Усть-Ордынский Бурятский автономный округ				
Население частных домохозяйств, состоящих из одного человека	5801.0	7.0	2511.0	3278.0
из них указали один источник средств к существованию	2998.0	2.0	1434.0	1562.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	695.0	-	682.0	13.0
личное подсобное хозяйство	325.0	-	320.0	5.0
стипендию	4.0	1.0	3.0	-
пенсию (кроме пенсии по инвалидности)	1521.0	-	30.0	1491.0
пенсию по инвалидности	167.0	-	121.0	46.0
пособие (кроме пособия по безработице)	2.0	-	2.0	-
пособие по безработице	14.0	-	14.0	-
другой вид государственного обеспечения	1.0	-	1.0	-
сбережения	3.0	-	3.0	-
доход от сдачи внаем или в аренду имущества	4.0	-	4.0	-
на иждивении отдельных лиц	41.0	1.0	39.0	1.0
иной источник	221.0	-	215.0	6.0
Указавшие два источника средств к существованию	2616.0	3.0	1015.0	1598.0
Указавшие три и более источника средств к существованию	181.0	2.0	61.0	118.0
Кемеровская область				
Население частных домохозяйств, состоящих из одного человека	242648.0	553.0	102075.0	139951.0
из них указали один источник средств к существованию	192806.0	319.0	82948.0	109528.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	56293.0	4.0	55002.0	1279.0
личное подсобное хозяйство	1634.0	-	1603.0	31.0
стипендию	367.0	8.0	359.0	-
пенсию (кроме пенсии по инвалидности)	110207.0	14.0	5173.0	105017.0
пенсию по инвалидности	6989.0	10.0	3992.0	2987.0
пособие (кроме пособия по безработице)	267.0	5.0	231.0	31.0
пособие по безработице	1935.0	-	1935.0	-
другой вид государственного обеспечения	74.0	4.0	61.0	9.0
сбережения	471.0	-	466.0	5.0
доход от сдачи внаем или в аренду имущества	66.0	-	59.0	7.0
на иждивении отдельных лиц	9099.0	269.0	8747.0	83.0
иной источник	5404.0	5.0	5320.0	79.0
Указавшие два источника средств к существованию	46700.0	196.0	17527.0	28975.0
Указавшие три и более источника средств к существованию	2619.0	35.0	1226.0	1358.0
Новосибирская область				
Население частных домохозяйств, состоящих из одного человека	223897.0	947.0	105657.0	117292.0
из них указали один источник средств к существованию	166269.0	571.0	81220.0	84478.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	53634.0	4.0	52313.0	1317.0
личное подсобное хозяйство	2223.0	-	2084.0	139.0
стипендию	550.0	31.0	519.0	-
пенсию (кроме пенсии по инвалидности)	82743.0	3.0	2260.0	80480.0
пенсию по инвалидности	5244.0	-	2849.0	2395.0
пособие (кроме пособия по безработице)	161.0	4.0	117.0	40.0
пособие по безработице	549.0	-	549.0	-
другой вид государственного обеспечения	55.0	1.0	48.0	6.0
сбережения	519.0	-	514.0	5.0
доход от сдачи внаем или в аренду имущества	134.0	-	124.0	10.0
на иждивении отдельных лиц	18080.0	528.0	17498.0	54.0
иной источник	2377.0	-	2345.0	32.0
Указавшие два источника средств к существованию	54140.0	338.0	22411.0	31390.0
Указавшие три и более источника средств к существованию	3485.0	38.0	2024.0	1423.0
Омская область				
Население частных домохозяйств, состоящих из одного человека	148284.0	331.0	64954.0	82890.0
из них указали один источник средств к существованию	119408.0	125.0	52523.0	66737.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	34825.0	-	34204.0	605.0
личное подсобное хозяйство	1372.0	-	1347.0	23.0
стипендию	334.0	17.0	317.0	-
пенсию (кроме пенсии по инвалидности)	65370.0	-	1676.0	63693.0
пенсию по инвалидности	4894.0	1.0	2592.0	2301.0
пособие (кроме пособия по безработице)	100.0	1.0	76.0	23.0
