4. ДЕТИ В ВОЗРАСТЕ 3-9 ЛЕТ ПО ОБУЧЕНИЮ В ДОШКОЛЬНЫХ И ОБЩЕОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
					
	Всего	в том числе дети		На 1000 детей     соответствующего  возраста	
4.0	5152.0	2629.0	2452.0	510.0	476.0
5.0	5296.0	2824.0	2330.0	533.0	440.0
6.0	5334.0	4290.0	966.0	804.0	181.0
7.0	5785.0	5665.0	82.0	979.0	14.0
8.0	5826.0	5770.0	27.0	990.0	5.0
9.0	5892.0	5835.0	18.0	990.0	3.0
Городское население					
Дети в возрасте 3-9 лет	15451.0	12981.0	2253.0	840.0	146.0
в том числе в возрасте, лет:					
3.0	2030.0	1250.0	742.0	616.0	365.0
4.0	2007.0	1369.0	606.0	682.0	302.0
5.0	2138.0	1481.0	595.0	693.0	278.0
6.0	2116.0	1824.0	263.0	862.0	124.0
7.0	2348.0	2303.0	28.0	981.0	12.0
8.0	2376.0	2344.0	13.0	987.0	5.0
9.0	2436.0	2410.0	6.0	989.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	22823.0	16308.0	6223.0	714.0	273.0
в том числе в возрасте, лет:					
3.0	2959.0	1026.0	1859.0	347.0	628.0
4.0	3145.0	1260.0	1846.0	401.0	587.0
5.0	3158.0	1343.0	1735.0	425.0	550.0
6.0	3218.0	2466.0	703.0	766.0	219.0
7.0	3437.0	3362.0	54.0	978.0	16.0
8.0	3450.0	3426.0	14.0	993.0	4.0
9.0	3456.0	3425.0	12.0	991.0	3.0
Республика Северная Осетия - Алания					
Все население					
Дети в возрасте 3-9 лет	59748.0	49479.0	9417.0	828.0	158.0
в том числе в возрасте, лет:					
3.0	7783.0	4665.0	2925.0	599.0	376.0
4.0	8014.0	5273.0	2609.0	658.0	326.0
5.0	7978.0	5357.0	2395.0	672.0	300.0
6.0	8673.0	7215.0	1317.0	832.0	152.0
7.0	9267.0	9085.0	118.0	980.0	13.0
8.0	9001.0	8923.0	30.0	991.0	3.0
9.0	9032.0	8961.0	23.0	993.0	2.0
Городское население					
Дети в возрасте 3-9 лет	35935.0	30921.0	4502.0	861.0	125.0
в том числе в возрасте, лет:					
3.0	4671.0	3149.0	1406.0	674.0	301.0
4.0	4770.0	3481.0	1206.0	730.0	253.0
5.0	4826.0	3632.0	1077.0	753.0	223.0
6.0	5153.0	4341.0	717.0	842.0	139.0
7.0	5539.0	5432.0	61.0	981.0	11.0
8.0	5457.0	5410.0	22.0	991.0	4.0
9.0	5519.0	5476.0	13.0	992.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	23813.0	18558.0	4915.0	779.0	207.0
в том числе в возрасте, лет:					
3.0	3112.0	1516.0	1519.0	487.0	488.0
4.0	3244.0	1792.0	1403.0	552.0	433.0
5.0	3152.0	1725.0	1318.0	547.0	418.0
6.0	3520.0	2874.0	600.0	817.0	170.0
7.0	3728.0	3653.0	57.0	980.0	15.0
8.0	3544.0	3513.0	8.0	991.0	2.0
9.0	3513.0	3485.0	10.0	992.0	3.0
Чеченская Республика					
Все население					
Дети в возрасте 3-9 лет	164413.0	81941.0	66851.0	499.0	406.0
в том числе в возрасте, лет:					
3.0	25420.0	1075.0	20797.0	42.0	818.0
4.0	24306.0	1215.0	19810.0	50.0	815.0
5.0	23394.0	1201.0	18141.0	51.0	776.0
6.0	21861.0	12919.0	6591.0	591.0	301.0
7.0	23333.0	21518.0	924.0	922.0	40.0
8.0	22844.0	21796.0	368.0	954.0	16.0
9.0	23255.0	22217.0	220.0	955.0	10.0
Городское население					
Дети в возрасте 3-9 лет	57280.0	29175.0	22642.0	509.0	395.0
в том числе в возрасте, лет:					
3.0	8930.0	567.0	7059.0	64.0	790.0
4.0	8173.0	584.0	6461.0	71.0	791.0
5.0	7719.0	606.0	5810.0	78.0	753.0
6.0	7792.0	4056.0	2809.0	521.0	360.0
7.0	8279.0	7643.0	321.0	923.0	39.0
8.0	8248.0	7918.0	109.0	960.0	13.0
9.0	8139.0	7801.0	73.0	958.0	9.0
Сельское население					
Дети в возрасте 3-9 лет	107133.0	52766.0	44209.0	492.0	413.0
в том числе в возрасте, лет:					
3.0	16490.0	508.0	13738.0	31.0	833.0
4.0	16133.0	631.0	13349.0	39.0	827.0
5.0	15675.0	595.0	12331.0	38.0	787.0
6.0	14069.0	8863.0	3782.0	630.0	269.0
7.0	15054.0	13875.0	603.0	922.0	40.0
8.0	14596.0	13878.0	259.0	951.0	18.0
9.0	15116.0	14416.0	147.0	954.0	10.0
Краснодарский край					
Все население					
Дети в возрасте 3-9 лет	339922.0	275251.0	58325.0	810.0	171.0
в том числе в возрасте, лет:					
3.0	43151.0	25223.0	16416.0	585.0	380.0
4.0	44809.0	28637.0	14948.0	639.0	334.0
5.0	45768.0	29726.0	14705.0	650.0	321.0
6.0	48254.0	35957.0	10860.0	745.0	225.0
7.0	50984.0	49708.0	965.0	975.0	19.0
8.0	52868.0	52361.0	262.0	990.0	5.0
9.0	54088.0	53639.0	169.0	992.0	3.0
Городское население					
Дети в возрасте 3-9 лет	163995.0	139583.0	20370.0	851.0	124.0
в том числе в возрасте, лет:					
3.0	20956.0	13758.0	6204.0	657.0	296.0
4.0	21603.0	15704.0	5093.0	727.0	236.0
5.0	22520.0	16730.0	4895.0	743.0	217.0
6.0	23171.0	18619.0	3665.0	804.0	158.0
7.0	24641.0	24106.0	362.0	978.0	15.0
8.0	25414.0	25179.0	91.0	991.0	3.0
9.0	25690.0	25487.0	60.0	992.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	175927.0	135668.0	37955.0	771.0	216.0
в том числе в возрасте, лет:					
3.0	22195.0	11465.0	10212.0	517.0	460.0
4.0	23206.0	12933.0	9855.0	557.0	425.0
5.0	23248.0	12996.0	9810.0	559.0	422.0
6.0	25083.0	17338.0	7195.0	691.0	287.0
7.0	26343.0	25602.0	603.0	972.0	23.0
8.0	27454.0	27182.0	171.0	990.0	6.0
9.0	28398.0	28152.0	109.0	991.0	4.0
Ставропольский край					
Все население					
Дети в возрасте 3-9 лет	193847.0	157442.0	33433.0	812.0	173.0
в том числе в возрасте, лет:					
3.0	25099.0	14743.0	9674.0	587.0	386.0
4.0	25826.0	16628.0	8681.0	644.0	336.0
5.0	26421.0	17384.0	8471.0	658.0	321.0
6.0	27170.0	21349.0	5325.0	786.0	196.0
7.0	28942.0	27951.0	757.0	966.0	26.0
8.0	29780.0	29259.0	295.0	983.0	10.0
9.0	30609.0	30128.0	230.0	984.0	8.0
Городское население					
Дети в возрасте 3-9 лет	95316.0	83206.0	10725.0	873.0	112.0
в том числе в возрасте, лет:					
3.0	12549.0	8826.0	3400.0	703.0	271.0
4.0	12706.0	9771.0	2678.0	769.0	211.0
5.0	12966.0	10186.0	2509.0	786.0	193.0
6.0	13441.0	11462.0	1723.0	853.0	128.0
7.0	14385.0	14046.0	248.0	976.0	17.0
8.0	14458.0	14272.0	93.0	987.0	7.0
9.0	14811.0	14643.0	74.0	989.0	5.0
Сельское население					
Дети в возрасте 3-9 лет	98531.0	74236.0	22708.0	753.0	231.0
в том числе в возрасте, лет:					
3.0	12550.0	5917.0	6274.0	471.0	500.0
4.0	13120.0	6857.0	6003.0	523.0	457.0
5.0	13455.0	7198.0	5962.0	535.0	443.0
6.0	13729.0	9887.0	3602.0	720.0	262.0
7.0	14557.0	13905.0	509.0	955.0	35.0
8.0	15322.0	14987.0	202.0	978.0	13.0
9.0	15798.0	15485.0	156.0	980.0	10.0
Астраханская область					
Все население					
Дети в возрасте 3-9 лет	71493.0	58293.0	12072.0	815.0	169.0
в том числе в возрасте, лет:					
3.0	9464.0	5600.0	3633.0	592.0	384.0
4.0	9657.0	6237.0	3256.0	646.0	337.0
5.0	9895.0	6574.0	3142.0	664.0	318.0
6.0	9765.0	7918.0	1685.0	811.0	172.0
7.0	10454.0	10131.0	200.0	969.0	19.0
8.0	10874.0	10638.0	105.0	978.0	10.0
9.0	11384.0	11195.0	51.0	983.0	5.0
Городское население					
Дети в возрасте 3-9 лет	44272.0	37852.0	5655.0	855.0	128.0
в том числе в возрасте, лет:					
3.0	5869.0	3968.0	1733.0	676.0	295.0
4.0	6012.0	4448.0	1436.0	740.0	239.0
5.0	6168.0	4659.0	1389.0	755.0	225.0
6.0	6020.0	5038.0	876.0	837.0	145.0
7.0	6563.0	6357.0	124.0	968.0	19.0
8.0	6698.0	6552.0	63.0	978.0	10.0
9.0	6942.0	6830.0	34.0	984.0	5.0
Сельское население					
Дети в возрасте 3-9 лет	27221.0	20441.0	6417.0	751.0	236.0
в том числе в возрасте, лет:					
3.0	3595.0	1632.0	1900.0	454.0	528.0
4.0	3645.0	1789.0	1820.0	491.0	499.0
5.0	3727.0	1915.0	1753.0	514.0	470.0
6.0	3745.0	2880.0	809.0	769.0	216.0
7.0	3891.0	3774.0	76.0	970.0	19.0
8.0	4176.0	4086.0	42.0	978.0	10.0
9.0	4442.0	4365.0	17.0	982.0	4.0
Волгоградская область					
Все население					
Дети в возрасте 3-9 лет	171045.0	138145.0	30381.0	807.0	178.0
в том числе в возрасте, лет:					
3.0	22213.0	12871.0	8786.0	579.0	396.0
4.0	22789.0	14246.0	8177.0	625.0	359.0
5.0	22944.0	14740.0	7738.0	643.0	337.0
6.0	23843.0	18411.0	4921.0	772.0	206.0
7.0	25193.0	24484.0	488.0	972.0	19.0
8.0	26610.0	26268.0	142.0	987.0	5.0
9.0	27453.0	27125.0	129.0	988.0	5.0
Городское население					
Дети в возрасте 3-9 лет	119214.0	103383.0	13911.0	867.0	117.0
в том числе в возрасте, лет:					
3.0	15600.0	10930.0	4235.0	701.0	271.0
4.0	16059.0	12137.0	3624.0	756.0	226.0
5.0	16113.0	12464.0	3298.0	773.0	205.0
6.0	16598.0	13906.0	2325.0	838.0	140.0
7.0	17445.0	16996.0	280.0	974.0	16.0
8.0	18468.0	18229.0	79.0	987.0	4.0
9.0	18931.0	18721.0	70.0	989.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	51831.0	34762.0	16470.0	671.0	318.0
в том числе в возрасте, лет:					
3.0	6613.0	1941.0	4551.0	294.0	688.0
4.0	6730.0	2109.0	4553.0	313.0	677.0
5.0	6831.0	2276.0	4440.0	333.0	650.0
6.0	7245.0	4505.0	2596.0	622.0	358.0
7.0	7748.0	7488.0	208.0	966.0	27.0
8.0	8142.0	8039.0	63.0	987.0	8.0
9.0	8522.0	8404.0	59.0	986.0	7.0
Ростовская область					
Все население					
Дети в возрасте 3-9 лет	273291.0	217082.0	52317.0	795.0	191.0
в том числе в возрасте, лет:					
3.0	34863.0	18607.0	15324.0	534.0	439.0
4.0	36446.0	22029.0	13672.0	604.0	375.0
5.0	37049.0	22912.0	13321.0	618.0	360.0
6.0	38566.0	29263.0	8604.0	759.0	223.0
7.0	40716.0	39591.0	879.0	973.0	21.0
8.0	42251.0	41720.0	309.0	987.0	8.0
9.0	43400.0	42960.0	208.0	990.0	5.0
Городское население					
Дети в возрасте 3-9 лет	167394.0	140829.0	23996.0	841.0	144.0
в том числе в возрасте, лет:					
3.0	21617.0	13412.0	7553.0	621.0	349.0
4.0	22542.0	16034.0	6001.0	711.0	266.0
5.0	22841.0	16638.0	5657.0	728.0	248.0
6.0	23479.0	18969.0	4080.0	808.0	174.0
7.0	25027.0	24437.0	440.0	977.0	17.0
8.0	25743.0	25439.0	168.0	988.0	7.0
9.0	26145.0	25900.0	97.0	990.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	105897.0	76253.0	28321.0	720.0	267.0
в том числе в возрасте, лет:					
3.0	13246.0	5195.0	7771.0	392.0	587.0
4.0	13904.0	5995.0	7671.0	431.0	552.0
5.0	14208.0	6274.0	7664.0	442.0	539.0
6.0	15087.0	10294.0	4524.0	682.0	300.0
7.0	15689.0	15154.0	439.0	966.0	28.0
8.0	16508.0	16281.0	141.0	986.0	9.0
9.0	17255.0	17060.0	111.0	989.0	6.0
Приволжский федеральный округ					
Все население					
Дети в возрасте 3-9 лет	2065160.0	1769833.0	273309.0	857.0	132.0
в том числе в возрасте, лет:					
3.0	269521.0	183390.0	80887.0	680.0	300.0
4.0	281015.0	203475.0	73748.0	724.0	262.0
5.0	278915.0	205869.0	68834.0	738.0	247.0
6.0	285771.0	237462.0	43928.0	831.0	154.0
7.0	303318.0	297997.0	3758.0	982.0	12.0
8.0	319808.0	317144.0	1280.0	992.0	4.0
9.0	326812.0	324496.0	874.0	993.0	3.0
Городское население					
Дети в возрасте 3-9 лет	1359612.0	1227814.0	115882.0	903.0	85.0
в том числе в возрасте, лет:					
3.0	179693.0	139075.0	36790.0	774.0	205.0
4.0	185757.0	153461.0	29482.0	826.0	159.0
5.0	183556.0	154126.0	26439.0	840.0	144.0
6.0	187344.0	164635.0	19696.0	879.0	105.0
7.0	199895.0	196453.0	2246.0	983.0	11.0
8.0	210029.0	208223.0	757.0	991.0	4.0
9.0	213338.0	211841.0	472.0	993.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	705548.0	542019.0	157427.0	768.0	223.0
в том числе в возрасте, лет:					
3.0	89828.0	44315.0	44097.0	493.0	491.0
4.0	95258.0	50014.0	44266.0	525.0	465.0
5.0	95359.0	51743.0	42395.0	543.0	445.0
6.0	98427.0	72827.0	24232.0	740.0	246.0
7.0	103423.0	101544.0	1512.0	982.0	15.0
8.0	109779.0	108921.0	523.0	992.0	5.0
9.0	113474.0	112655.0	402.0	993.0	4.0
Республика Башкортостан					
Все население					
Дети в возрасте 3-9 лет	315401.0	259463.0	52147.0	823.0	165.0
в том числе в возрасте, лет:					
3.0	40948.0	25089.0	14941.0	613.0	365.0
4.0	43857.0	28847.0	14298.0	658.0	326.0
5.0	43799.0	29430.0	13646.0	672.0	312.0
6.0	44419.0	34971.0	8432.0	787.0	190.0
7.0	46010.0	45283.0	557.0	984.0	12.0
8.0	47691.0	47396.0	157.0	994.0	3.0
9.0	48677.0	48447.0	116.0	996.0	2.0
Городское население					
Дети в возрасте 3-9 лет	180703.0	159951.0	18587.0	885.0	103.0
в том числе в возрасте, лет:					
3.0	23733.0	17522.0	5676.0	738.0	239.0
4.0	25076.0	19882.0	4765.0	793.0	190.0
5.0	24617.0	19855.0	4347.0	806.0	177.0
6.0	25097.0	21279.0	3293.0	848.0	131.0
7.0	26614.0	26172.0	343.0	983.0	13.0
8.0	27641.0	27451.0	96.0	993.0	4.0
9.0	27925.0	27790.0	67.0	995.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	134698.0	99512.0	33560.0	739.0	249.0
в том числе в возрасте, лет:					
3.0	17215.0	7567.0	9265.0	440.0	538.0
4.0	18781.0	8965.0	9533.0	477.0	508.0
5.0	19182.0	9575.0	9299.0	499.0	485.0
6.0	19322.0	13692.0	5139.0	709.0	266.0
7.0	19396.0	19111.0	214.0	985.0	11.0
8.0	20050.0	19945.0	61.0	995.0	3.0
9.0	20752.0	20657.0	49.0	996.0	2.0
Республика Марий Эл					
Все население					
Дети в возрасте 3-9 лет	48633.0	41402.0	6906.0	851.0	142.0
в том числе в возрасте, лет:					
3.0	6272.0	4187.0	2018.0	667.0	322.0
4.0	6402.0	4556.0	1794.0	712.0	280.0
5.0	6526.0	4715.0	1755.0	722.0	269.0
6.0	6686.0	5468.0	1166.0	818.0	174.0
7.0	7207.0	7066.0	111.0	981.0	15.0
8.0	7583.0	7521.0	32.0	992.0	4.0
9.0	7957.0	7889.0	30.0	991.0	4.0
Городское население					
Дети в возрасте 3-9 лет	27727.0	25830.0	1651.0	931.0	60.0
в том числе в возрасте, лет:					
3.0	3646.0	3080.0	517.0	845.0	142.0
4.0	3700.0	3243.0	417.0	876.0	113.0
5.0	3677.0	3279.0	353.0	892.0	96.0
6.0	3766.0	3430.0	298.0	911.0	79.0
7.0	4108.0	4038.0	45.0	983.0	11.0
8.0	4307.0	4270.0	14.0	992.0	3.0
9.0	4523.0	4490.0	7.0	992.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	20906.0	15572.0	5255.0	745.0	251.0
в том числе в возрасте, лет:					
3.0	2626.0	1107.0	1501.0	421.0	572.0
4.0	2702.0	1313.0	1377.0	486.0	510.0
5.0	2849.0	1436.0	1402.0	504.0	492.0
6.0	2920.0	2038.0	868.0	698.0	297.0
7.0	3099.0	3028.0	66.0	977.0	21.0
8.0	3276.0	3251.0	18.0	993.0	5.0
9.0	3434.0	3399.0	23.0	990.0	7.0
Республика Мордовия					
Все население					
Дети в возрасте 3-9 лет	55268.0	45610.0	9251.0	826.0	167.0
в том числе в возрасте, лет:					
3.0	6932.0	3898.0	2928.0	562.0	423.0
4.0	7187.0	4427.0	2710.0	616.0	377.0
5.0	7278.0	4727.0	2486.0	649.0	342.0
6.0	7698.0	6647.0	995.0	864.0	129.0
7.0	8316.0	8197.0	76.0	986.0	9.0
8.0	8746.0	8681.0	30.0	992.0	4.0
9.0	9111.0	9033.0	26.0	991.0	3.0
Городское население					
Дети в возрасте 3-9 лет	33065.0	29859.0	2926.0	903.0	89.0
в том числе в возрасте, лет:					
3.0	4258.0	3152.0	1047.0	740.0	246.0
4.0	4384.0	3561.0	787.0	812.0	180.0
5.0	4414.0	3704.0	670.0	839.0	152.0
6.0	4602.0	4197.0	363.0	912.0	79.0
7.0	4937.0	4866.0	37.0	985.0	8.0
8.0	5130.0	5090.0	13.0	992.0	3.0
9.0	5340.0	5289.0	9.0	991.0	1.0
Сельское население					
Дети в возрасте 3-9 лет	22203.0	15751.0	6325.0	709.0	285.0
в том числе в возрасте, лет:					
3.0	2674.0	746.0	1881.0	279.0	703.0
4.0	2803.0	866.0	1923.0	309.0	686.0
5.0	2864.0	1023.0	1816.0	357.0	634.0
6.0	3096.0	2450.0	632.0	791.0	204.0
7.0	3379.0	3331.0	39.0	986.0	11.0
8.0	3616.0	3591.0	17.0	993.0	5.0
9.0	3771.0	3744.0	17.0	993.0	4.0
Республика Татарстан					
Все население					
Дети в возрасте 3-9 лет	275240.0	242870.0	29469.0	882.0	107.0
в том числе в возрасте, лет:					
3.0	35555.0	26193.0	8574.0	737.0	241.0
4.0	37749.0	29456.0	7678.0	780.0	204.0
5.0	37695.0	29807.0	7256.0	791.0	192.0
6.0	38478.0	32647.0	5289.0	849.0	137.0
7.0	39972.0	39394.0	449.0	986.0	11.0
8.0	42703.0	42466.0	141.0	995.0	3.0
9.0	43088.0	42907.0	82.0	996.0	2.0
Городское население					
Дети в возрасте 3-9 лет	190213.0	175294.0	12765.0	922.0	67.0
в том числе в возрасте, лет:					
3.0	25055.0	20385.0	4070.0	814.0	162.0
4.0	26217.0	22585.0	3158.0	862.0	120.0
5.0	25952.0	22704.0	2788.0	875.0	107.0
6.0	26373.0	23660.0	2312.0	897.0	88.0
7.0	27381.0	27001.0	293.0	986.0	11.0
8.0	29491.0	29329.0	99.0	995.0	3.0
9.0	29744.0	29630.0	45.0	996.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	85027.0	67576.0	16704.0	795.0	196.0
в том числе в возрасте, лет:					
3.0	10500.0	5808.0	4504.0	553.0	429.0
4.0	11532.0	6871.0	4520.0	596.0	392.0
5.0	11743.0	7103.0	4468.0	605.0	380.0
6.0	12105.0	8987.0	2977.0	743.0	246.0
7.0	12591.0	12393.0	156.0	985.0	12.0
8.0	13212.0	13137.0	42.0	995.0	3.0
9.0	13344.0	13277.0	37.0	995.0	3.0
Удмуртская Республика					
Все население					
Дети в возрасте 3-9 лет	109161.0	100413.0	8048.0	920.0	74.0
в том числе в возрасте, лет:					
3.0	15405.0	12658.0	2572.0	822.0	167.0
4.0	15582.0	13301.0	2169.0	854.0	139.0
5.0	14800.0	12781.0	1893.0	864.0	128.0
6.0	14298.0	13025.0	1169.0	911.0	82.0
7.0	15296.0	15102.0	133.0	987.0	9.0
8.0	16599.0	16483.0	65.0	993.0	4.0
9.0	17181.0	17063.0	47.0	993.0	3.0
Городское население					
Дети в возрасте 3-9 лет	70342.0	67033.0	2798.0	953.0	40.0
в том числе в возрасте, лет:					
3.0	10037.0	8955.0	952.0	892.0	95.0
4.0	9994.0	9225.0	684.0	923.0	68.0
5.0	9644.0	8962.0	599.0	929.0	62.0
6.0	9149.0	8634.0	434.0	944.0	47.0
7.0	9846.0	9722.0	73.0	988.0	7.0
8.0	10673.0	10608.0	32.0	994.0	3.0
9.0	10999.0	10927.0	24.0	993.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	38819.0	33380.0	5250.0	860.0	135.0
в том числе в возрасте, лет:					
3.0	5368.0	3703.0	1620.0	690.0	302.0
4.0	5588.0	4076.0	1485.0	729.0	266.0
5.0	5156.0	3819.0	1294.0	741.0	251.0
6.0	5149.0	4391.0	735.0	853.0	143.0
7.0	5450.0	5380.0	60.0	987.0	11.0
8.0	5926.0	5875.0	33.0	991.0	6.0
9.0	6182.0	6136.0	23.0	992.0	4.0
Чувашская Республика					
Все население					
Дети в возрасте 3-9 лет	92347.0	76704.0	14905.0	831.0	161.0
в том числе в возрасте, лет:					
3.0	11903.0	7522.0	4214.0	632.0	354.0
4.0	12904.0	8441.0	4345.0	654.0	337.0
5.0	12553.0	8391.0	4005.0	668.0	319.0
6.0	13027.0	10800.0	2106.0	829.0	162.0
7.0	13664.0	13440.0	157.0	983.0	12.0
8.0	14145.0	14044.0	49.0	993.0	3.0
9.0	14151.0	14066.0	29.0	994.0	2.0
Городское население					
Дети в возрасте 3-9 лет	50901.0	47476.0	2965.0	933.0	58.0
в том числе в возрасте, лет:					
3.0	6658.0	5642.0	915.0	847.0	138.0
4.0	7034.0	6209.0	753.0	883.0	107.0
5.0	6908.0	6138.0	682.0	888.0	99.0
6.0	7151.0	6570.0	509.0	919.0	71.0
7.0	7606.0	7491.0	69.0	985.0	9.0
8.0	7739.0	7679.0	23.0	992.0	3.0
9.0	7805.0	7747.0	14.0	992.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	41446.0	29228.0	11940.0	705.0	288.0
в том числе в возрасте, лет:					
3.0	5245.0	1880.0	3299.0	358.0	629.0
4.0	5870.0	2232.0	3592.0	380.0	612.0
5.0	5645.0	2253.0	3323.0	399.0	589.0
6.0	5876.0	4230.0	1597.0	720.0	272.0
7.0	6058.0	5949.0	88.0	982.0	15.0
8.0	6406.0	6365.0	26.0	994.0	4.0
9.0	6346.0	6319.0	15.0	996.0	2.0
Кировская область					
Все население					
Дети в возрасте 3-9 лет	89047.0	79912.0	8633.0	897.0	97.0
в том числе в возрасте, лет:					
3.0	12097.0	9502.0	2453.0	785.0	203.0
4.0	12232.0	9809.0	2350.0	802.0	192.0
5.0	12020.0	9858.0	2089.0	820.0	174.0
6.0	12077.0	10601.0	1412.0	878.0	117.0
7.0	12901.0	12684.0	166.0	983.0	13.0
8.0	13508.0	13376.0	90.0	990.0	7.0
9.0	14212.0	14082.0	73.0	991.0	5.0
Городское население					
Дети в возрасте 3-9 лет	61148.0	57460.0	3302.0	940.0	54.0
в том числе в возрасте, лет:					
3.0	8386.0	7284.0	1003.0	868.0	120.0
4.0	8448.0	7517.0	870.0	890.0	103.0
5.0	8322.0	7531.0	736.0	905.0	88.0
6.0	8366.0	7809.0	509.0	933.0	61.0
7.0	8953.0	8815.0	95.0	985.0	10.0
8.0	9175.0	9092.0	47.0	991.0	5.0
9.0	9498.0	9412.0	42.0	991.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	27899.0	22452.0	5331.0	805.0	191.0
в том числе в возрасте, лет:					
3.0	3711.0	2218.0	1450.0	598.0	391.0
4.0	3784.0	2292.0	1480.0	606.0	391.0
5.0	3698.0	2327.0	1353.0	629.0	366.0
6.0	3711.0	2792.0	903.0	753.0	243.0
7.0	3948.0	3869.0	71.0	980.0	18.0
8.0	4333.0	4284.0	43.0	989.0	10.0
9.0	4714.0	4670.0	31.0	990.0	7.0
Нижегородская область					
Все население					
Дети в возрасте 3-9 лет	204012.0	183540.0	18398.0	900.0	90.0
в том числе в возрасте, лет:					
3.0	26836.0	20715.0	5542.0	772.0	206.0
4.0	27661.0	22509.0	4752.0	814.0	172.0
5.0	27804.0	22714.0	4644.0	817.0	167.0
6.0	28427.0	25174.0	2932.0	886.0	103.0
7.0	30428.0	29986.0	322.0	986.0	10.0
8.0	31287.0	31071.0	116.0	993.0	4.0
9.0	31569.0	31371.0	90.0	994.0	3.0
Городское население					
Дети в возрасте 3-9 лет	158191.0	146199.0	10385.0	924.0	66.0
в том числе в возрасте, лет:					
3.0	21006.0	17134.0	3386.0	816.0	161.0
4.0	21728.0	18811.0	2611.0	866.0	120.0
5.0	21686.0	18997.0	2347.0	876.0	108.0
6.0	21966.0	20019.0	1707.0	911.0	78.0
7.0	23556.0	23255.0	210.0	987.0	9.0
8.0	24182.0	24036.0	71.0	994.0	3.0
9.0	24067.0	23947.0	53.0	995.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	45821.0	37341.0	8013.0	815.0	175.0
в том числе в возрасте, лет:					
3.0	5830.0	3581.0	2156.0	614.0	370.0
4.0	5933.0	3698.0	2141.0	623.0	361.0
5.0	6118.0	3717.0	2297.0	608.0	375.0
6.0	6461.0	5155.0	1225.0	798.0	190.0
7.0	6872.0	6731.0	112.0	980.0	16.0
8.0	7105.0	7035.0	45.0	990.0	6.0
9.0	7502.0	7424.0	37.0	989.0	5.0
Оренбургская область					
Все население					
Дети в возрасте 3-9 лет	155242.0	127117.0	26849.0	819.0	173.0
в том числе в возрасте, лет:					
3.0	19871.0	12047.0	7578.0	606.0	381.0
4.0	21088.0	13488.0	7389.0	640.0	350.0
5.0	20493.0	13502.0	6753.0	659.0	329.0
6.0	21137.0	16230.0	4572.0	768.0	216.0
7.0	22720.0	22275.0	360.0	980.0	16.0
8.0	24690.0	24486.0	119.0	992.0	5.0
9.0	25243.0	25089.0	78.0	994.0	3.0
Городское население					
Дети в возрасте 3-9 лет	79418.0	70300.0	8394.0	885.0	106.0
в том числе в возрасте, лет:					
3.0	10415.0	7815.0	2452.0	750.0	236.0
4.0	10903.0	8659.0	2112.0	794.0	194.0
5.0	10592.0	8498.0	1959.0	802.0	185.0
6.0	10740.0	8988.0	1585.0	837.0	148.0
7.0	11519.0	11288.0	187.0	980.0	16.0
8.0	12469.0	12346.0	64.0	990.0	5.0
9.0	12780.0	12706.0	35.0	994.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	75824.0	56817.0	18455.0	750.0	243.0
в том числе в возрасте, лет:					
3.0	9456.0	4232.0	5126.0	448.0	542.0
4.0	10185.0	4829.0	5277.0	474.0	518.0
5.0	9901.0	5004.0	4794.0	506.0	484.0
6.0	10397.0	7242.0	2987.0	697.0	287.0
7.0	11201.0	10987.0	173.0	981.0	15.0
8.0	12221.0	12140.0	55.0	994.0	4.0
9.0	12463.0	12383.0	43.0	993.0	4.0
Пензенская область					
Все население					
Дети в возрасте 3-9 лет	85506.0	69786.0	15031.0	816.0	176.0
в том числе в возрасте, лет:					
3.0	10991.0	6212.0	4643.0	565.0	423.0
4.0	11172.0	6808.0	4278.0	609.0	383.0
5.0	11334.0	7164.0	4019.0	632.0	355.0
6.0	11726.0	9723.0	1854.0	829.0	158.0
7.0	12642.0	12445.0	145.0	985.0	11.0
8.0	13471.0	13352.0	61.0	991.0	5.0
9.0	14170.0	14082.0	31.0	994.0	2.0
Городское население					
Дети в возрасте 3-9 лет	53014.0	47153.0	5486.0	890.0	103.0
в том числе в возрасте, лет:					
3.0	6868.0	4987.0	1806.0	726.0	263.0
4.0	7009.0	5461.0	1503.0	779.0	215.0
5.0	7060.0	5644.0	1334.0	799.0	189.0
6.0	7196.0	6375.0	739.0	886.0	103.0
7.0	7836.0	7742.0	65.0	988.0	8.0
8.0	8281.0	8222.0	24.0	993.0	3.0
