3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Цыгане 	684.0	653.0
Цыгане среднеазиатские 	46.0	23.0
Черкесы 	22.0	22.0
Чехи 	24.0	23.0
Чеченцы 	1195.0	1138.0
Чуванцы 	1.0	1.0
Чуваши 	117317.0	114001.0
Чукчи 	11.0	9.0
Шорцы 	10.0	10.0
Эвенки 	7.0	7.0
Эвены 	2.0	2.0
Энцы 	1.0	1.0
Эскимосы 	3.0	3.0
Эстонцы 	301.0	301.0
Якуты 	34.0	34.0
Японцы 	5.0	3.0
Лица других национальностей (не перечисленных выше)	210.0	199.0
Лица, не указавшие национальность в переписном листе 	4366.0	1884.0
Республика Марий Эл	727979.0	714795.0
Абазины 	1.0	1.0
Абхазы 	8.0	8.0
Аварцы 	163.0	162.0
Годоберинцы 	1.0	1.0
Каратинцы 	1.0	1.0
Агулы 	6.0	6.0
Адыгейцы 	14.0	14.0
Азербайджанцы 	1157.0	1094.0
Американцы	2.0	1.0
Арабы 	7.0	7.0
Армяне 	1104.0	1095.0
Ассирийцы 	1.0	1.0
Башкиры 	317.0	315.0
Белорусы 	1406.0	1404.0
Болгары	71.0	71.0
Буряты 	10.0	10.0
Венгры 	4.0	4.0
Вепсы 	2.0	2.0
Вьетнамцы 	10.0	10.0
Гагаузы	28.0	28.0
Греки 	58.0	58.0
Грузины 	358.0	354.0
Лазы 	2.0	2.0
Даргинцы 	43.0	43.0
Евреи 	244.0	244.0
Евреи горские 	1.0	1.0
Езиды 	1.0	1.0
Ингуши 	26.0	26.0
Итальянцы	3.0	3.0
Ительмены 	1.0	1.0
Кабардинцы 	17.0	17.0
Казахи 	168.0	168.0
Калмыки 	8.0	8.0
Каракалпаки 	5.0	5.0
Карачаевцы 	9.0	9.0
Карелы 	27.0	27.0
Киргизы 	18.0	17.0
Китайцы 	2.0	2.0
Коми 	78.0	78.0
Коми-ижемцы 	1.0	1.0
Коми-пермяки	42.0	42.0
Корейцы 	63.0	62.0
Коряки 	1.0	1.0
Кубинцы	2.0	2.0
Кумыки 	28.0	28.0
Курды 	1.0	1.0
Лакцы 	11.0	11.0
Латыши 	41.0	40.0
Лезгины 	113.0	111.0
Литовцы 	86.0	85.0
Манси 	43.0	42.0
Марийцы 	312178.0	302719.0
Горные марийцы 	17715.0	16834.0
Лугово-восточные марийцы 	52696.0	51019.0
Молдаване 	248.0	248.0
Монголы 	1.0	1.0
Мордва 	1255.0	1254.0
Мордва-мокша 	7.0	7.0
Мордва-эрзя	2.0	2.0
Немцы 	532.0	531.0
Ненцы 	6.0	6.0
Нивхи	2.0	2.0
Ногайцы	8.0	8.0
Осетины 	83.0	82.0
Персы 	4.0	4.0
Поляки 	105.0	105.0
Румыны 	9.0	9.0
Русские 	345513.0	345173.0
Казаки 	12.0	12.0
Рутульцы 	2.0	2.0
Саамы 	3.0	3.0
Сербы	7.0	7.0
Словаки	1.0	1.0
Табасараны 	21.0	21.0
Таджики 	141.0	137.0
Талыши 	3.0	3.0
Татары 	43377.0	41972.0
Кряшены 	87.0	77.0
Татары крымские 	30.0	30.0
Таты 	1.0	1.0
Тувинцы 	4.0	4.0
Турки 	12.0	8.0
Туркмены 	28.0	28.0
Удмурты 	2166.0	2132.0
Узбеки 	279.0	257.0
Уйгуры	3.0	3.0
Украинцы 	5097.0	5088.0
Ульчи 	2.0	2.0
Финны 	10.0	10.0
Французы	1.0	1.0
Хакасы 	7.0	7.0
Ханты 	10.0	10.0
Цахуры 	6.0	6.0
Цыгане 	291.0	259.0
Черкесы 	7.0	7.0
Чехи 	11.0	11.0
Чеченцы 	281.0	267.0
Чуваши 	7418.0	7394.0
Шорцы 	1.0	1.0
Эвенки 	3.0	3.0
Эвены 	4.0	4.0
Эскимосы 	1.0	1.0
Эстонцы 	29.0	29.0
Якуты 	21.0	21.0
Лица других национальностей (не перечисленных выше)	37.0	36.0
Лица, не указавшие национальность в переписном листе 	2911.0	1167.0
Республика Мордовия	888766.0	880399.0
Абазины 	3.0	3.0
Абхазы 	23.0	23.0
Аварцы 	53.0	53.0
Агулы 	3.0	3.0
Адыгейцы 	5.0	5.0
Азербайджанцы 	672.0	660.0
Алеуты 	2.0	2.0
Алтайцы 	2.0	2.0
Англичане	2.0	1.0
Арабы 	35.0	34.0
Армяне 	1310.0	1282.0
Ассирийцы 	4.0	4.0
Балкарцы 	5.0	5.0
Башкиры 	172.0	169.0
Белорусы 	1240.0	1240.0
Болгары	30.0	30.0
Буряты 	14.0	14.0
Венгры 	6.0	6.0
Вепсы 	1.0	1.0
Вьетнамцы 	43.0	32.0
Гагаузы	16.0	16.0
Греки 	89.0	89.0
Греки-урумы 	9.0	9.0
Грузины 	395.0	393.0
Мегрелы 	1.0	1.0
Даргинцы 	35.0	35.0
Евреи 	171.0	171.0
Езиды 	67.0	67.0
Ингуши 	43.0	43.0
Индийцы хиндиязычные 	6.0	6.0
Испанцы	3.0	2.0
Итальянцы	2.0	2.0
Кабардинцы 	18.0	18.0
Казахи 	122.0	121.0
Калмыки 	15.0	15.0
Каракалпаки 	4.0	4.0
Карачаевцы 	27.0	27.0
Карелы 	30.0	30.0
Киргизы 	35.0	32.0
Китайцы 	12.0	10.0
Коми 	45.0	45.0
Коми-пермяки	34.0	34.0
Корейцы 	80.0	79.0
Кумандинцы 	1.0	1.0
Кумыки 	29.0	29.0
Курды 	9.0	9.0
Лакцы 	10.0	10.0
Латыши 	45.0	45.0
Лезгины 	65.0	65.0
Литовцы 	72.0	72.0
Манси 	6.0	6.0
Марийцы 	227.0	226.0
Горные марийцы 	2.0	2.0
Лугово-восточные марийцы 	2.0	2.0
Молдаване 	263.0	262.0
Монголы 	16.0	16.0
Мордва 	283861.0	280238.0
Мордва-мокша 	47406.0	46838.0
Мордва-эрзя	78963.0	77634.0
Немцы 	374.0	373.0
Нивхи	1.0	1.0
Осетины 	110.0	110.0
Осетины-дигорцы 	1.0	1.0
Персы 	24.0	24.0
Поляки 	101.0	101.0
Пуштуны	33.0	29.0
Румыны 	14.0	14.0
Русские 	540717.0	540491.0
Казаки 	9.0	9.0
Рутульцы 	1.0	1.0
Селькупы 	2.0	2.0
Сербы	8.0	8.0
Словаки	1.0	1.0
Табасараны 	18.0	18.0
Таджики 	372.0	364.0
Талыши 	1.0	1.0
Татары 	46261.0	45259.0
Татары крымские 	3.0	3.0
Тувинцы 	2.0	2.0
Турки 	18.0	18.0
Туркмены 	50.0	50.0
Удины 	1.0	1.0
Удмурты 	147.0	147.0
Узбеки 	437.0	425.0
Уйгуры	7.0	7.0
Украинцы 	4801.0	4800.0
Финны 	17.0	17.0
Финны-ингерманландцы 	3.0	3.0
Хакасы 	10.0	10.0
Ханты 	10.0	10.0
Цахуры 	1.0	1.0
Цыгане 	445.0	422.0
Черкесы 	3.0	3.0
Чехи 	5.0	5.0
Чеченцы 	116.0	116.0
Чуваши 	1097.0	1097.0
Чукчи 	1.0	1.0
Шорцы 	2.0	2.0
Эвенки 	2.0	2.0
Эстонцы 	31.0	31.0
Якуты 	4.0	4.0
Лица других национальностей (не перечисленных выше)	340.0	293.0
Лица, не указавшие национальность в переписном листе 	3700.0	348.0
Республика Татарстан 	3779265.0	3613788.0
Абазины 	7.0	7.0
Абхазы 	74.0	72.0
Аварцы 	251.0	247.0
Тиндалы 	1.0	1.0
Агулы 	38.0	38.0
Адыгейцы 	19.0	18.0
Азербайджанцы 	9987.0	9131.0
Алеуты 	1.0	1.0
Алтайцы 	10.0	9.0
Американцы	13.0	12.0
Англичане	3.0	3.0
Арабы 	206.0	181.0
Арабы среднеазиатские 	1.0	1.0
Армяне 	5922.0	5676.0
Ассирийцы 	146.0	143.0
Балкарцы 	15.0	15.0
Башкиры 	14911.0	14729.0
Белорусы 	6129.0	6098.0
Болгары	256.0	252.0
Буряты 	43.0	42.0
Венгры 	31.0	31.0
Вепсы 	4.0	4.0
Вьетнамцы 	251.0	199.0
Гагаузы	54.0	54.0
Греки 	488.0	480.0
Грузины 	1753.0	1701.0
Ингилойцы 	8.0	8.0
Мегрелы 	4.0	4.0
Даргинцы 	232.0	222.0
Долганы 	2.0	2.0
Дунгане 	4.0	4.0
Евреи 	3472.0	3454.0
Евреи горские 	7.0	7.0
Евреи среднеазиатские 	1.0	1.0
Езиды 	61.0	53.0
Ингуши 	139.0	136.0
Индийцы хиндиязычные 	3.0	3.0
Итальянцы	5.0	4.0
Кабардинцы 	57.0	57.0
Казахи 	1832.0	1802.0
Калмыки 	167.0	167.0
Караимы 	1.0	1.0
Каракалпаки 	73.0	68.0
Карачаевцы 	62.0	61.0
Карелы 	91.0	91.0
Кеты 	2.0	2.0
Киргизы 	482.0	457.0
Китайцы 	81.0	58.0
Коми 	163.0	163.0
Коми-пермяки	464.0	464.0
Корейцы 	664.0	652.0
Коряки 	4.0	4.0
Кубинцы	6.0	6.0
Кумандинцы 	4.0	4.0
Кумыки 	147.0	147.0
Курды 	43.0	42.0
Лакцы 	127.0	123.0
Латыши 	170.0	168.0
Лезгины 	819.0	790.0
Литовцы 	263.0	258.0
Манси 	13.0	12.0
Марийцы 	18787.0	18041.0
Горные марийцы 	12.0	12.0
Лугово-восточные марийцы 	90.0	89.0
Молдаване 	1004.0	984.0
Монголы 	41.0	35.0
Мордва 	23702.0	23477.0
Мордва-мокша 	14.0	14.0
Мордва-эрзя	98.0	98.0
Нагайбаки 	5.0	5.0
Нанайцы 	3.0	3.0
Немцы 	2882.0	2857.0
Ненцы 	3.0	3.0
Ногайцы	29.0	27.0
Орочи 	1.0	1.0
Осетины 	364.0	360.0
Персы 	37.0	35.0
Поляки 	620.0	614.0
Пуштуны	98.0	86.0
Румыны 	37.0	36.0
Русины 	1.0	1.0
Русские 	1492602.0	1482006.0
Казаки 	82.0	82.0
Поморы 	4.0	4.0
Рутульцы 	30.0	28.0
Саамы 	1.0	1.0
Сербы	39.0	36.0
Словаки	14.0	14.0
Табасараны 	107.0	106.0
Таджики 	3625.0	3331.0
Талыши 	23.0	23.0
Татары 	2000116.0	1858238.0
Астраханские татары 	1.0	1.0
Кряшены 	18760.0	17631.0
Татары сибирские 	11.0	11.0
Татары крымские 	39.0	39.0
Таты 	2.0	2.0
Тувинцы 	10.0	10.0
Турки 	540.0	335.0
Турки-месхетинцы	3.0	3.0
Туркмены 	670.0	651.0
Удины 	4.0	4.0
Удмурты 	24207.0	22416.0
Удэгейцы 	4.0	4.0
Узбеки 	4852.0	4616.0
Уйгуры	82.0	81.0
Украинцы 	24016.0	23877.0
Ульчи 	2.0	2.0
Финны 	65.0	64.0
Французы	8.0	8.0
Хакасы 	29.0	29.0
Ханты 	4.0	4.0
Цахуры 	17.0	15.0
Цыгане 	838.0	759.0
Цыгане среднеазиатские 	19.0	11.0
Черкесы 	14.0	14.0
Чехи 	13.0	13.0
Чеченцы 	706.0	669.0
Чуваши 	126532.0	119853.0
Чукчи 	7.0	7.0
Шорцы 	7.0	7.0
Эвенки 	10.0	10.0
Эскимосы 	2.0	2.0
Эстонцы 	127.0	127.0
Юкагиры 	6.0	6.0
Якуты 	43.0	43.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	1035.0	863.0
Лица, не указавшие национальность в переписном листе 	906.0	268.0
Удмуртская Республика	1570316.0	1556784.0
Абазины 	4.0	4.0
Абхазы 	28.0	28.0
Аварцы 	137.0	137.0
Андийцы 	1.0	1.0
Ахвахцы 	1.0	1.0
Багулалы 	1.0	1.0
Агулы 	2.0	2.0
Адыгейцы 	2.0	2.0
Азербайджанцы 	3908.0	3692.0
Алтайцы 	3.0	3.0
Американцы	12.0	8.0
Англичане	2.0	2.0
Арабы 	23.0	23.0
Арабы среднеазиатские 	2.0	2.0
Армяне 	3283.0	3213.0
Ассирийцы 	10.0	10.0
Балкарцы 	4.0	4.0
Башкиры 	4320.0	4296.0
Белорусы 	3308.0	3301.0
Бесермяне 	2998.0	2914.0
Болгары	146.0	146.0
Буряты 	46.0	46.0
Венгры 	4.0	4.0
Вьетнамцы 	29.0	23.0
Гагаузы	63.0	63.0
Греки 	240.0	239.0
Грузины 	709.0	706.0
Мегрелы 	6.0	6.0
Даргинцы 	202.0	197.0
Долганы 	1.0	1.0
Дунгане 	3.0	3.0
Евреи 	935.0	933.0
Евреи горские 	1.0	1.0
Езиды 	51.0	50.0
Ингуши 	118.0	115.0
Индийцы хиндиязычные 	1.0	1.0
Испанцы	2.0	2.0
Итальянцы	7.0	7.0
Ительмены 	3.0	3.0
Кабардинцы 	31.0	30.0
Казахи 	339.0	339.0
Калмыки 	20.0	20.0
Караимы 	4.0	4.0
Каракалпаки 	21.0	21.0
Карачаевцы 	34.0	34.0
Карелы 	28.0	28.0
Кеты 	1.0	1.0
Юги 	1.0	1.0
Киргизы 	85.0	84.0
Китайцы 	18.0	18.0
Коми 	242.0	242.0
Коми-ижемцы 	1.0	1.0
Коми-пермяки	367.0	367.0
Корейцы 	281.0	281.0
Кубинцы	8.0	8.0
Кумыки 	33.0	33.0
Курды 	35.0	31.0
Лакцы 	24.0	23.0
Латыши 	88.0	88.0
Латгальцы 	1.0	1.0
Лезгины 	209.0	208.0
Литовцы 	149.0	148.0
Манси 	5.0	5.0
Марийцы 	8985.0	8834.0
Горные марийцы 	5.0	5.0
Лугово-восточные марийцы 	84.0	84.0
Молдаване 	908.0	901.0
Монголы 	4.0	4.0
Мордва 	1157.0	1156.0
Мордва-мокша 	13.0	13.0
Мордва-эрзя	8.0	8.0
Нанайцы 	4.0	4.0
Негидальцы 	2.0	2.0
Немцы 	1735.0	1729.0
Ненцы 	4.0	4.0
Нивхи	9.0	9.0
Ногайцы	8.0	8.0
Орочи 	1.0	1.0
Осетины 	115.0	115.0
Персы 	20.0	20.0
Поляки 	333.0	332.0
Пуштуны	4.0	4.0
Румыны 	22.0	22.0
Русские 	944108.0	941665.0
Казаки 	44.0	44.0
Рутульцы 	1.0	1.0
Сербы	2.0	2.0
Словаки	1.0	1.0
Табасараны 	20.0	18.0
Таджики 	435.0	418.0
Талыши 	11.0	11.0
Татары 	109218.0	108136.0
Кряшены 	650.0	643.0
Татары крымские 	8.0	8.0
Таты 	3.0	2.0
Тувинцы 	6.0	6.0
Турки 	30.0	26.0
Туркмены 	107.0	107.0
Удины 	2.0	2.0
Удмурты 	460584.0	453243.0
Узбеки 	830.0	808.0
Уйгуры	28.0	28.0
Украинцы 	11527.0	11515.0
Финны 	43.0	42.0
Французы	6.0	6.0
Хакасы 	5.0	5.0
Ханты 	11.0	11.0
Хемшилы 	1.0	1.0
Цыгане 	830.0	790.0
Цыгане среднеазиатские 	1.0	1.0
Черкесы 	7.0	7.0
Чехи 	9.0	9.0
Чеченцы 	478.0	456.0
Чуваши 	2764.0	2754.0
Чукчи 	3.0	3.0
Шорцы 	3.0	3.0
Эвенки 	3.0	3.0
Эвены 	1.0	1.0
Эскимосы 	3.0	3.0
Эстонцы 	95.0	95.0
Якуты 	23.0	23.0
Японцы 	2.0	2.0
Лица других национальностей (не перечисленных выше)	210.0	202.0
Лица, не указавшие национальность в переписном листе 	2957.0	1031.0
Чувашская Республика 	1313754.0	1267455.0
Абазины 	6.0	6.0
Абхазы 	16.0	16.0
Аварцы 	73.0	72.0
Адыгейцы 	5.0	5.0
Азербайджанцы 	857.0	822.0
Алтайцы 	7.0	7.0
Американцы	3.0	3.0
Англичане	2.0	2.0
Арабы 	38.0	37.0
Армяне 	1261.0	1243.0
Ассирийцы 	10.0	9.0
Балкарцы 	5.0	5.0
Башкиры 	318.0	317.0
Белорусы 	1881.0	1879.0
Болгары	102.0	102.0
Буряты 	13.0	13.0
Венгры 	9.0	8.0
Вепсы 	3.0	3.0
Вьетнамцы 	13.0	11.0
Гагаузы	19.0	19.0
Греки 	200.0	178.0
Грузины 	405.0	402.0
Мегрелы 	1.0	1.0
Даргинцы 	30.0	30.0
Евреи 	393.0	392.0
Езиды 	28.0	27.0
Ингуши 	42.0	42.0
Индийцы хиндиязычные 	8.0	8.0
Испанцы	2.0	2.0
Итальянцы	8.0	8.0
Ительмены 	1.0	1.0
Кабардинцы 	18.0	18.0
Казахи 	240.0	240.0
Калмыки 	10.0	10.0
Камчадалы 	1.0	1.0
Каракалпаки 	3.0	3.0
Карачаевцы 	13.0	13.0
Карелы 	39.0	39.0
Киргизы 	35.0	34.0
Китайцы 	6.0	6.0
Коми 	103.0	103.0
Коми-пермяки	66.0	66.0
Корейцы 	96.0	96.0
Кубинцы	1.0	1.0
Кумандинцы 	9.0	9.0
Кумыки 	23.0	23.0
Курды 	25.0	25.0
Лакцы 	20.0	20.0
Латыши 	69.0	69.0
Лезгины 	66.0	66.0
Литовцы 	96.0	95.0
Манси 	2.0	2.0
Марийцы 	3542.0	3531.0
Горные марийцы 	47.0	47.0
Лугово-восточные марийцы 	11.0	11.0
Молдаване 	359.0	353.0
Монголы 	3.0	3.0
Мордва 	15993.0	15952.0
Мордва-мокша 	14.0	14.0
Мордва-эрзя	376.0	372.0
Немцы 	520.0	519.0
Ненцы 	2.0	2.0
Ногайцы	7.0	7.0
Осетины 	65.0	65.0
Персы 	10.0	10.0
Поляки 	135.0	135.0
Пуштуны	8.0	8.0
Румыны 	9.0	9.0
Русины 	1.0	1.0
Русские 	348515.0	347986.0
Казаки 	9.0	9.0
Рутульцы 	2.0	2.0
Сербы	10.0	10.0
Табасараны 	17.0	17.0
Таджики 	383.0	371.0
Талыши 	2.0	2.0
Татары 	36379.0	32642.0
Кряшены 	17.0	17.0
Татары сибирские 	3.0	3.0
Татары крымские 	3.0	3.0
Тувинцы 	1.0	1.0
Турки 	20.0	17.0
Турки-месхетинцы	1.0	1.0
Туркмены 	48.0	47.0
Удины 	3.0	3.0
Удмурты 	453.0	451.0
Узбеки 	356.0	351.0
Уйгуры	4.0	4.0
Украинцы 	6422.0	6412.0
Финны 	28.0	27.0
Французы	2.0	2.0
Хакасы 	5.0	5.0
Ханты 	6.0	6.0
Цыгане 	701.0	635.0
Черкесы 	6.0	6.0
Чехи 	8.0	8.0
Чеченцы 	105.0	103.0
Чеченцы-аккинцы 	1.0	1.0
Чуваши 	889268.0	850276.0
Чукчи 	12.0	12.0
Шорцы 	3.0	3.0
Эвенки 	2.0	2.0
Эвены 	1.0	1.0
Эстонцы 	34.0	34.0
Якуты 	22.0	22.0
Японцы 	3.0	3.0
Лица других национальностей (не перечисленных выше)	122.0	122.0
Лица, не указавшие национальность в переписном листе 	3454.0	665.0
Кировская область	1503529.0	1497995.0
Абазины 	7.0	7.0
Абхазы 	19.0	19.0
Аварцы 	211.0	209.0
Агулы 	4.0	4.0
Адыгейцы 	4.0	4.0
Азербайджанцы 	2503.0	2369.0
Алтайцы 	13.0	13.0
Американцы	1.0	1.0
Англичане	1.0	1.0
Арабы 	12.0	12.0
Армяне 	2123.0	2088.0
Ассирийцы 	4.0	4.0
Балкарцы 	4.0	4.0
Башкиры 	510.0	509.0
Белорусы 	2846.0	2843.0
Бесермяне 	9.0	9.0
Болгары	138.0	138.0
Буряты 	40.0	40.0
Венгры 	40.0	40.0
Вепсы 	8.0	8.0
Вьетнамцы 	231.0	199.0
Гагаузы	57.0	57.0
Греки 	97.0	97.0
Грузины 	565.0	564.0
Мегрелы 	1.0	1.0
Даргинцы 	144.0	142.0
Евреи 	499.0	498.0
Евреи горские 	2.0	2.0
Езиды 	38.0	37.0
Ингуши 	182.0	179.0
Индийцы хиндиязычные 	2.0	2.0
Испанцы	1.0	1.0
Итальянцы	3.0	3.0
Ительмены 	2.0	2.0
Кабардинцы 	35.0	35.0
Казахи 	269.0	269.0
Калмыки 	8.0	8.0
Камчадалы 	1.0	1.0
Караимы 	1.0	1.0
Карачаевцы 	21.0	21.0
Карелы 	72.0	72.0
Киргизы 	49.0	48.0
Китайцы 	11.0	11.0
Коми 	1054.0	1054.0
Коми-пермяки	817.0	817.0
Корейцы 	110.0	109.0
Коряки 	4.0	4.0
Кубинцы	3.0	3.0
Кумандинцы 	1.0	1.0
Кумыки 	83.0	82.0
Курды 	32.0	32.0
Лакцы 	50.0	50.0
Латыши 	124.0	123.0
Латгальцы 	1.0	-
Лезгины 	188.0	185.0
Литовцы 	196.0	196.0
Манси 	11.0	11.0
Марийцы 	38930.0	38604.0
Горные марийцы 	2.0	2.0
Лугово-восточные марийцы 	81.0	81.0
Молдаване 	1269.0	1267.0
Монголы 	4.0	4.0
Мордва 	604.0	603.0
Мордва-мокша 	4.0	4.0
Мордва-эрзя	5.0	5.0
Нанайцы 	1.0	1.0
Немцы 	1482.0	1480.0
Ненцы 	37.0	37.0
Нивхи	1.0	1.0
Ногайцы	11.0	11.0
Осетины 	180.0	180.0
Персы 	11.0	11.0
Поляки 	315.0	315.0
Пуштуны	4.0	4.0
Румыны 	73.0	73.0
Русские 	1365438.0	1364807.0
Казаки 	23.0	23.0
Поморы 	2.0	2.0
Рутульцы 	9.0	9.0
Саамы 	3.0	3.0
Селькупы 	4.0	4.0
Сербы	4.0	4.0
Словаки	11.0	11.0
Табасараны 	59.0	59.0
Таджики 	258.0	251.0
Талыши 	21.0	21.0
Татары 	43415.0	42150.0
Кряшены 	222.0	212.0
Таты 	1.0	1.0
Тофалары 	1.0	1.0
Тувинцы 	6.0	6.0
Турки 	9.0	9.0
Туркмены 	44.0	44.0
Удины 	6.0	6.0
Удмурты 	17952.0	17812.0
Удэгейцы 	1.0	1.0
Узбеки 	516.0	508.0
Уйгуры	4.0	4.0
Украинцы 	11399.0	11387.0
Финны 	46.0	46.0
Финны-ингерманландцы 	1.0	1.0
Французы	4.0	4.0
Хакасы 	5.0	5.0
Ханты 	8.0	8.0
Цахуры 	4.0	4.0
Цыгане 	1499.0	1460.0
Черкесы 	15.0	15.0
Чехи 	11.0	11.0
Чеченцы 	350.0	345.0
Чуваши 	1856.0	1855.0
Чукчи 	3.0	3.0
Шорцы 	1.0	1.0
Эвенки 	8.0	8.0
Эстонцы 	213.0	213.0
Юкагиры 	1.0	1.0
Якуты 	20.0	20.0
Лица других национальностей (не перечисленных выше)	119.0	117.0
Лица, не указавшие национальность в переписном листе 	3823.0	952.0
Нижегородская область	3524028.0	3516688.0
Абазины 	14.0	14.0
Абхазы 	66.0	66.0
Аварцы 	459.0	453.0
Ботлихцы 	2.0	2.0
Годоберинцы 	10.0	10.0
Дидойцы 	14.0	13.0
Агулы 	6.0	6.0
Адыгейцы 	40.0	39.0
Азербайджанцы 	8309.0	7822.0
Алеуты 	1.0	1.0
Алтайцы 	16.0	16.0
Американцы	10.0	9.0
Англичане	1.0	1.0
Арабы 	101.0	97.0
Армяне 	10786.0	10569.0
Ассирийцы 	223.0	222.0
Балкарцы 	23.0	23.0
Башкиры 	900.0	899.0
Белорусы 	6833.0	6825.0
Бесермяне 	2.0	2.0
Болгары	294.0	293.0
Буряты 	59.0	59.0
Венгры 	30.0	30.0
Вепсы 	10.0	10.0
Водь 	1.0	1.0
Вьетнамцы 	99.0	76.0
Гагаузы	170.0	170.0
Греки 	280.0	278.0
Грузины 	2183.0	2157.0
Аджарцы 	4.0	4.0
Ингилойцы 	2.0	2.0
Сваны	2.0	1.0
Даргинцы 	516.0	504.0
Долганы 	3.0	3.0
Дунгане 	11.0	11.0
Евреи 	5312.0	5303.0
Евреи горские 	16.0	15.0
Евреи среднеазиатские 	3.0	3.0
Езиды 	3076.0	2849.0
Ижорцы 	1.0	1.0
Ингуши 	253.0	249.0
Индийцы хиндиязычные 	18.0	17.0
Испанцы	14.0	13.0
Итальянцы	1.0	1.0
Ительмены 	1.0	1.0
Кабардинцы 	184.0	183.0
Казахи 	501.0	499.0
Калмыки 	60.0	60.0
Камчадалы 	3.0	3.0
Караимы 	3.0	3.0
Каракалпаки 	6.0	6.0
Карачаевцы 	61.0	61.0
Карелы 	114.0	114.0
Кеты 	1.0	1.0
Киргизы 	161.0	153.0
Китайцы 	68.0	57.0
Коми 	532.0	531.0
Коми-пермяки	183.0	183.0
Корейцы 	743.0	736.0
Коряки 	3.0	3.0
Крымчаки 	2.0	2.0
Кубинцы	13.0	13.0
Кумандинцы 	3.0	3.0
Кумыки 	164.0	163.0
Курды 	82.0	79.0
Лакцы 	100.0	100.0
Латыши 	177.0	177.0
Латгальцы 	2.0	2.0
Лезгины 	687.0	684.0
Литовцы 	290.0	290.0
Манси 	3.0	3.0
Марийцы 	7757.0	7739.0
Горные марийцы 	17.0	17.0
Лугово-восточные марийцы 	15.0	14.0
Молдаване 	1812.0	1797.0
Монголы 	4.0	4.0
Мордва 	25022.0	24982.0
Мордва-мокша 	55.0	55.0
Мордва-эрзя	834.0	833.0
Нагайбаки 	2.0	2.0
Нанайцы 	8.0	8.0
Негидальцы 	3.0	3.0
Немцы 	1574.0	1573.0
Ненцы 	8.0	8.0
Нивхи	3.0	3.0
Ногайцы	14.0	14.0
Орочи 	1.0	1.0
Осетины 	323.0	322.0
Персы 	39.0	38.0
Поляки 	615.0	615.0
Пуштуны	7.0	7.0
Румыны 	69.0	66.0
Русские 	3346398.0	3342545.0
Казаки 	44.0	44.0
Поморы 	1.0	1.0
Рутульцы 	16.0	16.0
Саамы 	4.0	4.0
Селькупы 	4.0	4.0
Сербы	25.0	25.0
Словаки	8.0	8.0
Табасараны 	78.0	78.0
Таджики 	963.0	943.0
Талыши 	44.0	40.0
Татары 	50609.0	48757.0
Астраханские татары 	1.0	1.0
Кряшены 	2.0	2.0
Татары сибирские 	2.0	2.0
Татары крымские 	11.0	11.0
Таты 	3.0	3.0
Телеуты 	2.0	2.0
Тофалары 	2.0	2.0
Тувинцы 	8.0	8.0
Турки 	55.0	50.0
Турки-месхетинцы	1.0	1.0
Туркмены 	146.0	146.0
Удины 	2.0	2.0
Удмурты 	828.0	825.0
Узбеки 	1103.0	1086.0
Уйгуры	24.0	24.0
Украинцы 	24241.0	24211.0
Ульчи 	1.0	1.0
Финны 	77.0	77.0
Финны-ингерманландцы 	3.0	3.0
Французы	8.0	8.0
Хакасы 	10.0	10.0
Ханты 	13.0	13.0
Цахуры 	14.0	14.0
Цыгане 	4373.0	4304.0
Черкесы 	27.0	27.0
Чехи 	7.0	7.0
Чеченцы 	329.0	327.0
Чеченцы-аккинцы 	3.0	3.0
Чуванцы 	1.0	1.0
Чуваши 	11364.0	11325.0
Чукчи 	7.0	7.0
Шорцы 	4.0	4.0
Эвенки 	4.0	4.0
Эвены 	3.0	3.0
Эскимосы 	1.0	1.0
Эстонцы 	100.0	100.0
Юкагиры 	1.0	1.0
Якуты 	72.0	72.0
Японцы 	4.0	4.0
Лица других национальностей (не перечисленных выше)	729.0	683.0
Лица, не указавшие национальность в переписном листе 	758.0	507.0
Оренбургская область	2179551.0	2168775.0
Абазины 	5.0	5.0
Абхазы 	35.0	35.0
Аварцы 	461.0	454.0
Андийцы 	4.0	3.0
Годоберинцы 	1.0	1.0
Гунзибцы 	1.0	1.0
Агулы 	23.0	23.0
Адыгейцы 	33.0	33.0
Азербайджанцы 	7802.0	7413.0
Алеуты 	4.0	4.0
Алтайцы 	16.0	16.0
Американцы	1.0	1.0
Англичане	1.0	1.0
Арабы 	41.0	41.0
Арабы среднеазиатские 	2.0	2.0
Армяне 	10574.0	10354.0
Ассирийцы 	41.0	39.0
Балкарцы 	24.0	24.0
Башкиры 	52685.0	51822.0
Белорусы 	9182.0	9173.0
Болгары	630.0	630.0
Буряты 	67.0	67.0
Венгры 	153.0	150.0
Вепсы 	4.0	4.0
Водь 	1.0	1.0
Вьетнамцы 	97.0	75.0
Гагаузы	96.0	96.0
Греки 	469.0	466.0
Греки-урумы 	20.0	20.0
Грузины 	1191.0	1180.0
