4. СРЕДНЕЕ ЧИСЛО РОЖДЕННЫХ ДЕТЕЙ ЖЕНЩИНАМИ, ИМЕЮЩИМИ РАЗЛИЧНЫЙ 								
УРОВЕНЬ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
(на 1000 женщин соответствующего возраста и уровня образования, указавших число рожденных детей)								
								
	Среднее число рожденных детей	У женщин, имеющих образование						Среднее число рожденных детей женщинами, не имеющими
18 – 19 -" -	55.0	-	24.0	96.0	45.0	118.0	119.0	60.0
20 – 24 -" -	345.0	270.0	164.0	427.0	379.0	625.0	475.0	175.0
25 – 29 -" -	883.0	681.0	726.0	962.0	1005.0	1073.0	838.0	227.0
30 – 34 -" -	1297.0	1113.0	1246.0	1360.0	1407.0	1397.0	880.0	1190.0
35 – 39 -" -	1594.0	1390.0	1498.0	1642.0	1704.0	1681.0	1382.0	1750.0
40 – 44 -" -	1748.0	1565.0	1642.0	1777.0	1844.0	1869.0	1336.0	417.0
45 – 49 -" -	1781.0	1573.0	1665.0	1805.0	1854.0	2008.0	1775.0	523.0
50 – 54 -" -	1754.0	1548.0	1666.0	1755.0	1821.0	1990.0	1915.0	835.0
55 – 59 -" -	1689.0	1466.0	1505.0	1678.0	1732.0	1972.0	1975.0	1372.0
60 – 64 -" -	1797.0	1494.0	1627.0	1688.0	1817.0	1970.0	2042.0	1985.0
65 – 69 -" -	1905.0	1504.0	1843.0	1735.0	1869.0	2001.0	2182.0	2197.0
70 лет и более	2211.0	1655.0	1945.0	1935.0	2088.0	2219.0	2376.0	2733.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2321.0	1767.0	1178.0	1848.0	1998.0	2453.0	3242.0	2981.0
15 – 17 лет	10.0	-	-	0.0	16.0	9.0	7.0	0.0
18 – 19 -" -	109.0	-	42.0	69.0	92.0	248.0	328.0	0.0
20 – 24 -" -	582.0	360.0	247.0	500.0	698.0	942.0	723.0	68.0
25 – 29 -" -	1335.0	947.0	1008.0	1297.0	1508.0	1571.0	1170.0	103.0
30 – 34 -" -	1837.0	1582.0	1716.0	1793.0	1962.0	2104.0	1296.0	303.0
35 – 39 -" -	2113.0	1870.0	1883.0	2055.0	2242.0	2312.0	1637.0	130.0
40 – 44 -" -	2272.0	2047.0	2057.0	2177.0	2371.0	2602.0	1718.0	309.0
45 – 49 -" -	2409.0	2177.0	2084.0	2268.0	2491.0	2713.0	2186.0	463.0
50 – 54 -" -	2591.0	2153.0	2314.0	2313.0	2592.0	3020.0	2715.0	562.0
55 – 59 -" -	2769.0	2198.0	2813.0	2293.0	2622.0	3086.0	3211.0	1190.0
60 – 64 -" -	3028.0	2273.0	2386.0	2441.0	2825.0	3203.0	3163.0	2130.0
65 – 69 -" -	3157.0	2398.0	2315.0	2486.0	2878.0	3259.0	3290.0	2915.0
70 лет и более	3364.0	2660.0	2893.0	2910.0	3260.0	3473.0	3401.0	3312.0
Удмуртская Республика								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1608.0	1373.0	765.0	1553.0	1447.0	1619.0	2691.0	2699.0
15 – 17 лет	27.0	-	-	36.0	33.0	25.0	22.0	35.0
18 – 19 -" -	90.0	-	33.0	93.0	74.0	176.0	250.0	200.0
20 – 24 -" -	447.0	300.0	200.0	434.0	526.0	733.0	652.0	269.0
25 – 29 -" -	1013.0	726.0	828.0	1051.0	1151.0	1289.0	918.0	155.0
30 – 34 -" -	1450.0	1195.0	1228.0	1500.0	1574.0	1666.0	1346.0	1000.0
35 – 39 -" -	1753.0	1496.0	1625.0	1759.0	1908.0	2065.0	1243.0	534.0
40 – 44 -" -	1939.0	1646.0	1642.0	1942.0	2048.0	2358.0	2278.0	629.0
45 – 49 -" -	1985.0	1702.0	1882.0	1922.0	2046.0	2553.0	2325.0	522.0
50 – 54 -" -	1984.0	1707.0	1819.0	1869.0	2010.0	2510.0	2311.0	1381.0
55 – 59 -" -	1928.0	1642.0	1663.0	1761.0	1914.0	2348.0	2602.0	1727.0
60 – 64 -" -	2110.0	1604.0	1740.0	1775.0	1881.0	2406.0	2771.0	2515.0
65 – 69 -" -	2352.0	1659.0	1933.0	1899.0	1925.0	2413.0	2890.0	2874.0
70 лет и более	2623.0	1769.0	2307.0	2177.0	2210.0	2537.0	2872.0	3017.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1386.0	1296.0	665.0	1430.0	1289.0	1334.0	2158.0	2491.0
15 – 17 лет	29.0	-	-	28.0	32.0	28.0	32.0	0.0
18 – 19 -" -	77.0	-	34.0	97.0	62.0	149.0	324.0	195.0
20 – 24 -" -	393.0	293.0	181.0	413.0	454.0	648.0	591.0	409.0
25 – 29 -" -	910.0	689.0	808.0	977.0	1017.0	1099.0	942.0	250.0
30 – 34 -" -	1291.0	1132.0	1177.0	1348.0	1375.0	1362.0	1350.0	1000.0
35 – 39 -" -	1566.0	1401.0	1581.0	1590.0	1671.0	1751.0	1136.0	608.0
40 – 44 -" -	1751.0	1561.0	1489.0	1788.0	1829.0	1948.0	1958.0	833.0
45 – 49 -" -	1794.0	1619.0	1764.0	1773.0	1881.0	2052.0	1937.0	1143.0
50 – 54 -" -	1793.0	1628.0	1759.0	1739.0	1868.0	2046.0	1962.0	613.0
55 – 59 -" -	1727.0	1567.0	1448.0	1665.0	1790.0	1964.0	1780.0	750.0
60 – 64 -" -	1780.0	1531.0	1631.0	1663.0	1746.0	1968.0	2052.0	2297.0
65 – 69 -" -	1909.0	1577.0	1630.0	1746.0	1769.0	2028.0	2180.0	2526.0
70 лет и более	2237.0	1685.0	1886.0	1964.0	2076.0	2258.0	2388.0	2762.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2182.0	1773.0	1440.0	1932.0	1889.0	2148.0	3246.0	2859.0
15 – 17 лет	21.0	-	-	83.0	38.0	18.0	7.0	71.0
18 – 19 -" -	141.0	-	0.0	80.0	126.0	231.0	213.0	205.0
20 – 24 -" -	623.0	343.0	409.0	499.0	726.0	849.0	703.0	152.0
25 – 29 -" -	1328.0	978.0	944.0	1281.0	1453.0	1580.0	885.0	112.0
30 – 34 -" -	1861.0	1533.0	1507.0	1878.0	1951.0	2047.0	1340.0	1000.0
35 – 39 -" -	2169.0	1880.0	1806.0	2133.0	2310.0	2425.0	1315.0	462.0
40 – 44 -" -	2389.0	2021.0	2321.0	2335.0	2484.0	2774.0	2529.0	554.0
45 – 49 -" -	2527.0	2111.0	2523.0	2437.0	2495.0	2985.0	2800.0	98.0
50 – 54 -" -	2607.0	2122.0	2200.0	2366.0	2591.0	3094.0	2601.0	2125.0
55 – 59 -" -	2650.0	2026.0	2292.0	2244.0	2619.0	3048.0	3262.0	2286.0
60 – 64 -" -	2932.0	2031.0	2133.0	2262.0	2532.0	3174.0	3363.0	2606.0
65 – 69 -" -	3203.0	2171.0	2617.0	2526.0	2661.0	3208.0	3512.0	2991.0
70 лет и более	3303.0	2306.0	3072.0	2898.0	2912.0	3310.0	3418.0	3241.0
Чувашская Республика								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1682.0	1353.0	605.0	1579.0	1475.0	1866.0	2742.0	2497.0
15 – 17 лет	9.0	-	-	16.0	14.0	7.0	14.0	0.0
18 – 19 -" -	54.0	-	39.0	60.0	47.0	102.0	182.0	188.0
20 – 24 -" -	375.0	288.0	157.0	409.0	437.0	648.0	643.0	643.0
25 – 29 -" -	978.0	697.0	730.0	995.0	1165.0	1292.0	1288.0	425.0
30 – 34 -" -	1448.0	1189.0	1182.0	1450.0	1619.0	1714.0	1229.0	1051.0
35 – 39 -" -	1747.0	1480.0	1572.0	1727.0	1938.0	2062.0	1578.0	340.0
40 – 44 -" -	1939.0	1649.0	1772.0	1878.0	2110.0	2467.0	1745.0	601.0
45 – 49 -" -	2060.0	1729.0	2098.0	1955.0	2156.0	2724.0	2223.0	881.0
50 – 54 -" -	2098.0	1709.0	1726.0	1930.0	2124.0	2712.0	2468.0	1288.0
55 – 59 -" -	2134.0	1802.0	1513.0	1841.0	2055.0	2641.0	2926.0	558.0
60 – 64 -" -	2332.0	1730.0	1493.0	1878.0	2195.0	2672.0	2724.0	1473.0
65 – 69 -" -	2562.0	1751.0	2084.0	2049.0	2312.0	2709.0	2861.0	2657.0
70 лет и более	2752.0	2096.0	2504.0	2342.0	2419.0	2861.0	2882.0	2787.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1301.0	1222.0	509.0	1435.0	1196.0	1188.0	2056.0	2100.0
15 – 17 лет	9.0	-	-	17.0	12.0	7.0	12.0	0.0
18 – 19 -" -	42.0	-	32.0	50.0	37.0	78.0	333.0	91.0
20 – 24 -" -	314.0	272.0	136.0	386.0	340.0	559.0	1000.0	875.0
25 – 29 -" -	816.0	655.0	665.0	882.0	921.0	986.0	1667.0	750.0
30 – 34 -" -	1234.0	1064.0	1066.0	1292.0	1304.0	1388.0	1169.0	2469.0
35 – 39 -" -	1536.0	1332.0	1509.0	1579.0	1653.0	1634.0	1286.0	1143.0
40 – 44 -" -	1719.0	1515.0	1682.0	1732.0	1833.0	1945.0	1955.0	2344.0
45 – 49 -" -	1797.0	1599.0	1956.0	1803.0	1855.0	2136.0	2030.0	1129.0
50 – 54 -" -	1779.0	1621.0	1638.0	1774.0	1827.0	1962.0	1641.0	2250.0
55 – 59 -" -	1718.0	1590.0	1429.0	1662.0	1778.0	1885.0	1988.0	267.0
60 – 64 -" -	1763.0	1563.0	1491.0	1714.0	1814.0	1873.0	1886.0	656.0
65 – 69 -" -	1834.0	1559.0	1952.0	1776.0	1851.0	1905.0	1953.0	1783.0
70 лет и более	2159.0	1763.0	2144.0	1954.0	2048.0	2168.0	2323.0	2388.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2309.0	1868.0	1098.0	1978.0	1960.0	2493.0	3042.0	2651.0
15 – 17 лет	9.0	-	-	0.0	21.0	6.0	16.0	0.0
18 – 19 -" -	97.0	-	104.0	96.0	84.0	155.0	0.0	400.0
20 – 24 -" -	532.0	368.0	297.0	468.0	601.0	761.0	392.0	403.0
25 – 29 -" -	1314.0	905.0	981.0	1279.0	1439.0	1564.0	1052.0	296.0
30 – 34 -" -	1855.0	1640.0	1596.0	1819.0	1958.0	2056.0	1290.0	619.0
35 – 39 -" -	2165.0	1947.0	1913.0	2097.0	2299.0	2418.0	1758.0	51.0
40 – 44 -" -	2412.0	2152.0	2059.0	2306.0	2521.0	2804.0	1602.0	75.0
45 – 49 -" -	2654.0	2279.0	2682.0	2455.0	2706.0	3106.0	2354.0	771.0
50 – 54 -" -	2781.0	2153.0	2061.0	2455.0	2721.0	3260.0	2856.0	167.0
55 – 59 -" -	2910.0	2522.0	2000.0	2539.0	2682.0	3221.0	3289.0	714.0
60 – 64 -" -	2995.0	2356.0	1500.0	2419.0	2909.0	3192.0	3066.0	1990.0
65 – 69 -" -	3124.0	2415.0	2436.0	2782.0	3003.0	3217.0	3180.0	2894.0
70 лет и более	3157.0	2979.0	2983.0	3083.0	3101.0	3357.0	3132.0	2935.0
Кировская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1558.0	1351.0	739.0	1513.0	1345.0	1516.0	2334.0	2539.0
15 – 17 лет	22.0	-	-	50.0	24.0	21.0	21.0	32.0
18 – 19 -" -	78.0	-	45.0	55.0	58.0	186.0	139.0	125.0
20 – 24 -" -	405.0	256.0	163.0	412.0	439.0	684.0	615.0	197.0
25 – 29 -" -	960.0	683.0	708.0	986.0	1055.0	1227.0	1249.0	222.0
30 – 34 -" -	1389.0	1148.0	1205.0	1423.0	1478.0	1613.0	1400.0	947.0
35 – 39 -" -	1690.0	1412.0	1594.0	1701.0	1820.0	2062.0	1684.0	1027.0
40 – 44 -" -	1865.0	1641.0	1680.0	1841.0	1964.0	2315.0	1729.0	768.0
45 – 49 -" -	1923.0	1669.0	1906.0	1856.0	1948.0	2492.0	2340.0	872.0
50 – 54 -" -	1868.0	1602.0	1906.0	1806.0	1857.0	2293.0	2344.0	822.0
55 – 59 -" -	1849.0	1580.0	1737.0	1722.0	1813.0	2179.0	2603.0	1767.0
60 – 64 -" -	1915.0	1531.0	1647.0	1662.0	1796.0	2088.0	2383.0	2249.0
65 – 69 -" -	2044.0	1534.0	1715.0	1737.0	1779.0	2065.0	2330.0	2696.0
70 лет и более	2330.0	1678.0	2181.0	1918.0	1994.0	2185.0	2491.0	2710.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1370.0	1280.0	669.0	1418.0	1206.0	1289.0	1999.0	2298.0
15 – 17 лет	22.0	-	-	65.0	24.0	20.0	23.0	0.0
18 – 19 -" -	66.0	-	42.0	63.0	50.0	161.0	41.0	125.0
20 – 24 -" -	362.0	257.0	164.0	400.0	396.0	568.0	553.0	299.0
25 – 29 -" -	874.0	668.0	689.0	927.0	957.0	1033.0	1118.0	138.0
30 – 34 -" -	1267.0	1091.0	1153.0	1316.0	1334.0	1373.0	1435.0	1711.0
35 – 39 -" -	1534.0	1335.0	1535.0	1581.0	1608.0	1762.0	1538.0	942.0
40 – 44 -" -	1730.0	1565.0	1640.0	1732.0	1823.0	1957.0	1241.0	1328.0
45 – 49 -" -	1772.0	1595.0	1806.0	1759.0	1817.0	2131.0	1891.0	816.0
50 – 54 -" -	1717.0	1521.0	1891.0	1710.0	1746.0	1987.0	1691.0	366.0
55 – 59 -" -	1660.0	1506.0	1699.0	1635.0	1692.0	1850.0	1890.0	1000.0
60 – 64 -" -	1673.0	1477.0	1565.0	1575.0	1646.0	1797.0	1919.0	1784.0
65 – 69 -" -	1760.0	1478.0	1563.0	1636.0	1666.0	1835.0	1916.0	1977.0
70 лет и более	2056.0	1629.0	2058.0	1775.0	1904.0	1996.0	2176.0	2498.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2067.0	1775.0	1240.0	1823.0	1812.0	1959.0	2761.0	2735.0
15 – 17 лет	21.0	-	-	0.0	21.0	22.0	19.0	73.0
18 – 19 -" -	131.0	-	76.0	29.0	108.0	244.0	211.0	125.0
20 – 24 -" -	569.0	249.0	158.0	458.0	602.0	863.0	659.0	107.0
25 – 29 -" -	1273.0	851.0	826.0	1208.0	1345.0	1515.0	1333.0	294.0
30 – 34 -" -	1750.0	1521.0	1581.0	1733.0	1815.0	1932.0	1368.0	429.0
35 – 39 -" -	2081.0	1783.0	1859.0	2006.0	2244.0	2346.0	1970.0	1099.0
40 – 44 -" -	2221.0	1996.0	1920.0	2132.0	2295.0	2674.0	2122.0	381.0
45 – 49 -" -	2347.0	2047.0	2412.0	2155.0	2338.0	2857.0	2695.0	917.0
50 – 54 -" -	2332.0	2027.0	1957.0	2157.0	2280.0	2680.0	2737.0	1133.0
55 – 59 -" -	2427.0	2028.0	1865.0	2064.0	2375.0	2657.0	3127.0	2232.0
60 – 64 -" -	2486.0	1877.0	2000.0	2016.0	2367.0	2576.0	2827.0	2490.0
65 – 69 -" -	2653.0	1844.0	2098.0	2191.0	2270.0	2641.0	2815.0	3027.0
70 лет и более	2855.0	2007.0	2458.0	2514.0	2489.0	2795.0	2933.0	2899.0
Нижегородская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1431.0	1235.0	701.0	1404.0	1295.0	1390.0	2158.0	2348.0
15 – 17 лет	19.0	-	-	58.0	21.0	17.0	23.0	0.0
18 – 19 -" -	80.0	-	40.0	90.0	67.0	147.0	223.0	30.0
20 – 24 -" -	412.0	300.0	197.0	453.0	444.0	687.0	638.0	308.0
25 – 29 -" -	937.0	706.0	749.0	992.0	1046.0	1154.0	916.0	398.0
30 – 34 -" -	1301.0	1105.0	1135.0	1338.0	1408.0	1509.0	1229.0	508.0
35 – 39 -" -	1552.0	1350.0	1439.0	1572.0	1675.0	1824.0	1657.0	500.0
40 – 44 -" -	1695.0	1473.0	1537.0	1699.0	1802.0	2007.0	1664.0	298.0
45 – 49 -" -	1698.0	1500.0	1465.0	1681.0	1767.0	1994.0	2039.0	1083.0
50 – 54 -" -	1660.0	1467.0	1580.0	1619.0	1694.0	1953.0	1986.0	1160.0
55 – 59 -" -	1616.0	1430.0	1490.0	1535.0	1611.0	1873.0	2055.0	1653.0
60 – 64 -" -	1725.0	1396.0	1488.0	1522.0	1645.0	1900.0	2151.0	2134.0
65 – 69 -" -	1838.0	1412.0	1516.0	1570.0	1666.0	1865.0	2182.0	2239.0
70 лет и более	2071.0	1463.0	1788.0	1708.0	1765.0	1947.0	2267.0	2549.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1302.0	1203.0	654.0	1354.0	1214.0	1248.0	1878.0	2176.0
15 – 17 лет	18.0	-	-	64.0	20.0	16.0	18.0	0.0
18 – 19 -" -	71.0	-	35.0	90.0	61.0	132.0	113.0	0.0
20 – 24 -" -	383.0	295.0	190.0	439.0	414.0	619.0	630.0	481.0
25 – 29 -" -	885.0	695.0	731.0	953.0	990.0	1048.0	804.0	385.0
30 – 34 -" -	1219.0	1070.0	1090.0	1270.0	1297.0	1342.0	1149.0	536.0
35 – 39 -" -	1454.0	1306.0	1390.0	1499.0	1542.0	1579.0	1253.0	582.0
40 – 44 -" -	1602.0	1435.0	1472.0	1633.0	1693.0	1730.0	1318.0	138.0
45 – 49 -" -	1618.0	1460.0	1421.0	1620.0	1692.0	1820.0	1665.0	630.0
50 – 54 -" -	1578.0	1434.0	1528.0	1567.0	1625.0	1757.0	1695.0	1074.0
55 – 59 -" -	1523.0	1413.0	1432.0	1484.0	1549.0	1701.0	1659.0	1879.0
60 – 64 -" -	1564.0	1370.0	1436.0	1481.0	1567.0	1698.0	1792.0	1578.0
65 – 69 -" -	1630.0	1386.0	1488.0	1525.0	1589.0	1701.0	1815.0	2014.0
70 лет и более	1857.0	1429.0	1671.0	1640.0	1712.0	1827.0	2019.0	2391.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1914.0	1561.0	1193.0	1663.0	1655.0	1788.0	2499.0	2482.0
15 – 17 лет	22.0	-	-	29.0	28.0	19.0	33.0	0.0
18 – 19 -" -	123.0	-	121.0	91.0	104.0	187.0	333.0	56.0
20 – 24 -" -	571.0	362.0	300.0	516.0	587.0	844.0	646.0	159.0
25 – 29 -" -	1210.0	859.0	1000.0	1201.0	1256.0	1410.0	1087.0	414.0
30 – 34 -" -	1674.0	1450.0	1527.0	1638.0	1764.0	1918.0	1358.0	485.0
35 – 39 -" -	1937.0	1700.0	1841.0	1874.0	2035.0	2249.0	2132.0	423.0
40 – 44 -" -	2072.0	1805.0	2028.0	1979.0	2156.0	2462.0	2187.0	397.0
45 – 49 -" -	2068.0	1893.0	1773.0	1981.0	2085.0	2314.0	2367.0	1489.0
50 – 54 -" -	2079.0	1796.0	2021.0	1944.0	2053.0	2375.0	2380.0	1245.0
55 – 59 -" -	2098.0	1609.0	1951.0	1911.0	2024.0	2306.0	2494.0	1544.0
60 – 64 -" -	2253.0	1699.0	1825.0	1842.0	2026.0	2342.0	2498.0	2587.0
65 – 69 -" -	2371.0	1676.0	1653.0	1871.0	2080.0	2326.0	2559.0	2396.0
70 лет и более	2537.0	1830.0	2248.0	2155.0	2168.0	2450.0	2589.0	2672.0
Оренбургская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1670.0	1405.0	814.0	1603.0	1507.0	1617.0	2672.0	2998.0
15 – 17 лет	20.0	-	-	43.0	19.0	19.0	23.0	111.0
18 – 19 -" -	94.0	-	32.0	102.0	73.0	170.0	191.0	84.0
20 – 24 -" -	489.0	352.0	224.0	481.0	546.0	759.0	846.0	265.0
25 – 29 -" -	1082.0	773.0	871.0	1090.0	1230.0	1344.0	1149.0	566.0
30 – 34 -" -	1505.0	1232.0	1281.0	1489.0	1686.0	1780.0	1779.0	747.0
35 – 39 -" -	1803.0	1512.0	1604.0	1792.0	1974.0	2142.0	1765.0	654.0
40 – 44 -" -	1963.0	1682.0	1834.0	1919.0	2134.0	2372.0	1853.0	630.0
45 – 49 -" -	2055.0	1746.0	1905.0	1979.0	2185.0	2531.0	2541.0	1192.0
50 – 54 -" -	2049.0	1721.0	1882.0	1942.0	2098.0	2508.0	2866.0	1699.0
55 – 59 -" -	2127.0	1682.0	1865.0	1906.0	2090.0	2515.0	3031.0	3605.0
60 – 64 -" -	2300.0	1645.0	1746.0	1888.0	2115.0	2485.0	2956.0	3381.0
65 – 69 -" -	2394.0	1687.0	1753.0	1901.0	2144.0	2420.0	2884.0	3576.0
70 лет и более	2593.0	1746.0	2190.0	2103.0	2211.0	2454.0	2801.0	3204.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1405.0	1303.0	659.0	1475.0	1240.0	1330.0	2180.0	2657.0
15 – 17 лет	16.0	-	-	45.0	16.0	15.0	19.0	167.0
18 – 19 -" -	64.0	-	24.0	99.0	50.0	107.0	136.0	0.0
20 – 24 -" -	393.0	325.0	191.0	446.0	418.0	569.0	656.0	154.0
25 – 29 -" -	933.0	738.0	795.0	988.0	1039.0	1067.0	1000.0	600.0
30 – 34 -" -	1311.0	1165.0	1185.0	1342.0	1412.0	1420.0	1643.0	830.0
35 – 39 -" -	1603.0	1427.0	1453.0	1633.0	1723.0	1779.0	1374.0	364.0
40 – 44 -" -	1768.0	1584.0	1688.0	1776.0	1889.0	1988.0	1491.0	873.0
45 – 49 -" -	1836.0	1630.0	1766.0	1841.0	1948.0	2061.0	1786.0	937.0
50 – 54 -" -	1796.0	1603.0	1629.0	1781.0	1850.0	2030.0	2195.0	2085.0
55 – 59 -" -	1790.0	1551.0	1583.0	1760.0	1850.0	2033.0	2017.0	1536.0
60 – 64 -" -	1870.0	1549.0	1537.0	1756.0	1886.0	2030.0	2142.0	2550.0
65 – 69 -" -	1966.0	1586.0	1706.0	1784.0	1894.0	2086.0	2254.0	2328.0
70 лет и более	2230.0	1637.0	1878.0	1956.0	2038.0	2184.0	2406.0	2932.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2071.0	1723.0	1414.0	1834.0	1895.0	1950.0	3028.0	3173.0
15 – 17 лет	26.0	-	-	34.0	33.0	24.0	28.0	83.0
18 – 19 -" -	176.0	-	113.0	111.0	154.0	259.0	217.0	133.0
20 – 24 -" -	679.0	474.0	432.0	548.0	744.0	933.0	924.0	314.0
25 – 29 -" -	1335.0	929.0	1134.0	1280.0	1424.0	1581.0	1236.0	546.0
30 – 34 -" -	1780.0	1449.0	1558.0	1703.0	1930.0	2072.0	1855.0	707.0
35 – 39 -" -	2057.0	1735.0	1962.0	2000.0	2180.0	2444.0	1964.0	758.0
40 – 44 -" -	2246.0	1936.0	2161.0	2152.0	2374.0	2682.0	2060.0	524.0
45 – 49 -" -	2403.0	2086.0	2213.0	2233.0	2475.0	2900.0	2926.0	1386.0
50 – 54 -" -	2481.0	2047.0	2346.0	2273.0	2495.0	2941.0	3186.0	1494.0
55 – 59 -" -	2659.0	2044.0	2454.0	2232.0	2571.0	2945.0	3387.0	4242.0
60 – 64 -" -	2847.0	1981.0	2330.0	2197.0	2530.0	2944.0	3326.0	3600.0
65 – 69 -" -	2940.0	2037.0	1875.0	2180.0	2606.0	2868.0	3285.0	3987.0
70 лет и более	3053.0	2127.0	2618.0	2487.0	2706.0	2967.0	3145.0	3355.0
Пензенская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1554.0	1292.0	734.0	1446.0	1360.0	1589.0	2422.0	2600.0
15 – 17 лет	10.0	-	0.0	55.0	12.0	9.0	3.0	86.0
18 – 19 -" -	79.0	-	23.0	87.0	62.0	186.0	323.0	194.0
20 – 24 -" -	442.0	296.0	182.0	456.0	508.0	735.0	720.0	419.0
25 – 29 -" -	986.0	719.0	786.0	991.0	1100.0	1276.0	1281.0	1648.0
30 – 34 -" -	1339.0	1096.0	1157.0	1338.0	1484.0	1636.0	1825.0	1242.0
35 – 39 -" -	1593.0	1347.0	1474.0	1597.0	1733.0	1934.0	2089.0	815.0
40 – 44 -" -	1745.0	1515.0	1663.0	1715.0	1867.0	2134.0	1606.0	1564.0
45 – 49 -" -	1781.0	1550.0	1628.0	1740.0	1844.0	2183.0	1970.0	1418.0
50 – 54 -" -	1772.0	1537.0	1686.0	1701.0	1772.0	2169.0	2136.0	1474.0
55 – 59 -" -	1759.0	1471.0	1514.0	1643.0	1714.0	2093.0	2231.0	900.0
60 – 64 -" -	1927.0	1460.0	1566.0	1623.0	1779.0	2101.0	2428.0	2176.0
65 – 69 -" -	2047.0	1506.0	1573.0	1693.0	1833.0	2099.0	2429.0	2520.0
70 лет и более	2340.0	1588.0	1784.0	1835.0	2013.0	2189.0	2522.0	2749.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1330.0	1234.0	639.0	1361.0	1202.0	1303.0	2022.0	2378.0
15 – 17 лет	7.0	-	0.0	55.0	10.0	5.0	0.0	216.0
18 – 19 -" -	56.0	-	23.0	81.0	45.0	125.0	242.0	0.0
20 – 24 -" -	374.0	289.0	173.0	430.0	409.0	611.0	1071.0	500.0
25 – 29 -" -	873.0	691.0	709.0	916.0	972.0	1034.0	953.0	2082.0
30 – 34 -" -	1186.0	1030.0	1091.0	1224.0	1286.0	1310.0	1298.0	1267.0
35 – 39 -" -	1442.0	1284.0	1461.0	1482.0	1532.0	1639.0	1867.0	167.0
40 – 44 -" -	1605.0	1472.0	1544.0	1618.0	1691.0	1815.0	1150.0	2000.0
45 – 49 -" -	1637.0	1482.0	1580.0	1652.0	1704.0	1833.0	1486.0	3111.0
50 – 54 -" -	1620.0	1491.0	1577.0	1615.0	1634.0	1843.0	1797.0	2000.0
55 – 59 -" -	1572.0	1400.0	1361.0	1560.0	1605.0	1761.0	1810.0	1000.0
60 – 64 -" -	1635.0	1390.0	1507.0	1557.0	1627.0	1769.0	1920.0	1646.0
65 – 69 -" -	1709.0	1468.0	1335.0	1582.0	1667.0	1819.0	1910.0	2048.0
70 лет и более	2000.0	1509.0	1610.0	1722.0	1879.0	1933.0	2170.0	2514.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1992.0	1634.0	1250.0	1681.0	1691.0	1950.0	2681.0	2724.0
15 – 17 лет	17.0	-	-	56.0	25.0	15.0	8.0	0.0
18 – 19 -" -	152.0	-	26.0	103.0	127.0	277.0	414.0	364.0
20 – 24 -" -	626.0	359.0	276.0	528.0	691.0	860.0	533.0	353.0
25 – 29 -" -	1260.0	931.0	1124.0	1195.0	1294.0	1494.0	1566.0	1234.0
30 – 34 -" -	1682.0	1458.0	1472.0	1620.0	1747.0	1939.0	2207.0	1222.0
35 – 39 -" -	1912.0	1671.0	1529.0	1852.0	2010.0	2169.0	2189.0	1000.0
40 – 44 -" -	2045.0	1748.0	2005.0	1945.0	2137.0	2367.0	1792.0	1474.0
45 – 49 -" -	2102.0	1938.0	1769.0	1976.0	2109.0	2407.0	2155.0	796.0
50 – 54 -" -	2136.0	1806.0	2046.0	1959.0	2107.0	2452.0	2317.0	1053.0
55 – 59 -" -	2203.0	1871.0	2125.0	1962.0	2054.0	2434.0	2423.0	750.0
60 – 64 -" -	2396.0	1844.0	1783.0	1879.0	2204.0	2469.0	2648.0	2355.0
65 – 69 -" -	2533.0	1791.0	2130.0	2049.0	2330.0	2494.0	2722.0	2725.0
70 лет и более	2732.0	2067.0	2218.0	2214.0	2509.0	2675.0	2775.0	2881.0
Пермская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1563.0	1315.0	806.0	1532.0	1379.0	1568.0	2483.0	2572.0
15 – 17 лет	17.0	-	-	59.0	17.0	17.0	11.0	45.0
18 – 19 -" -	97.0	-	25.0	95.0	70.0	191.0	254.0	226.0
20 – 24 -" -	459.0	257.0	183.0	456.0	492.0	734.0	637.0	341.0
25 – 29 -" -	1004.0	687.0	765.0	1006.0	1113.0	1327.0	1227.0	366.0
