3. ОБЩАЯ ПЛОЩАДЬ, В СРЕДНЕМ ПРИХОДЯЩАЯСЯ НА ОДНОГО ЧЛЕНА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
(кв. м на одного человека)						
						
	Средний размер общей площади, приходящейся на одного человека, проживающего	в частных домохозяйствах, состоящих из				
Население, проживающее в индивидуальных домах и квартирах	17.0	39.0	23.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	18.0	40.0	23.0	17.0	14.0	10.0
в отдельных квартирах	16.0	38.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	13.0	24.0	16.0	12.0	10.0	8.0
Коми–Пермяцкий автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	39.0	22.0	16.0	12.0	9.0
в том числе:						
в индивидуальных домах	17.0	40.0	23.0	16.0	13.0	9.0
в отдельных квартирах	16.0	38.0	22.0	16.0	12.0	9.0
в коммунальных квартирах	14.0	26.0	17.0	14.0	11.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	37.0	22.0	15.0	12.0	9.0
в том числе:						
в индивидуальных домах	17.0	40.0	23.0	16.0	13.0	9.0
в отдельных квартирах	16.0	36.0	21.0	15.0	12.0	9.0
в коммунальных квартирах	12.0	22.0	13.0	11.0	8.0	6.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	40.0	23.0	16.0	12.0	9.0
в том числе:						
в индивидуальных домах	17.0	40.0	23.0	16.0	13.0	9.0
в отдельных квартирах	16.0	39.0	23.0	16.0	12.0	9.0
в коммунальных квартирах	17.0	32.0	21.0	17.0	14.0	8.0
Самарская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	47.0	27.0	21.0	17.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	48.0	27.0	21.0	17.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	45.0	27.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	23.0	47.0	27.0	21.0	17.0	12.0
в отдельных квартирах	19.0	42.0	26.0	18.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	17.0	13.0	10.0	9.0
Саратовская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	45.0	26.0	19.0	15.0	11.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	46.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	45.0	26.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	21.0	44.0	26.0	19.0	15.0	11.0
в отдельных квартирах	19.0	45.0	27.0	19.0	15.0	11.0
в коммунальных квартирах	13.0	23.0	18.0	13.0	10.0	8.0
Ульяновская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	22.0	44.0	26.0	19.0	16.0	12.0
в отдельных квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	15.0	11.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	18.0	14.0	12.0
в том числе:						
в индивидуальных домах	22.0	45.0	27.0	21.0	17.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	15.0	11.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	22.0	43.0	25.0	18.0	15.0	11.0
в отдельных квартирах	18.0	42.0	26.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	13.0	12.0	8.0
Уральский федеральный округ						
Курганская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	40.0	25.0	18.0	15.0	11.0
в отдельных квартирах	18.0	38.0	22.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	38.0	22.0	16.0	13.0	11.0
в том числе:						
в индивидуальных домах	19.0	41.0	24.0	18.0	15.0	11.0
в отдельных квартирах	18.0	37.0	22.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	40.0	25.0	19.0	15.0	11.0
в отдельных квартирах	17.0	39.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	20.0	13.0	13.0	9.0	9.0
Свердловская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	42.0	23.0	18.0	14.0	11.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	11.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	42.0	23.0	18.0	14.0	11.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	11.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	20.0	41.0	23.0	17.0	14.0	10.0
в отдельных квартирах	17.0	40.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	13.0	23.0	15.0	12.0	9.0	7.0
Тюменская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	44.0	27.0	20.0	16.0	12.0
в отдельных квартирах	18.0	42.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	47.0	28.0	22.0	17.0	13.0
в отдельных квартирах	18.0	42.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	43.0	26.0	20.0	16.0	12.0
в отдельных квартирах	17.0	40.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	13.0	20.0	16.0	13.0	11.0	9.0
Ханты-Мансийский автономный округ - Югра						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	50.0	32.0	24.0	19.0	14.0
в отдельных квартирах	17.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	54.0	35.0	26.0	19.0	14.0
в отдельных квартирах	17.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	45.0	28.0	21.0	17.0	12.0
в отдельных квартирах	18.0	41.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	16.0	25.0	19.0	11.0	13.0	18.0
Ямало-Ненецкий автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	51.0	31.0	24.0	18.0	13.0
в отдельных квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	12.0	21.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	57.0	33.0	26.0	19.0	17.0
в отдельных квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	12.0	21.0	14.0	11.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	39.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	18.0	45.0	29.0	22.0	16.0	10.0
в отдельных квартирах	17.0	39.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	13.0	18.0	14.0	14.0	15.0	9.0
Челябинская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	43.0	25.0	18.0	15.0	11.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	42.0	24.0	17.0	14.0	11.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	26.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	44.0	26.0	19.0	15.0	11.0
в отдельных квартирах	18.0	42.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	15.0	10.0	9.0	7.0
Сибирский федеральный округ						
Республика Алтай						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	38.0	23.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	16.0	37.0	23.0	17.0	14.0	10.0
в отдельных квартирах	17.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	20.0	14.0	10.0	8.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	37.0	22.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	16.0	38.0	22.0	17.0	13.0	10.0
в отдельных квартирах	18.0	38.0	22.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	20.0	13.0	11.0	8.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	38.0	23.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	16.0	37.0	23.0	17.0	14.0	10.0
в отдельных квартирах	16.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	19.0	15.0	10.0	9.0	9.0
Республика Бурятия						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	42.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	16.0	43.0	24.0	17.0	14.0	10.0
в отдельных квартирах	17.0	41.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	11.0	20.0	14.0	10.0	8.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	41.0	23.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	17.0	43.0	24.0	18.0	14.0	10.0
в отдельных квартирах	17.0	41.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	11.0	22.0	14.0	10.0	8.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	43.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	16.0	43.0	24.0	17.0	14.0	10.0
в отдельных квартирах	17.0	44.0	26.0	18.0	14.0	10.0
в коммунальных квартирах	12.0	16.0	14.0	11.0	10.0	9.0
Республика Тыва						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	14.0	44.0	25.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	12.0	40.0	22.0	16.0	12.0	8.0
в отдельных квартирах	15.0	46.0	26.0	18.0	14.0	10.0
в коммунальных квартирах	9.0	26.0	13.0	9.0	8.0	6.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	44.0	25.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	13.0	42.0	24.0	17.0	13.0	8.0
в отдельных квартирах	16.0	45.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	9.0	25.0	13.0	9.0	8.0	6.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	13.0	43.0	24.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	11.0	37.0	21.0	15.0	12.0	8.0
в отдельных квартирах	14.0	50.0	28.0	19.0	15.0	10.0
в коммунальных квартирах	10.0	31.0	16.0	11.0	9.0	7.0
Республика Хакасия						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	42.0	26.0	19.0	15.0	11.0
в отдельных квартирах	19.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	20.0	13.0	10.0	9.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	44.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	42.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	20.0	12.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	18.0	40.0	24.0	17.0	14.0	10.0
в отдельных квартирах	18.0	43.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	16.0	26.0	19.0	15.0	12.0	9.0
Алтайский край						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	44.0	26.0	19.0	16.0	12.0
в отдельных квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	45.0	26.0	19.0	16.0	12.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	26.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	21.0	43.0	26.0	19.0	15.0	12.0
в отдельных квартирах	20.0	43.0	27.0	19.0	15.0	11.0
в коммунальных квартирах	14.0	21.0	15.0	12.0	10.0	8.0
Красноярский край						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	42.0	24.0	18.0	15.0	11.0
в отдельных квартирах	19.0	41.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	21.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	43.0	25.0	19.0	15.0	11.0
в отдельных квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	21.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	19.0	42.0	24.0	18.0	14.0	10.0
в отдельных квартирах	19.0	44.0	26.0	18.0	14.0	10.0
в коммунальных квартирах	14.0	24.0	15.0	12.0	12.0	9.0
Таймырский (Долгано-Ненецкий) автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	36.0	21.0	16.0	13.0	9.0
в том числе:						
в индивидуальных домах	12.0	25.0	20.0	14.0	10.0	7.0
в отдельных квартирах	17.0	36.0	21.0	16.0	13.0	9.0
в коммунальных квартирах	10.0	12.0	12.0	8.0	4.0	2.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	37.0	22.0	16.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	43.0	18.0	16.0	-	-
в отдельных квартирах	18.0	37.0	22.0	16.0	14.0	11.0
в коммунальных квартирах	12.0	11.0	16.0	8.0	-	-
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	13.0	32.0	19.0	13.0	10.0	7.0
в том числе:						
в индивидуальных домах	12.0	22.0	20.0	14.0	10.0	7.0
в отдельных квартирах	13.0	32.0	19.0	13.0	10.0	7.0
в коммунальных квартирах	8.0	14.0	9.0	-	4.0	2.0
Эвенкийский автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	26.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	39.0	27.0	21.0	17.0	12.0
в отдельных квартирах	19.0	41.0	25.0	18.0	15.0	10.0
в коммунальных квартирах	16.0	48.0	-	14.0	14.0	16.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	26.0	50.0	36.0	25.0	21.0	20.0
в отдельных квартирах	19.0	40.0	25.0	17.0	15.0	11.0
в коммунальных квартирах	17.0	-	-	19.0	-	16.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	26.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	19.0	39.0	26.0	21.0	16.0	11.0
в отдельных квартирах	19.0	42.0	26.0	19.0	15.0	10.0
в коммунальных квартирах	16.0	48.0	-	8.0	14.0	-
Иркутская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	44.0	25.0	18.0	14.0	10.0
в отдельных квартирах	18.0	42.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	24.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	44.0	25.0	18.0	14.0	11.0
в отдельных квартирах	18.0	42.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	24.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	44.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	18.0	44.0	25.0	18.0	14.0	10.0
в отдельных квартирах	17.0	44.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	14.0	29.0	20.0	16.0	12.0	8.0
Усть-Ордынский Бурятский автономный округ						
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	46.0	26.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	17.0	45.0	25.0	18.0	14.0	10.0
в отдельных квартирах	17.0	48.0	27.0	19.0	15.0	11.0
в коммунальных квартирах	11.0	29.0	18.0	10.0	18.0	7.0
Кемеровская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	44.0	25.0	18.0	14.0	10.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	44.0	25.0	18.0	14.0	11.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	19.0	43.0	25.0	18.0	14.0	10.0
в отдельных квартирах	18.0	43.0	25.0	18.0	15.0	11.0
в коммунальных квартирах	13.0	20.0	18.0	13.0	9.0	9.0
Новосибирская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	41.0	24.0	17.0	14.0	11.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	42.0	24.0	18.0	14.0	11.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	19.0	40.0	24.0	17.0	14.0	10.0
в отдельных квартирах	18.0	42.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	14.0	24.0	15.0	11.0	10.0	8.0
Омская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	46.0	27.0	20.0	16.0	12.0
в отдельных квартирах	18.0	41.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	14.0	11.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	48.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	45.0	27.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	20.0	45.0	27.0	20.0	16.0	12.0
в отдельных квартирах	18.0	45.0	27.0	19.0	15.0	11.0
в коммунальных квартирах	12.0	19.0	13.0	11.0	9.0	9.0
Томская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	43.0	25.0	18.0	15.0	11.0
в отдельных квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	22.0	13.0	10.0	10.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	43.0	25.0	19.0	15.0	11.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	22.0	13.0	10.0	10.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	43.0	25.0	18.0	15.0	11.0
в отдельных квартирах	18.0	42.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	13.0	22.0	13.0	10.0	9.0	8.0
Читинская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	41.0	24.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	16.0	39.0	22.0	16.0	13.0	9.0
в отдельных квартирах	18.0	42.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	13.0	20.0	18.0	12.0	10.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	23.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	16.0	38.0	22.0	16.0	13.0	10.0
в отдельных квартирах	18.0	42.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	13.0	20.0	18.0	11.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	41.0	24.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	16.0	40.0	23.0	16.0	13.0	9.0
в отдельных квартирах	16.0	43.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	15.0	21.0	17.0	13.0	11.0	9.0
Агинский Бурятский автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	42.0	24.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	15.0	41.0	25.0	18.0	14.0	10.0
в отдельных квартирах	16.0	44.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	16.0	14.0	11.0	9.0	-
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	42.0	25.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	15.0	40.0	25.0	18.0	14.0	11.0
в отдельных квартирах	16.0	43.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	-	-	-	-	-	-
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	42.0	24.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	14.0	42.0	24.0	18.0	14.0	10.0
в отдельных квартирах	15.0	45.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	16.0	14.0	11.0	9.0	-
Дальневосточный федеральный округ						
Республика Саха (Якутия)						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	18.0	49.0	29.0	22.0	17.0	13.0
в отдельных квартирах	17.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	20.0	14.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	45.0	27.0	21.0	17.0	13.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	20.0	12.0	10.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	44.0	27.0	20.0	16.0	12.0
в том числе:						
