7. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
									
	Городское и сельское			Городское население			Сельское население		
20 - 24	1181.0	649.0	532.0	269.0	167.0	102.0	912.0	482.0	430.0
25 - 29	982.0	545.0	437.0	240.0	148.0	92.0	742.0	397.0	345.0
30 - 34	999.0	541.0	458.0	292.0	173.0	119.0	707.0	368.0	339.0
35 - 39	997.0	571.0	426.0	276.0	171.0	105.0	721.0	400.0	321.0
40 - 44	974.0	551.0	423.0	228.0	138.0	90.0	746.0	413.0	333.0
45 - 49	689.0	412.0	277.0	156.0	105.0	51.0	533.0	307.0	226.0
50 - 54	467.0	260.0	207.0	76.0	47.0	29.0	391.0	213.0	178.0
55 - 59	142.0	87.0	55.0	28.0	21.0	7.0	114.0	66.0	48.0
60 - 64	165.0	98.0	67.0	23.0	17.0	6.0	142.0	81.0	61.0
65 - 69	108.0	68.0	40.0	21.0	14.0	7.0	87.0	54.0	33.0
70 и более	115.0	50.0	65.0	25.0	8.0	17.0	90.0	42.0	48.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	4273.0	2198.0	2075.0	893.0	449.0	444.0	3380.0	1749.0	1631.0
трудоспособном	7540.0	4266.0	3274.0	1850.0	1150.0	700.0	5690.0	3116.0	2574.0
старше трудоспособного	443.0	216.0	227.0	76.0	39.0	37.0	367.0	177.0	190.0
Медианный возраст	   22,8	   23,6	   21,7	   24,2	   26,1	   21,6	   22,4	   22,8	   21,8
Белорусы	12232.0	5357.0	6875.0	8416.0	3728.0	4688.0	3816.0	1629.0	2187.0
 в том числе в возрасте, лет:									
0 - 4	68.0	42.0	26.0	48.0	28.0	20.0	20.0	14.0	6.0
5 - 9	119.0	77.0	42.0	64.0	42.0	22.0	55.0	35.0	20.0
10 - 14	237.0	131.0	106.0	125.0	72.0	53.0	112.0	59.0	53.0
15 - 17	165.0	98.0	67.0	97.0	51.0	46.0	68.0	47.0	21.0
18 - 19	125.0	62.0	63.0	77.0	40.0	37.0	48.0	22.0	26.0
20 - 24	345.0	164.0	181.0	242.0	112.0	130.0	103.0	52.0	51.0
25 - 29	523.0	263.0	260.0	353.0	181.0	172.0	170.0	82.0	88.0
30 - 34	761.0	372.0	389.0	505.0	250.0	255.0	256.0	122.0	134.0
35 - 39	986.0	465.0	521.0	654.0	297.0	357.0	332.0	168.0	164.0
40 - 44	1153.0	557.0	596.0	773.0	359.0	414.0	380.0	198.0	182.0
45 - 49	1099.0	515.0	584.0	763.0	364.0	399.0	336.0	151.0	185.0
50 - 54	1216.0	502.0	714.0	851.0	346.0	505.0	365.0	156.0	209.0
55 - 59	1082.0	389.0	693.0	699.0	265.0	434.0	383.0	124.0	259.0
60 - 64	1517.0	626.0	891.0	1025.0	461.0	564.0	492.0	165.0	327.0
65 - 69	1201.0	502.0	699.0	892.0	389.0	503.0	309.0	113.0	196.0
70 и более	1633.0	591.0	1042.0	1246.0	470.0	776.0	387.0	121.0	266.0
возраст не указан	2.0	1.0	1.0	2.0	1.0	1.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	478.0	279.0	199.0	267.0	156.0	111.0	211.0	123.0	88.0
трудоспособном	6708.0	3358.0	3350.0	4550.0	2251.0	2299.0	2158.0	1107.0	1051.0
старше трудоспособного	5044.0	1719.0	3325.0	3597.0	1320.0	2277.0	1447.0	399.0	1048.0
Медианный возраст	   52,2	   49,2	   54,2	   53,0	   51,0	   54,3	   50,4	   45,4	   53,9
Чуваши	8439.0	3317.0	5122.0	3235.0	1370.0	1865.0	5204.0	1947.0	3257.0
 в том числе в возрасте, лет:									
0 - 4	87.0	43.0	44.0	17.0	11.0	6.0	70.0	32.0	38.0
5 - 9	138.0	78.0	60.0	24.0	16.0	8.0	114.0	62.0	52.0
10 - 14	249.0	128.0	121.0	47.0	23.0	24.0	202.0	105.0	97.0
15 - 17	207.0	97.0	110.0	44.0	23.0	21.0	163.0	74.0	89.0
18 - 19	181.0	114.0	67.0	109.0	87.0	22.0	72.0	27.0	45.0
20 - 24	458.0	267.0	191.0	196.0	134.0	62.0	262.0	133.0	129.0
25 - 29	499.0	258.0	241.0	190.0	99.0	91.0	309.0	159.0	150.0
30 - 34	632.0	269.0	363.0	236.0	97.0	139.0	396.0	172.0	224.0
35 - 39	772.0	347.0	425.0	303.0	119.0	184.0	469.0	228.0	241.0
40 - 44	835.0	333.0	502.0	319.0	128.0	191.0	516.0	205.0	311.0
45 - 49	807.0	283.0	524.0	328.0	118.0	210.0	479.0	165.0	314.0
50 - 54	902.0	266.0	636.0	406.0	122.0	284.0	496.0	144.0	352.0
55 - 59	620.0	183.0	437.0	227.0	77.0	150.0	393.0	106.0	287.0
60 - 64	920.0	299.0	621.0	315.0	117.0	198.0	605.0	182.0	423.0
65 - 69	561.0	193.0	368.0	214.0	101.0	113.0	347.0	92.0	255.0
70 и более	569.0	157.0	412.0	259.0	97.0	162.0	310.0	60.0	250.0
возраст не указан	2.0	2.0	-	1.0	1.0	-	1.0	1.0	-
Из общей численности - население в возрасте:									
моложе трудоспособного	548.0	287.0	261.0	105.0	59.0	46.0	443.0	228.0	215.0
трудоспособном	5402.0	2379.0	3023.0	2191.0	995.0	1196.0	3211.0	1384.0	1827.0
старше трудоспособного	2487.0	649.0	1838.0	938.0	315.0	623.0	1549.0	334.0	1215.0
Медианный возраст	   45,9	   40,8	   49,2	   46,8	   43,2	   49,4	   45,3	   39,5	   49,1
Марийцы	6028.0	2311.0	3717.0	1716.0	663.0	1053.0	4312.0	1648.0	2664.0
 в том числе в возрасте, лет:									
0 - 4	88.0	47.0	41.0	22.0	11.0	11.0	66.0	36.0	30.0
5 - 9	100.0	48.0	52.0	17.0	8.0	9.0	83.0	40.0	43.0
10 - 14	203.0	108.0	95.0	36.0	17.0	19.0	167.0	91.0	76.0
15 - 17	179.0	85.0	94.0	39.0	18.0	21.0	140.0	67.0	73.0
18 - 19	139.0	75.0	64.0	48.0	33.0	15.0	91.0	42.0	49.0
20 - 24	346.0	178.0	168.0	114.0	71.0	43.0	232.0	107.0	125.0
25 - 29	385.0	185.0	200.0	90.0	35.0	55.0	295.0	150.0	145.0
30 - 34	426.0	193.0	233.0	129.0	46.0	83.0	297.0	147.0	150.0
35 - 39	658.0	289.0	369.0	214.0	87.0	127.0	444.0	202.0	242.0
40 - 44	767.0	300.0	467.0	251.0	102.0	149.0	516.0	198.0	318.0
45 - 49	711.0	246.0	465.0	239.0	73.0	166.0	472.0	173.0	299.0
50 - 54	585.0	176.0	409.0	162.0	45.0	117.0	423.0	131.0	292.0
55 - 59	313.0	87.0	226.0	81.0	23.0	58.0	232.0	64.0	168.0
60 - 64	482.0	143.0	339.0	126.0	49.0	77.0	356.0	94.0	262.0
65 - 69	274.0	73.0	201.0	56.0	21.0	35.0	218.0	52.0	166.0
70 и более	372.0	78.0	294.0	92.0	24.0	68.0	280.0	54.0	226.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	454.0	233.0	221.0	84.0	40.0	44.0	370.0	193.0	177.0
трудоспособном	4220.0	1784.0	2436.0	1300.0	529.0	771.0	2920.0	1255.0	1665.0
старше трудоспособного	1354.0	294.0	1060.0	332.0	94.0	238.0	1022.0	200.0	822.0
Медианный возраст	   43,4	   39,1	   45,8	   43,2	   40,3	   44,8	   43,4	   38,6	   46,3
Ростовская область									
Русские	3934835.0	1815465.0	2119370.0	2709386.0	1233038.0	1476348.0	1225449.0	582427.0	643022.0
 в том числе в возрасте, лет:									
0 - 4	157969.0	80970.0	76999.0	100565.0	51390.0	49175.0	57404.0	29580.0	27824.0
5 - 9	179522.0	91653.0	87869.0	112997.0	57808.0	55189.0	66525.0	33845.0	32680.0
10 - 14	267137.0	136000.0	131137.0	172128.0	87485.0	84643.0	95009.0	48515.0	46494.0
15 - 17	208896.0	105708.0	103188.0	145311.0	72671.0	72640.0	63585.0	33037.0	30548.0
18 - 19	153851.0	78081.0	75770.0	114860.0	57298.0	57562.0	38991.0	20783.0	18208.0
20 - 24	317110.0	158133.0	158977.0	232856.0	114563.0	118293.0	84254.0	43570.0	40684.0
25 - 29	276114.0	136870.0	139244.0	198325.0	97792.0	100533.0	77789.0	39078.0	38711.0
30 - 34	252684.0	124317.0	128367.0	178431.0	86970.0	91461.0	74253.0	37347.0	36906.0
35 - 39	262346.0	126155.0	136191.0	178628.0	84096.0	94532.0	83718.0	42059.0	41659.0
40 - 44	324718.0	154479.0	170239.0	223190.0	102717.0	120473.0	101528.0	51762.0	49766.0
45 - 49	300766.0	140962.0	159804.0	210077.0	95486.0	114591.0	90689.0	45476.0	45213.0
50 - 54	270465.0	123902.0	146563.0	192771.0	86017.0	106754.0	77694.0	37885.0	39809.0
55 - 59	146209.0	63614.0	82595.0	105507.0	45356.0	60151.0	40702.0	18258.0	22444.0
60 - 64	255884.0	103847.0	152037.0	171220.0	68212.0	103008.0	84664.0	35635.0	49029.0
65 - 69	191190.0	76014.0	115176.0	128211.0	49482.0	78729.0	62979.0	26532.0	36447.0
70 и более	368774.0	114210.0	254564.0	243367.0	75266.0	168101.0	125407.0	38944.0	86463.0
возраст не указан	1200.0	550.0	650.0	942.0	429.0	513.0	258.0	121.0	137.0
Из общей численности - население в возрасте:									
моложе трудоспособного	672325.0	343102.0	329223.0	430993.0	219606.0	211387.0	241332.0	123496.0	117836.0
трудоспособном	2362867.0	1177742.0	1185125.0	1674502.0	820043.0	854459.0	688365.0	357699.0	330666.0
старше трудоспособного	898443.0	294071.0	604372.0	602949.0	192960.0	409989.0	295494.0	101111.0	194383.0
Медианный возраст	   38,1	   34,8	   40,7	   37,9	   34,4	   40,6	   38,4	   35,7	   40,8
Украинцы	118486.0	48558.0	69928.0	76693.0	31890.0	44803.0	41793.0	16668.0	25125.0
 в том числе в возрасте, лет:									
0 - 4	730.0	399.0	331.0	391.0	229.0	162.0	339.0	170.0	169.0
5 - 9	1278.0	674.0	604.0	697.0	366.0	331.0	581.0	308.0	273.0
10 - 14	2395.0	1229.0	1166.0	1315.0	670.0	645.0	1080.0	559.0	521.0
15 - 17	1812.0	892.0	920.0	1091.0	504.0	587.0	721.0	388.0	333.0
18 - 19	1379.0	672.0	707.0	913.0	431.0	482.0	466.0	241.0	225.0
20 - 24	3860.0	1786.0	2074.0	2420.0	1134.0	1286.0	1440.0	652.0	788.0
25 - 29	5417.0	2383.0	3034.0	3289.0	1461.0	1828.0	2128.0	922.0	1206.0
30 - 34	7366.0	3139.0	4227.0	4678.0	2052.0	2626.0	2688.0	1087.0	1601.0
35 - 39	9112.0	3859.0	5253.0	5741.0	2501.0	3240.0	3371.0	1358.0	2013.0
40 - 44	11891.0	5080.0	6811.0	7456.0	3248.0	4208.0	4435.0	1832.0	2603.0
45 - 49	11258.0	4872.0	6386.0	7472.0	3256.0	4216.0	3786.0	1616.0	2170.0
50 - 54	11687.0	4883.0	6804.0	7864.0	3340.0	4524.0	3823.0	1543.0	2280.0
55 - 59	8301.0	3288.0	5013.0	5326.0	2178.0	3148.0	2975.0	1110.0	1865.0
60 - 64	13038.0	5203.0	7835.0	8393.0	3398.0	4995.0	4645.0	1805.0	2840.0
65 - 69	9624.0	3806.0	5818.0	6226.0	2553.0	3673.0	3398.0	1253.0	2145.0
70 и более	19312.0	6383.0	12929.0	13404.0	4563.0	8841.0	5908.0	1820.0	4088.0
возраст не указан	26.0	10.0	16.0	17.0	6.0	11.0	9.0	4.0	5.0
Из общей численности - население в возрасте:									
моложе трудоспособного	4982.0	2597.0	2385.0	2734.0	1419.0	1315.0	2248.0	1178.0	1070.0
трудоспособном	66491.0	30559.0	35932.0	42771.0	19951.0	22820.0	23720.0	10608.0	13112.0
старше трудоспособного	46987.0	15392.0	31595.0	31171.0	10514.0	20657.0	15816.0	4878.0	10938.0
Медианный возраст	   51,1	   49,2	   52,5	   51,8	   50,1	   53,1	   49,8	   47,4	   51,4
Армяне	109994.0	57832.0	52162.0	67455.0	35777.0	31678.0	42539.0	22055.0	20484.0
 в том числе в возрасте, лет:									
0 - 4	5103.0	2672.0	2431.0	2880.0	1534.0	1346.0	2223.0	1138.0	1085.0
5 - 9	6704.0	3551.0	3153.0	3800.0	2009.0	1791.0	2904.0	1542.0	1362.0
10 - 14	9409.0	4889.0	4520.0	5312.0	2770.0	2542.0	4097.0	2119.0	1978.0
15 - 17	5948.0	3237.0	2711.0	3508.0	1954.0	1554.0	2440.0	1283.0	1157.0
18 - 19	3792.0	1997.0	1795.0	2332.0	1266.0	1066.0	1460.0	731.0	729.0
20 - 24	8387.0	4387.0	4000.0	5180.0	2759.0	2421.0	3207.0	1628.0	1579.0
25 - 29	7812.0	4112.0	3700.0	4953.0	2638.0	2315.0	2859.0	1474.0	1385.0
30 - 34	8261.0	4423.0	3838.0	5247.0	2861.0	2386.0	3014.0	1562.0	1452.0
35 - 39	9293.0	5127.0	4166.0	5643.0	3137.0	2506.0	3650.0	1990.0	1660.0
40 - 44	10119.0	5642.0	4477.0	6246.0	3504.0	2742.0	3873.0	2138.0	1735.0
45 - 49	8243.0	4582.0	3661.0	5243.0	2906.0	2337.0	3000.0	1676.0	1324.0
50 - 54	6246.0	3410.0	2836.0	4006.0	2181.0	1825.0	2240.0	1229.0	1011.0
55 - 59	3209.0	1719.0	1490.0	2206.0	1198.0	1008.0	1003.0	521.0	482.0
60 - 64	5237.0	2684.0	2553.0	3182.0	1648.0	1534.0	2055.0	1036.0	1019.0
65 - 69	4215.0	2079.0	2136.0	2631.0	1261.0	1370.0	1584.0	818.0	766.0
70 и более	7981.0	3304.0	4677.0	5060.0	2137.0	2923.0	2921.0	1167.0	1754.0
возраст не указан	35.0	17.0	18.0	26.0	14.0	12.0	9.0	3.0	6.0
Из общей численности - население в возрасте:									
моложе трудоспособного	23211.0	12188.0	11023.0	13159.0	6938.0	6221.0	10052.0	5250.0	4802.0
трудоспособном	67825.0	37560.0	30265.0	42389.0	23779.0	18610.0	25436.0	13781.0	11655.0
старше трудоспособного	18923.0	8067.0	10856.0	11881.0	5046.0	6835.0	7042.0	3021.0	4021.0
Медианный возраст	   34,8	   34,6	   34,9	   35,5	   35,2	   35,9	   33,4	   33,6	   33,3
Белорусы	26604.0	10911.0	15693.0	14662.0	6335.0	8327.0	11942.0	4576.0	7366.0
 в том числе в возрасте, лет:									
0 - 4	152.0	69.0	83.0	72.0	29.0	43.0	80.0	40.0	40.0
5 - 9	222.0	118.0	104.0	126.0	70.0	56.0	96.0	48.0	48.0
10 - 14	408.0	198.0	210.0	219.0	109.0	110.0	189.0	89.0	100.0
15 - 17	374.0	187.0	187.0	201.0	93.0	108.0	173.0	94.0	79.0
18 - 19	228.0	122.0	106.0	124.0	65.0	59.0	104.0	57.0	47.0
20 - 24	764.0	393.0	371.0	429.0	211.0	218.0	335.0	182.0	153.0
25 - 29	1037.0	508.0	529.0	547.0	276.0	271.0	490.0	232.0	258.0
30 - 34	1407.0	685.0	722.0	780.0	387.0	393.0	627.0	298.0	329.0
35 - 39	1963.0	924.0	1039.0	1101.0	517.0	584.0	862.0	407.0	455.0
40 - 44	2609.0	1216.0	1393.0	1453.0	677.0	776.0	1156.0	539.0	617.0
45 - 49	2469.0	1068.0	1401.0	1356.0	584.0	772.0	1113.0	484.0	629.0
50 - 54	2549.0	1027.0	1522.0	1427.0	599.0	828.0	1122.0	428.0	694.0
55 - 59	2408.0	811.0	1597.0	1201.0	486.0	715.0	1207.0	325.0	882.0
60 - 64	3542.0	1230.0	2312.0	1850.0	722.0	1128.0	1692.0	508.0	1184.0
65 - 69	2860.0	1154.0	1706.0	1615.0	703.0	912.0	1245.0	451.0	794.0
70 и более	3608.0	1197.0	2411.0	2159.0	805.0	1354.0	1449.0	392.0	1057.0
возраст не указан	4.0	4.0	-	2.0	2.0	-	2.0	2.0	-
Из общей численности - население в возрасте:									
моложе трудоспособного	913.0	449.0	464.0	482.0	239.0	243.0	431.0	210.0	221.0
трудоспособном	14080.0	6877.0	7203.0	7839.0	3864.0	3975.0	6241.0	3013.0	3228.0
старше трудоспособного	11607.0	3581.0	8026.0	6339.0	2230.0	4109.0	5268.0	1351.0	3917.0
Медианный возраст	   53,3	   49,8	   55,5	   53,3	   51,3	   54,7	   53,4	   48,0	   56,5
Азербайджанцы	16498.0	10009.0	6489.0	11014.0	6906.0	4108.0	5484.0	3103.0	2381.0
 в том числе в возрасте, лет:									
0 - 4	1159.0	627.0	532.0	805.0	438.0	367.0	354.0	189.0	165.0
5 - 9	1534.0	847.0	687.0	1060.0	596.0	464.0	474.0	251.0	223.0
10 - 14	1805.0	973.0	832.0	1160.0	641.0	519.0	645.0	332.0	313.0
15 - 17	911.0	513.0	398.0	575.0	333.0	242.0	336.0	180.0	156.0
18 - 19	507.0	279.0	228.0	305.0	176.0	129.0	202.0	103.0	99.0
20 - 24	1158.0	649.0	509.0	773.0	437.0	336.0	385.0	212.0	173.0
25 - 29	1183.0	614.0	569.0	809.0	424.0	385.0	374.0	190.0	184.0
30 - 34	1717.0	1012.0	705.0	1190.0	718.0	472.0	527.0	294.0	233.0
35 - 39	2097.0	1403.0	694.0	1466.0	1039.0	427.0	631.0	364.0	267.0
40 - 44	1855.0	1258.0	597.0	1241.0	890.0	351.0	614.0	368.0	246.0
45 - 49	1089.0	775.0	314.0	705.0	532.0	173.0	384.0	243.0	141.0
50 - 54	557.0	416.0	141.0	359.0	281.0	78.0	198.0	135.0	63.0
55 - 59	210.0	150.0	60.0	132.0	101.0	31.0	78.0	49.0	29.0
60 - 64	286.0	214.0	72.0	173.0	128.0	45.0	113.0	86.0	27.0
65 - 69	220.0	143.0	77.0	128.0	85.0	43.0	92.0	58.0	34.0
70 и более	209.0	136.0	73.0	132.0	87.0	45.0	77.0	49.0	28.0
возраст не указан	1.0	-	1.0	1.0	-	1.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	4810.0	2622.0	2188.0	3226.0	1790.0	1436.0	1584.0	832.0	752.0
трудоспособном	10912.0	6894.0	4018.0	7323.0	4816.0	2507.0	3589.0	2078.0	1511.0
старше трудоспособного	775.0	493.0	282.0	464.0	300.0	164.0	311.0	193.0	118.0
Медианный возраст	   30,0	   32,7	   25,5	   30,1	   33,1	   25,0	   29,6	   31,8	   26,8
Чеченцы	15469.0	8341.0	7128.0	1914.0	1217.0	697.0	13555.0	7124.0	6431.0
 в том числе в возрасте, лет:									
0 - 4	1419.0	737.0	682.0	136.0	67.0	69.0	1283.0	670.0	613.0
5 - 9	1477.0	789.0	688.0	147.0	81.0	66.0	1330.0	708.0	622.0
10 - 14	1902.0	979.0	923.0	139.0	81.0	58.0	1763.0	898.0	865.0
15 - 17	1179.0	662.0	517.0	137.0	97.0	40.0	1042.0	565.0	477.0
18 - 19	733.0	363.0	370.0	109.0	67.0	42.0	624.0	296.0	328.0
20 - 24	1658.0	885.0	773.0	227.0	135.0	92.0	1431.0	750.0	681.0
25 - 29	1267.0	719.0	548.0	160.0	119.0	41.0	1107.0	600.0	507.0
30 - 34	1128.0	603.0	525.0	190.0	122.0	68.0	938.0	481.0	457.0
35 - 39	1168.0	663.0	505.0	215.0	154.0	61.0	953.0	509.0	444.0
40 - 44	1214.0	666.0	548.0	167.0	112.0	55.0	1047.0	554.0	493.0
45 - 49	932.0	525.0	407.0	99.0	66.0	33.0	833.0	459.0	374.0
50 - 54	591.0	329.0	262.0	81.0	56.0	25.0	510.0	273.0	237.0
55 - 59	187.0	108.0	79.0	23.0	15.0	8.0	164.0	93.0	71.0
60 - 64	259.0	138.0	121.0	34.0	17.0	17.0	225.0	121.0	104.0
65 - 69	173.0	97.0	76.0	20.0	11.0	9.0	153.0	86.0	67.0
70 и более	179.0	76.0	103.0	28.0	15.0	13.0	151.0	61.0	90.0
возраст не указан	3.0	2.0	1.0	2.0	2.0	-	1.0	-	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	5187.0	2711.0	2476.0	446.0	243.0	203.0	4741.0	2468.0	2273.0
трудоспособном	9589.0	5317.0	4272.0	1376.0	929.0	447.0	8213.0	4388.0	3825.0
старше трудоспособного	690.0	311.0	379.0	90.0	43.0	47.0	600.0	268.0	332.0
Медианный возраст	   22,9	   23,4	   22,4	   26,8	   28,2	   23,7	   22,5	   22,7	   22,2
Цыгане	15138.0	7449.0	7689.0	7803.0	3841.0	3962.0	7335.0	3608.0	3727.0
 в том числе в возрасте, лет:									
0 - 4	1543.0	790.0	753.0	812.0	425.0	387.0	731.0	365.0	366.0
5 - 9	1664.0	842.0	822.0	837.0	424.0	413.0	827.0	418.0	409.0
10 - 14	1884.0	933.0	951.0	956.0	477.0	479.0	928.0	456.0	472.0
15 - 17	1096.0	521.0	575.0	559.0	252.0	307.0	537.0	269.0	268.0
18 - 19	650.0	311.0	339.0	332.0	144.0	188.0	318.0	167.0	151.0
20 - 24	1517.0	751.0	766.0	764.0	366.0	398.0	753.0	385.0	368.0
25 - 29	1309.0	658.0	651.0	685.0	356.0	329.0	624.0	302.0	322.0
30 - 34	1133.0	580.0	553.0	581.0	314.0	267.0	552.0	266.0	286.0
35 - 39	1011.0	477.0	534.0	516.0	242.0	274.0	495.0	235.0	260.0
40 - 44	929.0	479.0	450.0	473.0	245.0	228.0	456.0	234.0	222.0
45 - 49	761.0	363.0	398.0	401.0	187.0	214.0	360.0	176.0	184.0
50 - 54	577.0	275.0	302.0	315.0	149.0	166.0	262.0	126.0	136.0
55 - 59	317.0	149.0	168.0	177.0	83.0	94.0	140.0	66.0	74.0
60 - 64	295.0	140.0	155.0	148.0	74.0	74.0	147.0	66.0	81.0
65 - 69	195.0	83.0	112.0	106.0	45.0	61.0	89.0	38.0	51.0
70 и более	250.0	94.0	156.0	137.0	56.0	81.0	113.0	38.0	75.0
возраст не указан	7.0	3.0	4.0	4.0	2.0	2.0	3.0	1.0	2.0
Из общей численности - население в возрасте:									
моложе трудоспособного	5467.0	2732.0	2735.0	2786.0	1407.0	1379.0	2681.0	1325.0	1356.0
трудоспособном	8756.0	4397.0	4359.0	4528.0	2257.0	2271.0	4228.0	2140.0	2088.0
старше трудоспособного	908.0	317.0	591.0	485.0	175.0	310.0	423.0	142.0	281.0
Медианный возраст	   22,4	   22,2	   22,6	   22,7	   22,7	   22,6	   22,2	   21,7	   22,6
Корейцы	11669.0	5985.0	5684.0	7190.0	3649.0	3541.0	4479.0	2336.0	2143.0
 в том числе в возрасте, лет:									
0 - 4	590.0	309.0	281.0	366.0	192.0	174.0	224.0	117.0	107.0
5 - 9	666.0	359.0	307.0	388.0	207.0	181.0	278.0	152.0	126.0
10 - 14	890.0	475.0	415.0	523.0	268.0	255.0	367.0	207.0	160.0
15 - 17	641.0	328.0	313.0	377.0	201.0	176.0	264.0	127.0	137.0
18 - 19	409.0	226.0	183.0	253.0	139.0	114.0	156.0	87.0	69.0
20 - 24	1139.0	592.0	547.0	802.0	412.0	390.0	337.0	180.0	157.0
25 - 29	1044.0	544.0	500.0	710.0	362.0	348.0	334.0	182.0	152.0
30 - 34	939.0	502.0	437.0	676.0	365.0	311.0	263.0	137.0	126.0
35 - 39	796.0	412.0	384.0	510.0	271.0	239.0	286.0	141.0	145.0
40 - 44	1014.0	530.0	484.0	592.0	296.0	296.0	422.0	234.0	188.0
45 - 49	1017.0	518.0	499.0	549.0	270.0	279.0	468.0	248.0	220.0
50 - 54	889.0	449.0	440.0	503.0	250.0	253.0	386.0	199.0	187.0
55 - 59	470.0	236.0	234.0	271.0	116.0	155.0	199.0	120.0	79.0
60 - 64	340.0	157.0	183.0	203.0	94.0	109.0	137.0	63.0	74.0
65 - 69	311.0	132.0	179.0	177.0	76.0	101.0	134.0	56.0	78.0
70 и более	512.0	215.0	297.0	289.0	129.0	160.0	223.0	86.0	137.0
возраст не указан	2.0	1.0	1.0	1.0	1.0	-	1.0	-	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	2351.0	1248.0	1103.0	1391.0	728.0	663.0	960.0	520.0	440.0
трудоспособном	7919.0	4232.0	3687.0	4974.0	2621.0	2353.0	2945.0	1611.0	1334.0
старше трудоспособного	1397.0	504.0	893.0	824.0	299.0	525.0	573.0	205.0	368.0
Медианный возраст	   32,3	   31,4	   33,3	   31,2	   30,5	   32,1	   35,3	   34,2	   36,4
Молдаване	7599.0	3709.0	3890.0	3932.0	2006.0	1926.0	3667.0	1703.0	1964.0
 в том числе в возрасте, лет:									
0 - 4	228.0	106.0	122.0	115.0	58.0	57.0	113.0	48.0	65.0
5 - 9	294.0	149.0	145.0	161.0	78.0	83.0	133.0	71.0	62.0
10 - 14	421.0	202.0	219.0	203.0	99.0	104.0	218.0	103.0	115.0
15 - 17	264.0	127.0	137.0	124.0	56.0	68.0	140.0	71.0	69.0
18 - 19	174.0	66.0	108.0	91.0	34.0	57.0	83.0	32.0	51.0
20 - 24	414.0	192.0	222.0	188.0	93.0	95.0	226.0	99.0	127.0
25 - 29	511.0	232.0	279.0	238.0	122.0	116.0	273.0	110.0	163.0
30 - 34	702.0	318.0	384.0	340.0	158.0	182.0	362.0	160.0	202.0
35 - 39	763.0	338.0	425.0	379.0	167.0	212.0	384.0	171.0	213.0
40 - 44	872.0	394.0	478.0	429.0	191.0	238.0	443.0	203.0	240.0
45 - 49	730.0	359.0	371.0	380.0	190.0	190.0	350.0	169.0	181.0
50 - 54	595.0	293.0	302.0	292.0	144.0	148.0	303.0	149.0	154.0
55 - 59	252.0	115.0	137.0	132.0	69.0	63.0	120.0	46.0	74.0
60 - 64	360.0	192.0	168.0	186.0	105.0	81.0	174.0	87.0	87.0
65 - 69	469.0	293.0	176.0	307.0	208.0	99.0	162.0	85.0	77.0
70 и более	549.0	333.0	216.0	366.0	234.0	132.0	183.0	99.0	84.0
возраст не указан	1.0	-	1.0	1.0	-	1.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	1036.0	497.0	539.0	522.0	255.0	267.0	514.0	242.0	272.0
трудоспособном	5047.0	2394.0	2653.0	2487.0	1204.0	1283.0	2560.0	1190.0	1370.0
старше трудоспособного	1515.0	818.0	697.0	922.0	547.0	375.0	593.0	271.0	322.0
Медианный возраст	   40,1	   41,5	   38,9	   41,4	   43,4	   39,7	   38,7	   39,6	   38,0
Турки-месхетинцы	327.0	217.0	110.0	126.0	80.0	46.0	201.0	137.0	64.0
 в том числе в возрасте, лет:									
0 - 4	26.0	15.0	11.0	5.0	1.0	4.0	21.0	14.0	7.0
5 - 9	34.0	22.0	12.0	13.0	8.0	5.0	21.0	14.0	7.0
10 - 14	42.0	26.0	16.0	16.0	9.0	7.0	26.0	17.0	9.0
15 - 17	31.0	25.0	6.0	17.0	14.0	3.0	14.0	11.0	3.0
18 - 19	11.0	9.0	2.0	8.0	7.0	1.0	3.0	2.0	1.0
20 - 24	24.0	14.0	10.0	6.0	4.0	2.0	18.0	10.0	8.0
25 - 29	24.0	14.0	10.0	9.0	4.0	5.0	15.0	10.0	5.0
30 - 34	27.0	19.0	8.0	11.0	7.0	4.0	16.0	12.0	4.0
35 - 39	34.0	23.0	11.0	19.0	13.0	6.0	15.0	10.0	5.0
40 - 44	27.0	18.0	9.0	4.0	3.0	1.0	23.0	15.0	8.0
45 - 49	17.0	12.0	5.0	9.0	5.0	4.0	8.0	7.0	1.0
50 - 54	7.0	5.0	2.0	1.0	1.0	-	6.0	4.0	2.0
55 - 59	-	-	-	-	-	-	-	-	-
60 - 64	12.0	8.0	4.0	4.0	3.0	1.0	8.0	5.0	3.0
65 - 69	5.0	3.0	2.0	1.0	-	1.0	4.0	3.0	1.0
