11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
 6 – 9	110721.0	49.0	7532.0	29982.0	42702.0	30456.0
10 – 14 	208582.0	275.0	16246.0	54775.0	83713.0	53573.0
15 – 17 	154980.0	5540.0	14513.0	41593.0	56762.0	36572.0
18 – 24	298146.0	17473.0	45108.0	86530.0	83208.0	65827.0
25 – 34 	393545.0	17589.0	56587.0	139745.0	109714.0	69910.0
35 – 44 	419595.0	20622.0	63337.0	125750.0	142665.0	67221.0
45 – 54	425499.0	34267.0	119624.0	126799.0	86949.0	57860.0
55 – 64	243453.0	39362.0	106187.0	48748.0	25962.0	23194.0
65 и более	338879.0	96086.0	141465.0	47267.0	27205.0	26856.0
возраст не указан	2874.0	628.0	705.0	631.0	538.0	372.0
Коми–Пермяцкий автономный округ						
Все население	134840.0	11831.0	26316.0	31095.0	34472.0	31126.0
в том числе в возрасте, лет:						
 0 – 3	6182.0	-	146.0	1201.0	2074.0	2761.0
 4 – 5	3119.0	1.0	105.0	588.0	1172.0	1253.0
 6 – 9	6736.0	1.0	253.0	1244.0	2655.0	2583.0
10 – 14 	12130.0	22.0	570.0	2666.0	4684.0	4188.0
15 – 17 	8490.0	1246.0	554.0	1764.0	2495.0	2431.0
18 – 24	11946.0	792.0	1291.0	3115.0	3131.0	3617.0
25 – 34 	17034.0	625.0	1867.0	4791.0	5600.0	4151.0
35 – 44 	21925.0	1160.0	3436.0	5875.0	6885.0	4569.0
45 – 54	19960.0	1678.0	6249.0	5544.0	3543.0	2946.0
55 – 64	9797.0	1523.0	4507.0	1896.0	914.0	957.0
65 и более	17508.0	4780.0	7336.0	2408.0	1317.0	1667.0
возраст не указан	13.0	3.0	2.0	3.0	2.0	3.0
Самарская область						
Все население	3190241.0	255677.0	674666.0	914154.0	842300.0	503444.0
в том числе в возрасте, лет:						
 0 – 3	100829.0	42.0	3733.0	31997.0	32788.0	32269.0
 4 – 5	50855.0	29.0	2924.0	16201.0	17823.0	13878.0
 6 – 9	118412.0	70.0	8280.0	35455.0	45415.0	29192.0
10 – 14 	216413.0	176.0	17229.0	61150.0	91070.0	46788.0
15 – 17 	163055.0	2997.0	15692.0	47348.0	65216.0	31802.0
18 – 24	343851.0	16511.0	53004.0	104087.0	104292.0	65957.0
25 – 34 	466298.0	20159.0	69020.0	172925.0	123092.0	81102.0
35 – 44 	489861.0	21138.0	71253.0	157484.0	172211.0	67775.0
45 – 54	497388.0	34693.0	126122.0	154743.0	115183.0	66647.0
55 – 64	325438.0	48186.0	135876.0	70010.0	38215.0	33151.0
65 и более	415438.0	111185.0	170996.0	62218.0	36517.0	34522.0
возраст не указан	2403.0	491.0	537.0	536.0	478.0	361.0
Саратовская область						
Все население	2625284.0	233019.0	593622.0	743766.0	661740.0	393137.0
в том числе в возрасте, лет:						
 0 – 3	84572.0	14.0	3224.0	27496.0	28053.0	25785.0
 4 – 5	43371.0	6.0	2449.0	13681.0	15803.0	11432.0
 6 – 9	98735.0	25.0	6787.0	29336.0	38760.0	23827.0
10 – 14 	185617.0	152.0	14521.0	52452.0	76774.0	41718.0
15 – 17 	137601.0	7537.0	13513.0	38830.0	50458.0	27263.0
18 – 24	278513.0	20110.0	45306.0	84290.0	76632.0	52175.0
25 – 34 	358323.0	15102.0	52988.0	135585.0	97884.0	56764.0
35 – 44 	409402.0	18729.0	62800.0	133063.0	138398.0	56412.0
45 – 54	389349.0	29560.0	112424.0	120409.0	79595.0	47361.0
55 – 64	281047.0	43813.0	126009.0	56980.0	29867.0	24378.0
65 и более	357959.0	97809.0	153368.0	51431.0	29381.0	25970.0
возраст не указан	795.0	162.0	233.0	213.0	135.0	52.0
Ульяновская область						
Все население	1362434.0	113650.0	297682.0	389613.0	367428.0	194061.0
в том числе в возрасте, лет:						
 0 – 3	42736.0	1.0	1430.0	13901.0	14296.0	13108.0
 4 – 5	21887.0	2.0	1162.0	6912.0	8269.0	5542.0
 6 – 9	52188.0	14.0	3366.0	15313.0	21542.0	11953.0
10 – 14 	102556.0	54.0	7318.0	29138.0	45844.0	20202.0
15 – 17 	74019.0	1329.0	6468.0	21664.0	31177.0	13381.0
18 – 24	136006.0	6186.0	20108.0	42581.0	42072.0	25059.0
25 – 34 	177636.0	6980.0	24140.0	68789.0	49597.0	28130.0
35 – 44 	225944.0	9548.0	31615.0	73821.0	83415.0	27545.0
45 – 54	212908.0	15419.0	60842.0	67352.0	45061.0	24234.0
55 – 64	131429.0	20267.0	60809.0	25943.0	12904.0	11506.0
65 и более	185105.0	53845.0	80422.0	24194.0	13247.0	13397.0
возраст не указан	20.0	5.0	2.0	5.0	4.0	4.0
Уральский федеральный округ						
Все население	12169995.0	1001122.0	2601268.0	3432219.0	3204224.0	1931162.0
в том числе в возрасте, лет:						
 0 – 3	461921.0	112.0	18895.0	149787.0	154543.0	138584.0
 4 – 5	226135.0	53.0	13833.0	71420.0	82081.0	58748.0
 6 – 9	486135.0	155.0	34743.0	142654.0	191538.0	117045.0
10 – 14 	912917.0	697.0	73400.0	250586.0	379689.0	208545.0
15 – 17 	680826.0	13425.0	64951.0	191317.0	262561.0	148572.0
18 – 24	1377196.0	72885.0	224088.0	412543.0	385599.0	282081.0
25 – 34 	1771237.0	87776.0	268049.0	658075.0	480637.0	276700.0
35 – 44 	1936954.0	98141.0	289466.0	594525.0	674222.0	280600.0
45 – 54	1893577.0	153071.0	543671.0	572535.0	387129.0	237171.0
55 – 64	1033888.0	173580.0	469681.0	202220.0	102134.0	86273.0
65 и более	1375339.0	398832.0	597621.0	183200.0	101279.0	94407.0
возраст не указан	13870.0	2395.0	2870.0	3357.0	2812.0	2436.0
Курганская область						
Все население	1005735.0	86555.0	236236.0	278652.0	251120.0	153172.0
в том числе в возрасте, лет:						
 0 – 3	37818.0	2.0	1307.0	12225.0	12818.0	11466.0
 4 – 5	17641.0	1.0	918.0	5286.0	6660.0	4776.0
 6 – 9	39073.0	2.0	2421.0	10852.0	15986.0	9812.0
10 – 14 	77557.0	27.0	5353.0	20790.0	32521.0	18866.0
15 – 17 	55605.0	848.0	5096.0	16004.0	20697.0	12960.0
18 – 24	102916.0	4622.0	16642.0	33403.0	27782.0	20467.0
25 – 34 	129931.0	5179.0	17668.0	48891.0	38108.0	20085.0
35 – 44 	152660.0	6341.0	23336.0	48105.0	52203.0	22675.0
45 – 54	156045.0	12176.0	50873.0	47836.0	27948.0	17212.0
55 – 64	95696.0	15820.0	48109.0	17612.0	7643.0	6512.0
65 и более	140724.0	41526.0	64492.0	17627.0	8744.0	8335.0
возраст не указан	69.0	11.0	21.0	21.0	10.0	6.0
Свердловская область						
Все население	4395139.0	417718.0	1023334.0	1255131.0	1088240.0	610716.0
в том числе в возрасте, лет:						
 0 – 3	153411.0	60.0	7428.0	52287.0	50073.0	43563.0
 4 – 5	74589.0	31.0	5285.0	25266.0	25924.0	18083.0
 6 – 9	161685.0	76.0	13570.0	51006.0	61012.0	36021.0
10 – 14 	300739.0	299.0	28119.0	87630.0	121823.0	62868.0
15 – 17 	235530.0	5466.0	25536.0	69078.0	89762.0	45688.0
18 – 24	496993.0	29460.0	87129.0	152734.0	138878.0	88792.0
25 – 34 	624787.0	33767.0	103050.0	239208.0	159922.0	88840.0
35 – 44 	659120.0	36367.0	105795.0	209036.0	222683.0	85239.0
45 – 54	692263.0	60535.0	204566.0	211161.0	138804.0	77197.0
55 – 64	411328.0	73766.0	188542.0	80322.0	38741.0	29957.0
65 и более	580944.0	177122.0	253504.0	76495.0	39881.0	33942.0
возраст не указан	3750.0	769.0	810.0	908.0	737.0	526.0
Тюменская область						
Все население	3227900.0	199073.0	554116.0	914832.0	932216.0	627663.0
в том числе в возрасте, лет:						
 0 – 3	142425.0	30.0	4798.0	43136.0	48068.0	46393.0
 4 – 5	70810.0	9.0	3630.0	21051.0	26340.0	19780.0
 6 – 9	149310.0	40.0	8887.0	41057.0	60342.0	38984.0
10 – 14 	275165.0	166.0	18778.0	72371.0	115568.0	68282.0
15 – 17 	195847.0	3266.0	15822.0	52624.0	75620.0	48515.0
18 – 24	380710.0	19886.0	55128.0	105368.0	104602.0	95726.0
25 – 34 	522229.0	27370.0	72437.0	184815.0	145233.0	92374.0
35 – 44 	596739.0	30935.0	82044.0	178406.0	208674.0	96680.0
45 – 54	501699.0	38196.0	133708.0	148101.0	105733.0	75961.0
55 – 64	192526.0	29416.0	79770.0	38579.0	22167.0	22594.0
65 и более	192194.0	48512.0	77476.0	27388.0	18174.0	20644.0
возраст не указан	8246.0	1247.0	1638.0	1936.0	1695.0	1730.0
Ханты-Мансийский автономный округ - Югра						
Все население	1421350.0	70499.0	213026.0	414699.0	439020.0	284106.0
в том числе в возрасте, лет:						
 0 – 3	66711.0	21.0	2103.0	19895.0	23348.0	21344.0
 4 – 5	32963.0	3.0	1630.0	10069.0	12595.0	8666.0
 6 – 9	68976.0	10.0	3921.0	19605.0	28776.0	16664.0
10 – 14 	125048.0	53.0	8188.0	33713.0	54379.0	28715.0
15 – 17 	84581.0	361.0	6150.0	23608.0	34737.0	19725.0
18 – 24	164593.0	5765.0	21063.0	45655.0	48489.0	43621.0
25 – 34 	249557.0	13132.0	33748.0	87998.0	69568.0	45111.0
35 – 44 	285531.0	14861.0	37690.0	85854.0	101373.0	45753.0
45 – 54	226402.0	16521.0	56643.0	66492.0	49808.0	36938.0
55 – 64	71052.0	10188.0	27127.0	14448.0	9449.0	9840.0
65 и более	42924.0	9174.0	14382.0	6818.0	5768.0	6782.0
возраст не указан	3012.0	410.0	381.0	544.0	730.0	947.0
Ямало-Ненецкий автономный округ						
Все население	502691.0	28106.0	78410.0	153525.0	145252.0	97398.0
в том числе в возрасте, лет:						
 0 – 3	25119.0	5.0	834.0	7627.0	8541.0	8112.0
 4 – 5	13196.0	1.0	619.0	4015.0	4740.0	3821.0
 6 – 9	28355.0	16.0	1631.0	8071.0	10870.0	7767.0
10 – 14 	47769.0	28.0	3274.0	13674.0	19091.0	11702.0
15 – 17 	28814.0	305.0	2186.0	8489.0	10786.0	7048.0
18 – 24	52141.0	2550.0	7490.0	15467.0	13938.0	12696.0
25 – 34 	91527.0	5650.0	12749.0	33713.0	24547.0	14868.0
35 – 44 	103159.0	6698.0	15318.0	32518.0	33609.0	15016.0
45 – 54	81878.0	7582.0	24113.0	24109.0	14941.0	11133.0
55 – 64	21440.0	3502.0	7733.0	4259.0	2671.0	3275.0
65 и более	8227.0	1575.0	2220.0	1376.0	1260.0	1796.0
возраст не указан	1066.0	194.0	243.0	207.0	258.0	164.0
Челябинская область						
Все население	3541221.0	297776.0	787582.0	983604.0	932648.0	539611.0
в том числе в возрасте, лет:						
 0 – 3	128267.0	20.0	5362.0	42139.0	43584.0	37162.0
 4 – 5	63095.0	12.0	4000.0	19817.0	23157.0	16109.0
 6 – 9	136067.0	37.0	9865.0	39739.0	54198.0	32228.0
10 – 14 	259456.0	205.0	21150.0	69795.0	109777.0	58529.0
15 – 17 	193844.0	3845.0	18497.0	53611.0	76482.0	41409.0
18 – 24	396577.0	18917.0	65189.0	121038.0	114337.0	77096.0
25 – 34 	494290.0	21460.0	74894.0	185161.0	137374.0	75401.0
35 – 44 	528435.0	24498.0	78291.0	158978.0	190662.0	76006.0
45 – 54	543570.0	42164.0	154524.0	165437.0	114644.0	66801.0
55 – 64	334338.0	54578.0	153260.0	65707.0	33583.0	27210.0
65 и более	461477.0	131672.0	202149.0	61690.0	34480.0	31486.0
возраст не указан	1805.0	368.0	401.0	492.0	370.0	174.0
Сибирский федеральный округ						
Все население	19686057.0	1478389.0	4163138.0	5474322.0	5022220.0	3547988.0
в том числе в возрасте, лет:						
 0 – 3	771710.0	100.0	27505.0	240563.0	251187.0	252355.0
 4 – 5	376423.0	66.0	20137.0	110293.0	132650.0	113277.0
 6 – 9	819899.0	181.0	51993.0	222228.0	311421.0	234076.0
10 – 14 	1521016.0	1003.0	111741.0	399799.0	592790.0	415683.0
15 – 17 	1119665.0	29509.0	103722.0	303226.0	396216.0	286992.0
18 – 24	2336088.0	132969.0	377059.0	689016.0	612378.0	524666.0
25 – 34 	2791510.0	124336.0	406314.0	1004942.0	773662.0	482256.0
35 – 44 	3028571.0	137206.0	465018.0	930624.0	995749.0	499974.0
45 – 54	3009920.0	225000.0	879997.0	907801.0	596154.0	400968.0
55 – 64	1659333.0	256509.0	745316.0	334320.0	170284.0	152904.0
65 и более	2245193.0	570197.0	972841.0	329860.0	188311.0	183984.0
возраст не указан	6729.0	1313.0	1495.0	1650.0	1418.0	853.0
Республика Алтай						
Все население	200100.0	13136.0	34150.0	49656.0	53252.0	49906.0
в том числе в возрасте, лет:						
 0 – 3	11364.0	1.0	303.0	2906.0	3799.0	4355.0
 4 – 5	5407.0	-	185.0	1226.0	1949.0	2047.0
 6 – 9	11040.0	-	497.0	2150.0	4240.0	4153.0
10 – 14 	19424.0	13.0	1052.0	4008.0	7074.0	7277.0
15 – 17 	12608.0	1029.0	1005.0	2914.0	3687.0	3973.0
18 – 24	22520.0	1683.0	3153.0	6394.0	5280.0	6010.0
25 – 34 	29159.0	1026.0	3358.0	8980.0	9213.0	6582.0
35 – 44 	30779.0	1227.0	4080.0	8134.0	9981.0	7357.0
45 – 54	27291.0	1887.0	7650.0	7814.0	5188.0	4752.0
55 – 64	11745.0	1645.0	5088.0	2386.0	1201.0	1425.0
65 и более	18744.0	4620.0	7777.0	2740.0	1637.0	1970.0
возраст не указан	19.0	5.0	2.0	4.0	3.0	5.0
Республика Бурятия						
Все население	958402.0	53519.0	162818.0	238614.0	256632.0	246819.0
в том числе в возрасте, лет:						
 0 – 3	45915.0	2.0	1229.0	11458.0	14688.0	18538.0
 4 – 5	22042.0	4.0	909.0	5214.0	7776.0	8139.0
 6 – 9	45899.0	9.0	2402.0	10123.0	17138.0	16227.0
10 – 14 	88563.0	61.0	5173.0	19217.0	32307.0	31805.0
15 – 17 	61452.0	1080.0	4905.0	14249.0	20068.0	21150.0
18 – 24	114204.0	4326.0	15327.0	30633.0	29319.0	34599.0
25 – 34 	136728.0	4628.0	16352.0	41475.0	40944.0	33329.0
35 – 44 	148463.0	5967.0	19763.0	38772.0	48359.0	35602.0
45 – 54	136610.0	9419.0	34689.0	38307.0	28235.0	25960.0
55 – 64	68736.0	9181.0	27044.0	14352.0	8385.0	9774.0
65 и более	89551.0	18799.0	34966.0	14758.0	9363.0	11665.0
возраст не указан	239.0	43.0	59.0	56.0	50.0	31.0
Республика Тыва						
Все население	299510.0	10394.0	29992.0	52998.0	67832.0	138294.0
в том числе в возрасте, лет:						
 0 – 3	19812.0	-	340.0	2968.0	4983.0	11521.0
 4 – 5	9569.0	-	249.0	1316.0	2546.0	5458.0
 6 – 9	23004.0	7.0	696.0	2916.0	6111.0	13274.0
10 – 14 	36142.0	32.0	1311.0	4896.0	8883.0	21020.0
15 – 17 	22034.0	818.0	1164.0	3208.0	4667.0	12177.0
18 – 24	36515.0	1958.0	3179.0	6499.0	6916.0	17963.0
25 – 34 	48883.0	1165.0	4060.0	10647.0	13100.0	19911.0
35 – 44 	43481.0	1035.0	3678.0	8135.0	11335.0	19298.0
45 – 54	28747.0	1407.0	5703.0	6707.0	5327.0	9603.0
55 – 64	18253.0	1613.0	5110.0	3586.0	2549.0	5395.0
65 и более	13065.0	2357.0	4501.0	2120.0	1415.0	2672.0
возраст не указан	5.0	2.0	1.0	-	-	2.0
Республика Хакасия						
Все население	536706.0	39379.0	115574.0	149655.0	138068.0	94030.0
в том числе в возрасте, лет:						
 0 – 3	21801.0	-	825.0	6953.0	7144.0	6879.0
 4 – 5	10576.0	2.0	597.0	3166.0	3731.0	3080.0
 6 – 9	23484.0	3.0	1627.0	6311.0	8962.0	6581.0
10 – 14 	43369.0	29.0	3340.0	11265.0	16948.0	11787.0
15 – 17 	31727.0	785.0	2931.0	8936.0	11141.0	7934.0
18 – 24	62184.0	3397.0	10450.0	19070.0	16183.0	13084.0
25 – 34 	76244.0	3317.0	11412.0	27649.0	21531.0	12335.0
35 – 44 	81350.0	3444.0	12428.0	24564.0	27281.0	13633.0
45 – 54	84970.0	6368.0	25676.0	25817.0	16335.0	10774.0
55 – 64	41910.0	6680.0	19967.0	7870.0	4037.0	3356.0
65 и более	59064.0	15348.0	26316.0	8050.0	4763.0	4587.0
возраст не указан	27.0	6.0	5.0	4.0	12.0	-
Алтайский край						
Все население	2570205.0	194293.0	594888.0	749178.0	632648.0	399198.0
в том числе в возрасте, лет:						
 0 – 3	96968.0	5.0	3286.0	33957.0	32239.0	27481.0
 4 – 5	45044.0	2.0	2289.0	15104.0	16587.0	11062.0
 6 – 9	94951.0	10.0	5911.0	29071.0	37769.0	22190.0
10 – 14 	180943.0	90.0	12978.0	52800.0	74132.0	40943.0
15 – 17 	140225.0	4353.0	11788.0	39744.0	49181.0	35159.0
18 – 24	297964.0	16971.0	48370.0	91471.0	75095.0	66057.0
25 – 34 	354752.0	14438.0	50147.0	138260.0	99117.0	52790.0
35 – 44 	391209.0	16289.0	63811.0	130602.0	126252.0	54255.0
45 – 54	409020.0	28266.0	132903.0	126535.0	74623.0	46693.0
55 – 64	225556.0	32444.0	110611.0	43524.0	20821.0	18156.0
65 и более	333496.0	81411.0	152768.0	48099.0	26818.0	24400.0
возраст не указан	77.0	14.0	26.0	11.0	14.0	12.0
Красноярский край						
Все население	2910229.0	229009.0	639378.0	840708.0	736180.0	464954.0
в том числе в возрасте, лет:						
 0 – 3	111364.0	12.0	4382.0	36857.0	36712.0	33401.0
 4 – 5	55629.0	8.0	3287.0	17098.0	19783.0	15453.0
 6 – 9	122812.0	26.0	8270.0	35971.0	46670.0	31875.0
10 – 14 	225692.0	141.0	17977.0	63660.0	88552.0	55362.0
15 – 17 	164099.0	2959.0	17832.0	47971.0	58950.0	36387.0
18 – 24	340514.0	20596.0	63715.0	103420.0	87490.0	65293.0
25 – 34 	425236.0	23088.0	67261.0	157741.0	113140.0	64006.0
35 – 44 	461110.0	24045.0	74996.0	146568.0	148965.0	66536.0
45 – 54	454998.0	37482.0	138841.0	137943.0	86974.0	53758.0
55 – 64	246222.0	40659.0	111841.0	49334.0	24214.0	20174.0
65 и более	300163.0	79268.0	130393.0	43629.0	24354.0	22519.0
возраст не указан	2390.0	725.0	583.0	516.0	376.0	190.0
Таймырский (Долгано-Ненецкий) автономный округ						
Все население	39337.0	3317.0	7748.0	11256.0	8984.0	8032.0
в том числе в возрасте, лет:						
 0 – 3	2098.0	1.0	125.0	610.0	644.0	718.0
 4 – 5	984.0	-	66.0	276.0	315.0	327.0
 6 – 9	2210.0	-	174.0	640.0	694.0	702.0
10 – 14 	3873.0	2.0	388.0	1086.0	1198.0	1199.0
15 – 17 	2343.0	14.0	250.0	670.0	670.0	739.0
18 – 24	4163.0	252.0	774.0	1174.0	900.0	1063.0
25 – 34 	6567.0	566.0	1158.0	2301.0	1560.0	982.0
35 – 44 	6943.0	668.0	1309.0	2086.0	1732.0	1148.0
45 – 54	6780.0	945.0	2288.0	1811.0	970.0	766.0
55 – 64	2177.0	527.0	818.0	410.0	196.0	226.0
65 и более	1144.0	323.0	377.0	184.0	98.0	162.0
возраст не указан	55.0	19.0	21.0	8.0	7.0	-
Эвенкийский автономный округ						
Все население	17535.0	1310.0	3302.0	4803.0	4160.0	3960.0
в том числе в возрасте, лет:						
 0 – 3	986.0	-	59.0	257.0	313.0	357.0
 4 – 5	458.0	-	30.0	101.0	149.0	178.0
 6 – 9	1042.0	1.0	54.0	270.0	348.0	369.0
10 – 14 	1750.0	-	123.0	434.0	575.0	618.0
15 – 17 	1056.0	6.0	96.0	302.0	298.0	354.0
18 – 24	1773.0	83.0	277.0	527.0	401.0	485.0
25 – 34 	2539.0	181.0	356.0	834.0	695.0	473.0
35 – 44 	3027.0	225.0	559.0	865.0	787.0	591.0
45 – 54	3019.0	345.0	954.0	909.0	454.0	357.0
55 – 64	1148.0	250.0	498.0	201.0	84.0	115.0
65 и более	715.0	215.0	289.0	102.0	53.0	56.0
возраст не указан	22.0	4.0	7.0	1.0	3.0	7.0
Иркутская область						
Все население	2532867.0	181367.0	513942.0	693846.0	661408.0	482304.0
в том числе в возрасте, лет:						
 0 – 3	106344.0	24.0	4188.0	31533.0	35219.0	35380.0
 4 – 5	52438.0	16.0	3031.0	14642.0	18557.0	16192.0
 6 – 9	114674.0	39.0	7699.0	29525.0	43717.0	33694.0
10 – 14 	211779.0	140.0	16216.0	53781.0	80516.0	61126.0
15 – 17 	147028.0	1636.0	14647.0	39497.0	51611.0	39637.0
18 – 24	298105.0	12577.0	49369.0	89883.0	79149.0	67127.0
25 – 34 	367438.0	16301.0	53936.0	127544.0	104925.0	64732.0
35 – 44 	381970.0	17744.0	58476.0	111673.0	126047.0	68030.0
45 – 54	379095.0	30225.0	107591.0	112263.0	75853.0	53163.0
55 – 64	213897.0	35274.0	91801.0	43913.0	22660.0	20249.0
65 и более	257360.0	67103.0	106419.0	38874.0	22442.0	22522.0
возраст не указан	2739.0	288.0	569.0	718.0	712.0	452.0
Усть-Ордынский Бурятский автономный округ						
Все население	134352.0	5801.0	17992.0	25560.0	34324.0	50675.0
в том числе в возрасте, лет:						
 0 – 3	7599.0	-	133.0	1243.0	2197.0	4026.0
 4 – 5	3992.0	-	79.0	518.0	1298.0	2097.0
 6 – 9	8857.0	1.0	217.0	1019.0	2871.0	4749.0
10 – 14 	16273.0	3.0	517.0	2327.0	4868.0	8558.0
15 – 17 	9007.0	18.0	415.0	1647.0	2426.0	4501.0
18 – 24	12206.0	210.0	1019.0	2721.0	2941.0	5315.0
25 – 34 	17449.0	430.0	1389.0	3658.0	5798.0	6174.0
35 – 44 	20986.0	707.0	2246.0	4371.0	6157.0	7505.0
45 – 54	17406.0	1044.0	4001.0	4501.0	3506.0	4354.0
55 – 64	8089.0	1027.0	3105.0	1599.0	965.0	1393.0
65 и более	12450.0	2356.0	4863.0	1947.0	1286.0	1998.0
возраст не указан	38.0	5.0	8.0	9.0	11.0	5.0
Кемеровская область						
Все население	2843718.0	242648.0	659142.0	811776.0	715336.0	414816.0
в том числе в возрасте, лет:						
 0 – 3	104776.0	16.0	4400.0	35134.0	35321.0	29905.0
 4 – 5	50285.0	7.0	3256.0	16148.0	17790.0	13084.0
 6 – 9	109068.0	26.0	8089.0	32376.0	42453.0	26124.0
10 – 14 	203176.0	143.0	17687.0	57545.0	82019.0	45782.0
15 – 17 	152595.0	3696.0	15473.0	44200.0	57054.0	32172.0
18 – 24	325193.0	17875.0	54260.0	103164.0	89582.0	60312.0
25 – 34 	394628.0	18452.0	62519.0	148920.0	108185.0	56552.0
35 – 44 	435233.0	21306.0	72368.0	137454.0	144580.0	59525.0
45 – 54	455883.0	36744.0	140185.0	139447.0	88357.0	51150.0
55 – 64	253147.0	43408.0	119614.0	48803.0	23474.0	17848.0
65 и более	359496.0	100906.0	161236.0	48525.0	26481.0	22348.0
возраст не указан	238.0	69.0	55.0	60.0	40.0	14.0
Новосибирская область						
Все население	2641110.0	223897.0	579172.0	749160.0	664160.0	424721.0
в том числе в возрасте, лет:						
 0 – 3	90132.0	20.0	3226.0	29098.0	29048.0	28740.0
 4 – 5	43682.0	12.0	2325.0	13319.0	15417.0	12609.0
 6 – 9	95069.0	26.0	6174.0	27614.0	36092.0	25163.0
10 – 14 	183257.0	206.0	13925.0	50900.0	73816.0	44410.0
15 – 17 	140792.0	8291.0	12406.0	38761.0	51115.0	30219.0
18 – 24	310739.0	28645.0	49070.0	90114.0	83768.0	59142.0
25 – 34 	368745.0	17700.0	56222.0	135900.0	97723.0	61200.0
35 – 44 	406111.0	18783.0	63056.0	131357.0	133708.0	59207.0
45 – 54	412272.0	29335.0	116171.0	126930.0	86541.0	53295.0
55 – 64	243252.0	35797.0	107300.0	51483.0	26541.0	22131.0
65 и более	347044.0	85081.0	149295.0	53679.0	30390.0	28599.0
возраст не указан	15.0	1.0	2.0	5.0	1.0	6.0
Омская область						
Все население	2046292.0	148284.0	410636.0	556551.0	539824.0	390997.0
в том числе в возрасте, лет:						
 0 – 3	70736.0	10.0	2267.0	22066.0	22056.0	24337.0
 4 – 5	37225.0	8.0	1807.0	10439.0	13062.0	11909.0
 6 – 9	85691.0	18.0	5068.0	22353.0	32216.0	26036.0
10 – 14 	156615.0	94.0	10522.0	38713.0	63020.0	44266.0
15 – 17 	118295.0	3220.0	9951.0	30347.0	44185.0	30592.0
18 – 24	241326.0	14007.0	36860.0	68827.0	66355.0	55277.0
25 – 34 	283080.0	11670.0	39262.0	100467.0	77917.0	53764.0
35 – 44 	329740.0	13583.0	45597.0	98493.0	114619.0	57448.0
45 – 54	299968.0	20284.0	78965.0	90970.0	64790.0	44959.0
55 – 64	172080.0	24874.0	73928.0	36005.0	19071.0	18202.0
65 и более	251001.0	60407.0	106295.0	37710.0	22440.0	24149.0
возраст не указан	535.0	109.0	114.0	161.0	93.0	58.0
Томская область						
Все население	1029726.0	74936.0	211934.0	282972.0	266476.0	193408.0
в том числе в возрасте, лет:						
 0 – 3	38902.0	4.0	1540.0	12106.0	12715.0	12537.0
 4 – 5	18316.0	1.0	1046.0	5645.0	6401.0	5223.0
 6 – 9	37880.0	8.0	2643.0	10648.0	14678.0	9903.0
10 – 14 	71791.0	26.0	5623.0	19689.0	28768.0	17685.0
15 – 17 	61887.0	834.0	5899.0	16124.0	22631.0	16399.0
18 – 24	155013.0	6125.0	23315.0	39584.0	40402.0	45587.0
25 – 34 	144421.0	6904.0	21931.0	52330.0	38913.0	24343.0
35 – 44 	153637.0	7327.0	23468.0	47534.0	51574.0	23734.0
45 – 54	156921.0	12036.0	44242.0	46809.0	32463.0	21371.0
55 – 64	82708.0	12869.0	36267.0	16958.0	8850.0	7764.0
65 и более	108245.0	28799.0	45960.0	15544.0	9081.0	8861.0
возраст не указан	5.0	3.0	-	1.0	-	1.0
Читинская область						
Все население	1117192.0	67527.0	211512.0	299208.0	290404.0	248541.0
в том числе в возрасте, лет:						
 0 – 3	53596.0	6.0	1519.0	15527.0	17263.0	19281.0
 4 – 5	26210.0	6.0	1156.0	6976.0	9051.0	9021.0
 6 – 9	56327.0	9.0	2917.0	13170.0	21375.0	18856.0
10 – 14 	100265.0	28.0	5937.0	23325.0	36755.0	34220.0
15 – 17 	66923.0	808.0	5721.0	17275.0	21926.0	21193.0
18 – 24	131811.0	4809.0	19991.0	39957.0	32839.0	34215.0
25 – 34 	162196.0	5647.0	19854.0	55029.0	48954.0	32712.0
35 – 44 	165488.0	6456.0	23297.0	47338.0	53048.0	35349.0
45 – 54	164145.0	11547.0	47381.0	48259.0	31468.0	25490.0
55 – 64	81827.0	12065.0	36745.0	16106.0	8481.0	8430.0
65 и более	107964.0	26098.0	46915.0	16132.0	9127.0	9692.0
возраст не указан	440.0	48.0	79.0	114.0	117.0	82.0
Агинский Бурятский автономный округ						
Все население	71768.0	2403.0	7910.0	13503.0	18128.0	29824.0
в том числе в возрасте, лет:						
 0 – 3	4436.0	-	47.0	708.0	1157.0	2524.0
 4 – 5	2183.0	1.0	51.0	307.0	643.0	1181.0
 6 – 9	4914.0	-	146.0	633.0	1585.0	2550.0
10 – 14 	8624.0	3.0	283.0	1209.0	2526.0	4603.0
15 – 17 	5007.0	162.0	236.0	780.0	1283.0	2546.0
18 – 24	7181.0	160.0	547.0	1396.0	1572.0	3506.0
25 – 34 	9986.0	192.0	791.0	2178.0	2996.0	3829.0
35 – 44 	11351.0	321.0	1018.0	2255.0	3326.0	4431.0
45 – 54	8764.0	424.0	1674.0	2174.0	1827.0	2665.0
