4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩЕЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ПЕРИОДУ ПОСТРОЙКИ ДОМА И МАТЕРИАЛУ НАРУЖНЫХ СТЕН 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	из них проживают в домах, где материал наружных стен 						Не указали материал наружных стен
после 1995 г.	46425.0	29314.0	15042.0	1270.0	2.0	362.0	65.0	370.0
не указавшие период постройки дома	5193.0	2965.0	1092.0	99.0	18.0	196.0	70.0	753.0
Проживающие в коммунальных квартирах	10710.0	5943.0	979.0	398.0	119.0	2034.0	1104.0	133.0
в том числе построенных:								
в 1920 г. и ранее	1193.0	528.0	-	7.0	18.0	449.0	185.0	6.0
в 1921-1945 гг.	829.0	210.0	17.0	16.0	66.0	383.0	137.0	-
в 1946-1956 гг.	1897.0	849.0	4.0	201.0	16.0	476.0	319.0	32.0
в 1957-1970 гг.	3120.0	1928.0	138.0	115.0	5.0	536.0	374.0	24.0
в 1971-1995 гг.	3377.0	2233.0	796.0	55.0	14.0	169.0	74.0	36.0
после 1995 г.	183.0	158.0	7.0	4.0	-	6.0	8.0	-
не указавшие период постройки дома	111.0	37.0	17.0	-	-	15.0	7.0	35.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1139323.0	557295.0	18309.0	20928.0	10757.0	279311.0	241895.0	10828.0
в том числе построенных:								
в 1920 г. и ранее	45807.0	6075.0	1.0	14.0	2599.0	17174.0	19547.0	397.0
в 1921-1945 гг.	67746.0	10114.0	12.0	70.0	2000.0	26177.0	28751.0	622.0
в 1946-1956 гг.	142860.0	30923.0	56.0	487.0	2165.0	54240.0	53563.0	1426.0
в 1957-1970 гг.	384113.0	159296.0	703.0	2799.0	2871.0	114581.0	100410.0	3453.0
в 1971-1995 гг.	427559.0	304687.0	15474.0	13501.0	935.0	56099.0	33218.0	3645.0
после 1995 г.	64872.0	43124.0	1922.0	3902.0	119.0	9748.0	5425.0	632.0
не указавшие период постройки дома	6366.0	3076.0	141.0	155.0	68.0	1292.0	981.0	653.0
Проживающие в индивидуальных домах	870916.0	356599.0	3523.0	13011.0	9540.0	253657.0	226688.0	7898.0
в том числе построенных:								
в 1920 г. и ранее	42355.0	4853.0	1.0	14.0	2466.0	16144.0	18555.0	322.0
в 1921-1945 гг.	59811.0	7701.0	11.0	49.0	1868.0	23790.0	25868.0	524.0
в 1946-1956 гг.	125765.0	22208.0	16.0	275.0	1818.0	49490.0	50748.0	1210.0
в 1957-1970 гг.	308925.0	105155.0	143.0	1287.0	2446.0	102921.0	94302.0	2671.0
в 1971-1995 гг.	271015.0	175456.0	3140.0	7840.0	760.0	50661.0	31016.0	2142.0
после 1995 г.	58429.0	39313.0	183.0	3454.0	114.0	9466.0	5330.0	569.0
не указавшие период постройки дома	4616.0	1913.0	29.0	92.0	68.0	1185.0	869.0	460.0
Проживающие в отдельных квартирах	265905.0	199571.0	14762.0	7835.0	1210.0	24857.0	14771.0	2899.0
в том числе построенных:								
в 1920 г. и ранее	3356.0	1198.0	-	-	133.0	1007.0	943.0	75.0
в 1921-1945 гг.	7848.0	2413.0	1.0	21.0	132.0	2335.0	2851.0	95.0
в 1946-1956 гг.	16729.0	8559.0	40.0	212.0	347.0	4648.0	2707.0	216.0
в 1957-1970 гг.	74171.0	53766.0	560.0	1502.0	418.0	11273.0	5887.0	765.0
в 1971-1995 гг.	155768.0	128746.0	12310.0	5622.0	175.0	5232.0	2180.0	1503.0
после 1995 г.	6303.0	3734.0	1739.0	415.0	5.0	261.0	95.0	54.0
не указавшие период постройки дома	1730.0	1155.0	112.0	63.0	-	101.0	108.0	191.0
Проживающие в коммунальных квартирах	2502.0	1125.0	24.0	82.0	7.0	797.0	436.0	31.0
в том числе построенных:								
в 1920 г. и ранее	96.0	24.0	-	-	-	23.0	49.0	-
в 1921-1945 гг.	87.0	-	-	-	-	52.0	32.0	3.0
в 1946-1956 гг.	366.0	156.0	-	-	-	102.0	108.0	-
в 1957-1970 гг.	1017.0	375.0	-	10.0	7.0	387.0	221.0	17.0
в 1971-1995 гг.	776.0	485.0	24.0	39.0	-	206.0	22.0	-
после 1995 г.	140.0	77.0	-	33.0	-	21.0	-	9.0
не указавшие период постройки дома	20.0	8.0	-	-	-	6.0	4.0	2.0
Астраханская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	914108.0	346471.0	179708.0	33124.0	151113.0	136671.0	53578.0	13443.0
в том числе построенных:								
в 1920 г. и ранее	63425.0	14757.0	39.0	52.0	37785.0	9062.0	1235.0	495.0
в 1921-1945 гг.	38679.0	6664.0	99.0	188.0	22547.0	6680.0	2056.0	445.0
в 1946-1956 гг.	86044.0	19709.0	872.0	937.0	32997.0	21867.0	8510.0	1152.0
в 1957-1970 гг.	246757.0	90849.0	28173.0	5219.0	40684.0	54824.0	23491.0	3517.0
в 1971-1995 гг.	421054.0	188638.0	135133.0	23936.0	14401.0	38020.0	15333.0	5593.0
после 1995 г.	48247.0	22165.0	14088.0	2477.0	1265.0	5101.0	2524.0	627.0
не указавшие период постройки дома	9902.0	3689.0	1304.0	315.0	1434.0	1117.0	429.0	1614.0
Проживающие в индивидуальных домах	376395.0	79135.0	2341.0	5759.0	117521.0	116517.0	49168.0	5954.0
в том числе построенных:								
в 1920 г. и ранее	25366.0	1153.0	23.0	33.0	18880.0	4022.0	1029.0	226.0
в 1921-1945 гг.	27834.0	1425.0	33.0	69.0	18255.0	5846.0	1900.0	306.0
в 1946-1956 гг.	60694.0	5095.0	79.0	265.0	28111.0	18587.0	7772.0	785.0
в 1957-1970 гг.	126570.0	16062.0	231.0	749.0	37164.0	49006.0	21380.0	1978.0
в 1971-1995 гг.	110290.0	43159.0	1445.0	3721.0	12909.0	33138.0	14202.0	1716.0
после 1995 г.	21858.0	11448.0	478.0	857.0	1216.0	5010.0	2478.0	371.0
не указавшие период постройки дома	3783.0	793.0	52.0	65.0	986.0	908.0	407.0	572.0
Проживающие в отдельных квартирах	533773.0	264552.0	177184.0	27325.0	33078.0	19878.0	4345.0	7411.0
в том числе построенных:								
в 1920 г. и ранее	37499.0	13300.0	16.0	19.0	18724.0	4972.0	200.0	268.0
в 1921-1945 гг.	10519.0	5018.0	66.0	119.0	4208.0	815.0	156.0	137.0
в 1946-1956 гг.	24796.0	14266.0	793.0	672.0	4731.0	3244.0	733.0	357.0
в 1957-1970 гг.	119436.0	74309.0	27918.0	4461.0	3438.0	5700.0	2075.0	1535.0
в 1971-1995 гг.	309127.0	144116.0	133538.0	20184.0	1483.0	4851.0	1113.0	3842.0
после 1995 г.	26350.0	10691.0	13601.0	1620.0	49.0	87.0	46.0	256.0
не указавшие период постройки дома	6046.0	2852.0	1252.0	250.0	445.0	209.0	22.0	1016.0
Проживающие в коммунальных квартирах	3940.0	2784.0	183.0	40.0	514.0	276.0	65.0	78.0
в том числе построенных:								
в 1920 г. и ранее	560.0	304.0	-	-	181.0	68.0	6.0	1.0
в 1921-1945 гг.	326.0	221.0	-	-	84.0	19.0	-	2.0
в 1946-1956 гг.	554.0	348.0	-	-	155.0	36.0	5.0	10.0
в 1957-1970 гг.	751.0	478.0	24.0	9.0	82.0	118.0	36.0	4.0
в 1971-1995 гг.	1637.0	1363.0	150.0	31.0	9.0	31.0	18.0	35.0
после 1995 г.	39.0	26.0	9.0	-	-	4.0	-	-
не указавшие период постройки дома	73.0	44.0	-	-	3.0	-	-	26.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	605704.0	242860.0	174181.0	20929.0	93666.0	51210.0	14222.0	8636.0
в том числе построенных:								
в 1920 г. и ранее	50987.0	14135.0	26.0	38.0	29384.0	6456.0	572.0	376.0
в 1921-1945 гг.	22509.0	5781.0	72.0	123.0	12786.0	2896.0	577.0	274.0
в 1946-1956 гг.	53332.0	16311.0	837.0	672.0	21221.0	10584.0	2964.0	743.0
в 1957-1970 гг.	152806.0	68580.0	28000.0	3907.0	23010.0	20259.0	6899.0	2151.0
в 1971-1995 гг.	285531.0	119478.0	130362.0	14451.0	5734.0	9381.0	2546.0	3579.0
после 1995 г.	33493.0	15800.0	13618.0	1541.0	551.0	1122.0	524.0	337.0
не указавшие период постройки дома	7046.0	2775.0	1266.0	197.0	980.0	512.0	140.0	1176.0
Проживающие в индивидуальных домах	154882.0	31481.0	563.0	1178.0	65835.0	40156.0	13085.0	2584.0
в том числе построенных:								
в 1920 г. и ранее	14362.0	769.0	10.0	19.0	11362.0	1684.0	395.0	123.0
в 1921-1945 гг.	13328.0	715.0	16.0	58.0	9464.0	2394.0	531.0	150.0
в 1946-1956 гг.	32838.0	3148.0	49.0	201.0	17624.0	8700.0	2674.0	442.0
в 1957-1970 гг.	53627.0	6749.0	132.0	228.0	20987.0	18164.0	6414.0	953.0
в 1971-1995 гг.	30489.0	13813.0	245.0	480.0	5276.0	7765.0	2428.0	482.0
после 1995 г.	8402.0	5912.0	81.0	172.0	516.0	1085.0	517.0	119.0
не указавшие период постройки дома	1836.0	375.0	30.0	20.0	606.0	364.0	126.0	315.0
Проживающие в отдельных квартирах	447374.0	208832.0	173440.0	19732.0	27377.0	10909.0	1096.0	5988.0
в том числе построенных:								
в 1920 г. и ранее	36071.0	13062.0	16.0	19.0	17846.0	4704.0	172.0	252.0
в 1921-1945 гг.	8868.0	4851.0	56.0	65.0	3239.0	489.0	46.0	122.0
в 1946-1956 гг.	19995.0	12829.0	788.0	471.0	3473.0	1858.0	285.0	291.0
в 1957-1970 гг.	98574.0	61366.0	27844.0	3679.0	1964.0	2063.0	461.0	1197.0
в 1971-1995 гг.	253646.0	104479.0	129972.0	13952.0	449.0	1610.0	111.0	3073.0
после 1995 г.	25079.0	9885.0	13528.0	1369.0	35.0	37.0	7.0	218.0
не указавшие период постройки дома	5141.0	2360.0	1236.0	177.0	371.0	148.0	14.0	835.0
Проживающие в коммунальных квартирах	3448.0	2547.0	178.0	19.0	454.0	145.0	41.0	64.0
в том числе построенных:								
в 1920 г. и ранее	554.0	304.0	-	-	176.0	68.0	5.0	1.0
в 1921-1945 гг.	313.0	215.0	-	-	83.0	13.0	-	2.0
в 1946-1956 гг.	499.0	334.0	-	-	124.0	26.0	5.0	10.0
в 1957-1970 гг.	605.0	465.0	24.0	-	59.0	32.0	24.0	1.0
в 1971-1995 гг.	1396.0	1186.0	145.0	19.0	9.0	6.0	7.0	24.0
после 1995 г.	12.0	3.0	9.0	-	-	-	-	-
не указавшие период постройки дома	69.0	40.0	-	-	3.0	-	-	26.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	308404.0	103611.0	5527.0	12195.0	57447.0	85461.0	39356.0	4807.0
в том числе построенных:								
в 1920 г. и ранее	12438.0	622.0	13.0	14.0	8401.0	2606.0	663.0	119.0
в 1921-1945 гг.	16170.0	883.0	27.0	65.0	9761.0	3784.0	1479.0	171.0
в 1946-1956 гг.	32712.0	3398.0	35.0	265.0	11776.0	11283.0	5546.0	409.0
в 1957-1970 гг.	93951.0	22269.0	173.0	1312.0	17674.0	34565.0	16592.0	1366.0
в 1971-1995 гг.	135523.0	69160.0	4771.0	9485.0	8667.0	28639.0	12787.0	2014.0
после 1995 г.	14754.0	6365.0	470.0	936.0	714.0	3979.0	2000.0	290.0
не указавшие период постройки дома	2856.0	914.0	38.0	118.0	454.0	605.0	289.0	438.0
Проживающие в индивидуальных домах	221513.0	47654.0	1778.0	4581.0	51686.0	76361.0	36083.0	3370.0
в том числе построенных:								
в 1920 г. и ранее	11004.0	384.0	13.0	14.0	7518.0	2338.0	634.0	103.0
в 1921-1945 гг.	14506.0	710.0	17.0	11.0	8791.0	3452.0	1369.0	156.0
в 1946-1956 гг.	27856.0	1947.0	30.0	64.0	10487.0	9887.0	5098.0	343.0
в 1957-1970 гг.	72943.0	9313.0	99.0	521.0	16177.0	30842.0	14966.0	1025.0
в 1971-1995 гг.	79801.0	29346.0	1200.0	3241.0	7633.0	25373.0	11774.0	1234.0
после 1995 г.	13456.0	5536.0	397.0	685.0	700.0	3925.0	1961.0	252.0
не указавшие период постройки дома	1947.0	418.0	22.0	45.0	380.0	544.0	281.0	257.0
Проживающие в отдельных квартирах	86399.0	55720.0	3744.0	7593.0	5701.0	8969.0	3249.0	1423.0
в том числе построенных:								
в 1920 г. и ранее	1428.0	238.0	-	-	878.0	268.0	28.0	16.0
в 1921-1945 гг.	1651.0	167.0	10.0	54.0	969.0	326.0	110.0	15.0
в 1946-1956 гг.	4801.0	1437.0	5.0	201.0	1258.0	1386.0	448.0	66.0
в 1957-1970 гг.	20862.0	12943.0	74.0	782.0	1474.0	3637.0	1614.0	338.0
в 1971-1995 гг.	55481.0	39637.0	3566.0	6232.0	1034.0	3241.0	1002.0	769.0
после 1995 г.	1271.0	806.0	73.0	251.0	14.0	50.0	39.0	38.0
не указавшие период постройки дома	905.0	492.0	16.0	73.0	74.0	61.0	8.0	181.0
Проживающие в коммунальных квартирах	492.0	237.0	5.0	21.0	60.0	131.0	24.0	14.0
в том числе построенных:								
в 1920 г. и ранее	6.0	-	-	-	5.0	-	1.0	-
в 1921-1945 гг.	13.0	6.0	-	-	1.0	6.0	-	-
в 1946-1956 гг.	55.0	14.0	-	-	31.0	10.0	-	-
в 1957-1970 гг.	146.0	13.0	-	9.0	23.0	86.0	12.0	3.0
в 1971-1995 гг.	241.0	177.0	5.0	12.0	-	25.0	11.0	11.0
после 1995 г.	27.0	23.0	-	-	-	4.0	-	-
не указавшие период постройки дома	4.0	4.0	-	-	-	-	-	-
Волгоградская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	2446172.0	1135977.0	511450.0	109848.0	445726.0	185252.0	27043.0	30876.0
в том числе построенных:								
в 1920 г. и ранее	38904.0	6512.0	22.0	54.0	27188.0	3752.0	1047.0	329.0
в 1921-1945 гг.	74171.0	20958.0	49.0	198.0	41913.0	8205.0	2012.0	836.0
в 1946-1956 гг.	294559.0	116020.0	1802.0	5847.0	115039.0	46020.0	6281.0	3550.0
в 1957-1970 гг.	759771.0	377464.0	97572.0	29742.0	176109.0	61441.0	9230.0	8213.0
в 1971-1995 гг.	1162122.0	556903.0	383985.0	68362.0	76156.0	57779.0	7195.0	11742.0
после 1995 г.	93600.0	48604.0	25159.0	4711.0	6045.0	6753.0	1071.0	1257.0
не указавшие период постройки дома	23045.0	9516.0	2861.0	934.0	3276.0	1302.0	207.0	4949.0
Проживающие в индивидуальных домах	917101.0	326252.0	5012.0	14479.0	401204.0	135850.0	21512.0	12792.0
в том числе построенных:								
в 1920 г. и ранее	28338.0	2680.0	9.0	27.0	21667.0	2829.0	900.0	226.0
в 1921-1945 гг.	51479.0	6125.0	22.0	79.0	36615.0	6470.0	1640.0	528.0
в 1946-1956 гг.	179434.0	36314.0	115.0	1152.0	103753.0	31388.0	4559.0	2153.0
в 1957-1970 гг.	323128.0	96795.0	536.0	2295.0	162652.0	49256.0	7624.0	3970.0
в 1971-1995 гг.	279523.0	151017.0	3647.0	9152.0	67861.0	38368.0	5747.0	3731.0
после 1995 г.	47066.0	30734.0	638.0	1662.0	5798.0	6568.0	888.0	778.0
не указавшие период постройки дома	8133.0	2587.0	45.0	112.0	2858.0	971.0	154.0	1406.0
Проживающие в отдельных квартирах	1501093.0	790348.0	504130.0	94553.0	42282.0	47092.0	5161.0	17527.0
в том числе построенных:								
в 1920 г. и ранее	10303.0	3724.0	13.0	27.0	5384.0	911.0	141.0	103.0
в 1921-1945 гг.	18098.0	10797.0	27.0	115.0	5104.0	1472.0	352.0	231.0
в 1946-1956 гг.	104619.0	72331.0	1638.0	4484.0	10163.0	13205.0	1530.0	1268.0
в 1957-1970 гг.	430011.0	276242.0	96425.0	27042.0	12956.0	11752.0	1462.0	4132.0
в 1971-1995 гг.	877431.0	402920.0	378747.0	59075.0	8049.0	19251.0	1443.0	7946.0
после 1995 г.	46155.0	17574.0	24504.0	2995.0	241.0	179.0	183.0	479.0
не указавшие период постройки дома	14476.0	6760.0	2776.0	815.0	385.0	322.0	50.0	3368.0
Проживающие в коммунальных квартирах	27978.0	19377.0	2308.0	816.0	2240.0	2310.0	370.0	557.0
в том числе построенных:								
в 1920 г. и ранее	263.0	108.0	-	-	137.0	12.0	6.0	-
в 1921-1945 гг.	4594.0	4036.0	-	4.0	194.0	263.0	20.0	77.0
в 1946-1956 гг.	10506.0	7375.0	49.0	211.0	1123.0	1427.0	192.0	129.0
в 1957-1970 гг.	6632.0	4427.0	611.0	405.0	501.0	433.0	144.0	111.0
в 1971-1995 гг.	5168.0	2966.0	1591.0	135.0	246.0	160.0	5.0	65.0
после 1995 г.	379.0	296.0	17.0	54.0	6.0	6.0	-	-
не указавшие период постройки дома	436.0	169.0	40.0	7.0	33.0	9.0	3.0	175.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1811745.0	876314.0	495888.0	83402.0	209436.0	115051.0	9621.0	22033.0
в том числе построенных:								
в 1920 г. и ранее	19076.0	4998.0	13.0	30.0	11407.0	2207.0	261.0	160.0
в 1921-1945 гг.	44011.0	17784.0	36.0	161.0	19304.0	5495.0	738.0	493.0
в 1946-1956 гг.	217991.0	98720.0	1696.0	5013.0	69831.0	36527.0	3591.0	2613.0
в 1957-1970 гг.	536295.0	297547.0	95744.0	25455.0	74329.0	35061.0	2979.0	5180.0
в 1971-1995 гг.	900674.0	410143.0	371595.0	48144.0	30397.0	30581.0	1464.0	8350.0
после 1995 г.	76357.0	39977.0	24052.0	3875.0	2649.0	4355.0	468.0	981.0
не указавшие период постройки дома	17341.0	7145.0	2752.0	724.0	1519.0	825.0	120.0	4256.0
Проживающие в индивидуальных домах	435136.0	156353.0	1885.0	5155.0	182338.0	76427.0	6771.0	6207.0
в том числе построенных:								
в 1920 г. и ранее	10482.0	1492.0	-	19.0	7256.0	1413.0	220.0	82.0
в 1921-1945 гг.	24386.0	3686.0	13.0	45.0	15718.0	4030.0	649.0	245.0
в 1946-1956 гг.	112751.0	24177.0	59.0	736.0	60846.0	23404.0	2224.0	1305.0
в 1957-1970 гг.	145288.0	45269.0	246.0	1488.0	67417.0	26962.0	2234.0	1672.0
в 1971-1995 гг.	106223.0	57508.0	1232.0	1903.0	27329.0	15778.0	1052.0	1421.0
после 1995 г.	31770.0	22881.0	320.0	923.0	2542.0	4255.0	314.0	535.0
не указавшие период постройки дома	4236.0	1340.0	15.0	41.0	1230.0	585.0	78.0	947.0
Проживающие в отдельных квартирах	1349504.0	700973.0	491724.0	77454.0	25118.0	36440.0	2487.0	15308.0
в том числе построенных:								
в 1920 г. и ранее	8354.0	3408.0	13.0	11.0	4023.0	782.0	39.0	78.0
в 1921-1945 гг.	15071.0	10082.0	23.0	112.0	3412.0	1202.0	69.0	171.0
в 1946-1956 гг.	94876.0	67208.0	1588.0	4079.0	7922.0	11725.0	1175.0	1179.0
в 1957-1970 гг.	384664.0	247980.0	94895.0	23562.0	6489.0	7727.0	604.0	3407.0
в 1971-1995 гг.	789616.0	349840.0	368790.0	46116.0	2915.0	14673.0	407.0	6875.0
после 1995 г.	44232.0	16815.0	23718.0	2898.0	101.0	100.0	154.0	446.0
не указавшие период постройки дома	12691.0	5640.0	2697.0	676.0	256.0	231.0	39.0	3152.0
Проживающие в коммунальных квартирах	27105.0	18988.0	2279.0	793.0	1980.0	2184.0	363.0	518.0
в том числе построенных:								
в 1920 г. и ранее	240.0	98.0	-	-	128.0	12.0	2.0	-
в 1921-1945 гг.	4554.0	4016.0	-	4.0	174.0	263.0	20.0	77.0
в 1946-1956 гг.	10364.0	7335.0	49.0	198.0	1063.0	1398.0	192.0	129.0
в 1957-1970 гг.	6343.0	4298.0	603.0	405.0	423.0	372.0	141.0	101.0
в 1971-1995 гг.	4835.0	2795.0	1573.0	125.0	153.0	130.0	5.0	54.0
после 1995 г.	355.0	281.0	14.0	54.0	6.0	-	-	-
не указавшие период постройки дома	414.0	165.0	40.0	7.0	33.0	9.0	3.0	157.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	634427.0	259663.0	15562.0	26446.0	236290.0	70201.0	17422.0	8843.0
в том числе построенных:								
в 1920 г. и ранее	19828.0	1514.0	9.0	24.0	15781.0	1545.0	786.0	169.0
в 1921-1945 гг.	30160.0	3174.0	13.0	37.0	22609.0	2710.0	1274.0	343.0
в 1946-1956 гг.	76568.0	17300.0	106.0	834.0	45208.0	9493.0	2690.0	937.0
в 1957-1970 гг.	223476.0	79917.0	1828.0	4287.0	101780.0	26380.0	6251.0	3033.0
в 1971-1995 гг.	261448.0	146760.0	12390.0	20218.0	45759.0	27198.0	5731.0	3392.0
после 1995 г.	17243.0	8627.0	1107.0	836.0	3396.0	2398.0	603.0	276.0
не указавшие период постройки дома	5704.0	2371.0	109.0	210.0	1757.0	477.0	87.0	693.0
Проживающие в индивидуальных домах	481965.0	169899.0	3127.0	9324.0	218866.0	59423.0	14741.0	6585.0
в том числе построенных:								
в 1920 г. и ранее	17856.0	1188.0	9.0	8.0	14411.0	1416.0	680.0	144.0
в 1921-1945 гг.	27093.0	2439.0	9.0	34.0	20897.0	2440.0	991.0	283.0
в 1946-1956 гг.	66683.0	12137.0	56.0	416.0	42907.0	7984.0	2335.0	848.0
в 1957-1970 гг.	177840.0	51526.0	290.0	807.0	95235.0	22294.0	5390.0	2298.0
в 1971-1995 гг.	173300.0	93509.0	2415.0	7249.0	40532.0	22590.0	4695.0	2310.0
после 1995 г.	15296.0	7853.0	318.0	739.0	3256.0	2313.0	574.0	243.0
не указавшие период постройки дома	3897.0	1247.0	30.0	71.0	1628.0	386.0	76.0	459.0
Проживающие в отдельных квартирах	151589.0	89375.0	12406.0	17099.0	17164.0	10652.0	2674.0	2219.0
в том числе построенных:								
в 1920 г. и ранее	1949.0	316.0	-	16.0	1361.0	129.0	102.0	25.0
в 1921-1945 гг.	3027.0	715.0	4.0	3.0	1692.0	270.0	283.0	60.0
в 1946-1956 гг.	9743.0	5123.0	50.0	405.0	2241.0	1480.0	355.0	89.0
в 1957-1970 гг.	45347.0	28262.0	1530.0	3480.0	6467.0	4025.0	858.0	725.0
в 1971-1995 гг.	87815.0	53080.0	9957.0	12959.0	5134.0	4578.0	1036.0	1071.0
после 1995 г.	1923.0	759.0	786.0	97.0	140.0	79.0	29.0	33.0
не указавшие период постройки дома	1785.0	1120.0	79.0	139.0	129.0	91.0	11.0	216.0
Проживающие в коммунальных квартирах	873.0	389.0	29.0	23.0	260.0	126.0	7.0	39.0
в том числе построенных:								
в 1920 г. и ранее	23.0	10.0	-	-	9.0	-	4.0	-
в 1921-1945 гг.	40.0	20.0	-	-	20.0	-	-	-
в 1946-1956 гг.	142.0	40.0	-	13.0	60.0	29.0	-	-
в 1957-1970 гг.	289.0	129.0	8.0	-	78.0	61.0	3.0	10.0
в 1971-1995 гг.	333.0	171.0	18.0	10.0	93.0	30.0	-	11.0
после 1995 г.	24.0	15.0	3.0	-	-	6.0	-	-
не указавшие период постройки дома	22.0	4.0	-	-	-	-	-	18.0
Ростовская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	4091279.0	2496939.0	566075.0	86748.0	154829.0	569865.0	159422.0	57401.0
в том числе построенных:								
в 1920 г. и ранее	167673.0	108403.0	93.0	378.0	13567.0	34427.0	9089.0	1716.0
в 1921-1945 гг.	243213.0	127652.0	882.0	2559.0	19482.0	69692.0	20080.0	2866.0
в 1946-1956 гг.	524137.0	243926.0	1228.0	17882.0	46695.0	162738.0	44492.0	7176.0
в 1957-1970 гг.	1233981.0	797046.0	56769.0	27576.0	56087.0	215913.0	65258.0	15332.0
в 1971-1995 гг.	1721667.0	1089750.0	471008.0	33965.0	16487.0	73654.0	16936.0	19867.0
после 1995 г.	161189.0	109937.0	31553.0	3852.0	1439.0	9650.0	2658.0	2100.0
не указавшие период постройки дома	39419.0	20225.0	4542.0	536.0	1072.0	3791.0	909.0	8344.0
Проживающие в индивидуальных домах	1846162.0	1026590.0	6927.0	26912.0	139730.0	478154.0	142428.0	25421.0
в том числе построенных:								
в 1920 г. и ранее	62660.0	23358.0	42.0	133.0	10860.0	20121.0	7509.0	637.0
в 1921-1945 гг.	145547.0	52267.0	109.0	733.0	17304.0	55395.0	18157.0	1582.0
в 1946-1956 гг.	385634.0	155568.0	398.0	4781.0	41540.0	137788.0	40568.0	4991.0
в 1957-1970 гг.	700216.0	374924.0	664.0	10383.0	52620.0	192305.0	60552.0	8768.0
в 1971-1995 гг.	453844.0	344579.0	5059.0	8442.0	15128.0	61922.0	13237.0	5477.0
после 1995 г.	83003.0	68501.0	573.0	2209.0	1353.0	7593.0	1629.0	1145.0
не указавшие период постройки дома	15258.0	7393.0	82.0	231.0	925.0	3030.0	776.0	2821.0
Проживающие в отдельных квартирах	2190217.0	1431151.0	556000.0	58714.0	14246.0	83993.0	15758.0	30355.0
в том числе построенных:								
в 1920 г. и ранее	95189.0	77090.0	51.0	235.0	2524.0	12967.0	1403.0	919.0
в 1921-1945 гг.	88420.0	68952.0	772.0	1397.0	2012.0	12530.0	1704.0	1053.0
в 1946-1956 гг.	131016.0	84192.0	760.0	12655.0	4878.0	22973.0	3535.0	2023.0
в 1957-1970 гг.	521221.0	412758.0	55903.0	17065.0	3331.0	21494.0	4311.0	6359.0
в 1971-1995 гг.	1253831.0	734785.0	463184.0	25441.0	1285.0	11356.0	3662.0	14118.0
после 1995 г.	77624.0	41038.0	30923.0	1627.0	76.0	1997.0	1021.0	942.0
не указавшие период постройки дома	22916.0	12336.0	4407.0	294.0	140.0	676.0	122.0	4941.0
Проживающие в коммунальных квартирах	54900.0	39198.0	3148.0	1122.0	853.0	7718.0	1236.0	1625.0
в том числе построенных:								
в 1920 г. и ранее	9824.0	7955.0	-	10.0	183.0	1339.0	177.0	160.0
в 1921-1945 гг.	9246.0	6433.0	1.0	429.0	166.0	1767.0	219.0	231.0
в 1946-1956 гг.	7487.0	4166.0	70.0	446.0	277.0	1977.0	389.0	162.0
в 1957-1970 гг.	12544.0	9364.0	202.0	128.0	136.0	2114.0	395.0	205.0
в 1971-1995 гг.	13992.0	10386.0	2765.0	82.0	74.0	376.0	37.0	272.0
после 1995 г.	562.0	398.0	57.0	16.0	10.0	60.0	8.0	13.0
не указавшие период постройки дома	1245.0	496.0	53.0	11.0	7.0	85.0	11.0	582.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	2724134.0	1673105.0	531945.0	60887.0	52000.0	300956.0	65365.0	39876.0
в том числе построенных:								
в 1920 г. и ранее	137463.0	99928.0	66.0	321.0	6005.0	26037.0	3709.0	1397.0
в 1921-1945 гг.	174128.0	104807.0	829.0	2344.0	8432.0	46119.0	9373.0	2224.0
в 1946-1956 гг.	326548.0	167984.0	987.0	15946.0	19453.0	97050.0	20208.0	4920.0
в 1957-1970 гг.	728414.0	509794.0	55464.0	20933.0	13393.0	96994.0	22643.0	9193.0
в 1971-1995 гг.	1214554.0	701486.0	440737.0	18783.0	3831.0	28034.0	7512.0	14171.0
после 1995 г.	114797.0	75016.0	29524.0	2200.0	440.0	4566.0	1527.0	1524.0
не указавшие период постройки дома	28230.0	14090.0	4338.0	360.0	446.0	2156.0	393.0	6447.0
Проживающие в индивидуальных домах	858068.0	496083.0	1747.0	13112.0	42512.0	237019.0	54259.0	13336.0
в том числе построенных:								
в 1920 г. и ранее	34522.0	15996.0	18.0	84.0	3705.0	12083.0	2266.0	370.0
