3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
с 3 и более детьми	12494.0	71868.0				7151.0	5343.0	5.75220105651
в них детей		40717.0				21453.0	19264.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	28141.0	154721.0			4006.0	11759.0	12376.0	5.49806332398
из них домохозяйства, имеющие детей моложе 18 лет	21714.0	125911.0				9866.0	11848.0	5.79860919223
в том числе домохозяйства:								
с 1 ребенком	14677.0	78902.0				9866.0	4811.0	5.37589425632
с 2 детьми	5843.0	37177.0					5843.0	6.36265616978
с 3 и более детьми	1194.0	9832.0					1194.0	8.23450586265
в них детей		4059.0					4059.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	737.0	6269.0					737.0	8.50610583446
из них домохозяйства, имеющие детей моложе 18 лет	662.0	5775.0					662.0	8.72356495468
в том числе домохозяйства:								
с 1 ребенком	215.0	1605.0					215.0	7.46511627907
с 2 детьми	259.0	2135.0					259.0	8.24324324324
с 3 и более детьми	188.0	2035.0					188.0	10.8244680851
в них детей		758.0					758.0	
Домохозяйства, состоящие из матери с детьми	133194.0	302725.0	101552.0	27904.0	3075.0	471.0	192.0	2.27281258916
из них домохозяйства, имеющие детей моложе 18 лет	62023.0	151093.0	39184.0	19544.0	2669.0	441.0	185.0	2.43608016381
в том числе домохозяйства:								
с 1 ребенком	49098.0	109030.0	39184.0	9075.0	769.0	60.0	10.0	2.22066071938
с 2 детьми	11455.0	35502.0		10469.0	870.0	90.0	26.0	3.09925796595
с 3 и более детьми	1470.0	6561.0			1030.0	291.0	149.0	4.46326530612
в них детей		4776.0			3090.0	1027.0	659.0	
Домохозяйства, состоящие из отца с детьми	12880.0	28643.0	10327.0	2277.0	236.0	27.0	13.0	2.22383540373
из них домохозяйства, имеющие детей моложе 18 лет	4369.0	10468.0	2898.0	1258.0	180.0	21.0	12.0	2.39597161822
в том числе домохозяйства:								
с 1 ребенком	3590.0	7936.0	2898.0	631.0	58.0	3.0	-	2.21058495822
с 2 детьми	692.0	2153.0		627.0	57.0	5.0	3.0	3.1112716763
с 3 и более детьми	87.0	379.0			65.0	13.0	9.0	4.35632183908
в них детей		276.0			195.0	45.0	36.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	27759.0	89778.0		21982.0	5194.0	478.0	105.0	3.23419431536
из них домохозяйства, имеющие детей моложе 18 лет	21418.0	69986.0		16372.0	4495.0	452.0	99.0	3.26762536185
в том числе домохозяйства:								
с 1 ребенком	17943.0	55506.0		16372.0	1477.0	83.0	11.0	3.09346263167
с 2 детьми	3168.0	12829.0			3018.0	144.0	6.0	4.04955808081
с 3 и более детьми	307.0	1651.0				225.0	82.0	5.37785016287
в них детей		992.0				675.0	317.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	33245.0	127633.0		14196.0	13040.0	4234.0	1775.0	3.83916378403
из них домохозяйства, имеющие детей моложе 18 лет	24085.0	96777.0		7801.0	10730.0	3879.0	1675.0	4.01814407307
в том числе домохозяйства:								
с 1 ребенком	16862.0	62116.0		7577.0	7462.0	1509.0	314.0	3.68378602775
с 2 детьми	5876.0	26462.0		224.0	3185.0	1915.0	552.0	4.50340367597
с 3 и более детьми	1347.0	8199.0			83.0	455.0	809.0	6.0868596882
в них детей		4521.0			249.0	1379.0	2893.0	
Прочие домохозяйства	54333.0	126458.0	42894.0	8012.0	2235.0	620.0	572.0	2.32746213167
из них домохозяйства, имеющие детей моложе 18 лет	8632.0	23206.0	4976.0	2445.0	832.0	186.0	193.0	2.68836886006
в том числе домохозяйства:								
с 1 ребенком	6439.0	15656.0	4411.0	1515.0	381.0	84.0	48.0	2.4314334524
с 2 детьми	1516.0	4457.0	565.0	639.0	232.0	41.0	39.0	2.93997361478
с 3 и более детьми	677.0	3093.0		291.0	219.0	61.0	106.0	4.56868537666
в них детей		2551.0		873.0	761.0	222.0	695.0	
Саратовская область								
Все домохозяйства	781868.0	2392265.0	296811.0	247922.0	165435.0	48938.0	22762.0	3.05967887163
из них домохозяйства, имеющие детей моложе 18 лет	390235.0	1430177.0	39720.0	150375.0	134217.0	44230.0	21693.0	3.66491216831
в том числе домохозяйства:								
с 1 ребенком	265911.0	876852.0	39211.0	140122.0	61275.0	20069.0	5234.0	3.29753940228
с 2 детьми	106372.0	450041.0	509.0	10153.0	71579.0	15427.0	8704.0	4.23082202083
с 3 и более детьми	17952.0	103284.0		100.0	1363.0	8734.0	7755.0	5.75334224599
в них детей		59260.0		300.0	4143.0	26465.0	28352.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	554836.0	1754362.0	168421.0	193302.0	145144.0	36102.0	11867.0	3.16194695369
из них домохозяйства, имеющие детей моложе 18 лет	279409.0	1064641.0		114269.0	120485.0	33235.0	11420.0	3.81033180749
в том числе домохозяйства:								
с 1 ребенком	182057.0	629581.0		114269.0	54386.0	11565.0	1837.0	3.45815321575
с 2 детьми	83979.0	358599.0			66099.0	13970.0	3910.0	4.2701032401
с 3 и более детьми	13373.0	76461.0				7700.0	5673.0	5.7175652434
в них детей		43852.0				23100.0	20752.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	20586.0	112365.0			3254.0	8765.0	8567.0	5.45832118916
из них домохозяйства, имеющие детей моложе 18 лет	15626.0	90364.0				7436.0	8190.0	5.78292589274
в том числе домохозяйства:								
с 1 ребенком	10466.0	55902.0				7436.0	3030.0	5.34129562393
с 2 детьми	4206.0	26769.0					4206.0	6.36447931526
с 3 и более детьми	954.0	7693.0					954.0	8.06394129979
в них детей		3208.0					3208.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	455.0	3992.0					455.0	8.77362637363
из них домохозяйства, имеющие детей моложе 18 лет	406.0	3668.0					406.0	9.03448275862
в том числе домохозяйства:								
с 1 ребенком	132.0	1002.0					132.0	7.59090909091
с 2 детьми	136.0	1148.0					136.0	8.44117647059
с 3 и более детьми	138.0	1518.0					138.0	11.0
в них детей		548.0					548.0	
Домохозяйства, состоящие из матери с детьми	106309.0	241484.0	82123.0	20657.0	2740.0	546.0	243.0	2.27152922142
из них домохозяйства, имеющие детей моложе 18 лет	50374.0	123198.0	32143.0	15093.0	2400.0	508.0	230.0	2.44566641521
в том числе домохозяйства:								
с 1 ребенком	38988.0	85562.0	32143.0	6196.0	574.0	59.0	16.0	2.19457268903
с 2 детьми	9745.0	30242.0		8897.0	723.0	96.0	29.0	3.10333504361
с 3 и более детьми	1641.0	7394.0			1103.0	353.0	185.0	4.50578915296
в них детей		5385.0			3309.0	1261.0	815.0	
Домохозяйства, состоящие из отца с детьми	10241.0	22713.0	8387.0	1569.0	219.0	52.0	14.0	2.21784981935
из них домохозяйства, имеющие детей моложе 18 лет	3678.0	8795.0	2536.0	925.0	163.0	40.0	14.0	2.39124524198
в том числе домохозяйства:								
с 1 ребенком	3010.0	6570.0	2536.0	410.0	53.0	10.0	1.0	2.18272425249
с 2 детьми	573.0	1788.0		515.0	49.0	8.0	1.0	3.12041884817
с 3 и более детьми	95.0	437.0			61.0	22.0	12.0	4.6
в них детей		310.0			183.0	74.0	53.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	21656.0	70054.0		17200.0	3944.0	412.0	100.0	3.23485408201
из них домохозяйства, имеющие детей моложе 18 лет	17019.0	55585.0		13101.0	3425.0	394.0	99.0	3.26605558493
в том числе домохозяйства:								
с 1 ребенком	14181.0	43703.0		13101.0	1006.0	68.0	6.0	3.081799591
с 2 детьми	2524.0	10217.0			2419.0	92.0	13.0	4.04793977813
с 3 и более детьми	314.0	1665.0				234.0	80.0	5.3025477707
в них детей		1005.0				702.0	303.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	21738.0	83866.0		9152.0	8546.0	2730.0	1310.0	3.8580366179
из них домохозяйства, имеющие детей моложе 18 лет	15978.0	64581.0		5067.0	7143.0	2501.0	1267.0	4.04187007135
в том числе домохозяйства:								
с 1 ребенком	10927.0	40197.0		4863.0	4971.0	895.0	198.0	3.67868582411
с 2 детьми	3941.0	17702.0		204.0	2109.0	1227.0	401.0	4.49175336209
с 3 и более детьми	1110.0	6682.0			63.0	379.0	668.0	6.01981981982
в них детей		3745.0			189.0	1147.0	2409.0	
Прочие домохозяйства	46047.0	103429.0	37880.0	6042.0	1588.0	331.0	206.0	2.24616153061
из них домохозяйства, имеющие детей моложе 18 лет	7745.0	19345.0	5041.0	1920.0	601.0	116.0	67.0	2.49774047773
в том числе домохозяйства:								
с 1 ребенком	6150.0	14335.0	4532.0	1283.0	285.0	36.0	14.0	2.33089430894
с 2 детьми	1268.0	3576.0	509.0	537.0	180.0	34.0	8.0	2.82018927445
с 3 и более детьми	327.0	1434.0		100.0	136.0	46.0	45.0	4.38532110092
в них детей		1207.0		300.0	462.0	181.0	264.0	
Ульяновская область								
Все домохозяйства	406198.0	1248784.0	148841.0	129871.0	91857.0	24977.0	10652.0	3.07432335954
из них домохозяйства, имеющие детей моложе 18 лет	209667.0	767413.0	19429.0	80878.0	76235.0	22837.0	10288.0	3.66015157369
в том числе домохозяйства:								
с 1 ребенком	140452.0	464242.0	19229.0	75407.0	32685.0	10461.0	2670.0	3.30534275055
с 2 детьми	60751.0	255070.0	200.0	5354.0	42885.0	8079.0	4233.0	4.19861401458
с 3 и более детьми	8464.0	48101.0		117.0	665.0	4297.0	3385.0	5.68301039698
в них детей		28127.0		351.0	2061.0	13040.0	12675.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	300321.0	947500.0	89933.0	104306.0	82779.0	18309.0	4994.0	3.15495752878
из них домохозяйства, имеющие детей моложе 18 лет	155482.0	587133.0		63560.0	70054.0	17022.0	4846.0	3.77621203741
в том числе домохозяйства:								
с 1 ребенком	99828.0	343254.0		63560.0	29683.0	5788.0	797.0	3.43845414112
с 2 детьми	49406.0	208541.0			40371.0	7443.0	1592.0	4.22096506497
с 3 и более детьми	6248.0	35338.0				3791.0	2457.0	5.65588988476
в них детей		20492.0				11373.0	9119.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	11204.0	60920.0			1607.0	4913.0	4684.0	5.43734380578
из них домохозяйства, имеющие детей моложе 18 лет	8786.0	50299.0				4228.0	4558.0	5.72490325518
в том числе домохозяйства:								
с 1 ребенком	5951.0	31695.0				4228.0	1723.0	5.32599563099
с 2 детьми	2421.0	15261.0					2421.0	6.30359355638
с 3 и более детьми	414.0	3343.0					414.0	8.07487922705
в них детей		1407.0					1407.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	265.0	2278.0					265.0	8.59622641509
из них домохозяйства, имеющие детей моложе 18 лет	234.0	2064.0					234.0	8.82051282051
в том числе домохозяйства:								
с 1 ребенком	76.0	559.0					76.0	7.35526315789
с 2 детьми	78.0	651.0					78.0	8.34615384615
с 3 и более детьми	80.0	854.0					80.0	10.675
в них детей		322.0					322.0	
Домохозяйства, состоящие из матери с детьми	52495.0	119779.0	39771.0	11130.0	1273.0	226.0	95.0	2.28172206877
из них домохозяйства, имеющие детей моложе 18 лет	25954.0	63424.0	16311.0	8226.0	1110.0	213.0	94.0	2.44370809894
в том числе домохозяйства:								
с 1 ребенком	20055.0	44177.0	16311.0	3443.0	283.0	15.0	3.0	2.20279232112
с 2 детьми	5179.0	15990.0		4783.0	347.0	42.0	7.0	3.08746862329
с 3 и более детьми	720.0	3257.0			480.0	156.0	84.0	4.52361111111
в них детей		2385.0			1440.0	558.0	387.0	
Домохозяйства, состоящие из отца с детьми	4625.0	10342.0	3683.0	818.0	104.0	15.0	5.0	2.23610810811
из них домохозяйства, имеющие детей моложе 18 лет	1690.0	4099.0	1101.0	484.0	86.0	14.0	5.0	2.42544378698
в том числе домохозяйства:								
с 1 ребенком	1348.0	2971.0	1101.0	219.0	28.0	-	-	2.20400593472
с 2 детьми	295.0	920.0		265.0	25.0	5.0	-	3.1186440678
с 3 и более детьми	47.0	208.0			33.0	9.0	5.0	4.42553191489
в них детей		149.0			99.0	32.0	18.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	8878.0	28827.0		6999.0	1635.0	192.0	52.0	3.24701509349
из них домохозяйства, имеющие детей моложе 18 лет	7081.0	23239.0		5394.0	1448.0	187.0	52.0	3.28188109024
в том числе домохозяйства:								
с 1 ребенком	5849.0	18038.0		5394.0	420.0	34.0	1.0	3.08394597367
с 2 детьми	1076.0	4358.0			1028.0	42.0	6.0	4.05018587361
с 3 и более детьми	156.0	843.0				111.0	45.0	5.40384615385
в них детей		506.0				333.0	173.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	9439.0	35819.0		4180.0	3692.0	1123.0	444.0	3.79478758343
из них домохозяйства, имеющие детей моложе 18 лет	7115.0	28183.0		2427.0	3198.0	1060.0	430.0	3.96106816585
в том числе домохозяйства:								
с 1 ребенком	4890.0	17742.0		2324.0	2139.0	362.0	65.0	3.6282208589
с 2 детьми	1771.0	7766.0		103.0	1028.0	521.0	119.0	4.3850931677
с 3 и более детьми	454.0	2675.0			31.0	177.0	246.0	5.89207048458
в них детей		1528.0			93.0	536.0	899.0	
Прочие домохозяйства	18971.0	43319.0	15454.0	2438.0	767.0	199.0	113.0	2.28343260766
из них домохозяйства, имеющие детей моложе 18 лет	3325.0	8972.0	2017.0	787.0	339.0	113.0	69.0	2.69834586466
в том числе домохозяйства:								
с 1 ребенком	2455.0	5806.0	1817.0	467.0	132.0	34.0	5.0	2.3649694501
с 2 детьми	525.0	1583.0	200.0	203.0	86.0	26.0	10.0	3.01523809524
с 3 и более детьми	345.0	1583.0		117.0	121.0	53.0	54.0	4.5884057971
в них детей		1338.0		351.0	429.0	208.0	350.0	
Уральский федеральный округ								
Все домохозяйства	3594851.0	11168873.0	1300634.0	1144073.0	801056.0	235473.0	113615.0	3.10690846436
из них домохозяйства, имеющие детей моложе 18 лет	1931973.0	7075934.0	202012.0	741682.0	666551.0	214401.0	107327.0	3.66254290303
в том числе домохозяйства:								
с 1 ребенком	1271776.0	4142487.0	199655.0	684113.0	278493.0	86391.0	23124.0	3.25724577284
с 2 детьми	557283.0	2341513.0	2357.0	56567.0	379605.0	78540.0	40214.0	4.20165876224
с 3 и более детьми	102914.0	591934.0		1002.0	8453.0	49470.0	43989.0	5.7517344579
в них детей		343660.0		3006.0	26027.0	150006.0	164621.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	2556332.0	8205644.0	735651.0	881220.0	698487.0	179295.0	61679.0	3.20992891377
из них домохозяйства, имеющие детей моложе 18 лет	1383374.0	5287030.0		562021.0	594815.0	166894.0	59644.0	3.82183704479
в том числе домохозяйства:								
с 1 ребенком	868989.0	2986269.0		562021.0	244980.0	53415.0	8573.0	3.4364865378
с 2 детьми	438865.0	1867975.0			349835.0	70106.0	18924.0	4.25637724585
с 3 и более детьми	75520.0	432786.0				43373.0	32147.0	5.73074682203
в них детей		249585.0				130119.0	119466.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	82510.0	457029.0			12814.0	32702.0	36994.0	5.53907405163
из них домохозяйства, имеющие детей моложе 18 лет	62947.0	370338.0				27316.0	35631.0	5.88333042083
в том числе домохозяйства:								
с 1 ребенком	39834.0	214034.0				27316.0	12518.0	5.37314856655
с 2 детьми	18091.0	115547.0					18091.0	6.38698800509
с 3 и более детьми	5022.0	40757.0					5022.0	8.11569095978
в них детей		17124.0					17124.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	2124.0	17939.0					2124.0	8.44585687382
из них домохозяйства, имеющие детей моложе 18 лет	1879.0	16333.0					1879.0	8.69238956892
в том числе домохозяйства:								
с 1 ребенком	569.0	4222.0					569.0	7.42003514938
с 2 детьми	728.0	6111.0					728.0	8.39423076923
с 3 и более детьми	582.0	6000.0					582.0	10.3092783505
в них детей		2130.0					2130.0	
Домохозяйства, состоящие из матери с детьми	496468.0	1148593.0	366478.0	110258.0	15632.0	2868.0	1232.0	2.31352876721
из них домохозяйства, имеющие детей моложе 18 лет	270449.0	667186.0	167842.0	84645.0	14040.0	2720.0	1202.0	2.46695680147
в том числе домохозяйства:								
с 1 ребенком	206438.0	455593.0	167842.0	34880.0	3393.0	256.0	67.0	2.20692411281
с 2 детьми	55027.0	171215.0		49765.0	4533.0	611.0	118.0	3.11147254984
с 3 и более детьми	8984.0	40378.0			6114.0	1853.0	1017.0	4.49443455031
в них детей		29560.0			18342.0	6624.0	4594.0	
Домохозяйства, состоящие из отца с детьми	49806.0	112484.0	39260.0	8840.0	1320.0	243.0	143.0	2.2584427579
из них домохозяйства, имеющие детей моложе 18 лет	20837.0	50948.0	13619.0	5757.0	1097.0	223.0	141.0	2.44507366703
в том числе домохозяйства:								
с 1 ребенком	16620.0	36660.0	13619.0	2636.0	323.0	34.0	8.0	2.20577617329
с 2 детьми	3557.0	11224.0		3121.0	349.0	65.0	22.0	3.15546809109
с 3 и более детьми	660.0	3064.0			425.0	124.0	111.0	4.64242424242
в них детей		2218.0			1275.0	429.0	514.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	84212.0	275098.0		64956.0	16694.0	2095.0	467.0	3.2667315822
из них домохозяйства, имеющие детей моложе 18 лет	67667.0	223209.0		50542.0	14675.0	1993.0	457.0	3.29863892296
в том числе домохозяйства:								
с 1 ребенком	55147.0	170388.0		50542.0	4287.0	299.0	19.0	3.08970569569
с 2 детьми	11010.0	44757.0			10388.0	544.0	78.0	4.0651226158
с 3 и более детьми	1510.0	8064.0				1150.0	360.0	5.34039735099
в них детей		4864.0				3450.0	1414.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	113339.0	440418.0		47354.0	43496.0	15165.0	7324.0	3.88584688413
из них домохозяйства, имеющие детей моложе 18 лет	87328.0	352537.0		29143.0	37120.0	14101.0	6964.0	4.03692973617
в том числе домохозяйства:								
с 1 ребенком	57186.0	207859.0		28024.0	23451.0	4680.0	1031.0	3.63478823488
с 2 детьми	23324.0	103772.0		1119.0	13267.0	6927.0	2011.0	4.44915108901
с 3 и более детьми	6818.0	40906.0			402.0	2494.0	3922.0	5.99970665884
в них детей		23036.0			1206.0	7558.0	14272.0	
Прочие домохозяйства	210060.0	511668.0	159245.0	31445.0	12613.0	3105.0	3652.0	2.43581833762
из них домохозяйства, имеющие детей моложе 18 лет	37492.0	108353.0	20551.0	9574.0	4804.0	1154.0	1409.0	2.89002987304
в том числе домохозяйства:								
с 1 ребенком	26993.0	67462.0	18194.0	6010.0	2059.0	391.0	339.0	2.49924054384
с 2 детьми	6681.0	20912.0	2357.0	2562.0	1233.0	287.0	242.0	3.13007034875
с 3 и более детьми	3818.0	19979.0		1002.0	1512.0	476.0	828.0	5.23284442116
в них детей		15143.0		3006.0	5204.0	1826.0	5107.0	
Курганская область								
Все домохозяйства	301749.0	919180.0	118118.0	92884.0	62780.0	19182.0	8785.0	3.04617413811
из них домохозяйства, имеющие детей моложе 18 лет	155313.0	571018.0	14733.0	60182.0	53993.0	17885.0	8520.0	3.67656281187
в том числе домохозяйства:								
с 1 ребенком	98951.0	320843.0	14539.0	55758.0	20647.0	6452.0	1555.0	3.24244322948
с 2 детьми	46415.0	194143.0	194.0	4325.0	32584.0	6389.0	2923.0	4.18276419261
с 3 и более детьми	9947.0	56032.0		99.0	762.0	5044.0	4042.0	5.63305519252
в них детей		33157.0		297.0	2357.0	15320.0	15183.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	226394.0	706651.0	75947.0	74634.0	55772.0	14900.0	5141.0	3.12133272083
из них домохозяйства, имеющие детей моложе 18 лет	115679.0	441789.0		47502.0	49019.0	14134.0	5024.0	3.81909421762
в том числе домохозяйства:								
с 1 ребенком	70452.0	239331.0		47502.0	18575.0	3837.0	538.0	3.3970788622
с 2 детьми	37612.0	159280.0			30444.0	5816.0	1352.0	4.23481867489
с 3 и более детьми	7615.0	43178.0				4481.0	3134.0	5.67012475378
в них детей		25086.0				13443.0	11643.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	6479.0	35344.0			1077.0	2682.0	2720.0	5.45516283377
из них домохозяйства, имеющие детей моложе 18 лет	4933.0	28594.0				2300.0	2633.0	5.79647273464
в том числе домохозяйства:								
с 1 ребенком	3206.0	17074.0				2300.0	906.0	5.32563942608
с 2 детьми	1379.0	8751.0					1379.0	6.34590282814
с 3 и более детьми	348.0	2769.0					348.0	7.95689655172
в них детей		1177.0					1177.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	127.0	1022.0					127.0	8.04724409449
из них домохозяйства, имеющие детей моложе 18 лет	114.0	940.0					114.0	8.24561403509
в том числе домохозяйства:								
с 1 ребенком	42.0	302.0					42.0	7.19047619048
с 2 детьми	44.0	360.0					44.0	8.18181818182
с 3 и более детьми	28.0	278.0					28.0	9.92857142857
в них детей		99.0					99.0	
Домохозяйства, состоящие из матери с детьми	36964.0	85498.0	27617.0	7695.0	1254.0	269.0	129.0	2.3130072503
из них домохозяйства, имеющие детей моложе 18 лет	19503.0	48602.0	11970.0	6017.0	1135.0	259.0	122.0	2.49202686766
в том числе домохозяйства:								
с 1 ребенком	14468.0	31705.0	11970.0	2258.0	217.0	15.0	8.0	2.19138789052
с 2 детьми	4200.0	13112.0		3759.0	382.0	48.0	11.0	3.1219047619
с 3 и более детьми	835.0	3785.0			536.0	196.0	103.0	4.53293413174
в них детей		2780.0			1608.0	701.0	471.0	
Домохозяйства, состоящие из отца с детьми	3133.0	7042.0	2497.0	529.0	83.0	17.0	7.0	2.24768592403
из них домохозяйства, имеющие детей моложе 18 лет	1265.0	3094.0	831.0	337.0	73.0	17.0	7.0	2.44584980237
в том числе домохозяйства:								
с 1 ребенком	994.0	2176.0	831.0	141.0	19.0	3.0	-	2.18913480885
с 2 детьми	230.0	736.0		196.0	24.0	8.0	2.0	3.2
с 3 и более детьми	41.0	182.0			30.0	6.0	5.0	4.43902439024
в них детей		129.0			90.0	21.0	18.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	6100.0	19953.0		4697.0	1194.0	178.0	31.0	3.27098360656
из них домохозяйства, имеющие детей моложе 18 лет	4860.0	16091.0		3589.0	1070.0	172.0	29.0	3.31090534979
в том числе домохозяйства:								
с 1 ребенком	3912.0	12081.0		3589.0	301.0	22.0	-	3.08819018405
с 2 детьми	821.0	3339.0			769.0	49.0	3.0	4.06699147381
с 3 и более детьми	127.0	671.0				101.0	26.0	5.28346456693
в них детей		401.0				303.0	98.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	7028.0	27185.0		3052.0	2576.0	933.0	467.0	3.86809903244
из них домохозяйства, имеющие детей моложе 18 лет	5458.0	22027.0		1849.0	2271.0	882.0	456.0	4.03572737266
в том числе домохозяйства:								
с 1 ребенком	3416.0	12267.0		1748.0	1374.0	244.0	50.0	3.59104215457
с 2 детьми	1506.0	6627.0		101.0	854.0	440.0	111.0	4.40039840637
с 3 и более детьми	536.0	3133.0			43.0	198.0	295.0	5.84514925373
в них детей		1808.0			129.0	602.0	1077.0	
Прочие домохозяйства	15524.0	36485.0	12057.0	2277.0	824.0	203.0	163.0	2.350231899
из них домохозяйства, имеющие детей моложе 18 лет	3501.0	9881.0	1932.0	888.0	425.0	121.0	135.0	2.82233647529
в том числе домохозяйства:								
с 1 ребенком	2461.0	5907.0	1738.0	520.0	161.0	31.0	11.0	2.40024380333
с 2 детьми	623.0	1938.0	194.0	269.0	111.0	28.0	21.0	3.11075441413
с 3 и более детьми	417.0	2036.0		99.0	153.0	62.0	103.0	4.8824940048
в них детей		1677.0		297.0	530.0	250.0	600.0	
Свердловская область								
Все домохозяйства	1313059.0	3977421.0	511667.0	418377.0	272060.0	76338.0	34617.0	3.02912588086
из них домохозяйства, имеющие детей моложе 18 лет	664376.0	2392466.0	78300.0	262202.0	222013.0	69190.0	32671.0	3.60107228437
в том числе домохозяйства:								
с 1 ребенком	457080.0	1479244.0	77252.0	241525.0	100831.0	29980.0	7492.0	3.23629124005
с 2 детьми	177095.0	740367.0	1048.0	20248.0	118352.0	25063.0	12384.0	4.18062057088
с 3 и более детьми	30201.0	172855.0		429.0	2830.0	14147.0	12795.0	5.72348597729
в них детей		100793.0		1287.0	8736.0	42943.0	47827.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	910970.0	2864815.0	283282.0	316571.0	235027.0	57352.0	18738.0	3.14479620624
из них домохозяйства, имеющие детей моложе 18 лет	459401.0	1742687.0		192900.0	195527.0	52897.0	18077.0	3.79338965305
в том числе домохозяйства:								
с 1 ребенком	302455.0	1041949.0		192900.0	87901.0	18834.0	2820.0	3.4449719793
с 2 детьми	135645.0	578081.0			107626.0	22013.0	6006.0	4.2617199307
с 3 и более детьми	21301.0	122657.0				12050.0	9251.0	5.75827425942
в них детей		70373.0				36150.0	34223.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	26255.0	144054.0			4241.0	10881.0	11133.0	5.48672633784
из них домохозяйства, имеющие детей моложе 18 лет	19781.0	115296.0				9129.0	10652.0	5.82862342652
в том числе домохозяйства:								
с 1 ребенком	13108.0	70318.0				9129.0	3979.0	5.36451022276
с 2 детьми	5327.0	34009.0					5327.0	6.38426881922
с 3 и более детьми	1346.0	10969.0					1346.0	8.14933135215
в них детей		4566.0					4566.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	693.0	5836.0					693.0	8.42135642136
из них домохозяйства, имеющие детей моложе 18 лет	608.0	5266.0					608.0	8.66118421053
в том числе домохозяйства:								
с 1 ребенком	190.0	1417.0					190.0	7.45789473684
с 2 детьми	234.0	2002.0					234.0	8.55555555556
с 3 и более детьми	184.0	1847.0					184.0	10.0380434783
в них детей		643.0					643.0	
Домохозяйства, состоящие из матери с детьми	196856.0	450786.0	148611.0	41407.0	5444.0	987.0	407.0	2.28992766286
из них домохозяйства, имеющие детей моложе 18 лет	102289.0	250232.0	64779.0	31303.0	4864.0	939.0	404.0	2.44632365161
в том числе домохозяйства:								
с 1 ребенком	79635.0	175637.0	64779.0	13495.0	1241.0	98.0	22.0	2.20552520876
с 2 детьми	19605.0	60908.0		17808.0	1543.0	216.0	38.0	3.10675847998
с 3 и более детьми	3049.0	13687.0			2080.0	625.0	344.0	4.48901279108
в них детей		10020.0			6240.0	2230.0	1550.0	
Домохозяйства, состоящие из отца с детьми	19771.0	44298.0	15792.0	3396.0	461.0	77.0	45.0	2.24055434728
из них домохозяйства, имеющие детей моложе 18 лет	8133.0	19649.0	5430.0	2208.0	382.0	68.0	45.0	2.41595967048
в том числе домохозяйства:								
