																			
1. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Все население	Всего указали источников средств к существованию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
50 – 54	113094.0	95867.0	88767.0	7100.0	4403.0	3017.0	9743.0	64.0	129623.0	89798.0	83370.0	6428.0	5342.0	18238.0	16160.0	85.0			
55 – 59	53381.0	45672.0	42566.0	3106.0	1576.0	2252.0	3850.0	31.0	66658.0	42506.0	39665.0	2841.0	2413.0	14172.0	7521.0	46.0			
60 – 64	84324.0	71701.0	66631.0	5070.0	1792.0	6441.0	4365.0	25.0	120173.0	67694.0	63262.0	4432.0	3372.0	38928.0	10113.0	66.0			
65 – 69	72841.0	61547.0	57544.0	4003.0	946.0	7817.0	2517.0	14.0	111421.0	54175.0	50536.0	3639.0	3033.0	47115.0	7049.0	49.0			
70 и более	103021.0	78395.0	73795.0	4600.0	689.0	22138.0	1774.0	25.0	234854.0	60196.0	56004.0	4192.0	10114.0	154790.0	9647.0	107.0			
возраст не указан	377.0	123.0	106.0	17.0	48.0	2.0	14.0	190.0	437.0	148.0	132.0	16.0	41.0	34.0	14.0	200.0			
Республика Марий Эл																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	265292.0	168720.0	152839.0	15881.0	71594.0	9212.0	15017.0	749.0	319281.0	170257.0	154351.0	15906.0	64078.0	58576.0	25470.0	900.0			
в том числе в     возрасте, лет:																			
  до 16	-	-	-	-		-	-		1.0	1.0	-	1.0		-	-				
16 – 17	14285.0	39.0	14.0	25.0	14199.0	1.0	7.0	39.0	14189.0	191.0	78.0	113.0	13951.0	1.0	4.0	42.0			
18 – 19	12105.0	327.0	203.0	124.0	11721.0	1.0	4.0	52.0	13340.0	1208.0	777.0	431.0	12071.0	5.0	16.0	40.0			
20 – 24	27316.0	6528.0	5051.0	1477.0	20464.0	9.0	211.0	104.0	27831.0	10950.0	8740.0	2210.0	16110.0	82.0	591.0	98.0			
25 – 29	24336.0	14095.0	11865.0	2230.0	8978.0	39.0	1142.0	82.0	24474.0	16493.0	14262.0	2231.0	5683.0	346.0	1870.0	82.0			
30 – 34	22304.0	15964.0	14033.0	1931.0	4323.0	54.0	1880.0	83.0	23154.0	17091.0	15259.0	1832.0	2719.0	614.0	2668.0	62.0			
35 – 39	27096.0	20948.0	18898.0	2050.0	3557.0	149.0	2382.0	60.0	27807.0	21102.0	19380.0	1722.0	2082.0	1161.0	3395.0	67.0			
40 – 44	33659.0	26797.0	24499.0	2298.0	3592.0	368.0	2826.0	76.0	35020.0	26419.0	24512.0	1907.0	2155.0	2268.0	4098.0	80.0			
45 – 49	30152.0	24659.0	22846.0	1813.0	2350.0	502.0	2580.0	61.0	32517.0	23728.0	22077.0	1651.0	1756.0	3214.0	3736.0	83.0			
50 – 54	23134.0	19269.0	17939.0	1330.0	1233.0	680.0	1890.0	62.0	25587.0	17398.0	16127.0	1271.0	1316.0	3956.0	2846.0	71.0			
55 – 59	10161.0	8537.0	7962.0	575.0	401.0	497.0	703.0	23.0	11899.0	7483.0	6950.0	533.0	582.0	2541.0	1254.0	39.0			
60 – 64	14347.0	11837.0	11027.0	810.0	386.0	1364.0	728.0	32.0	20825.0	10855.0	10105.0	750.0	889.0	7139.0	1891.0	51.0			
65 – 69	10981.0	8815.0	8234.0	581.0	193.0	1565.0	394.0	14.0	18688.0	8009.0	7438.0	571.0	999.0	8491.0	1149.0	40.0			
70 и более	15365.0	10890.0	10253.0	637.0	195.0	3983.0	270.0	27.0	43884.0	9310.0	8628.0	682.0	3761.0	28756.0	1952.0	105.0			
возраст не указан	51.0	15.0	15.0	-	2.0	-	-	34.0	65.0	19.0	18.0	1.0	4.0	2.0	-	40.0			
Республика Мордовия																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	329003.0	217138.0	203512.0	13626.0	76849.0	11650.0	22432.0	934.0	403867.0	216796.0	203298.0	13498.0	71319.0	81218.0	33328.0	1206.0			
в том числе в     возрасте, лет:																			
  до 16	-	-	-	-		-	-		2.0	2.0	1.0	1.0		-	-				
16 – 17	14921.0	39.0	16.0	23.0	14818.0	2.0	4.0	58.0	14987.0	293.0	195.0	98.0	14649.0	2.0	7.0	36.0			
18 – 19	12232.0	375.0	332.0	43.0	11781.0	-	12.0	64.0	14714.0	1755.0	1487.0	268.0	12818.0	6.0	86.0	49.0			
20 – 24	30079.0	8301.0	7538.0	763.0	21185.0	9.0	469.0	115.0	31969.0	14018.0	12795.0	1223.0	16510.0	110.0	1191.0	140.0			
25 – 29	31362.0	18639.0	17151.0	1488.0	10493.0	45.0	2087.0	98.0	30244.0	20764.0	19180.0	1584.0	5888.0	374.0	3100.0	118.0			
30 – 34	30277.0	21653.0	20031.0	1622.0	5209.0	81.0	3220.0	114.0	29561.0	21815.0	20268.0	1547.0	3008.0	702.0	3914.0	122.0			
35 – 39	33557.0	25850.0	24044.0	1806.0	3806.0	151.0	3653.0	97.0	33313.0	25425.0	23865.0	1560.0	2294.0	1257.0	4240.0	97.0			
40 – 44	39859.0	31743.0	29680.0	2063.0	3717.0	323.0	3986.0	90.0	40597.0	30825.0	29107.0	1718.0	2197.0	2482.0	4993.0	100.0			
45 – 49	35155.0	28484.0	26786.0	1698.0	2671.0	507.0	3425.0	68.0	37229.0	27322.0	25771.0	1551.0	1935.0	3532.0	4333.0	107.0			
50 – 54	29274.0	24259.0	22917.0	1342.0	1573.0	725.0	2652.0	65.0	32969.0	22719.0	21407.0	1312.0	1627.0	4864.0	3679.0	80.0			
55 – 59	13156.0	11101.0	10483.0	618.0	510.0	561.0	952.0	32.0	16834.0	10570.0	10032.0	538.0	756.0	3787.0	1671.0	50.0			
60 – 64	21177.0	17840.0	16966.0	874.0	590.0	1637.0	1070.0	40.0	30530.0	16224.0	15414.0	810.0	1350.0	10523.0	2330.0	103.0			
65 – 69	15912.0	13180.0	12578.0	602.0	275.0	1865.0	565.0	27.0	25815.0	11350.0	10784.0	566.0	1488.0	11480.0	1439.0	58.0			
70 и более	22011.0	15663.0	14981.0	682.0	219.0	5744.0	337.0	48.0	65070.0	13705.0	12984.0	721.0	6799.0	42095.0	2343.0	128.0			
возраст не указан	31.0	11.0	9.0	2.0	2.0	-	-	18.0	33.0	9.0	8.0	1.0	-	4.0	2.0	18.0			
Республика Татарстан																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	1364163.0	892340.0	822878.0	69462.0	344797.0	42356.0	84158.0	512.0	1661175.0	897550.0	827640.0	69910.0	310669.0	299707.0	152656.0	593.0			
в том числе в     возрасте, лет:																			
  до 16	1.0	1.0	1.0	-		-	-		31.0	31.0	5.0	26.0		-	-				
16 – 17	69751.0	174.0	92.0	82.0	69540.0	9.0	11.0	17.0	67536.0	910.0	481.0	429.0	66571.0	13.0	28.0	14.0			
18 – 19	59442.0	1358.0	956.0	402.0	58022.0	14.0	35.0	13.0	66050.0	6459.0	4696.0	1763.0	59381.0	35.0	154.0	21.0			
20 – 24	132375.0	31090.0	25731.0	5359.0	99927.0	41.0	1263.0	54.0	142581.0	57806.0	48852.0	8954.0	80187.0	441.0	4095.0	52.0			
25 – 29	133639.0	77812.0	67464.0	10348.0	48998.0	152.0	6621.0	56.0	137365.0	91819.0	81135.0	10684.0	31390.0	1489.0	12633.0	34.0			
30 – 34	121932.0	89200.0	79756.0	9444.0	21665.0	329.0	10694.0	44.0	125442.0	91882.0	83239.0	8643.0	13898.0	2813.0	16816.0	33.0			
35 – 39	138083.0	109496.0	100327.0	9169.0	14727.0	651.0	13177.0	32.0	143761.0	108424.0	100464.0	7960.0	9921.0	5375.0	20012.0	29.0			
40 – 44	164331.0	133916.0	123992.0	9924.0	13002.0	1377.0	16005.0	31.0	174143.0	129280.0	120600.0	8680.0	9678.0	10179.0	24980.0	26.0			
45 – 49	138196.0	114173.0	106412.0	7761.0	8264.0	1981.0	13750.0	28.0	157968.0	112220.0	105142.0	7078.0	8410.0	14383.0	22917.0	38.0			
50 – 54	112530.0	94511.0	88921.0	5590.0	4907.0	2892.0	10195.0	25.0	131823.0	88241.0	82960.0	5281.0	6580.0	18923.0	18052.0	27.0			
55 – 59	54362.0	46212.0	43715.0	2497.0	1813.0	2143.0	4181.0	13.0	67768.0	42040.0	39839.0	2201.0	3064.0	14362.0	8288.0	14.0			
60 – 64	82706.0	70360.0	66809.0	3551.0	2047.0	5921.0	4365.0	13.0	117134.0	64816.0	61814.0	3002.0	4242.0	38144.0	9904.0	28.0			
65 – 69	63747.0	53745.0	51317.0	2428.0	1033.0	6646.0	2313.0	10.0	99165.0	47066.0	44804.0	2262.0	3847.0	42057.0	6174.0	21.0			
70 и более	92664.0	70135.0	67254.0	2881.0	795.0	20194.0	1528.0	12.0	229878.0	56333.0	53406.0	2927.0	13451.0	151469.0	8583.0	42.0			
возраст не указан	404.0	157.0	131.0	26.0	57.0	6.0	20.0	164.0	530.0	223.0	203.0	20.0	49.0	24.0	20.0	214.0			
Удмуртская Республика																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	567912.0	370032.0	327912.0	42120.0	146887.0	17185.0	32948.0	860.0	690155.0	372383.0	330402.0	41981.0	139434.0	119970.0	57416.0	952.0			
в том числе в     возрасте, лет:																			
  до 16	2.0	2.0	1.0	1.0		-	-		5.0	5.0	-	5.0		-	-				
16 – 17	29362.0	111.0	37.0	74.0	29211.0	-	13.0	27.0	28566.0	457.0	171.0	286.0	28065.0	3.0	18.0	23.0			
18 – 19	25620.0	893.0	486.0	407.0	24662.0	5.0	16.0	44.0	28508.0	3216.0	1886.0	1330.0	25204.0	13.0	51.0	24.0			
20 – 24	61197.0	16970.0	12471.0	4499.0	43559.0	19.0	544.0	105.0	63349.0	27106.0	20680.0	6426.0	34504.0	191.0	1458.0	90.0			
25 – 29	59030.0	36015.0	29375.0	6640.0	19993.0	66.0	2865.0	91.0	59307.0	39586.0	33091.0	6495.0	14251.0	649.0	4718.0	103.0			
30 – 34	50652.0	37414.0	31739.0	5675.0	8805.0	129.0	4218.0	86.0	51879.0	37736.0	32710.0	5026.0	6752.0	1237.0	6066.0	88.0			
35 – 39	55152.0	43450.0	38294.0	5156.0	6483.0	277.0	4851.0	91.0	57337.0	43092.0	38786.0	4306.0	4956.0	2290.0	6927.0	72.0			
40 – 44	69117.0	56170.0	50518.0	5652.0	6027.0	692.0	6151.0	77.0	74688.0	55631.0	50814.0	4817.0	5060.0	4613.0	9312.0	72.0			
45 – 49	62383.0	51641.0	47118.0	4523.0	3935.0	1072.0	5642.0	93.0	69637.0	50101.0	45989.0	4112.0	4187.0	6627.0	8638.0	84.0			
50 – 54	49540.0	41911.0	38617.0	3294.0	2176.0	1365.0	4029.0	59.0	57817.0	39397.0	36231.0	3166.0	3158.0	8266.0	6923.0	73.0			
55 – 59	23211.0	19745.0	18212.0	1533.0	716.0	1075.0	1631.0	44.0	28675.0	17633.0	16278.0	1355.0	1512.0	6173.0	3316.0	41.0			
60 – 64	29855.0	25041.0	23103.0	1938.0	629.0	2552.0	1599.0	34.0	43951.0	22882.0	21115.0	1767.0	2125.0	15013.0	3870.0	61.0			
65 – 69	23176.0	19121.0	17789.0	1332.0	374.0	2819.0	832.0	30.0	40125.0	17225.0	15843.0	1382.0	2059.0	18183.0	2607.0	51.0			
70 и более	29509.0	21511.0	20124.0	1387.0	305.0	7111.0	554.0	28.0	86206.0	18290.0	16786.0	1504.0	7591.0	56704.0	3507.0	114.0			
возраст не указан	106.0	37.0	28.0	9.0	12.0	3.0	3.0	51.0	105.0	26.0	22.0	4.0	10.0	8.0	5.0	56.0			
Чувашская Республика																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	475588.0	303532.0	282438.0	21094.0	127597.0	17032.0	26368.0	1059.0	577193.0	307579.0	286090.0	21489.0	120743.0	104334.0	43215.0	1322.0			
в том числе в     возрасте, лет:																			
  до 16	2.0	2.0	-	2.0		-	-		6.0	6.0	2.0	4.0		-	-				
16 – 17	24598.0	56.0	25.0	31.0	24492.0	5.0	8.0	37.0	24494.0	272.0	160.0	112.0	24162.0	11.0	14.0	35.0			
18 – 19	19560.0	431.0	297.0	134.0	19078.0	-	13.0	38.0	23525.0	1910.0	1444.0	466.0	21524.0	5.0	42.0	44.0			
20 – 24	46355.0	9861.0	8349.0	1512.0	35975.0	14.0	382.0	123.0	50143.0	19334.0	16617.0	2717.0	29460.0	146.0	1096.0	107.0			
25 – 29	47166.0	26101.0	23279.0	2822.0	18893.0	63.0	1978.0	131.0	48613.0	32303.0	29087.0	3216.0	11978.0	552.0	3649.0	131.0			
30 – 34	45439.0	32150.0	29238.0	2912.0	9577.0	116.0	3489.0	107.0	46462.0	34056.0	31291.0	2765.0	5712.0	1221.0	5334.0	139.0			
35 – 39	51151.0	39350.0	36469.0	2881.0	6870.0	242.0	4580.0	109.0	50706.0	38390.0	36025.0	2365.0	4054.0	2097.0	6056.0	109.0			
40 – 44	56343.0	45046.0	42165.0	2881.0	5660.0	561.0	4964.0	112.0	57685.0	43625.0	41229.0	2396.0	3536.0	3686.0	6719.0	119.0			
45 – 49	47467.0	39238.0	36948.0	2290.0	3199.0	795.0	4161.0	74.0	51495.0	37676.0	35683.0	1993.0	2864.0	5077.0	5775.0	103.0			
50 – 54	38733.0	32506.0	30805.0	1701.0	1920.0	1287.0	2969.0	51.0	44152.0	30304.0	28685.0	1619.0	2383.0	6765.0	4616.0	84.0			
55 – 59	18369.0	15608.0	14818.0	790.0	602.0	938.0	1174.0	47.0	22873.0	14418.0	13661.0	757.0	1140.0	5040.0	2220.0	55.0			
60 – 64	27918.0	23329.0	22130.0	1199.0	631.0	2569.0	1342.0	47.0	39590.0	21219.0	20101.0	1118.0	2082.0	13337.0	2869.0	83.0			
65 – 69	22869.0	18633.0	17632.0	1001.0	368.0	3048.0	788.0	32.0	37619.0	16661.0	15747.0	914.0	2625.0	16245.0	2019.0	69.0			
70 и более	29458.0	21191.0	20256.0	935.0	324.0	7391.0	515.0	37.0	79650.0	17371.0	16327.0	1044.0	9212.0	50142.0	2800.0	125.0			
возраст не указан	160.0	30.0	27.0	3.0	8.0	3.0	5.0	114.0	180.0	34.0	31.0	3.0	11.0	10.0	6.0	119.0			
Кировская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	562894.0	369330.0	326529.0	42801.0	135383.0	19486.0	37621.0	1074.0	681069.0	370602.0	328006.0	42596.0	119225.0	133558.0	56457.0	1227.0			
в том числе в     возрасте, лет:																			
  до 16	-	-	-	-		-	-		4.0	4.0	-	4.0		-	-				
16 – 17	26850.0	98.0	29.0	69.0	26712.0	5.0	7.0	28.0	25894.0	402.0	147.0	255.0	25454.0	2.0	7.0	29.0			
18 – 19	23983.0	638.0	333.0	305.0	23297.0	2.0	15.0	31.0	26450.0	2858.0	1579.0	1279.0	23507.0	7.0	46.0	32.0			
20 – 24	54792.0	14586.0	10327.0	4259.0	39578.0	9.0	510.0	109.0	56045.0	24520.0	18403.0	6117.0	29890.0	136.0	1406.0	93.0			
25 – 29	52349.0	32609.0	26433.0	6176.0	16783.0	39.0	2806.0	112.0	51538.0	35945.0	29958.0	5987.0	10596.0	519.0	4379.0	99.0			
30 – 34	45472.0	33602.0	28439.0	5163.0	7239.0	128.0	4413.0	90.0	44931.0	33632.0	28905.0	4727.0	4765.0	891.0	5576.0	67.0			
35 – 39	49136.0	38308.0	33480.0	4828.0	5264.0	241.0	5265.0	58.0	50462.0	38643.0	34598.0	4045.0	3402.0	1800.0	6542.0	75.0			
40 – 44	67215.0	53754.0	48084.0	5670.0	5863.0	683.0	6830.0	85.0	69474.0	53201.0	48477.0	4724.0	3450.0	3820.0	8897.0	106.0			
45 – 49	64549.0	52081.0	47173.0	4908.0	4740.0	1064.0	6589.0	75.0	67182.0	50039.0	45750.0	4289.0	2886.0	5742.0	8434.0	81.0			
50 – 54	53757.0	43999.0	40082.0	3917.0	2867.0	1506.0	5296.0	89.0	57611.0	40700.0	37139.0	3561.0	2444.0	7640.0	6752.0	75.0			
55 – 59	23427.0	19511.0	17854.0	1657.0	911.0	989.0	1995.0	21.0	26613.0	17287.0	15788.0	1499.0	1125.0	5199.0	2966.0	36.0			
60 – 64	33405.0	27546.0	25090.0	2456.0	1080.0	2653.0	2088.0	38.0	47821.0	26391.0	24174.0	2217.0	1801.0	15494.0	4079.0	56.0			
65 – 69	28149.0	23132.0	21419.0	1713.0	601.0	3294.0	1101.0	21.0	45715.0	20906.0	19133.0	1773.0	1873.0	19998.0	2889.0	49.0			
70 и более	39395.0	29358.0	27686.0	1672.0	434.0	8872.0	706.0	25.0	110880.0	25967.0	23857.0	2110.0	8026.0	72304.0	4478.0	105.0			
возраст не указан	415.0	108.0	100.0	8.0	14.0	1.0	-	292.0	449.0	107.0	98.0	9.0	6.0	6.0	6.0	324.0			
Нижегородская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	1306776.0	852294.0	791271.0	61023.0	307505.0	51468.0	95292.0	217.0	1642954.0	857956.0	797161.0	60795.0	267184.0	349553.0	168009.0	252.0			
в том числе в     возрасте, лет:																			
  до 16	2.0	2.0	2.0	-		-	-		19.0	17.0	4.0	13.0		2.0	-				
16 – 17	57229.0	240.0	132.0	108.0	56951.0	7.0	24.0	7.0	56460.0	1079.0	640.0	439.0	55305.0	20.0	52.0	4.0			
18 – 19	60459.0	1549.0	1166.0	383.0	58826.0	9.0	68.0	7.0	56942.0	7106.0	5643.0	1463.0	49581.0	28.0	221.0	6.0			
20 – 24	130910.0	34848.0	30141.0	4707.0	94182.0	59.0	1805.0	16.0	127491.0	57850.0	50929.0	6921.0	63853.0	446.0	5334.0	8.0			
25 – 29	120932.0	74226.0	66358.0	7868.0	38136.0	171.0	8388.0	11.0	121970.0	82471.0	74162.0	8309.0	23871.0	1403.0	14210.0	15.0			
30 – 34	112864.0	82333.0	74131.0	8202.0	17187.0	388.0	12939.0	17.0	114765.0	82676.0	74841.0	7835.0	11249.0	2734.0	18091.0	15.0			
35 – 39	114998.0	88982.0	81229.0	7753.0	11424.0	698.0	13880.0	14.0	120763.0	89021.0	82473.0	6548.0	7855.0	4744.0	19130.0	13.0			
40 – 44	146204.0	116344.0	107984.0	8360.0	11231.0	1617.0	17001.0	11.0	157094.0	114957.0	107845.0	7112.0	8173.0	9603.0	24347.0	14.0			
45 – 49	136820.0	110741.0	103524.0	7217.0	8328.0	2277.0	15466.0	8.0	153318.0	108465.0	102029.0	6436.0	7455.0	14493.0	22888.0	17.0			
50 – 54	115734.0	95756.0	90326.0	5430.0	5192.0	3427.0	11354.0	5.0	138239.0	91262.0	86071.0	5191.0	6886.0	20702.0	19376.0	13.0			
55 – 59	60306.0	50516.0	47871.0	2645.0	1934.0	2731.0	5121.0	4.0	78165.0	46639.0	44193.0	2446.0	3654.0	17436.0	10427.0	9.0			
60 – 64	80471.0	67019.0	63726.0	3293.0	1989.0	6721.0	4737.0	5.0	125556.0	64343.0	61366.0	2977.0	4838.0	43827.0	12531.0	17.0			
65 – 69	70398.0	58308.0	55869.0	2439.0	1130.0	8267.0	2688.0	5.0	121097.0	52436.0	50072.0	2364.0	5077.0	54536.0	9033.0	15.0			
70 и более	99295.0	71388.0	68771.0	2617.0	986.0	25094.0	1819.0	8.0	270935.0	59588.0	56850.0	2738.0	19381.0	179573.0	12367.0	26.0			
возраст не указан	154.0	42.0	41.0	1.0	9.0	2.0	2.0	99.0	140.0	46.0	43.0	3.0	6.0	6.0	2.0	80.0			
Оренбургская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	800262.0	528816.0	479980.0	48836.0	193715.0	25632.0	51029.0	1070.0	945365.0	530870.0	482273.0	48597.0	154944.0	167322.0	91000.0	1229.0			
в том числе в     возрасте, лет:																			
  до 16	8.0	8.0	6.0	2.0		-	-		32.0	31.0	10.0	21.0		-	1.0				
16 – 17	40546.0	127.0	63.0	64.0	40330.0	8.0	16.0	65.0	39841.0	890.0	496.0	394.0	38877.0	10.0	19.0	45.0			
18 – 19	37768.0	1119.0	784.0	335.0	36575.0	4.0	40.0	30.0	37843.0	5364.0	4179.0	1185.0	32233.0	19.0	200.0	27.0			
20 – 24	88041.0	24018.0	20542.0	3476.0	62611.0	33.0	1310.0	69.0	85411.0	41522.0	36179.0	5343.0	40101.0	361.0	3373.0	54.0			
25 – 29	76994.0	49205.0	43267.0	5938.0	22762.0	101.0	4875.0	51.0	78814.0	55806.0	49332.0	6474.0	13634.0	997.0	8331.0	46.0			
30 – 34	71554.0	54190.0	48001.0	6189.0	10136.0	213.0	6968.0	47.0	73054.0	54988.0	48964.0	6024.0	6190.0	1804.0	10037.0	35.0			
35 – 39	77889.0	62653.0	56067.0	6586.0	6935.0	406.0	7857.0	38.0	81028.0	62175.0	56424.0	5751.0	4383.0	3085.0	11349.0	36.0			
40 – 44	94919.0	78722.0	71560.0	7162.0	5999.0	860.0	9305.0	33.0	99924.0	75760.0	69607.0	6153.0	4088.0	5731.0	14293.0	52.0			
45 – 49	79641.0	67356.0	61647.0	5709.0	3563.0	1164.0	7532.0	26.0	87278.0	64035.0	58963.0	5072.0	3085.0	7778.0	12347.0	33.0			
50 – 54	64680.0	55299.0	51082.0	4217.0	2082.0	1682.0	5588.0	29.0	73206.0	50664.0	46893.0	3771.0	2473.0	10201.0	9836.0	32.0			
55 – 59	31961.0	27311.0	25340.0	1971.0	855.0	1342.0	2440.0	13.0	39617.0	25316.0	23486.0	1830.0	1147.0	8430.0	4709.0	15.0			
60 – 64	48406.0	40985.0	38067.0	2918.0	951.0	3804.0	2657.0	9.0	69683.0	38640.0	35973.0	2667.0	1676.0	22981.0	6358.0	28.0			
65 – 69	36650.0	30735.0	28708.0	2027.0	454.0	4063.0	1390.0	8.0	55755.0	26013.0	24208.0	1805.0	1465.0	24029.0	4229.0	19.0			
70 и более	50151.0	36734.0	34524.0	2210.0	423.0	11946.0	1036.0	12.0	122669.0	29292.0	27221.0	2071.0	5545.0	81883.0	5896.0	53.0			
возраст не указан	1054.0	354.0	322.0	32.0	39.0	6.0	15.0	640.0	1210.0	374.0	338.0	36.0	47.0	13.0	22.0	754.0			
Пензенская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	539752.0	362042.0	337360.0	24682.0	118454.0	19409.0	39011.0	836.0	669435.0	363825.0	339355.0	24470.0	103511.0	135756.0	65456.0	887.0			
в том числе в     возрасте, лет:																			
  до 16	4.0	4.0	1.0	3.0		-	-		20.0	20.0	4.0	16.0		-	-				
16 – 17	23925.0	64.0	41.0	23.0	23712.0	7.0	3.0	139.0	23026.0	446.0	295.0	151.0	22465.0	4.0	10.0	101.0			
18 – 19	20555.0	587.0	474.0	113.0	19882.0	4.0	17.0	65.0	22883.0	3017.0	2536.0	481.0	19703.0	9.0	111.0	43.0			
20 – 24	49496.0	13560.0	12111.0	1449.0	35027.0	22.0	787.0	100.0	50712.0	23804.0	21648.0	2156.0	24528.0	161.0	2135.0	84.0			
25 – 29	47887.0	29675.0	27174.0	2501.0	14892.0	39.0	3207.0	74.0	48476.0	33756.0	31052.0	2704.0	8588.0	624.0	5440.0	68.0			
30 – 34	46333.0	34438.0	31526.0	2912.0	6695.0	98.0	5055.0	47.0	47615.0	35194.0	32405.0	2789.0	4313.0	1066.0	6982.0	60.0			
35 – 39	50205.0	39526.0	36514.0	3012.0	4806.0	222.0	5598.0	53.0	52206.0	39421.0	36768.0	2653.0	3179.0	1996.0	7546.0	64.0			
40 – 44	60701.0	48989.0	45473.0	3516.0	4688.0	511.0	6455.0	58.0	64128.0	48110.0	45185.0	2925.0	3162.0	3683.0	9124.0	49.0			
45 – 49	56490.0	45912.0	42800.0	3112.0	3479.0	825.0	6221.0	53.0	62641.0	45212.0	42327.0	2885.0	2838.0	5713.0	8814.0	64.0			
50 – 54	51772.0	42790.0	40086.0	2704.0	2486.0	1295.0	5148.0	53.0	59996.0	40887.0	38321.0	2566.0	2472.0	8595.0	7989.0	53.0			
55 – 59	25854.0	21738.0	20487.0	1251.0	878.0	966.0	2240.0	32.0	32141.0	20149.0	18950.0	1199.0	1217.0	6816.0	3927.0	32.0			
60 – 64	38746.0	32540.0	30795.0	1745.0	1041.0	2840.0	2284.0	41.0	55842.0	30358.0	28734.0	1624.0	1955.0	18165.0	5314.0	50.0			
65 – 69	27043.0	22585.0	21524.0	1061.0	447.0	2826.0	1166.0	19.0	42447.0	19521.0	18501.0	1020.0	1624.0	18179.0	3097.0	26.0			
70 и более	40618.0	29603.0	28325.0	1278.0	413.0	9753.0	825.0	24.0	107167.0	23896.0	22596.0	1300.0	7457.0	70738.0	4965.0	111.0			
возраст не указан	123.0	31.0	29.0	2.0	8.0	1.0	5.0	78.0	135.0	34.0	33.0	1.0	10.0	7.0	2.0	82.0			
Пермская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	1030934.0	654904.0	541448.0	113456.0	265385.0	35187.0	69293.0	6165.0	1249278.0	658469.0	545336.0	113133.0	242308.0	222141.0	119461.0	6899.0			
в том числе в     возрасте, лет:																			
  до 16	10.0	10.0	4.0	6.0		-	-		49.0	49.0	4.0	45.0		-	-				
16 – 17	52428.0	251.0	60.0	191.0	51908.0	8.0	20.0	241.0	51283.0	1221.0	283.0	938.0	49805.0	8.0	29.0	220.0			
18 – 19	47617.0	1693.0	700.0	993.0	45630.0	11.0	23.0	260.0	51051.0	6733.0	2804.0	3929.0	43965.0	25.0	120.0	208.0			
20 – 24	106991.0	29387.0	16948.0	12439.0	75880.0	37.0	1019.0	668.0	109542.0	48005.0	29569.0	18436.0	57992.0	340.0	2588.0	617.0			
25 – 29	108452.0	65137.0	44640.0	20497.0	37411.0	116.0	5109.0	679.0	109364.0	71891.0	51745.0	20146.0	27076.0	1081.0	8679.0	637.0			
30 – 34	95274.0	68935.0	52411.0	16524.0	16853.0	272.0	8593.0	621.0	95913.0	68096.0	53896.0	14200.0	12695.0	2056.0	12498.0	568.0			
35 – 39	94753.0	72740.0	59411.0	13329.0	10701.0	566.0	10213.0	533.0	97178.0	70271.0	59466.0	10805.0	8503.0	3817.0	14121.0	466.0			
40 – 44	115075.0	90611.0	76865.0	13746.0	10074.0	1313.0	12532.0	545.0	121974.0	87790.0	76655.0	11135.0	8104.0	7321.0	18172.0	587.0			
45 – 49	107652.0	86121.0	74814.0	11307.0	7402.0	2207.0	11486.0	436.0	120539.0	84565.0	74492.0	10073.0	7080.0	10896.0	17504.0	494.0			
50 – 54	94127.0	76537.0	67653.0	8884.0	4692.0	3090.0	9393.0	415.0	109244.0	72075.0	63794.0	8281.0	6056.0	15413.0	15189.0	511.0			
55 – 59	45340.0	37269.0	33266.0	4003.0	1574.0	2325.0	3952.0	220.0	56386.0	33956.0	30381.0	3575.0	3024.0	11796.0	7326.0	284.0			
60 – 64	58196.0	47555.0	42643.0	4912.0	1614.0	5197.0	3604.0	226.0	85907.0	44611.0	40190.0	4421.0	3811.0	28290.0	8794.0	401.0			
65 – 69	42736.0	34590.0	31454.0	3136.0	810.0	5264.0	1922.0	150.0	72910.0	31755.0	28601.0	3154.0	3207.0	31830.0	5836.0	282.0			
70 и более	60858.0	43731.0	40315.0	3416.0	755.0	14776.0	1410.0	186.0	166424.0	37075.0	33149.0	3926.0	10929.0	109230.0	8587.0	603.0			
возраст не указан	1425.0	337.0	264.0	73.0	81.0	5.0	17.0	985.0	1514.0	376.0	307.0	69.0	61.0	38.0	18.0	1021.0			
Коми-Пермяцкий автономный округ																			
