11. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Численность населения соответствующей национальности в возрасте 15 лет и более	в том числе имеют образование								Не имеют начального общего образования	из них неграмотные 	Не указавшие уровень образования
Мордва	23833.0	31.0	1827.0	259.0	5321.0	3559.0	3647.0	3945.0	4408.0	835.0	419.0	1.0
Украинцы	23122.0	138.0	6256.0	589.0	6641.0	2280.0	3435.0	2282.0	1386.0	114.0	45.0	1.0
Марийцы	6694.0	5.0	396.0	90.0	1338.0	1635.0	1086.0	1082.0	872.0	190.0	96.0	-
Городское население	2355271.0	6874.0	399939.0	72722.0	663625.0	287031.0	443749.0	309765.0	157039.0	14303.0	6705.0	224.0
Русские	2251692.0	6389.0	378674.0	69811.0	638198.0	275702.0	422563.0	297362.0	149913.0	12973.0	5955.0	107.0
Татары	25352.0	70.0	3408.0	680.0	6014.0	3435.0	5466.0	3794.0	2172.0	312.0	207.0	1.0
Мордва	12409.0	27.0	1252.0	184.0	3292.0	1838.0	2247.0	1704.0	1601.0	263.0	140.0	1.0
Украинцы	18937.0	123.0	5660.0	521.0	5437.0	1678.0	2704.0	1718.0	1011.0	84.0	33.0	1.0
Марийцы	2889.0	5.0	316.0	80.0	757.0	505.0	573.0	374.0	243.0	36.0	19.0	-
Сельское население	652925.0	353.0	40726.0	6503.0	129204.0	100955.0	104050.0	120742.0	131570.0	18801.0	10520.0	21.0
Русские	601067.0	304.0	37515.0	6001.0	120734.0	93726.0	94144.0	110614.0	121486.0	16540.0	9043.0	3.0
Татары	18548.0	11.0	944.0	183.0	1964.0	1601.0	4427.0	3850.0	4645.0	922.0	739.0	1.0
Мордва	11424.0	4.0	575.0	75.0	2029.0	1721.0	1400.0	2241.0	2807.0	572.0	279.0	-
Украинцы	4185.0	15.0	596.0	68.0	1204.0	602.0	731.0	564.0	375.0	30.0	12.0	-
Марийцы	3805.0	-	80.0	10.0	581.0	1130.0	513.0	708.0	629.0	154.0	77.0	-
Оренбургская область												
Все население	1785791.0	2675.0	212266.0	41189.0	527947.0	249705.0	289108.0	282227.0	159239.0	20313.0	11947.0	1122.0
Русские	1317194.0	2180.0	170840.0	33375.0	404373.0	179807.0	206188.0	201146.0	106809.0	12191.0	6630.0	285.0
Татары	137370.0	171.0	14319.0	2836.0	37794.0	19601.0	23599.0	23154.0	14170.0	1707.0	1171.0	19.0
Казахи	93372.0	40.0	5407.0	1435.0	23410.0	14193.0	19124.0	18792.0	8828.0	2132.0	1644.0	11.0
Украинцы	71424.0	128.0	8759.0	1151.0	21154.0	10130.0	9934.0	10217.0	9047.0	900.0	403.0	4.0
Башкиры	42528.0	20.0	2595.0	623.0	10716.0	8192.0	8019.0	7667.0	4123.0	569.0	420.0	4.0
Мордва	47597.0	23.0	2392.0	411.0	11841.0	7107.0	6692.0	8593.0	9072.0	1459.0	887.0	7.0
Немцы	15246.0	19.0	1469.0	348.0	4099.0	2276.0	2737.0	2521.0	1567.0	209.0	109.0	1.0
Чуваши	15576.0	10.0	894.0	145.0	3894.0	2655.0	2490.0	2883.0	2330.0	275.0	133.0	-
Белорусы	8457.0	19.0	1029.0	130.0	2417.0	1230.0	1155.0	1242.0	1120.0	113.0	50.0	2.0
Городское население	1056640.0	2299.0	158026.0	32874.0	341295.0	141045.0	166419.0	141100.0	65494.0	7036.0	3782.0	1052.0
Русские	854797.0	1910.0	132651.0	27670.0	279829.0	112096.0	131321.0	113612.0	50471.0	4993.0	2609.0	244.0
Татары	64876.0	132.0	9058.0	2016.0	20532.0	8538.0	11174.0	8855.0	4137.0	422.0	260.0	12.0
Казахи	21668.0	21.0	1743.0	698.0	6441.0	3255.0	5250.0	3176.0	903.0	178.0	134.0	3.0
Украинцы	39386.0	105.0	6353.0	829.0	12725.0	5454.0	5031.0	4808.0	3726.0	353.0	134.0	2.0
Башкиры	17291.0	14.0	1256.0	426.0	5117.0	3314.0	3384.0	2617.0	1008.0	154.0	112.0	1.0
Мордва	17324.0	17.0	1112.0	213.0	5544.0	2896.0	2292.0	2564.0	2320.0	364.0	209.0	2.0
Немцы	8631.0	15.0	1033.0	282.0	2602.0	1286.0	1408.0	1123.0	796.0	85.0	46.0	1.0
Чуваши	5945.0	10.0	480.0	82.0	1799.0	1035.0	932.0	932.0	609.0	66.0	27.0	-
Белорусы	5190.0	17.0	838.0	105.0	1630.0	742.0	661.0	652.0	520.0	24.0	5.0	1.0
Сельское население	729151.0	376.0	54240.0	8315.0	186652.0	108660.0	122689.0	141127.0	93745.0	13277.0	8165.0	70.0
Русские	462397.0	270.0	38189.0	5705.0	124544.0	67711.0	74867.0	87534.0	56338.0	7198.0	4021.0	41.0
Татары	72494.0	39.0	5261.0	820.0	17262.0	11063.0	12425.0	14299.0	10033.0	1285.0	911.0	7.0
Казахи	71704.0	19.0	3664.0	737.0	16969.0	10938.0	13874.0	15616.0	7925.0	1954.0	1510.0	8.0
Украинцы	32038.0	23.0	2406.0	322.0	8429.0	4676.0	4903.0	5409.0	5321.0	547.0	269.0	2.0
Башкиры	25237.0	6.0	1339.0	197.0	5599.0	4878.0	4635.0	5050.0	3115.0	415.0	308.0	3.0
Мордва	30273.0	6.0	1280.0	198.0	6297.0	4211.0	4400.0	6029.0	6752.0	1095.0	678.0	5.0
Немцы	6615.0	4.0	436.0	66.0	1497.0	990.0	1329.0	1398.0	771.0	124.0	63.0	-
Чуваши	9631.0	-	414.0	63.0	2095.0	1620.0	1558.0	1951.0	1721.0	209.0	106.0	-
Белорусы	3267.0	2.0	191.0	25.0	787.0	488.0	494.0	590.0	600.0	89.0	45.0	1.0
Пензенская область												
Все население	1233941.0	1968.0	169958.0	26848.0	324417.0	164271.0	217368.0	183248.0	124266.0	20078.0	12453.0	1519.0
Русские	1063318.0	1777.0	153849.0	24231.0	284658.0	140032.0	185973.0	153438.0	103825.0	15274.0	8993.0	261.0
Татары	70597.0	52.0	5680.0	1059.0	16120.0	9389.0	14247.0	14917.0	7527.0	1584.0	1320.0	22.0
Мордва	64885.0	43.0	4099.0	666.0	14965.0	10814.0	11205.0	10727.0	10156.0	2195.0	1433.0	15.0
Украинцы	11855.0	47.0	2745.0	244.0	3631.0	1377.0	1706.0	1215.0	777.0	111.0	58.0	2.0
Чуваши	5755.0	3.0	612.0	90.0	1405.0	1020.0	909.0	926.0	703.0	84.0	48.0	3.0
Городское население	807896.0	1780.0	144225.0	22569.0	238153.0	96601.0	148500.0	98968.0	48527.0	7140.0	3989.0	1433.0
Русские	733227.0	1626.0	133121.0	20781.0	216941.0	87189.0	134167.0	89597.0	43683.0	5911.0	3200.0	211.0
Татары	25196.0	36.0	3335.0	644.0	7497.0	3079.0	5348.0	3744.0	1260.0	245.0	183.0	8.0
Мордва	26829.0	31.0	2423.0	417.0	7778.0	4397.0	5264.0	3690.0	2283.0	541.0	331.0	5.0
Украинцы	8590.0	46.0	2435.0	205.0	2798.0	822.0	1118.0	679.0	427.0	59.0	29.0	1.0
Чуваши	1429.0	2.0	276.0	31.0	436.0	182.0	293.0	128.0	76.0	5.0	4.0	-
Сельское население	426045.0	188.0	25733.0	4279.0	86264.0	67670.0	68868.0	84280.0	75739.0	12938.0	8464.0	86.0
Русские	330091.0	151.0	20728.0	3450.0	67717.0	52843.0	51806.0	63841.0	60142.0	9363.0	5793.0	50.0
Татары	45401.0	16.0	2345.0	415.0	8623.0	6310.0	8899.0	11173.0	6267.0	1339.0	1137.0	14.0
Мордва	38056.0	12.0	1676.0	249.0	7187.0	6417.0	5941.0	7037.0	7873.0	1654.0	1102.0	10.0
Украинцы	3265.0	1.0	310.0	39.0	833.0	555.0	588.0	536.0	350.0	52.0	29.0	1.0
Чуваши	4326.0	1.0	336.0	59.0	969.0	838.0	616.0	798.0	627.0	79.0	44.0	3.0
Пермская область												
Все население	2330787.0	4879.0	269752.0	48812.0	635203.0	401988.0	353080.0	374175.0	203949.0	24668.0	13600.0	14281.0
Русские	1969124.0	4310.0	237234.0	43407.0	546552.0	335569.0	303423.0	317376.0	159709.0	18009.0	9419.0	3535.0
Татары	117912.0	152.0	9368.0	1828.0	28279.0	21253.0	17582.0	21174.0	15943.0	2251.0	1559.0	82.0
Коми-пермяки	88235.0	57.0	5707.0	941.0	23729.0	20214.0	8762.0	14538.0	12427.0	1845.0	1014.0	15.0
Башкиры	33853.0	29.0	2608.0	547.0	8246.0	7053.0	5584.0	5426.0	3697.0	654.0	488.0	9.0
Удмурты	24200.0	23.0	1725.0	256.0	5907.0	4964.0	3788.0	4106.0	3089.0	332.0	187.0	10.0
Украинцы	24720.0	76.0	4484.0	507.0	7260.0	3680.0	3182.0	2948.0	2348.0	215.0	99.0	20.0
Белорусы	10590.0	31.0	1566.0	205.0	2847.0	1579.0	1239.0	1435.0	1494.0	190.0	102.0	4.0
Немцы	9328.0	31.0	1022.0	187.0	2591.0	1423.0	1255.0	1386.0	1274.0	153.0	88.0	6.0
Чуваши	6838.0	14.0	699.0	64.0	1664.0	1403.0	827.0	963.0	1063.0	138.0	67.0	3.0
Марийцы	4858.0	3.0	303.0	64.0	1119.0	1108.0	648.0	868.0	674.0	71.0	44.0	-
Городское население	1776479.0	4611.0	240220.0	43717.0	518932.0	281544.0	279258.0	260090.0	122250.0	11817.0	5908.0	14040.0
Русские	1558655.0	4098.0	214968.0	39473.0	460471.0	247297.0	247232.0	230306.0	102293.0	9089.0	4336.0	3428.0
Татары	77298.0	143.0	7409.0	1468.0	20787.0	13280.0	11799.0	12740.0	8612.0	981.0	589.0	79.0
Коми-пермяки	32129.0	37.0	3246.0	606.0	10690.0	6101.0	3991.0	4381.0	2680.0	390.0	184.0	7.0
Башкиры	15928.0	21.0	1428.0	366.0	4488.0	3024.0	2964.0	2396.0	1101.0	132.0	91.0	8.0
Удмурты	14179.0	20.0	1336.0	191.0	3980.0	2759.0	2251.0	2035.0	1476.0	124.0	71.0	7.0
Украинцы	20302.0	69.0	4114.0	439.0	6153.0	2795.0	2533.0	2228.0	1800.0	155.0	63.0	16.0
Белорусы	8333.0	29.0	1425.0	178.0	2378.0	1139.0	993.0	1041.0	1046.0	100.0	51.0	4.0
Немцы	7779.0	31.0	941.0	175.0	2258.0	1141.0	1041.0	1104.0	969.0	113.0	67.0	6.0
Чуваши	3918.0	13.0	527.0	50.0	1162.0	692.0	508.0	478.0	438.0	47.0	22.0	3.0
Марийцы	2707.0	3.0	229.0	55.0	768.0	575.0	423.0	402.0	231.0	21.0	10.0	-
Сельское население	554308.0	268.0	29532.0	5095.0	116271.0	120444.0	73822.0	114085.0	81699.0	12851.0	7692.0	241.0
Русские	410469.0	212.0	22266.0	3934.0	86081.0	88272.0	56191.0	87070.0	57416.0	8920.0	5083.0	107.0
Татары	40614.0	9.0	1959.0	360.0	7492.0	7973.0	5783.0	8434.0	7331.0	1270.0	970.0	3.0
Коми-пермяки	56106.0	20.0	2461.0	335.0	13039.0	14113.0	4771.0	10157.0	9747.0	1455.0	830.0	8.0
Башкиры	17925.0	8.0	1180.0	181.0	3758.0	4029.0	2620.0	3030.0	2596.0	522.0	397.0	1.0
Удмурты	10021.0	3.0	389.0	65.0	1927.0	2205.0	1537.0	2071.0	1613.0	208.0	116.0	3.0
Украинцы	4418.0	7.0	370.0	68.0	1107.0	885.0	649.0	720.0	548.0	60.0	36.0	4.0
Белорусы	2257.0	2.0	141.0	27.0	469.0	440.0	246.0	394.0	448.0	90.0	51.0	-
Немцы	1549.0	-	81.0	12.0	333.0	282.0	214.0	282.0	305.0	40.0	21.0	-
Чуваши	2920.0	1.0	172.0	14.0	502.0	711.0	319.0	485.0	625.0	91.0	45.0	-
Марийцы	2151.0	-	74.0	9.0	351.0	533.0	225.0	466.0	443.0	50.0	34.0	-
Коми–Пермяцкий автономный округ												
Все население	107548.0	43.0	6413.0	983.0	27404.0	23358.0	10764.0	21330.0	15051.0	2192.0	1252.0	10.0
Коми-пермяки	66249.0	25.0	3625.0	551.0	16778.0	15207.0	5839.0	12030.0	10618.0	1568.0	872.0	8.0
Русские	37867.0	17.0	2553.0	392.0	9844.0	7451.0	4513.0	8618.0	3927.0	550.0	330.0	2.0
Городское население	29297.0	20.0	3072.0	461.0	9736.0	4542.0	3484.0	5291.0	2363.0	327.0	148.0	1.0
Коми-пермяки	17157.0	9.0	1649.0	260.0	5805.0	2853.0	1802.0	2849.0	1683.0	246.0	109.0	1.0
Русские	11388.0	10.0	1314.0	180.0	3684.0	1596.0	1583.0	2329.0	617.0	75.0	36.0	-
Сельское население	78251.0	23.0	3341.0	522.0	17668.0	18816.0	7280.0	16039.0	12688.0	1865.0	1104.0	9.0
Коми-пермяки	49092.0	16.0	1976.0	291.0	10973.0	12354.0	4037.0	9181.0	8935.0	1322.0	763.0	7.0
Русские	26479.0	7.0	1239.0	212.0	6160.0	5855.0	2930.0	6289.0	3310.0	475.0	294.0	2.0
Самарская  область												
Все население	2747464.0	7092.0	459839.0	89954.0	826832.0	325833.0	452076.0	347724.0	195394.0	23015.0	13231.0	19705.0
Русские	2283138.0	6231.0	404073.0	79842.0	701690.0	263739.0	372959.0	287172.0	149566.0	15040.0	8185.0	2826.0
Татары	108936.0	183.0	13321.0	3077.0	32141.0	14061.0	19841.0	15064.0	9726.0	1348.0	914.0	174.0
Чуваши	90149.0	87.0	6600.0	1326.0	24411.0	16235.0	14467.0	13816.0	11468.0	1658.0	981.0	81.0
Мордва	80605.0	75.0	5852.0	1239.0	22361.0	13162.0	12027.0	11484.0	12464.0	1875.0	1175.0	66.0
Украинцы	57874.0	181.0	11811.0	1452.0	18412.0	6491.0	8538.0	5942.0	4506.0	421.0	189.0	120.0
Азербайджанцы	10464.0	19.0	1394.0	195.0	2088.0	1150.0	3620.0	1466.0	368.0	60.0	27.0	104.0
Казахи	11724.0	9.0	997.0	266.0	3276.0	1665.0	2161.0	1927.0	1032.0	378.0	287.0	13.0
Белорусы	13536.0	37.0	2618.0	286.0	4118.0	1570.0	1941.0	1495.0	1331.0	121.0	61.0	19.0
Немцы	8580.0	22.0	1124.0	240.0	2474.0	1010.0	1606.0	1140.0	839.0	101.0	61.0	24.0
Башкиры	6708.0	6.0	700.0	185.0	1960.0	1175.0	1264.0	813.0	552.0	48.0	34.0	5.0
Городское население	2230833.0	6702.0	418878.0	82541.0	691771.0	241884.0	377370.0	257907.0	122133.0	12019.0	6343.0	19628.0
Русские	1919303.0	5930.0	372830.0	74032.0	601944.0	205901.0	320950.0	224158.0	102101.0	8659.0	4350.0	2798.0
Татары	77190.0	161.0	10912.0	2674.0	24706.0	9314.0	15089.0	9399.0	4313.0	451.0	291.0	171.0
Чуваши	38514.0	69.0	3736.0	905.0	12933.0	6478.0	7105.0	4302.0	2622.0	313.0	185.0	51.0
Мордва	46592.0	54.0	4028.0	933.0	14741.0	7231.0	7808.0	5837.0	5246.0	651.0	348.0	63.0
Украинцы	49144.0	167.0	11022.0	1337.0	15937.0	5132.0	7354.0	4685.0	3124.0	266.0	109.0	120.0
Азербайджанцы	9082.0	19.0	1303.0	182.0	1868.0	954.0	3179.0	1152.0	276.0	48.0	17.0	101.0
Казахи	2838.0	8.0	423.0	150.0	907.0	297.0	666.0	296.0	66.0	13.0	9.0	12.0
Белорусы	11847.0	35.0	2469.0	266.0	3673.0	1317.0	1719.0	1249.0	1032.0	68.0	31.0	19.0
Немцы	6948.0	22.0	1031.0	221.0	2038.0	743.0	1277.0	868.0	649.0	75.0	41.0	24.0
Башкиры	3665.0	5.0	526.0	148.0	1266.0	490.0	786.0	340.0	94.0	5.0	3.0	5.0
Сельское население	516631.0	390.0	40961.0	7413.0	135061.0	83949.0	74706.0	89817.0	73261.0	10996.0	6888.0	77.0
Русские	363835.0	301.0	31243.0	5810.0	99746.0	57838.0	52009.0	63014.0	47465.0	6381.0	3835.0	28.0
Татары	31746.0	22.0	2409.0	403.0	7435.0	4747.0	4752.0	5665.0	5413.0	897.0	623.0	3.0
Чуваши	51635.0	18.0	2864.0	421.0	11478.0	9757.0	7362.0	9514.0	8846.0	1345.0	796.0	30.0
Мордва	34013.0	21.0	1824.0	306.0	7620.0	5931.0	4219.0	5647.0	7218.0	1224.0	827.0	3.0
Украинцы	8730.0	14.0	789.0	115.0	2475.0	1359.0	1184.0	1257.0	1382.0	155.0	80.0	-
Азербайджанцы	1382.0	-	91.0	13.0	220.0	196.0	441.0	314.0	92.0	12.0	10.0	3.0
Казахи	8886.0	1.0	574.0	116.0	2369.0	1368.0	1495.0	1631.0	966.0	365.0	278.0	1.0
Белорусы	1689.0	2.0	149.0	20.0	445.0	253.0	222.0	246.0	299.0	53.0	30.0	-
Немцы	1632.0	-	93.0	19.0	436.0	267.0	329.0	272.0	190.0	26.0	20.0	-
Башкиры	3043.0	1.0	174.0	37.0	694.0	685.0	478.0	473.0	458.0	43.0	31.0	-
Саратовская область												
Все население	2250970.0	5628.0	353241.0	63616.0	615038.0	272347.0	393000.0	341976.0	175057.0	17811.0	10094.0	13256.0
Русские	1936531.0	5038.0	318446.0	57295.0	541494.0	232228.0	335147.0	287069.0	144575.0	13240.0	7036.0	1999.0
Казахи	60121.0	28.0	3706.0	1045.0	14612.0	9166.0	10353.0	13279.0	6527.0	1380.0	1056.0	25.0
Украинцы	63986.0	178.0	10203.0	1159.0	17639.0	8130.0	9062.0	9377.0	7512.0	710.0	324.0	16.0
Татары	48921.0	91.0	5551.0	1259.0	13203.0	6334.0	8989.0	8277.0	4527.0	656.0	488.0	34.0
Армяне	18793.0	39.0	2824.0	582.0	4291.0	1926.0	5529.0	2830.0	697.0	71.0	38.0	4.0
Мордва	15798.0	10.0	1089.0	180.0	3613.0	2484.0	2522.0	2933.0	2630.0	333.0	197.0	4.0
Азербайджанцы	11302.0	25.0	1257.0	223.0	2117.0	1237.0	3855.0	2127.0	408.0	37.0	26.0	16.0
Чуваши	14627.0	10.0	993.0	155.0	3245.0	2344.0	2702.0	3290.0	1709.0	170.0	110.0	9.0
Белорусы	12143.0	30.0	1776.0	203.0	3080.0	1653.0	1694.0	1851.0	1677.0	175.0	90.0	4.0
Немцы	10031.0	18.0	825.0	207.0	2534.0	1536.0	1944.0	1913.0	910.0	140.0	83.0	4.0
Чеченцы	5711.0	3.0	459.0	170.0	777.0	426.0	1958.0	1460.0	394.0	59.0	46.0	5.0
Городское население	1679471.0	5285.0	314014.0	56735.0	493747.0	188235.0	295041.0	210960.0	94128.0	8263.0	4199.0	13063.0
Русские	1504236.0	4764.0	286353.0	51885.0	448236.0	169327.0	262340.0	189526.0	83156.0	6744.0	3270.0	1905.0
Казахи	13628.0	14.0	1294.0	486.0	4036.0	1792.0	3079.0	2118.0	680.0	120.0	93.0	9.0
Украинцы	43473.0	163.0	8922.0	981.0	13217.0	4918.0	6173.0	5134.0	3633.0	318.0	125.0	14.0
Татары	32664.0	77.0	4582.0	1067.0	9784.0	3920.0	6189.0	4621.0	2129.0	265.0	179.0	30.0
Армяне	13798.0	37.0	2513.0	501.0	3289.0	1278.0	4021.0	1693.0	417.0	45.0	27.0	4.0
Мордва	8455.0	9.0	786.0	143.0	2322.0	1242.0	1437.0	1307.0	1081.0	125.0	76.0	3.0
Азербайджанцы	7663.0	23.0	1075.0	185.0	1663.0	766.0	2679.0	1036.0	211.0	10.0	7.0	15.0
Чуваши	6271.0	7.0	697.0	101.0	1867.0	1055.0	1194.0	891.0	410.0	42.0	22.0	7.0
Белорусы	7923.0	29.0	1604.0	175.0	2359.0	1019.0	1139.0	908.0	639.0	47.0	23.0	4.0
Немцы	4389.0	15.0	626.0	157.0	1312.0	518.0	831.0	599.0	294.0	36.0	16.0	1.0
Чеченцы	1796.0	3.0	296.0	93.0	315.0	109.0	619.0	294.0	48.0	14.0	11.0	5.0
Сельское население	571499.0	343.0	39227.0	6881.0	121291.0	84112.0	97959.0	131016.0	80929.0	9548.0	5895.0	193.0
Русские	432295.0	274.0	32093.0	5410.0	93258.0	62901.0	72807.0	97543.0	61419.0	6496.0	3766.0	94.0
Казахи	46493.0	14.0	2412.0	559.0	10576.0	7374.0	7274.0	11161.0	5847.0	1260.0	963.0	16.0
Украинцы	20513.0	15.0	1281.0	178.0	4422.0	3212.0	2889.0	4243.0	3879.0	392.0	199.0	2.0
Татары	16257.0	14.0	969.0	192.0	3419.0	2414.0	2800.0	3656.0	2398.0	391.0	309.0	4.0
Армяне	4995.0	2.0	311.0	81.0	1002.0	648.0	1508.0	1137.0	280.0	26.0	11.0	-
Мордва	7343.0	1.0	303.0	37.0	1291.0	1242.0	1085.0	1626.0	1549.0	208.0	121.0	1.0
Азербайджанцы	3639.0	2.0	182.0	38.0	454.0	471.0	1176.0	1091.0	197.0	27.0	19.0	1.0
Чуваши	8356.0	3.0	296.0	54.0	1378.0	1289.0	1508.0	2399.0	1299.0	128.0	88.0	2.0
Белорусы	4220.0	1.0	172.0	28.0	721.0	634.0	555.0	943.0	1038.0	128.0	67.0	-
Немцы	5642.0	3.0	199.0	50.0	1222.0	1018.0	1113.0	1314.0	616.0	104.0	67.0	3.0
Чеченцы	3915.0	-	163.0	77.0	462.0	317.0	1339.0	1166.0	346.0	45.0	35.0	-
Ульяновская область												
Все население	1161547.0	1936.0	151543.0	24793.0	324679.0	145896.0	214059.0	173713.0	108434.0	16272.0	10160.0	222.0
Русские	841913.0	1557.0	121240.0	19583.0	240688.0	99145.0	150000.0	123582.0	75881.0	10086.0	5858.0	151.0
Татары	139348.0	142.0	13249.0	2496.0	37454.0	18953.0	28339.0	22654.0	13656.0	2373.0	1726.0	32.0
Чуваши	94776.0	72.0	6358.0	1217.0	24809.0	16366.0	19762.0	16171.0	8637.0	1372.0	857.0	12.0
Мордва	45079.0	35.0	3194.0	458.0	11245.0	7220.0	7586.0	6324.0	7754.0	1258.0	840.0	5.0
Украинцы	14587.0	54.0	3312.0	332.0	4612.0	1486.0	2169.0	1560.0	953.0	108.0	56.0	1.0
Городское население	855236.0	1793.0	133260.0	22063.0	264122.0	98433.0	160990.0	114097.0	53122.0	7156.0	4107.0	200.0
Русские	656276.0	1466.0	109601.0	17838.0	203484.0	71707.0	119091.0	87510.0	40828.0	4617.0	2395.0	134.0
Татары	93554.0	127.0	10352.0	2085.0	28464.0	12120.0	19798.0	13695.0	5950.0	933.0	636.0	30.0
Чуваши	54063.0	54.0	4463.0	908.0	17176.0	8798.0	12018.0	7284.0	2975.0	377.0	212.0	10.0
Мордва	19848.0	25.0	2009.0	304.0	6399.0	2885.0	3746.0	2366.0	1806.0	303.0	171.0	5.0
Украинцы	11771.0	51.0	3096.0	303.0	3905.0	1051.0	1682.0	1037.0	578.0	67.0	34.0	1.0
Сельское население	306311.0	143.0	18283.0	2730.0	60557.0	47463.0	53069.0	59616.0	55312.0	9116.0	6053.0	22.0
Русские	185637.0	91.0	11639.0	1745.0	37204.0	27438.0	30909.0	36072.0	35053.0	5469.0	3463.0	17.0
Татары	45794.0	15.0	2897.0	411.0	8990.0	6833.0	8541.0	8959.0	7706.0	1440.0	1090.0	2.0
Чуваши	40713.0	18.0	1895.0	309.0	7633.0	7568.0	7744.0	8887.0	5662.0	995.0	645.0	2.0
Мордва	25231.0	10.0	1185.0	154.0	4846.0	4335.0	3840.0	3958.0	5948.0	955.0	669.0	-
Украинцы	2816.0	3.0	216.0	29.0	707.0	435.0	487.0	523.0	375.0	41.0	22.0	-
Уральский федеральный округ												
Курганская область												
Все население	845891.0	1103.0	88037.0	14581.0	225299.0	112191.0	139030.0	148137.0	103202.0	13891.0	7197.0	420.0
Русские	773544.0	1034.0	81536.0	13673.0	208493.0	101672.0	126180.0	135625.0	93108.0	11923.0	5954.0	300.0
Татары	17358.0	13.0	1417.0	213.0	4209.0	2818.0	2973.0	2917.0	2423.0	361.0	236.0	14.0
Башкиры	12038.0	2.0	559.0	105.0	2239.0	2182.0	2199.0	2332.0	2040.0	364.0	256.0	16.0
Казахи	11121.0	4.0	768.0	161.0	2678.0	1233.0	2223.0	2406.0	1348.0	298.0	205.0	2.0
Украинцы	10645.0	22.0	1570.0	140.0	3016.0	1449.0	1499.0	1440.0	1337.0	168.0	75.0	4.0
Городское население	484285.0	889.0	67474.0	11170.0	152147.0	59680.0	78978.0	71836.0	37481.0	4387.0	2199.0	243.0
Русские	458597.0	847.0	63576.0	10659.0	144667.0	56572.0	74488.0	68463.0	35280.0	3867.0	1881.0	178.0
Татары	5046.0	6.0	618.0	104.0	1557.0	667.0	893.0	730.0	409.0	60.0	40.0	2.0
Башкиры	1211.0	-	122.0	28.0	334.0	189.0	260.0	198.0	67.0	12.0	9.0	1.0
Казахи	2211.0	1.0	276.0	60.0	725.0	203.0	478.0	344.0	106.0	18.0	10.0	-
Украинцы	6136.0	16.0	1235.0	101.0	1975.0	744.0	804.0	657.0	538.0	63.0	29.0	3.0
Сельское население	361606.0	214.0	20563.0	3411.0	73152.0	52511.0	60052.0	76301.0	65721.0	9504.0	4998.0	177.0
Русские	314947.0	187.0	17960.0	3014.0	63826.0	45100.0	51692.0	67162.0	57828.0	8056.0	4073.0	122.0
Татары	12312.0	7.0	799.0	109.0	2652.0	2151.0	2080.0	2187.0	2014.0	301.0	196.0	12.0
Башкиры	10827.0	2.0	437.0	77.0	1905.0	1993.0	1939.0	2134.0	1973.0	352.0	247.0	15.0
Казахи	8910.0	3.0	492.0	101.0	1953.0	1030.0	1745.0	2062.0	1242.0	280.0	195.0	2.0
Украинцы	4509.0	6.0	335.0	39.0	1041.0	705.0	695.0	783.0	799.0	105.0	46.0	1.0
Свердловская область												
Все население	3784377.0	9409.0	496654.0	91908.0	1034268.0	603220.0	648187.0	559470.0	287342.0	29617.0	14709.0	24302.0
Русские	3356237.0	8439.0	449938.0	84260.0	932129.0	535371.0	573545.0	498642.0	246366.0	23871.0	11488.0	3676.0
Татары	149475.0	233.0	12508.0	2624.0	38022.0	27591.0	26258.0	24310.0	15723.0	2068.0	1299.0	138.0
Украинцы	52812.0	196.0	10398.0	1146.0	15444.0	7296.0	7575.0	5966.0	4313.0	407.0	177.0	71.0
Башкиры	33310.0	46.0	2577.0	615.0	8783.0	6531.0	6538.0	5170.0	2729.0	293.0	174.0	28.0
Марийцы	23894.0	15.0	1163.0	247.0	5635.0	5625.0	4050.0	4029.0	2806.0	314.0	173.0	10.0
Немцы	20248.0	52.0	2194.0	439.0	5504.0	3512.0	3497.0	2747.0	2047.0	236.0	128.0	20.0
Белорусы	17931.0	57.0	2720.0	323.0	4812.0	2577.0	2414.0	2391.0	2357.0	267.0	133.0	13.0
Удмурты	17102.0	23.0	1080.0	160.0	3867.0	3488.0	2929.0	2946.0	2337.0	265.0	131.0	7.0
Азербайджанцы	10383.0	24.0	1337.0	176.0	1952.0	1226.0	3814.0	1423.0	332.0	48.0	14.0	51.0
Чуваши	11128.0	10.0	1089.0	139.0	2950.0	2032.0	1639.0	1688.0	1402.0	169.0	76.0	10.0
Мордва	9485.0	9.0	708.0	109.0	2123.0	1520.0	1404.0	1589.0	1705.0	308.0	171.0	10.0
Евреи	6513.0	160.0	3730.0	221.0	1207.0	198.0	524.0	317.0	130.0	20.0	9.0	6.0
Манси	220.0	-	12.0	3.0	34.0	28.0	47.0	48.0	43.0	5.0	5.0	-
Городское население	3341191.0	9106.0	474541.0	87903.0	949141.0	511353.0	581525.0	462488.0	219818.0	21270.0	10363.0	24046.0
Русские	2974896.0	8176.0	430840.0	80760.0	858059.0	457219.0	516549.0	413823.0	188872.0	17043.0	8078.0	3555.0
Татары	126717.0	221.0	11448.0	2445.0	34193.0	22383.0	23058.0	19718.0	11695.0	1427.0	852.0	129.0
