5.3. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15 ЛЕТ И БОЛЕЕ ПО ПОЛУ								
И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все занятое в экономике население		в том числе по положению в занятии					
Сельское население	115024.0	108889.0	6116.0	1165.0	3421.0	1388.0	142.0	19.0
Мужчины	59363.0	55591.0	3764.0	646.0	2112.0	913.0	93.0	8.0
Женщины	55661.0	53298.0	2352.0	519.0	1309.0	475.0	49.0	11.0
Республика Тыва	84438.0	79120.0	5318.0	1489.0	3690.0	67.0	72.0	-
Мужчины	37386.0	34597.0	2789.0	826.0	1878.0	43.0	42.0	-
Женщины	47052.0	44523.0	2529.0	663.0	1812.0	24.0	30.0	-
Городское население	53292.0	49535.0	3757.0	1196.0	2472.0	38.0	51.0	-
Мужчины	24540.0	22581.0	1959.0	664.0	1243.0	22.0	30.0	-
Женщины	28752.0	26954.0	1798.0	532.0	1229.0	16.0	21.0	-
Сельское население	31146.0	29585.0	1561.0	293.0	1218.0	29.0	21.0	-
Мужчины	12846.0	12016.0	830.0	162.0	635.0	21.0	12.0	-
Женщины	18300.0	17569.0	731.0	131.0	583.0	8.0	9.0	-
Республика Хакасия	217855.0	203931.0	13924.0	4416.0	8390.0	743.0	375.0	-
Мужчины	110752.0	103131.0	7621.0	2572.0	4464.0	378.0	207.0	-
Женщины	107103.0	100800.0	6303.0	1844.0	3926.0	365.0	168.0	-
Городское население	167747.0	155583.0	12164.0	3837.0	7400.0	638.0	289.0	-
Мужчины	84424.0	77845.0	6579.0	2241.0	3859.0	318.0	161.0	-
Женщины	83323.0	77738.0	5585.0	1596.0	3541.0	320.0	128.0	-
Сельское население	50108.0	48348.0	1760.0	579.0	990.0	105.0	86.0	-
Мужчины	26328.0	25286.0	1042.0	331.0	605.0	60.0	46.0	-
Женщины	23780.0	23062.0	718.0	248.0	385.0	45.0	40.0	-
Алтайский край	1051066.0	985239.0	65821.0	19181.0	42104.0	3481.0	1055.0	6.0
Мужчины	552363.0	512942.0	39419.0	12588.0	24193.0	2032.0	606.0	2.0
Женщины	498703.0	472297.0	26402.0	6593.0	17911.0	1449.0	449.0	4.0
Городское население	601748.0	557933.0	43812.0	13612.0	27685.0	1990.0	525.0	3.0
Мужчины	304763.0	279552.0	25210.0	8749.0	15150.0	1034.0	277.0	1.0
Женщины	296985.0	278381.0	18602.0	4863.0	12535.0	956.0	248.0	2.0
Сельское население	449318.0	427306.0	22009.0	5569.0	14419.0	1491.0	530.0	3.0
Мужчины	247600.0	233390.0	14209.0	3839.0	9043.0	998.0	329.0	1.0
Женщины	201718.0	193916.0	7800.0	1730.0	5376.0	493.0	201.0	2.0
Красноярский край	1325368.0	1257616.0	67738.0	22699.0	40494.0	2604.0	1941.0	14.0
Мужчины	683215.0	644452.0	38755.0	14190.0	22117.0	1386.0	1062.0	8.0
Женщины	642153.0	613164.0	28983.0	8509.0	18377.0	1218.0	879.0	6.0
Городское население	1066245.0	1006780.0	59452.0	20083.0	35559.0	2296.0	1514.0	13.0
Мужчины	541673.0	507801.0	33865.0	12601.0	19232.0	1204.0	828.0	7.0
Женщины	524572.0	498979.0	25587.0	7482.0	16327.0	1092.0	686.0	6.0
Сельское население	259123.0	250836.0	8286.0	2616.0	4935.0	308.0	427.0	1.0
Мужчины	141542.0	136651.0	4890.0	1589.0	2885.0	182.0	234.0	1.0
Женщины	117581.0	114185.0	3396.0	1027.0	2050.0	126.0	193.0	-
Таймырский (Долгано-Ненецкий) автономный округ	19796.0	19291.0	505.0	183.0	280.0	28.0	14.0	-
Мужчины	9817.0	9490.0	327.0	118.0	184.0	18.0	7.0	-
Женщины	9979.0	9801.0	178.0	65.0	96.0	10.0	7.0	-
Городское население	13987.0	13571.0	416.0	142.0	238.0	23.0	13.0	-
Мужчины	6815.0	6550.0	265.0	89.0	154.0	15.0	7.0	-
Женщины	7172.0	7021.0	151.0	53.0	84.0	8.0	6.0	-
Сельское население	5809.0	5720.0	89.0	41.0	42.0	5.0	1.0	-
Мужчины	3002.0	2940.0	62.0	29.0	30.0	3.0	-	-
Женщины	2807.0	2780.0	27.0	12.0	12.0	2.0	1.0	-
Эвенкийский автономный округ	8552.0	8352.0	200.0	66.0	128.0	1.0	5.0	-
Мужчины	4322.0	4185.0	137.0	33.0	100.0	1.0	3.0	-
Женщины	4230.0	4167.0	63.0	33.0	28.0	-	2.0	-
Городское население	3205.0	3142.0	63.0	20.0	40.0	-	3.0	-
Мужчины	1582.0	1547.0	35.0	8.0	26.0	-	1.0	-
Женщины	1623.0	1595.0	28.0	12.0	14.0	-	2.0	-
Сельское население	5347.0	5210.0	137.0	46.0	88.0	1.0	2.0	-
Мужчины	2740.0	2638.0	102.0	25.0	74.0	1.0	2.0	-
Женщины	2607.0	2572.0	35.0	21.0	14.0	-	-	-
Иркутская область	1072821.0	1013894.0	58498.0	17968.0	33126.0	3997.0	3407.0	429.0
Мужчины	550792.0	517754.0	32838.0	10971.0	17872.0	2173.0	1822.0	200.0
Женщины	522029.0	496140.0	25660.0	6997.0	15254.0	1824.0	1585.0	229.0
Городское население	902872.0	849418.0	53095.0	16334.0	30597.0	3446.0	2718.0	359.0
Мужчины	457425.0	427618.0	29632.0	9978.0	16387.0	1814.0	1453.0	175.0
Женщины	445447.0	421800.0	23463.0	6356.0	14210.0	1632.0	1265.0	184.0
Сельское население	169949.0	164476.0	5403.0	1634.0	2529.0	551.0	689.0	70.0
Мужчины	93367.0	90136.0	3206.0	993.0	1485.0	359.0	369.0	25.0
Женщины	76582.0	74340.0	2197.0	641.0	1044.0	192.0	320.0	45.0
Усть-Ордынский Бурятский автономный округ	41703.0	40347.0	1292.0	401.0	542.0	26.0	323.0	64.0
Мужчины	20871.0	20117.0	730.0	231.0	309.0	16.0	174.0	24.0
Женщины	20832.0	20230.0	562.0	170.0	233.0	10.0	149.0	40.0
Кемеровская область	1228118.0	1176745.0	51373.0	17887.0	28973.0	2833.0	1680.0	-
Мужчины	623853.0	595443.0	28410.0	10833.0	15130.0	1545.0	902.0	-
Женщины	604265.0	581302.0	22963.0	7054.0	13843.0	1288.0	778.0	-
Городское население	1097982.0	1049682.0	48300.0	17002.0	27209.0	2526.0	1563.0	-
Мужчины	551778.0	525294.0	26484.0	10280.0	14022.0	1344.0	838.0	-
Женщины	546204.0	524388.0	21816.0	6722.0	13187.0	1182.0	725.0	-
Сельское население	130136.0	127063.0	3073.0	885.0	1764.0	307.0	117.0	-
Мужчины	72075.0	70149.0	1926.0	553.0	1108.0	201.0	64.0	-
Женщины	58061.0	56914.0	1147.0	332.0	656.0	106.0	53.0	-
Новосибирская область	1193431.0	1124915.0	68515.0	22683.0	40862.0	3537.0	1433.0	1.0
Мужчины	619399.0	578024.0	41375.0	15079.0	23459.0	2035.0	802.0	-
Женщины	574032.0	546891.0	27140.0	7604.0	17403.0	1502.0	631.0	1.0
Городское население	944720.0	884937.0	59782.0	20747.0	35372.0	2481.0	1182.0	1.0
Мужчины	481825.0	446234.0	35591.0	13793.0	19800.0	1354.0	644.0	-
Женщины	462895.0	438703.0	24191.0	6954.0	15572.0	1127.0	538.0	1.0
Сельское население	248711.0	239978.0	8733.0	1936.0	5490.0	1056.0	251.0	-
Мужчины	137574.0	131790.0	5784.0	1286.0	3659.0	681.0	158.0	-
Женщины	111137.0	108188.0	2949.0	650.0	1831.0	375.0	93.0	-
Омская область	842579.0	791006.0	51572.0	15982.0	31010.0	3391.0	1189.0	1.0
Мужчины	436558.0	406072.0	30485.0	10014.0	17876.0	1946.0	649.0	1.0
Женщины	406021.0	384934.0	21087.0	5968.0	13134.0	1445.0	540.0	-
Городское население	625434.0	581601.0	43832.0	14032.0	26456.0	2387.0	957.0	1.0
Мужчины	315252.0	290289.0	24962.0	8655.0	14513.0	1289.0	505.0	1.0
Женщины	310182.0	291312.0	18870.0	5377.0	11943.0	1098.0	452.0	-
Сельское население	217145.0	209405.0	7740.0	1950.0	4554.0	1004.0	232.0	-
Мужчины	121306.0	115783.0	5523.0	1359.0	3363.0	657.0	144.0	-
Женщины	95839.0	93622.0	2217.0	591.0	1191.0	347.0	88.0	-
Томская область	440994.0	413962.0	27032.0	8850.0	15486.0	1949.0	747.0	-
Мужчины	226868.0	211197.0	15671.0	5595.0	8572.0	1088.0	416.0	-
Женщины	214126.0	202765.0	11361.0	3255.0	6914.0	861.0	331.0	-
Городское население	325645.0	303375.0	22270.0	7539.0	12654.0	1478.0	599.0	-
Мужчины	165197.0	152191.0	13006.0	4871.0	7009.0	800.0	326.0	-
Женщины	160448.0	151184.0	9264.0	2668.0	5645.0	678.0	273.0	-
Сельское население	115349.0	110587.0	4762.0	1311.0	2832.0	471.0	148.0	-
Мужчины	61671.0	59006.0	2665.0	724.0	1563.0	288.0	90.0	-
Женщины	53678.0	51581.0	2097.0	587.0	1269.0	183.0	58.0	-
Читинская область	436477.0	414841.0	21467.0	5492.0	11582.0	2706.0	1687.0	169.0
Мужчины	234504.0	222377.0	12032.0	3216.0	6199.0	1748.0	869.0	95.0
Женщины	201973.0	192464.0	9435.0	2276.0	5383.0	958.0	818.0	74.0
Городское население	311989.0	295966.0	15912.0	4566.0	9055.0	1062.0	1229.0	111.0
Мужчины	164961.0	156476.0	8423.0	2651.0	4623.0	528.0	621.0	62.0
Женщины	147028.0	139490.0	7489.0	1915.0	4432.0	534.0	608.0	49.0
Сельское население	124488.0	118875.0	5555.0	926.0	2527.0	1644.0	458.0	58.0
Мужчины	69543.0	65901.0	3609.0	565.0	1576.0	1220.0	248.0	33.0
Женщины	54945.0	52974.0	1946.0	361.0	951.0	424.0	210.0	25.0
Агинский Бурятский автономный округ	21362.0	20380.0	979.0	251.0	693.0	11.0	24.0	3.0
Мужчины	10537.0	10025.0	509.0	132.0	359.0	7.0	11.0	3.0
Женщины	10825.0	10355.0	470.0	119.0	334.0	4.0	13.0	-
Городское население	8692.0	8149.0	543.0	153.0	374.0	4.0	12.0	-
Мужчины	4049.0	3782.0	267.0	85.0	173.0	2.0	7.0	-
Женщины	4643.0	4367.0	276.0	68.0	201.0	2.0	5.0	-
Сельское население	12670.0	12231.0	436.0	98.0	319.0	7.0	12.0	3.0
Мужчины	6488.0	6243.0	242.0	47.0	186.0	5.0	4.0	3.0
Женщины	6182.0	5988.0	194.0	51.0	133.0	2.0	8.0	-
Дальневосточный федеральный округ	3027549.0	2885896.0	140529.0	46087.0	80017.0	9004.0	5421.0	1124.0
Мужчины	1616523.0	1533199.0	82749.0	28594.0	45764.0	5340.0	3051.0	575.0
Женщины	1411026.0	1352697.0	57780.0	17493.0	34253.0	3664.0	2370.0	549.0
Городское население	2417785.0	2295647.0	121205.0	40644.0	69519.0	6762.0	4280.0	933.0
Мужчины	1274203.0	1203139.0	70586.0	25297.0	39164.0	3773.0	2352.0	478.0
Женщины	1143582.0	1092508.0	50619.0	15347.0	30355.0	2989.0	1928.0	455.0
Сельское население	609764.0	590249.0	19324.0	5443.0	10498.0	2242.0	1141.0	191.0
Мужчины	342320.0	330060.0	12163.0	3297.0	6600.0	1567.0	699.0	97.0
Женщины	267444.0	260189.0	7161.0	2146.0	3898.0	675.0	442.0	94.0
Республика Саха (Якутия)	425913.0	404941.0	20867.0	5694.0	12303.0	1923.0	947.0	105.0
Мужчины	216867.0	203030.0	13784.0	3725.0	8108.0	1347.0	604.0	53.0
Женщины	209046.0	201911.0	7083.0	1969.0	4195.0	576.0	343.0	52.0
Городское население	304326.0	289462.0	14784.0	4613.0	8926.0	650.0	595.0	80.0
Мужчины	157148.0	147834.0	9276.0	2957.0	5585.0	382.0	352.0	38.0
Женщины	147178.0	141628.0	5508.0	1656.0	3341.0	268.0	243.0	42.0
Сельское население	121587.0	115479.0	6083.0	1081.0	3377.0	1273.0	352.0	25.0
Мужчины	59719.0	55196.0	4508.0	768.0	2523.0	965.0	252.0	15.0
Женщины	61868.0	60283.0	1575.0	313.0	854.0	308.0	100.0	10.0
Приморский край	926410.0	883824.0	42200.0	13686.0	23863.0	2823.0	1828.0	386.0
Мужчины	501801.0	477305.0	24296.0	8519.0	13109.0	1648.0	1020.0	200.0
Женщины	424609.0	406519.0	17904.0	5167.0	10754.0	1175.0	808.0	186.0
Городское население	762362.0	725004.0	37008.0	12184.0	20900.0	2348.0	1576.0	350.0
Мужчины	407364.0	385799.0	21387.0	7646.0	11513.0	1349.0	879.0	178.0
Женщины	354998.0	339205.0	15621.0	4538.0	9387.0	999.0	697.0	172.0
Сельское население	164048.0	158820.0	5192.0	1502.0	2963.0	475.0	252.0	36.0
Мужчины	94437.0	91506.0	2909.0	873.0	1596.0	299.0	141.0	22.0
Женщины	69611.0	67314.0	2283.0	629.0	1367.0	176.0	111.0	14.0
Хабаровский край	672533.0	640117.0	32112.0	10546.0	17829.0	2252.0	1485.0	304.0
Мужчины	358318.0	340071.0	18092.0	6475.0	9688.0	1171.0	758.0	155.0
Женщины	314215.0	300046.0	14020.0	4071.0	8141.0	1081.0	727.0	149.0
Городское население	552578.0	522344.0	29988.0	9745.0	16866.0	2127.0	1250.0	246.0
Мужчины	287336.0	270254.0	16953.0	6047.0	9171.0	1109.0	626.0	129.0
Женщины	265242.0	252090.0	13035.0	3698.0	7695.0	1018.0	624.0	117.0
Сельское население	119955.0	117773.0	2124.0	801.0	963.0	125.0	235.0	58.0
Мужчины	70982.0	69817.0	1139.0	428.0	517.0	62.0	132.0	26.0
Женщины	48973.0	47956.0	985.0	373.0	446.0	63.0	103.0	32.0
Амурская область	381862.0	362653.0	19098.0	5890.0	11539.0	1027.0	642.0	111.0
Мужчины	205967.0	195094.0	10820.0	3496.0	6383.0	588.0	353.0	53.0
Женщины	175895.0	167559.0	8278.0	2394.0	5156.0	439.0	289.0	58.0
Городское население	272481.0	256862.0	15553.0	4821.0	9597.0	743.0	392.0	66.0
Мужчины	142797.0	134093.0	8673.0	2846.0	5208.0	405.0	214.0	31.0
Женщины	129684.0	122769.0	6880.0	1975.0	4389.0	338.0	178.0	35.0
Сельское население	109381.0	105791.0	3545.0	1069.0	1942.0	284.0	250.0	45.0
Мужчины	63170.0	61001.0	2147.0	650.0	1175.0	183.0	139.0	22.0
Женщины	46211.0	44790.0	1398.0	419.0	767.0	101.0	111.0	23.0
Камчатская область	169313.0	162271.0	7006.0	2909.0	3790.0	241.0	66.0	36.0
Мужчины	93860.0	89343.0	4492.0	1894.0	2386.0	169.0	43.0	25.0
Женщины	75453.0	72928.0	2514.0	1015.0	1404.0	72.0	23.0	11.0
Городское население	141152.0	135010.0	6111.0	2549.0	3309.0	200.0	53.0	31.0
Мужчины	78998.0	75041.0	3937.0	1689.0	2077.0	138.0	33.0	20.0
Женщины	62154.0	59969.0	2174.0	860.0	1232.0	62.0	20.0	11.0
Сельское население	28161.0	27261.0	895.0	360.0	481.0	41.0	13.0	5.0
Мужчины	14862.0	14302.0	555.0	205.0	309.0	31.0	10.0	5.0
Женщины	13299.0	12959.0	340.0	155.0	172.0	10.0	3.0	-
Корякский автономный округ	11153.0	10933.0	218.0	92.0	103.0	22.0	1.0	2.0
Мужчины	5591.0	5458.0	132.0	50.0	61.0	20.0	1.0	1.0
Женщины	5562.0	5475.0	86.0	42.0	42.0	2.0	-	1.0
Городское население	3060.0	3001.0	58.0	29.0	23.0	5.0	1.0	1.0
Мужчины	1419.0	1382.0	37.0	20.0	13.0	3.0	1.0	-
Женщины	1641.0	1619.0	21.0	9.0	10.0	2.0	-	1.0
Сельское население	8093.0	7932.0	160.0	63.0	80.0	17.0	-	1.0
Мужчины	4172.0	4076.0	95.0	30.0	48.0	17.0	-	1.0
Женщины	3921.0	3856.0	65.0	33.0	32.0	-	-	-
Магаданская область	91872.0	87431.0	4419.0	1586.0	2605.0	104.0	124.0	22.0
Мужчины	47257.0	44337.0	2911.0	1044.0	1726.0	68.0	73.0	9.0
Женщины	44615.0	43094.0	1508.0	542.0	879.0	36.0	51.0	13.0
Городское население	85574.0	81320.0	4233.0	1523.0	2496.0	96.0	118.0	21.0
Мужчины	43597.0	40807.0	2781.0	1005.0	1645.0	63.0	68.0	9.0
Женщины	41977.0	40513.0	1452.0	518.0	851.0	33.0	50.0	12.0
Сельское население	6298.0	6111.0	186.0	63.0	109.0	8.0	6.0	1.0
Мужчины	3660.0	3530.0	130.0	39.0	81.0	5.0	5.0	-
Женщины	2638.0	2581.0	56.0	24.0	28.0	3.0	1.0	1.0
Сахалинская область	252466.0	240212.0	12171.0	4477.0	6864.0	597.0	233.0	83.0
Мужчины	134181.0	127330.0	6813.0	2683.0	3661.0	330.0	139.0	38.0
Женщины	118285.0	112882.0	5358.0	1794.0	3203.0	267.0	94.0	45.0
Городское население	221844.0	210371.0	11395.0	4171.0	6447.0	570.0	207.0	78.0
Мужчины	116057.0	109665.0	6354.0	2506.0	3411.0	314.0	123.0	38.0
Женщины	105787.0	100706.0	5041.0	1665.0	3036.0	256.0	84.0	40.0
Сельское население	30622.0	29841.0	776.0	306.0	417.0	27.0	26.0	5.0
Мужчины	18124.0	17665.0	459.0	177.0	250.0	16.0	16.0	-
Женщины	12498.0	12176.0	317.0	129.0	167.0	11.0	10.0	5.0
Еврейская автономная область	77069.0	74783.0	2264.0	1161.0	1026.0	21.0	56.0	22.0
Мужчины	41659.0	40369.0	1276.0	668.0	564.0	11.0	33.0	14.0
Женщины	35410.0	34414.0	988.0	493.0	462.0	10.0	23.0	8.0
Городское население	55006.0	53192.0	1795.0	913.0	812.0	20.0	50.0	19.0
Мужчины	28368.0	27357.0	1000.0	520.0	439.0	11.0	30.0	11.0
Женщины	26638.0	25835.0	795.0	393.0	373.0	9.0	20.0	8.0
Сельское население	22063.0	21591.0	469.0	248.0	214.0	1.0	6.0	3.0
Мужчины	13291.0	13012.0	276.0	148.0	125.0	-	3.0	3.0
Женщины	8772.0	8579.0	193.0	100.0	89.0	1.0	3.0	-
Чукотский автономный округ	30111.0	29664.0	392.0	138.0	198.0	16.0	40.0	55.0
Мужчины	16613.0	16320.0	265.0	90.0	139.0	8.0	28.0	28.0
Женщины	13498.0	13344.0	127.0	48.0	59.0	8.0	12.0	27.0
Городское население	22462.0	22082.0	338.0	125.0	166.0	8.0	39.0	42.0
Мужчины	12538.0	12289.0	225.0	81.0	115.0	2.0	27.0	24.0
Женщины	9924.0	9793.0	113.0	44.0	51.0	6.0	12.0	18.0
Сельское население	7649.0	7582.0	54.0	13.0	32.0	8.0	1.0	13.0
Мужчины	4075.0	4031.0	40.0	9.0	24.0	6.0	1.0	4.0
Женщины	3574.0	3551.0	14.0	4.0	8.0	2.0	-	9.0
