7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
4 человек	2270.0	790.0	631.0	141.0	18.0	58.0	1480.0
5 и более человек	499.0	154.0	115.0	28.0	11.0	33.0	345.0
в них занятых	2564.0	796.0	590.0	149.0	57.0		1768.0
Домохозяйства, в которых есть занятые	162563.0	47696.0	36953.0	9204.0	1539.0	4900.0	114867.0
в них членов домохозяйств	553942.0	179825.0	132613.0	39119.0	8093.0		374117.0
Домохозяйства, в которых нет занятых	41591.0	8213.0	6197.0	1610.0	406.0	1355.0	33378.0
в них членов домохозяйств	104768.0	24694.0	17484.0	5400.0	1810.0		80074.0
Республика Мордовия							
Все домохозяйства	251421.0	41213.0	34807.0	5662.0	744.0	2350.0	210208.0
в них членов домохозяйств	785175.0	148426.0	121791.0	22966.0	3669.0		636749.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	87925.0	6139.0	5826.0	313.0			81786.0
из них имеют занятых							
1 человека	29261.0	3152.0	3152.0				26109.0
2 человек	15827.0						15827.0
3 человек	80094.0	14473.0	13120.0	1289.0	64.0	192.0	65621.0
из них имеют занятых							
1 человека	26637.0	6845.0	6021.0	824.0			19792.0
2 человек	37922.0	5187.0	5187.0				32735.0
3 человек	5093.0						5093.0
4 человек	58507.0	13676.0	10768.0	2628.0	280.0	852.0	44831.0
из них имеют занятых							
1 человека	15444.0	4893.0	3775.0	912.0	206.0	618.0	10551.0
2 человек	30212.0	6198.0	4812.0	1386.0			24014.0
3 человек	7490.0	1434.0	1434.0				6056.0
4 человек	1256.0						1256.0
5 и более человек	24895.0	6925.0	5093.0	1432.0	400.0	1306.0	17970.0
в них членов домохозяйств	135015.0	38025.0	27707.0	7961.0	2357.0		96990.0
из них имеют занятых							
1 человека	5289.0	1804.0	1265.0	393.0	146.0	483.0	3485.0
2 человек	9794.0	2550.0	1815.0	583.0	152.0	469.0	7244.0
3 человек	5102.0	1510.0	1246.0	243.0	21.0	67.0	3592.0
4 человек	2339.0	455.0	402.0	48.0	5.0	16.0	1884.0
5 и более человек	433.0	56.0	47.0	8.0	1.0	11.0	377.0
в них занятых	2218.0	296.0	243.0	45.0	8.0		1922.0
Домохозяйства, в которых есть занятые	192099.0	34084.0	29156.0	4397.0	531.0	1664.0	158015.0
в них членов домохозяйств	641003.0	127508.0	106004.0	18766.0	2738.0		513495.0
Домохозяйства, в которых нет занятых	59322.0	7129.0	5651.0	1265.0	213.0	686.0	52193.0
в них членов домохозяйств	144172.0	20918.0	15787.0	4200.0	931.0		123254.0
Республика Татарстан							
Все домохозяйства	1060524.0	567728.0	322580.0	193974.0	51174.0	165872.0	492796.0
в них членов домохозяйств	3502431.0	2144879.0	1080780.0	801357.0	262742.0		1357552.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	330149.0	61445.0	58497.0	2948.0			268704.0
из них имеют занятых							
1 человека	127109.0	44352.0	44352.0				82757.0
2 человек	70562.0						70562.0
3 человек	305732.0	180023.0	144750.0	33932.0	1341.0	4023.0	125709.0
из них имеют занятых							
1 человека	106035.0	65658.0	36284.0	29374.0			40377.0
2 человек	143508.0	98992.0	98992.0				44516.0
3 человек	27700.0						27700.0
4 человек	276866.0	211548.0	80636.0	112679.0	18233.0	55284.0	65318.0
из них имеют занятых							
1 человека	60856.0	50928.0	14598.0	20298.0	16032.0	48096.0	9928.0
2 человек	153700.0	124514.0	35501.0	89013.0			29186.0
3 человек	42263.0	28111.0	28111.0				14152.0
4 человек	9393.0						9393.0
5 и более человек	147777.0	114712.0	38697.0	44415.0	31600.0	106565.0	33065.0
в них членов домохозяйств	817473.0	635728.0	206992.0	242949.0	185787.0		181745.0
из них имеют занятых							
1 человека	24715.0	20176.0	4163.0	6228.0	9785.0	34389.0	4539.0
2 человек	64931.0	48722.0	12702.0	21223.0	14797.0	47329.0	16209.0
3 человек	33161.0	27169.0	11539.0	12058.0	3572.0	11951.0	5992.0
4 человек	16164.0	12426.0	8113.0	3155.0	1158.0	3936.0	3738.0
5 и более человек	4045.0	2514.0	1426.0	702.0	386.0	1421.0	1531.0
в них занятых	21015.0	13055.0	7311.0	3665.0	2079.0		7960.0
Домохозяйства, в которых есть занятые	884142.0	523562.0	295781.0	182051.0	45730.0	147122.0	360580.0
в них членов домохозяйств	3081897.0	2011632.0	1010282.0	762703.0	238647.0		1070265.0
Домохозяйства, в которых нет занятых	176382.0	44166.0	26799.0	11923.0	5444.0	18750.0	132216.0
в них членов домохозяйств	420534.0	133247.0	70498.0	38654.0	24095.0		287287.0
Удмуртская Республика							
Все домохозяйства	444021.0	155065.0	113060.0	34798.0	7207.0	23222.0	288956.0
в них членов домохозяйств	1439921.0	579228.0	397524.0	145131.0	36573.0		860693.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	144181.0	19276.0	18327.0	949.0			124905.0
из них имеют занятых							
1 человека	55102.0	12599.0	12599.0				42503.0
2 человек	34529.0						34529.0
3 человек	133888.0	51750.0	44675.0	6703.0	372.0	1116.0	82138.0
из них имеют занятых							
1 человека	40444.0	18775.0	13279.0	5496.0			21669.0
2 человек	68352.0	27865.0	27865.0				40487.0
3 человек	13587.0						13587.0
4 человек	107894.0	52225.0	31853.0	17819.0	2553.0	7824.0	55669.0
из них имеют занятых							
1 человека	21556.0	13028.0	7413.0	3515.0	2100.0	6300.0	8528.0
2 человек	58951.0	28251.0	14695.0	13556.0			30700.0
3 человек	19058.0	8632.0	8632.0				10426.0
4 человек	4163.0						4163.0
5 и более человек	58058.0	31814.0	18205.0	9327.0	4282.0	14282.0	26244.0
в них членов домохозяйств	318319.0	176526.0	99433.0	51848.0	25245.0		141793.0
из них имеют занятых							
1 человека	8788.0	5626.0	2874.0	1458.0	1294.0	4524.0	3162.0
2 человек	23752.0	11865.0	5984.0	4029.0	1852.0	5862.0	11887.0
3 человек	13876.0	8262.0	5133.0	2602.0	527.0	1700.0	5614.0
4 человек	7688.0	4023.0	3097.0	755.0	171.0	557.0	3665.0
5 и более человек	1910.0	825.0	597.0	167.0	61.0	220.0	1085.0
в них занятых	9798.0	4260.0	3077.0	860.0	323.0		5538.0
Домохозяйства, в которых есть занятые	371756.0	139751.0	102168.0	31578.0	6005.0	19163.0	232005.0
в них членов домохозяйств	1268366.0	534584.0	368189.0	134891.0	31504.0		733782.0
Домохозяйства, в которых нет занятых	72265.0	15314.0	10892.0	3220.0	1202.0	4059.0	56951.0
в них членов домохозяйств	171555.0	44644.0	29335.0	10240.0	5069.0		126911.0
Чувашская Республика							
Все домохозяйства	361191.0	92841.0	70671.0	18576.0	3594.0	11533.0	268350.0
в них членов домохозяйств	1197107.0	348590.0	254334.0	76300.0	17956.0		848517.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	113110.0	12369.0	11427.0	942.0			100741.0
из них имеют занятых							
1 человека	42159.0	7132.0	7132.0				35027.0
2 человек	21761.0						21761.0
3 человек	104375.0	29309.0	25092.0	3886.0	331.0	993.0	75066.0
из них имеют занятых							
1 человека	36148.0	12947.0	10068.0	2879.0			23201.0
2 человек	47149.0	11852.0	11852.0				35297.0
3 человек	8448.0						8448.0
4 человек	89794.0	31845.0	21547.0	8972.0	1326.0	4074.0	57949.0
из них имеют занятых							
1 человека	21532.0	10107.0	6664.0	2444.0	999.0	2997.0	11425.0
2 человек	47736.0	15383.0	9537.0	5846.0			32353.0
3 человек	12305.0	4079.0	4079.0				8226.0
4 человек	2857.0						2857.0
5 и более человек	53912.0	19318.0	12605.0	4776.0	1937.0	6466.0	34594.0
в них членов домохозяйств	298586.0	108545.0	70016.0	26870.0	11659.0		190041.0
из них имеют занятых							
1 человека	10407.0	4579.0	2828.0	1077.0	674.0	2283.0	5828.0
2 человек	23853.0	7098.0	4365.0	1968.0	765.0	2441.0	16755.0
3 человек	10425.0	4374.0	3079.0	1090.0	205.0	665.0	6051.0
4 человек	5020.0	1725.0	1398.0	274.0	53.0	177.0	3295.0
5 и более человек	1366.0	340.0	273.0	50.0	17.0	69.0	1026.0
в них занятых	7035.0	1768.0	1410.0	258.0	100.0		5267.0
Домохозяйства, в которых есть занятые	291166.0	79616.0	61275.0	15628.0	2713.0	8632.0	211550.0
в них членов домохозяйств	1023670.0	308730.0	227510.0	66891.0	14329.0		714940.0
Домохозяйства, в которых нет занятых	70025.0	13225.0	9396.0	2948.0	881.0	2901.0	56800.0
в них членов домохозяйств	173437.0	39860.0	26824.0	9409.0	3627.0		133577.0
Кировская область							
Все домохозяйства	441020.0	116942.0	90248.0	22808.0	3886.0	12514.0	324078.0
в них членов домохозяйств	1323693.0	411834.0	301578.0	91211.0	19045.0		911859.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	174877.0	17118.0	16120.0	998.0			157759.0
из них имеют занятых							
1 человека	57536.0	10754.0	10754.0				46782.0
2 человек	43403.0						43403.0
3 человек	140688.0	46517.0	41180.0	5013.0	324.0	972.0	94171.0
из них имеют занятых							
1 человека	40126.0	16067.0	11925.0	4142.0			24059.0
2 человек	74654.0	26071.0	26071.0				48583.0
3 человек	13601.0						13601.0
4 человек	89883.0	36330.0	22800.0	12090.0	1440.0	4429.0	53553.0
из них имеют занятых							
1 человека	18225.0	8876.0	5375.0	2359.0	1142.0	3426.0	9349.0
2 человек	49295.0	19835.0	10620.0	9215.0			29460.0
3 человек	15136.0	5855.0	5855.0				9281.0
4 человек	3211.0						3211.0
5 и более человек	35572.0	16977.0	10148.0	4707.0	2122.0	7113.0	18595.0
в них членов домохозяйств	192343.0	92727.0	54598.0	25816.0	12313.0		99616.0
из них имеют занятых							
1 человека	6248.0	3247.0	1773.0	822.0	652.0	2274.0	3001.0
2 человек	14054.0	6247.0	3266.0	2021.0	960.0	3041.0	7807.0
3 человек	8223.0	4357.0	2878.0	1261.0	218.0	701.0	3866.0
4 человек	4412.0	1966.0	1605.0	300.0	61.0	242.0	2446.0
5 и более человек	898.0	319.0	245.0	54.0	20.0	71.0	579.0
в них занятых	4594.0	1635.0	1243.0	282.0	110.0		2959.0
Домохозяйства, в которых есть занятые	349022.0	103594.0	80367.0	20174.0	3053.0	9755.0	245428.0
в них членов домохозяйств	1113139.0	374194.0	275377.0	83149.0	15668.0		738945.0
Домохозяйства, в которых нет занятых	91998.0	13348.0	9881.0	2634.0	833.0	2759.0	78650.0
в них членов домохозяйств	210554.0	37640.0	26201.0	8062.0	3377.0		172914.0
Нижегородская область							
Все домохозяйства	1031023.0	396813.0	286506.0	91051.0	19256.0	62516.0	634210.0
в них членов домохозяйств	3134931.0	1412505.0	947876.0	368200.0	96429.0		1722426.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	392828.0	55711.0	53636.0	2075.0			337117.0
из них имеют занятых							
1 человека	142213.0	37814.0	37814.0				104399.0
2 человек	90378.0						90378.0
3 человек	332146.0	152829.0	130778.0	21135.0	916.0	2748.0	179317.0
из них имеют занятых							
1 человека	101240.0	54834.0	36922.0	17912.0			46406.0
2 человек	168094.0	84019.0	84019.0				84075.0
3 человек	33980.0						33980.0
4 человек	216415.0	127522.0	72295.0	47667.0	7560.0	23006.0	88893.0
из них имеют занятых							
1 человека	46127.0	32398.0	15653.0	10367.0	6378.0	19134.0	13729.0
2 человек	111802.0	67159.0	31970.0	35189.0			44643.0
3 человек	40662.0	22030.0	22030.0				18632.0
4 человек	8546.0						8546.0
5 и более человек	89634.0	60751.0	29797.0	20174.0	10780.0	36762.0	28883.0
в них членов домохозяйств	487177.0	332508.0	159090.0	109977.0	63441.0		154669.0
из них имеют занятых							
1 человека	14776.0	10993.0	4161.0	3212.0	3620.0	12696.0	3783.0
2 человек	33919.0	22806.0	9547.0	8930.0	4329.0	13981.0	11113.0
3 человек	22814.0	15908.0	9054.0	5574.0	1280.0	4240.0	6906.0
4 человек	11589.0	7052.0	5290.0	1422.0	340.0	1155.0	4537.0
5 и более человек	2495.0	1178.0	798.0	254.0	126.0	459.0	1317.0
в них занятых	13095.0	6142.0	4123.0	1319.0	700.0		6953.0
Домохозяйства, в которых есть занятые	828635.0	356191.0	257258.0	82860.0	16073.0	51665.0	472444.0
в них членов домохозяйств	2668219.0	1295289.0	870984.0	341636.0	82669.0		1372930.0
Домохозяйства, в которых нет занятых	202388.0	40622.0	29248.0	8191.0	3183.0	10851.0	161766.0
в них членов домохозяйств	466712.0	117216.0	76892.0	26564.0	13760.0		349496.0
Оренбургская область							
Все домохозяйства	630576.0	219232.0	155318.0	50782.0	13132.0	42306.0	411344.0
в них членов домохозяйств	1985210.0	790105.0	522470.0	203100.0	64535.0		1195105.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	218959.0	30928.0	29305.0	1623.0			188031.0
из них имеют занятых							
1 человека	77346.0	19144.0	19144.0				58202.0
2 человек	45530.0						45530.0
3 человек	197397.0	80550.0	66776.0	13158.0	616.0	1848.0	116847.0
из них имеют занятых							
1 человека	70807.0	34682.0	23982.0	10700.0			36125.0
2 человек	88846.0	35381.0	35381.0				53465.0
3 человек	13595.0						13595.0
4 человек	147979.0	71814.0	40789.0	25282.0	5743.0	17387.0	76165.0
из них имеют занятых							
1 человека	44889.0	25796.0	14273.0	6618.0	4905.0	14715.0	19093.0
2 человек	71885.0	32962.0	16050.0	16912.0			38923.0
3 человек	17530.0	7782.0	7782.0				9748.0
4 человек	3174.0						3174.0
5 и более человек	66241.0	35940.0	18448.0	10719.0	6773.0	23071.0	30301.0
в них членов домохозяйств	363185.0	199343.0	100376.0	59252.0	39715.0		163842.0
из них имеют занятых							
1 человека	17984.0	10520.0	5288.0	2569.0	2663.0	9255.0	7464.0
2 человек	24599.0	12565.0	5686.0	4411.0	2468.0	7990.0	12034.0
3 человек	12124.0	7044.0	4150.0	2323.0	571.0	1922.0	5080.0
4 человек	4969.0	2409.0	1818.0	433.0	158.0	540.0	2560.0
5 и более человек	1001.0	377.0	241.0	103.0	33.0	126.0	624.0
в них занятых	5219.0	1969.0	1247.0	538.0	184.0		3250.0
Домохозяйства, в которых есть занятые	494279.0	188662.0	133795.0	44069.0	10798.0	34548.0	305617.0
в них членов домохозяйств	1647733.0	697003.0	462276.0	180618.0	54109.0		950730.0
Домохозяйства, в которых нет занятых	136297.0	30570.0	21523.0	6713.0	2334.0	7758.0	105727.0
в них членов домохозяйств	337477.0	93102.0	60194.0	22482.0	10426.0		244375.0
Пензенская область							
Все домохозяйства	428754.0	143397.0	109692.0	27921.0	5784.0	18795.0	285357.0
в них членов домохозяйств	1308052.0	509329.0	368535.0	111664.0	29130.0		798723.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	162510.0	22494.0	21330.0	1164.0			140016.0
из них имеют занятых							
1 человека	53849.0	11848.0	11848.0				42001.0
2 человек	29521.0						29521.0
3 человек	138034.0	54214.0	46188.0	7637.0	389.0	1167.0	83820.0
из них имеют занятых							
1 человека	48480.0	23720.0	18229.0	5491.0			24760.0
2 человек	60358.0	21106.0	21106.0				39252.0
3 человек	9026.0						9026.0
4 человек	89700.0	43825.0	28927.0	12560.0	2338.0	7132.0	45875.0
из них имеют занятых							
1 человека	26298.0	16105.0	10275.0	4115.0	1715.0	5145.0	10193.0
2 человек	41161.0	18482.0	11576.0	6906.0			22679.0
3 человек	11365.0	4420.0	4420.0				6945.0
4 человек	1970.0						1970.0
5 и более человек	38510.0	22864.0	13247.0	6560.0	3057.0	10496.0	15646.0
в них членов домохозяйств	210130.0	126399.0	71603.0	36185.0	18611.0		83731.0
из них имеют занятых							
1 человека	9087.0	6088.0	3253.0	1681.0	1154.0	3921.0	2999.0
2 человек	13584.0	7652.0	4166.0	2570.0	916.0	2962.0	5932.0
3 человек	7641.0	4597.0	3143.0	1238.0	216.0	713.0	3044.0
4 человек	3301.0	1573.0	1256.0	259.0	58.0	199.0	1728.0
5 и более человек	599.0	239.0	172.0	49.0	18.0	64.0	360.0
в них занятых	3121.0	1271.0	891.0	260.0	120.0		1850.0
Домохозяйства, в которых есть занятые	316240.0	115830.0	89444.0	22309.0	4077.0	13004.0	200410.0
в них членов домохозяйств	1029465.0	425052.0	311491.0	92583.0	20978.0		604413.0
Домохозяйства, в которых нет занятых	112514.0	27567.0	20248.0	5612.0	1707.0	5791.0	84947.0
в них членов домохозяйств	278587.0	84277.0	57044.0	19081.0	8152.0		194310.0
Пермская область							
Все домохозяйства	805566.0	343902.0	234902.0	88758.0	20242.0	65239.0	461664.0
в них членов домохозяйств	2525691.0	1241382.0	777877.0	360497.0	103008.0		1284309.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	289469.0	48223.0	46346.0	1877.0			241246.0
из них имеют занятых							
1 человека	110771.0	33059.0	33059.0				77712.0
2 человек	65477.0						65477.0
3 человек	249512.0	126941.0	106320.0	19957.0	664.0	1992.0	122571.0
из них имеют занятых							
1 человека	81047.0	45660.0	28620.0	17040.0			35387.0
2 человек	121466.0	69349.0	69349.0				52117.0
3 человек	20969.0						20969.0
4 человек	178544.0	110452.0	55874.0	47222.0	7356.0	22282.0	68092.0
из них имеют занятых							
1 человека	41789.0	28499.0	12757.0	9362.0	6380.0	19140.0	13290.0
2 человек	92761.0	60376.0	24462.0	35914.0			32385.0
3 человек	27869.0	15961.0	15961.0				11908.0
4 человек	5462.0						5462.0
5 и более человек	88041.0	58286.0	26362.0	19702.0	12222.0	40965.0	29755.0
в них членов домохозяйств	484041.0	322305.0	142729.0	107984.0	71592.0		161736.0
из них имеют занятых							
1 человека	17074.0	11495.0	4436.0	3237.0	3822.0	13378.0	5579.0
2 человек	33593.0	21894.0	8055.0	8425.0	5414.0	17280.0	11699.0
3 человек	20125.0	14377.0	7474.0	5433.0	1470.0	4869.0	5748.0
4 человек	9346.0	6158.0	4407.0	1353.0	398.0	1333.0	3188.0
5 и более человек	2077.0	1096.0	686.0	278.0	132.0	493.0	981.0
в них занятых	10819.0	5689.0	3528.0	1445.0	716.0		5130.0
Домохозяйства, в которых есть занятые	649826.0	307924.0	209266.0	81042.0	17616.0	56493.0	341902.0
в них членов домохозяйств	2146107.0	1134605.0	708321.0	334869.0	91415.0		1011502.0
Домохозяйства, в которых нет занятых	155740.0	35978.0	25636.0	7716.0	2626.0	8746.0	119762.0
в них членов домохозяйств	379584.0	106777.0	69556.0	25628.0	11593.0		272807.0
Коми–Пермяцкий автономный округ							
Все домохозяйства	37762.0	8451.0	6647.0	1519.0	285.0	921.0	29311.0
в них членов домохозяйств	123009.0	32472.0	24312.0	6622.0	1538.0		90537.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	13158.0	1199.0	1161.0	38.0			11959.0
из них имеют занятых							
1 человека	4005.0	529.0	529.0				3476.0
2 человек	2028.0						2028.0
3 человек	10365.0	2513.0	2246.0	262.0	5.0	15.0	7852.0
из них имеют занятых							
1 человека	3663.0	1043.0	893.0	150.0			2620.0
2 человек	3990.0	848.0	848.0				3142.0
3 человек	460.0						460.0
4 человек	8618.0	2590.0	1809.0	703.0	78.0	238.0	6028.0
из них имеют занятых							
1 человека	2632.0	951.0	719.0	183.0	49.0	147.0	1681.0
2 человек	4067.0	1045.0	650.0	395.0			3022.0
3 человек	652.0	151.0	151.0				501.0
4 человек	85.0						85.0
5 и более человек	5621.0	2149.0	1431.0	516.0	202.0	668.0	3472.0
в них членов домохозяйств	31126.0	12175.0	8016.0	2948.0	1211.0		18951.0
из них имеют занятых							
1 человека	1586.0	709.0	482.0	151.0	76.0	259.0	877.0
2 человек	2159.0	681.0	464.0	150.0	67.0	210.0	1478.0
3 человек	749.0	307.0	219.0	79.0	9.0	28.0	442.0
4 человек	250.0	101.0	82.0	16.0	3.0	12.0	149.0
5 и более человек	38.0	10.0	7.0	2.0	1.0	3.0	28.0
в них занятых	196.0	52.0	37.0	10.0	5.0		144.0
Домохозяйства, в которых есть занятые	26364.0	6375.0	5044.0	1126.0	205.0	659.0	19989.0
в них членов домохозяйств	92627.0	25585.0	19396.0	5055.0	1134.0		67042.0
Домохозяйства, в которых нет занятых	11398.0	2076.0	1603.0	393.0	80.0	262.0	9322.0
в них членов домохозяйств	30382.0	6887.0	4916.0	1567.0	404.0		23495.0
Самарская  область							
Все домохозяйства	944372.0	342025.0	247692.0	75757.0	18576.0	60481.0	602347.0
в них членов домохозяйств	2934564.0	1235472.0	836184.0	305898.0	93390.0		1699092.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	337333.0	48026.0	45715.0	2311.0			289307.0
из них имеют занятых							
1 человека	128269.0	31404.0	31404.0				96865.0
2 человек	79593.0						79593.0
3 человек	304718.0	124810.0	104919.0	18903.0	988.0	2964.0	179908.0
из них имеют занятых							
1 человека	99326.0	52356.0	36684.0	15672.0			46970.0
2 человек	144830.0	58436.0	58436.0				86394.0
3 человек	31157.0						31157.0
4 человек	210575.0	112249.0	67457.0	37169.0	7623.0	23171.0	98326.0
из них имеют занятых							
1 человека	50218.0	34211.0	18293.0	9416.0	6502.0	19506.0	16007.0
2 человек	101222.0	53444.0	28038.0	25406.0			47778.0
3 человек	38536.0	17961.0	17961.0				20575.0
4 человек	9427.0						9427.0
5 и более человек	91746.0	56940.0	29601.0	17374.0	9965.0	34346.0	34806.0
в них членов домохозяйств	503444.0	315994.0	160169.0	95891.0	59934.0		187450.0
из них имеют занятых							
1 человека	16192.0	11703.0	5133.0	3193.0	3377.0	11961.0	4489.0
2 человек	32129.0	19799.0	9072.0	6924.0	3803.0	12348.0	12330.0
3 человек	22959.0	14512.0	8554.0	4814.0	1144.0	3792.0	8447.0
4 человек	12211.0	6507.0	4820.0	1281.0	406.0	1419.0	5704.0
5 и более человек	3321.0	1331.0	866.0	314.0	151.0	572.0	1990.0
в них занятых	17911.0	7060.0	4524.0	1683.0	853.0		10851.0
Домохозяйства, в которых есть занятые	769390.0	301664.0	219261.0	67020.0	15383.0	49598.0	467726.0
в них членов домохозяйств	2514689.0	1115863.0	759172.0	277527.0	79164.0		1398826.0
Домохозяйства, в которых нет занятых	174982.0	40361.0	28431.0	8737.0	3193.0	10883.0	134621.0
в них членов домохозяйств	419875.0	119609.0	77012.0	28371.0	14226.0		300266.0
Саратовская область							
Все домохозяйства	781868.0	301089.0	214228.0	68576.0	18285.0	59517.0	480779.0
в них членов домохозяйств	2392265.0	1067191.0	707148.0	270237.0	89806.0		1325074.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	296811.0	48102.0	45271.0	2831.0			248709.0
из них имеют занятых							
1 человека	106454.0	29135.0	29135.0				77319.0
2 человек	57321.0						57321.0
3 человек	247922.0	113478.0	92039.0	20359.0	1080.0	3240.0	134444.0
из них имеют занятых							
1 человека	89754.0	49847.0	33406.0	16441.0			39907.0
2 человек	106677.0	47236.0	47236.0				59441.0
3 человек	17847.0						17847.0
4 человек	165435.0	92321.0	53552.0	30799.0	7970.0	24272.0	73114.0
из них имеют занятых							
1 человека	50570.0	34018.0	18158.0	9284.0	6576.0	19728.0	16552.0
2 человек	74630.0	39917.0	21173.0	18744.0			34713.0
3 человек	21454.0	10228.0	10228.0				11226.0
4 человек	4177.0						4177.0
5 и более человек	71700.0	47188.0	23366.0	14587.0	9235.0	32005.0	24512.0
в них членов домохозяйств	393137.0	261269.0	126281.0	80302.0	54686.0		131868.0
из них имеют занятых							
1 человека	17858.0	12948.0	5737.0	3612.0	3599.0	12740.0	4910.0
2 человек	24934.0	16123.0	7353.0	5691.0	3079.0	10003.0	8811.0
3 человек	14146.0	9425.0	5491.0	3141.0	793.0	2638.0	4721.0
4 человек	5987.0	3350.0	2510.0	637.0	203.0	715.0	2637.0
5 и более человек	1222.0	543.0	349.0	137.0	57.0	208.0	679.0
в них занятых	6373.0	2843.0	1808.0	719.0	316.0		3530.0
Домохозяйства, в которых есть занятые	593031.0	252770.0	180776.0	57687.0	14307.0	46032.0	340261.0
в них членов домохозяйств	1924597.0	920313.0	614137.0	234139.0	72037.0		1004284.0
Домохозяйства, в которых нет занятых	188837.0	48319.0	33452.0	10889.0	3978.0	13485.0	140518.0
в них членов домохозяйств	467668.0	146878.0	93011.0	36098.0	17769.0		320790.0
Ульяновская область							
Все домохозяйства	406198.0	159095.0	109408.0	39802.0	9885.0	31895.0	247103.0
в них членов домохозяйств	1248784.0	565255.0	360229.0	157272.0	47754.0		683529.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	148841.0	22282.0	21271.0	1011.0			126559.0
из них имеют занятых							
1 человека	51610.0	14412.0	14412.0				37198.0
2 человек	31254.0						31254.0
3 человек	129871.0	60685.0	49633.0	10607.0	445.0	1335.0	69186.0
из них имеют занятых							
1 человека	44174.0	24067.0	15124.0	8943.0			20107.0
2 человек	60537.0	29602.0	29602.0				30935.0
3 человек	10336.0						10336.0
4 человек	91857.0	53205.0	27620.0	20828.0	4757.0	14439.0	38652.0
из них имеют занятых							
1 человека	24857.0	16452.0	7440.0	4942.0	4070.0	12210.0	8405.0
2 человек	45401.0	26419.0	11722.0	14697.0			18982.0
3 человек	12889.0	6952.0	6952.0				5937.0
4 человек	2648.0						2648.0
5 и более человек	35629.0	22923.0	10884.0	7356.0	4683.0	16121.0	12706.0
в них членов домохозяйств	194061.0	125816.0	58308.0	40117.0	27391.0		68245.0
из них имеют занятых							
1 человека	7934.0	5353.0	2095.0	1488.0	1770.0	6234.0	2581.0
2 человек	13008.0	8183.0	3358.0	3038.0	1787.0	5744.0	4825.0
3 человек	7642.0	5235.0	2956.0	1857.0	422.0	1391.0	2407.0
4 человек	3488.0	2135.0	1580.0	438.0	117.0	415.0	1353.0
5 и более человек	755.0	361.0	232.0	93.0	36.0	117.0	394.0
в них занятых	3924.0	1885.0	1203.0	489.0	193.0		2039.0
Домохозяйства, в которых есть занятые	316533.0	139171.0	95473.0	35496.0	8202.0	26111.0	177362.0
в них членов домохозяйств	1032280.0	505396.0	322110.0	143024.0	40262.0		526884.0
Домохозяйства, в которых нет занятых	89665.0	19924.0	13935.0	4306.0	1683.0	5784.0	69741.0
в них членов домохозяйств	216504.0	59859.0	38119.0	14248.0	7492.0		156645.0
Уральский федеральный округ							
Все домохозяйства	3594851.0	1673185.0	1090439.0	453433.0	129313.0	424734.0	1921666.0
в них членов домохозяйств	11168873.0	5987754.0	3536650.0	1800984.0	650120.0		5181119.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	1300634.0	237287.0	224955.0	12332.0			1063347.0
из них имеют занятых							
1 человека	496987.0	167345.0	167345.0				329642.0
2 человек	331573.0						331573.0
3 человек	1144073.0	634871.0	515380.0	114454.0	5037.0	15111.0	509202.0
из них имеют занятых							
1 человека	368770.0	234287.0	134670.0	99617.0			134483.0
2 человек	568752.0	344703.0	344703.0				224049.0
3 человек	99693.0						99693.0
4 человек	801056.0	541062.0	249332.0	240183.0	51547.0	156586.0	259994.0
из них имеют занятых							
1 человека	195014.0	148672.0	57215.0	46492.0	44965.0	134895.0	46342.0
2 человек	408646.0	286695.0	102886.0	183809.0			121951.0
3 человек	125308.0	77401.0	77401.0				47907.0
4 человек	26585.0						26585.0
5 и более человек	349088.0	259965.0	100772.0	86464.0	72729.0	253037.0	89123.0
в них членов домохозяйств	1931162.0	1444319.0	543272.0	472226.0	428821.0		486843.0
из них имеют занятых							
1 человека	70287.0	54901.0	17747.0	13596.0	23558.0	86425.0	15386.0
