1. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ВОЗРАСТНЫМ ГРУППАМ И ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе											
60 – 64	168513.0	17625.0	14552.0	12476.0	3073.0	3021.0	149591.0	-	149115.0	67.0	101.0	308.0	1297.0
Из общей численности -													
население в трудоспособном возрасте	1316887.0	874378.0	764918.0	15553.0	109460.0	5643.0	437855.0	52512.0	71444.0	41280.0	48819.0	223800.0	4654.0
учащиеся	217063.0	44270.0	30276.0	193.0	13994.0	292.0	170791.0	55387.0	3410.0	32706.0	815.0	78473.0	2002.0
Городское население  в возрасте 15-64 лет	2105326.0	1357320.0	1206711.0	68274.0	150609.0	18197.0	737883.0	90601.0	311169.0	49003.0	10250.0	276860.0	10123.0
в том числе в возрасте, лет:													
15 – 19	266810.0	45293.0	22671.0	158.0	22622.0	403.0	218492.0	63947.0	5045.0	32779.0	353.0	116368.0	3025.0
20 – 29	451443.0	332867.0	285294.0	1088.0	47573.0	1041.0	116743.0	26490.0	6635.0	10251.0	1617.0	71750.0	1833.0
30 – 39	392411.0	336728.0	307502.0	2319.0	29226.0	1753.0	54573.0	160.0	11649.0	3882.0	2438.0	36444.0	1110.0
40 – 49	477567.0	399017.0	368018.0	9054.0	30999.0	4086.0	77236.0	4.0	35243.0	1460.0	3962.0	36567.0	1314.0
50 – 59	328608.0	208342.0	192533.0	30564.0	15809.0	6638.0	118927.0	-	101140.0	580.0	1848.0	15359.0	1339.0
60 – 64	188487.0	35073.0	30693.0	25091.0	4380.0	4276.0	151912.0	-	151457.0	51.0	32.0	372.0	1502.0
Из общей численности -													
население в трудоспособном возрасте	1802419.0	1297130.0	1154276.0	29115.0	142854.0	11843.0	497859.0	84745.0	116495.0	30669.0	10150.0	255800.0	7430.0
учащиеся	323676.0	67922.0	44523.0	309.0	23399.0	500.0	252825.0	90601.0	4430.0	32276.0	339.0	125179.0	2929.0
Сельское население  в возрасте  15-64 лет	943397.0	535995.0	453231.0	16920.0	82764.0	5839.0	404846.0	17274.0	164330.0	41393.0	73316.0	108533.0	2556.0
в том числе в возрасте, лет:													
15 – 19	112708.0	20438.0	10244.0	113.0	10194.0	269.0	91272.0	14173.0	4499.0	31405.0	3519.0	37676.0	998.0
20 – 29	183655.0	124946.0	100896.0	538.0	24050.0	380.0	58514.0	3085.0	4373.0	6398.0	15826.0	28832.0	195.0
30 – 39	187803.0	141779.0	123171.0	1196.0	18608.0	589.0	45851.0	12.0	7053.0	2401.0	19604.0	16781.0	173.0
40 – 49	225593.0	167642.0	147604.0	3699.0	20038.0	1343.0	57717.0	4.0	16332.0	884.0	23296.0	17201.0	234.0
50 – 59	137557.0	74215.0	65901.0	7069.0	8314.0	1755.0	63077.0	-	44114.0	265.0	10839.0	7859.0	265.0
60 – 64	96081.0	6975.0	5415.0	4305.0	1560.0	1503.0	88415.0	-	87959.0	40.0	232.0	184.0	691.0
Из общей численности -													
население в трудоспособном возрасте	794854.0	523029.0	443197.0	9629.0	79832.0	3687.0	270444.0	15838.0	53975.0	24757.0	72701.0	103173.0	1381.0
учащиеся	91522.0	13080.0	9217.0	76.0	3863.0	81.0	77492.0	17274.0	2560.0	28869.0	1192.0	27597.0	950.0
Приволжский федеральный округ													
Городское и сельское  население  в возрасте 15-64 лет	21386807.0	14684376.0	13255158.0	695191.0	1429218.0	121748.0	6647029.0	602295.0	2703408.0	609826.0	542726.0	2188774.0	55402.0
в том числе в возрасте, лет:													
15 – 19	2664783.0	492028.0	294756.0	2745.0	197272.0	5779.0	2161463.0	484629.0	90045.0	414968.0	62992.0	1108829.0	11292.0
20 – 29	4386643.0	3477716.0	3058386.0	12284.0	419330.0	7549.0	898742.0	116813.0	61728.0	131009.0	106338.0	482854.0	10185.0
30 – 39	4237224.0	3708881.0	3409446.0	25963.0	299435.0	10892.0	519013.0	799.0	91015.0	46726.0	131763.0	248710.0	9330.0
40 – 49	5173289.0	4519870.0	4193553.0	105999.0	326317.0	24918.0	644453.0	54.0	227188.0	12805.0	162986.0	241420.0	8966.0
50 – 59	3210949.0	2219349.0	2061911.0	343635.0	157438.0	43787.0	983549.0	-	797491.0	3913.0	77144.0	105001.0	8051.0
60 – 64	1713919.0	266532.0	237106.0	204565.0	29426.0	28823.0	1439809.0	-	1435941.0	405.0	1503.0	1960.0	7578.0
Из общей численности -													
население в трудоспособном возрасте	18485135.0	14183137.0	12809963.0	341901.0	1373174.0	77411.0	4260271.0	549056.0	853820.0	391766.0	530971.0	1934658.0	41727.0
учащиеся	2998125.0	744458.0	583155.0	3943.0	161303.0	4494.0	2246702.0	602295.0	71001.0	408574.0	46110.0	1118722.0	6965.0
Мужчины  в возрасте 15-64 лет	10084310.0	7364668.0	6637161.0	300863.0	727507.0	60256.0	2693980.0	282419.0	1009636.0	200804.0	256365.0	944756.0	25662.0
в том числе в возрасте, лет:													
15 – 19	1297204.0	243202.0	149227.0	1795.0	93975.0	3182.0	1048064.0	236055.0	47139.0	191961.0	33561.0	539348.0	5938.0
20 – 29	2105618.0	1805201.0	1598948.0	7018.0	206253.0	3912.0	295722.0	46012.0	33042.0	3387.0	42066.0	171215.0	4695.0
30 – 39	2063894.0	1863651.0	1707088.0	14113.0	156563.0	5901.0	195726.0	328.0	48582.0	1829.0	59890.0	85097.0	4517.0
40 – 49	2466209.0	2160779.0	1987970.0	52146.0	172809.0	15362.0	300952.0	24.0	122862.0	2154.0	77631.0	98281.0	4478.0
50 – 59	1454767.0	1132091.0	1048894.0	104283.0	83197.0	17670.0	319412.0	-	225980.0	1321.0	42333.0	49778.0	3264.0
60 – 64	696618.0	159744.0	145034.0	121508.0	14710.0	14229.0	534104.0	-	532031.0	152.0	884.0	1037.0	2770.0
Из общей численности -													
население в трудоспособном возрасте	9095972.0	7196545.0	6489821.0	179269.0	706724.0	45755.0	1878577.0	251281.0	462945.0	94650.0	250745.0	818956.0	20850.0
учащиеся	1363613.0	305075.0	236352.0	1937.0	68723.0	2089.0	1055055.0	282419.0	35172.0	187811.0	22286.0	527367.0	3483.0
Женщины в возрасте  15-64 лет	11302497.0	7319708.0	6617997.0	394328.0	701711.0	61492.0	3953049.0	319876.0	1693772.0	409022.0	286361.0	1244018.0	29740.0
в том числе в возрасте, лет:													
15 – 19	1367579.0	248826.0	145529.0	950.0	103297.0	2597.0	1113399.0	248574.0	42906.0	223007.0	29431.0	569481.0	5354.0
20 – 29	2281025.0	1672515.0	1459438.0	5266.0	213077.0	3637.0	603020.0	70801.0	28686.0	127622.0	64272.0	311639.0	5490.0
30 – 39	2173330.0	1845230.0	1702358.0	11850.0	142872.0	4991.0	323287.0	471.0	42433.0	44897.0	71873.0	163613.0	4813.0
40 – 49	2707080.0	2359091.0	2205583.0	53853.0	153508.0	9556.0	343501.0	30.0	104326.0	10651.0	85355.0	143139.0	4488.0
50 – 59	1756182.0	1087258.0	1013017.0	239352.0	74241.0	26117.0	664137.0	-	571511.0	2592.0	34811.0	55223.0	4787.0
60 – 64	1017301.0	106788.0	92072.0	83057.0	14716.0	14594.0	905705.0	-	903910.0	253.0	619.0	923.0	4808.0
Из общей численности -													
население в трудоспособном возрасте	9389163.0	6986592.0	6320142.0	162632.0	666450.0	31656.0	2381694.0	297775.0	390875.0	297116.0	280226.0	1115702.0	20877.0
учащиеся	1634512.0	439383.0	346803.0	2006.0	92580.0	2405.0	1191647.0	319876.0	35829.0	220763.0	23824.0	591355.0	3482.0
Городское население  в возрасте 15-64 лет	15631955.0	11017140.0	10013546.0	579062.0	1003594.0	96114.0	4563822.0	497482.0	1792245.0	336893.0	118624.0	1818578.0	50993.0
в том числе в возрасте, лет:													
15 – 19	1997141.0	368954.0	220192.0	1804.0	148762.0	4027.0	1618543.0	390571.0	53571.0	207286.0	21544.0	945571.0	9644.0
20 – 29	3331427.0	2671915.0	2372266.0	8832.0	299649.0	5525.0	649742.0	106113.0	36906.0	88335.0	20606.0	397782.0	9770.0
30 – 39	3004938.0	2687635.0	2488667.0	18522.0	198968.0	7970.0	308260.0	748.0	53852.0	30080.0	22716.0	200864.0	9043.0
40 – 49	3722095.0	3326233.0	3106135.0	78568.0	220098.0	19581.0	387173.0	50.0	153090.0	8175.0	35282.0	190576.0	8689.0
50 – 59	2407026.0	1729211.0	1616251.0	290023.0	112960.0	36277.0	670291.0	-	567399.0	2737.0	17937.0	82218.0	7524.0
60 – 64	1169328.0	233192.0	210035.0	181313.0	23157.0	22734.0	929813.0	-	927427.0	280.0	539.0	1567.0	6323.0
Из общей численности -													
население в трудоспособном возрасте	13597981.0	10583707.0	9623817.0	269580.0	959890.0	60612.0	2974689.0	455889.0	578434.0	228849.0	113762.0	1597755.0	39585.0
учащиеся	2414176.0	648014.0	505688.0	3433.0	142326.0	3793.0	1760685.0	497482.0	45704.0	208965.0	21248.0	987286.0	5477.0
Сельское население  в возрасте  15-64 лет	5754852.0	3667236.0	3241612.0	116129.0	425624.0	25634.0	2083207.0	104813.0	911163.0	272933.0	424102.0	370196.0	4409.0
в том числе в возрасте, лет:													
15 – 19	667642.0	123074.0	74564.0	941.0	48510.0	1752.0	542920.0	94058.0	36474.0	207682.0	41448.0	163258.0	1648.0
20 – 29	1055216.0	805801.0	686120.0	3452.0	119681.0	2024.0	249000.0	10700.0	24822.0	42674.0	85732.0	85072.0	415.0
30 – 39	1232286.0	1021246.0	920779.0	7441.0	100467.0	2922.0	210753.0	51.0	37163.0	16646.0	109047.0	47846.0	287.0
40 – 49	1451194.0	1193637.0	1087418.0	27431.0	106219.0	5337.0	257280.0	4.0	74098.0	4630.0	127704.0	50844.0	277.0
50 – 59	803923.0	490138.0	445660.0	53612.0	44478.0	7510.0	313258.0	-	230092.0	1176.0	59207.0	22783.0	527.0
60 – 64	544591.0	33340.0	27071.0	23252.0	6269.0	6089.0	509996.0	-	508514.0	125.0	964.0	393.0	1255.0
Из общей численности -													
население в трудоспособном возрасте	4887154.0	3599430.0	3186146.0	72321.0	413284.0	16799.0	1285582.0	93167.0	275386.0	162917.0	417209.0	336903.0	2142.0
учащиеся	583949.0	96444.0	77467.0	510.0	18977.0	701.0	486017.0	104813.0	25297.0	199609.0	24862.0	131436.0	1488.0
Республика Башкортостан													
Городское и сельское  население  в возрасте 15-64 лет	2764417.0	1880049.0	1672385.0	75973.0	207664.0	14233.0	882622.0	90449.0	319180.0	78780.0	86565.0	307648.0	1746.0
в том числе в возрасте, лет:													
15 – 19	376975.0	65702.0	36703.0	341.0	28999.0	829.0	311151.0	75704.0	13852.0	48077.0	11071.0	162447.0	122.0
20 – 29	563344.0	439675.0	377653.0	1500.0	62022.0	1035.0	123241.0	14619.0	7286.0	18809.0	17073.0	65454.0	428.0
30 – 39	582594.0	503893.0	457310.0	3678.0	46583.0	1411.0	78305.0	111.0	11522.0	8905.0	22606.0	35161.0	396.0
40 – 49	677415.0	593205.0	545182.0	12113.0	48023.0	2688.0	83726.0	15.0	23384.0	2367.0	25501.0	32459.0	484.0
50 – 59	360563.0	249757.0	231163.0	37363.0	18594.0	4887.0	110536.0	-	87945.0	576.0	10118.0	11897.0	270.0
60 – 64	203526.0	27817.0	24374.0	20978.0	3443.0	3383.0	175663.0	-	175191.0	46.0	196.0	230.0	46.0
Из общей численности -													
население в трудоспособном возрасте	2409693.0	1828940.0	1627918.0	40612.0	201022.0	9095.0	579138.0	81760.0	94906.0	53949.0	83998.0	264525.0	1615.0
учащиеся	417159.0	97644.0	75114.0	501.0	22530.0	676.0	319499.0	90449.0	11297.0	47680.0	8157.0	161916.0	16.0
Мужчины  в возрасте 15-64 лет	1319428.0	966353.0	860750.0	34339.0	105603.0	6927.0	352250.0	43541.0	115665.0	23445.0	38549.0	131050.0	825.0
в том числе в возрасте, лет:													
15 – 19	185331.0	32980.0	19352.0	224.0	13628.0	481.0	152287.0	37673.0	7141.0	22355.0	5951.0	79167.0	64.0
20 – 29	269683.0	231080.0	200330.0	814.0	30750.0	549.0	38422.0	5817.0	3600.0	422.0	6201.0	22382.0	181.0
30 – 39	287186.0	259543.0	234781.0	1849.0	24762.0	673.0	27470.0	47.0	5850.0	250.0	9530.0	11793.0	173.0
40 – 49	328786.0	292363.0	267650.0	5448.0	24713.0	1507.0	36160.0	4.0	12082.0	247.0	11470.0	12357.0	263.0
50 – 59	164742.0	132264.0	122358.0	12283.0	9906.0	1933.0	32345.0	-	21692.0	156.0	5297.0	5200.0	133.0
60 – 64	83700.0	18123.0	16279.0	13721.0	1844.0	1784.0	65566.0	-	65300.0	15.0	100.0	151.0	11.0
Из общей численности -													
население в трудоспособном возрасте	1192666.0	947160.0	844209.0	20603.0	102951.0	5073.0	244697.0	38527.0	47967.0	11225.0	37362.0	109616.0	809.0
учащиеся	191805.0	40325.0	31041.0	220.0	9284.0	358.0	151472.0	43541.0	5529.0	21921.0	4013.0	76468.0	8.0
Женщины в возрасте  15-64 лет	1444989.0	913696.0	811635.0	41634.0	102061.0	7306.0	530372.0	46908.0	203515.0	55335.0	48016.0	176598.0	921.0
в том числе в возрасте, лет:													
15 – 19	191644.0	32722.0	17351.0	117.0	15371.0	348.0	158864.0	38031.0	6711.0	25722.0	5120.0	83280.0	58.0
20 – 29	293661.0	208595.0	177323.0	686.0	31272.0	486.0	84819.0	8802.0	3686.0	18387.0	10872.0	43072.0	247.0
30 – 39	295408.0	244350.0	222529.0	1829.0	21821.0	738.0	50835.0	64.0	5672.0	8655.0	13076.0	23368.0	223.0
40 – 49	348629.0	300842.0	277532.0	6665.0	23310.0	1181.0	47566.0	11.0	11302.0	2120.0	14031.0	20102.0	221.0
50 – 59	195821.0	117493.0	108805.0	25080.0	8688.0	2954.0	78191.0	-	66253.0	420.0	4821.0	6697.0	137.0
60 – 64	119826.0	9694.0	8095.0	7257.0	1599.0	1599.0	110097.0	-	109891.0	31.0	96.0	79.0	35.0
Из общей численности -													
население в трудоспособном возрасте	1217027.0	881780.0	783709.0	20009.0	98071.0	4022.0	334441.0	43233.0	46939.0	42724.0	46636.0	154909.0	806.0
учащиеся	225354.0	57319.0	44073.0	281.0	13246.0	318.0	168027.0	46908.0	5768.0	25759.0	4144.0	85448.0	8.0
Городское население  в возрасте 15-64 лет	1845625.0	1291437.0	1154321.0	60414.0	137116.0	10356.0	552458.0	70819.0	187639.0	31988.0	16453.0	245559.0	1730.0
в том числе в возрасте, лет:													
15 – 19	262760.0	45683.0	25248.0	230.0	20435.0	530.0	216955.0	58002.0	7308.0	15353.0	3548.0	132744.0	122.0
20 – 29	392311.0	311002.0	270192.0	1027.0	40810.0	687.0	80881.0	12710.0	3810.0	10441.0	2722.0	51198.0	428.0
30 – 39	369890.0	328974.0	300028.0	2452.0	28946.0	902.0	40520.0	92.0	5929.0	4538.0	3012.0	26949.0	396.0
40 – 49	447847.0	401759.0	370279.0	8300.0	31480.0	1945.0	45608.0	15.0	14163.0	1239.0	5070.0	25121.0	480.0
50 – 59	249359.0	180803.0	167820.0	30499.0	12983.0	3869.0	68290.0	-	56508.0	393.0	2032.0	9357.0	266.0
60 – 64	123458.0	23216.0	20754.0	17906.0	2462.0	2423.0	100204.0	-	99921.0	24.0	69.0	190.0	38.0
Из общей численности -													
население в трудоспособном возрасте	1621895.0	1248947.0	1116580.0	30336.0	132367.0	6567.0	371341.0	64133.0	57571.0	24517.0	15400.0	209720.0	1607.0
учащиеся	315436.0	81197.0	62216.0	411.0	18981.0	518.0	234223.0	70819.0	6496.0	15801.0	3412.0	137695.0	16.0
Сельское население  в возрасте  15-64 лет	918792.0	588612.0	518064.0	15559.0	70548.0	3877.0	330164.0	19630.0	131541.0	46792.0	70112.0	62089.0	16.0
в том числе в возрасте, лет:													
15 – 19	114215.0	20019.0	11455.0	111.0	8564.0	299.0	94196.0	17702.0	6544.0	32724.0	7523.0	29703.0	-
20 – 29	171033.0	128673.0	107461.0	473.0	21212.0	348.0	42360.0	1909.0	3476.0	8368.0	14351.0	14256.0	-
30 – 39	212704.0	174919.0	157282.0	1226.0	17637.0	509.0	37785.0	19.0	5593.0	4367.0	19594.0	8212.0	-
40 – 49	229568.0	191446.0	174903.0	3813.0	16543.0	743.0	38118.0	-	9221.0	1128.0	20431.0	7338.0	4.0
50 – 59	111204.0	68954.0	63343.0	6864.0	5611.0	1018.0	42246.0	-	31437.0	183.0	8086.0	2540.0	4.0
60 – 64	80068.0	4601.0	3620.0	3072.0	981.0	960.0	75459.0	-	75270.0	22.0	127.0	40.0	8.0
Из общей численности -													
население в трудоспособном возрасте	787798.0	579993.0	511338.0	10276.0	68655.0	2528.0	207797.0	17627.0	37335.0	29432.0	68598.0	54805.0	8.0
учащиеся	101723.0	16447.0	12898.0	90.0	3549.0	158.0	85276.0	19630.0	4801.0	31879.0	4745.0	24221.0	-
Республика Марий Эл													
Городское и сельское  население  в возрасте 15-64 лет	502978.0	338743.0	299661.0	15157.0	39082.0	3126.0	162796.0	20113.0	62622.0	19041.0	21804.0	39216.0	1439.0
в том числе в возрасте, лет:													
15 – 19	67356.0	11101.0	5894.0	88.0	5207.0	246.0	56088.0	17043.0	2977.0	14854.0	2424.0	18790.0	167.0
20 – 29	100806.0	78820.0	67487.0	412.0	11333.0	268.0	21639.0	3047.0	1891.0	2713.0	4670.0	9318.0	347.0
30 – 39	99174.0	85194.0	76974.0	740.0	8220.0	345.0	13689.0	11.0	2668.0	977.0	5511.0	4522.0	291.0
40 – 49	130415.0	111650.0	101944.0	2961.0	9706.0	843.0	18393.0	12.0	6743.0	371.0	6548.0	4719.0	372.0
50 – 59	70279.0	47556.0	43456.0	7388.0	4100.0	914.0	22556.0	-	17959.0	119.0	2639.0	1839.0	167.0
60 – 64	34948.0	4422.0	3906.0	3568.0	516.0	510.0	30431.0	-	30384.0	7.0	12.0	28.0	95.0
Из общей численности -													
население в трудоспособном возрасте	441220.0	330009.0	291971.0	8688.0	38038.0	2323.0	109961.0	17997.0	23497.0	11159.0	21520.0	35788.0	1250.0
учащиеся	73264.0	15513.0	11144.0	125.0	4369.0	266.0	57723.0	20113.0	2383.0	14697.0	1459.0	19071.0	28.0
Мужчины  в возрасте 15-64 лет	239538.0	166714.0	145748.0	6663.0	20966.0	1658.0	72115.0	9455.0	24562.0	6944.0	12460.0	18694.0	709.0
в том числе в возрасте, лет:													
15 – 19	32542.0	5462.0	2931.0	61.0	2531.0	117.0	26979.0	8384.0	1437.0	6703.0	1334.0	9121.0	101.0
20 – 29	48582.0	40016.0	33990.0	236.0	6026.0	146.0	8362.0	1056.0	965.0	74.0	2343.0	3924.0	204.0
30 – 39	48307.0	41407.0	36947.0	405.0	4460.0	171.0	6769.0	7.0	1332.0	57.0	3255.0	2118.0	131.0
40 – 49	63015.0	52538.0	47169.0	1550.0	5369.0	531.0	10306.0	8.0	3857.0	58.0	3849.0	2534.0	171.0
50 – 59	32897.0	24549.0	22258.0	2211.0	2291.0	409.0	8278.0	-	5573.0	45.0	1671.0	989.0	70.0
60 – 64	14195.0	2742.0	2453.0	2200.0	289.0	284.0	11421.0	-	11398.0	7.0	8.0	8.0	32.0
Из общей численности -													
население в трудоспособном возрасте	217797.0	163776.0	143244.0	4461.0	20532.0	1358.0	53370.0	8167.0	12694.0	3132.0	12327.0	17050.0	651.0
учащиеся	32762.0	6212.0	4359.0	68.0	1853.0	114.0	26526.0	9455.0	1027.0	6559.0	694.0	8791.0	24.0
Женщины в возрасте  15-64 лет	263440.0	172029.0	153913.0	8494.0	18116.0	1468.0	90681.0	10658.0	38060.0	12097.0	9344.0	20522.0	730.0
в том числе в возрасте, лет:													
15 – 19	34814.0	5639.0	2963.0	27.0	2676.0	129.0	29109.0	8659.0	1540.0	8151.0	1090.0	9669.0	66.0
20 – 29	52224.0	38804.0	33497.0	176.0	5307.0	122.0	13277.0	1991.0	926.0	2639.0	2327.0	5394.0	143.0
30 – 39	50867.0	43787.0	40027.0	335.0	3760.0	174.0	6920.0	4.0	1336.0	920.0	2256.0	2404.0	160.0
40 – 49	67400.0	59112.0	54775.0	1411.0	4337.0	312.0	8087.0	4.0	2886.0	313.0	2699.0	2185.0	201.0
50 – 59	37382.0	23007.0	21198.0	5177.0	1809.0	505.0	14278.0	-	12386.0	74.0	968.0	850.0	97.0
60 – 64	20753.0	1680.0	1453.0	1368.0	227.0	226.0	19010.0	-	18986.0	-	4.0	20.0	63.0
Из общей численности -													
население в трудоспособном возрасте	223423.0	166233.0	148727.0	4227.0	17506.0	965.0	56591.0	9830.0	10803.0	8027.0	9193.0	18738.0	599.0
учащиеся	40502.0	9301.0	6785.0	57.0	2516.0	152.0	31197.0	10658.0	1356.0	8138.0	765.0	10280.0	4.0
Городское население  в возрасте 15-64 лет	330898.0	232132.0	207000.0	12020.0	25132.0	2436.0	97381.0	14418.0	38079.0	10230.0	3923.0	30731.0	1385.0
в том числе в возрасте, лет:													
15 – 19	45489.0	7652.0	4006.0	65.0	3646.0	190.0	37674.0	11723.0	1644.0	7822.0	785.0	15700.0	163.0
20 – 29	68108.0	54596.0	47268.0	288.0	7328.0	216.0	13185.0	2672.0	972.0	1575.0	797.0	7169.0	327.0
30 – 39	62060.0	56012.0	51198.0	529.0	4814.0	280.0	5766.0	11.0	1296.0	534.0	666.0	3259.0	282.0
40 – 49	84095.0	75097.0	68977.0	2156.0	6120.0	643.0	8626.0	12.0	4029.0	217.0	1138.0	3230.0	372.0
50 – 59	48606.0	34975.0	32141.0	5853.0	2834.0	717.0	13477.0	-	11524.0	75.0	529.0	1349.0	154.0
60 – 64	22540.0	3800.0	3410.0	3129.0	390.0	390.0	18653.0	-	18614.0	7.0	8.0	24.0	87.0
Из общей численности -													
население в трудоспособном возрасте	290730.0	224860.0	200500.0	6499.0	24360.0	1809.0	64658.0	13125.0	13903.0	6124.0	3779.0	27727.0	1212.0
учащиеся	54654.0	13378.0	9504.0	114.0	3874.0	238.0	41252.0	14418.0	1438.0	7880.0	750.0	16766.0	24.0
Сельское население  в возрасте  15-64 лет	172080.0	106611.0	92661.0	3137.0	13950.0	690.0	65415.0	5695.0	24543.0	8811.0	17881.0	8485.0	54.0
в том числе в возрасте, лет:													
15 – 19	21867.0	3449.0	1888.0	23.0	1561.0	56.0	18414.0	5320.0	1333.0	7032.0	1639.0	3090.0	4.0
20 – 29	32698.0	24224.0	20219.0	124.0	4005.0	52.0	8454.0	375.0	919.0	1138.0	3873.0	2149.0	20.0
30 – 39	37114.0	29182.0	25776.0	211.0	3406.0	65.0	7923.0	-	1372.0	443.0	4845.0	1263.0	9.0
40 – 49	46320.0	36553.0	32967.0	805.0	3586.0	200.0	9767.0	-	2714.0	154.0	5410.0	1489.0	-
50 – 59	21673.0	12581.0	11315.0	1535.0	1266.0	197.0	9079.0	-	6435.0	44.0	2110.0	490.0	13.0
60 – 64	12408.0	622.0	496.0	439.0	126.0	120.0	11778.0	-	11770.0	-	4.0	4.0	8.0
Из общей численности -													
население в трудоспособном возрасте	150490.0	105149.0	91471.0	2189.0	13678.0	514.0	45303.0	4872.0	9594.0	5035.0	17741.0	8061.0	38.0
учащиеся	18610.0	2135.0	1640.0	11.0	495.0	28.0	16471.0	5695.0	945.0	6817.0	709.0	2305.0	4.0
Республика Мордовия													
Городское и сельское  население  в возрасте 15-64 лет	600439.0	391816.0	349073.0	18738.0	42743.0	3334.0	206652.0	27965.0	90333.0	25165.0	31830.0	31359.0	1971.0
в том числе в возрасте, лет:													
15 – 19	72096.0	8726.0	4651.0	66.0	4075.0	182.0	63147.0	22616.0	2813.0	19907.0	4441.0	13370.0	223.0
20 – 29	116164.0	88027.0	74491.0	405.0	13536.0	295.0	27728.0	5335.0	2205.0	3818.0	7318.0	9052.0	409.0
30 – 39	120527.0	103862.0	93974.0	909.0	9888.0	361.0	16162.0	14.0	3499.0	1177.0	7510.0	3962.0	503.0
40 – 49	149307.0	127653.0	117397.0	3813.0	10256.0	837.0	21342.0	-	9152.0	174.0	8498.0	3518.0	312.0
50 – 59	91010.0	58484.0	54146.0	9666.0	4338.0	1018.0	32213.0	-	26703.0	79.0	3997.0	1434.0	313.0
60 – 64	51335.0	5064.0	4414.0	3879.0	650.0	641.0	46060.0	-	45961.0	10.0	66.0	23.0	211.0
Из общей численности -													
население в трудоспособном возрасте	516606.0	381630.0	339980.0	11324.0	41650.0	2383.0	133315.0	25312.0	31814.0	14764.0	31315.0	30110.0	1661.0
учащиеся	83626.0	14418.0	10796.0	89.0	3622.0	176.0	69188.0	27965.0	2441.0	19796.0	3782.0	15204.0	20.0
Мужчины  в возрасте 15-64 лет	283882.0	193432.0	170433.0	7426.0	22999.0	1661.0	89537.0	13026.0	35388.0	9291.0	16835.0	14997.0	913.0
в том числе в возрасте, лет:													
15 – 19	34697.0	3948.0	2087.0	44.0	1861.0	110.0	30611.0	10987.0	1477.0	9072.0	2337.0	6738.0	138.0
20 – 29	55562.0	45048.0	37991.0	253.0	7057.0	141.0	10300.0	2039.0	1198.0	78.0	3171.0	3814.0	214.0
30 – 39	58805.0	50890.0	45307.0	478.0	5583.0	206.0	7690.0	-	1976.0	56.0	3866.0	1792.0	225.0
40 – 49	72328.0	60392.0	54564.0	1585.0	5828.0	494.0	11824.0	-	5139.0	18.0	4907.0	1760.0	112.0
50 – 59	41563.0	29966.0	27622.0	2618.0	2344.0	392.0	11434.0	-	7978.0	60.0	2511.0	885.0	163.0
60 – 64	20927.0	3188.0	2862.0	2448.0	326.0	318.0	17678.0	-	17620.0	7.0	43.0	8.0	61.0
Из общей численности -													
население в трудоспособном возрасте	255094.0	190160.0	167548.0	4978.0	22612.0	1343.0	64096.0	11560.0	17272.0	4296.0	16593.0	14375.0	838.0
учащиеся	38303.0	6028.0	4594.0	45.0	1434.0	71.0	32267.0	13026.0	1181.0	9013.0	1804.0	7243.0	8.0
Женщины в возрасте  15-64 лет	316557.0	198384.0	178640.0	11312.0	19744.0	1673.0	117115.0	14939.0	54945.0	15874.0	14995.0	16362.0	1058.0
в том числе в возрасте, лет:													
15 – 19	37399.0	4778.0	2564.0	22.0	2214.0	72.0	32536.0	11629.0	1336.0	10835.0	2104.0	6632.0	85.0
20 – 29	60602.0	42979.0	36500.0	152.0	6479.0	154.0	17428.0	3296.0	1007.0	3740.0	4147.0	5238.0	195.0
30 – 39	61722.0	52972.0	48667.0	431.0	4305.0	155.0	8472.0	14.0	1523.0	1121.0	3644.0	2170.0	278.0
40 – 49	76979.0	67261.0	62833.0	2228.0	4428.0	343.0	9518.0	-	4013.0	156.0	3591.0	1758.0	200.0
50 – 59	49447.0	28518.0	26524.0	7048.0	1994.0	626.0	20779.0	-	18725.0	19.0	1486.0	549.0	150.0
60 – 64	30408.0	1876.0	1552.0	1431.0	324.0	323.0	28382.0	-	28341.0	3.0	23.0	15.0	150.0
Из общей численности -													
население в трудоспособном возрасте	261512.0	191470.0	172432.0	6346.0	19038.0	1040.0	69219.0	13752.0	14542.0	10468.0	14722.0	15735.0	823.0
учащиеся	45323.0	8390.0	6202.0	44.0	2188.0	105.0	36921.0	14939.0	1260.0	10783.0	1978.0	7961.0	12.0
Городское население  в возрасте 15-64 лет	386531.0	261429.0	234302.0	13677.0	27127.0	2212.0	123170.0	21962.0	50545.0	13984.0	8534.0	28145.0	1932.0
в том числе в возрасте, лет:													
15 – 19	49931.0	6013.0	3234.0	41.0	2779.0	111.0	43695.0	17330.0	1553.0	10680.0	1979.0	12153.0	223.0
20 – 29	79896.0	60966.0	52000.0	274.0	8966.0	181.0	18537.0	4618.0	1270.0	2441.0	2064.0	8144.0	393.0
30 – 39	74535.0	66482.0	60512.0	586.0	5970.0	242.0	7559.0	14.0	1700.0	700.0	1616.0	3529.0	494.0
