1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
с 1988 года и ранее	151976.0	971.0	94892.0	56108.0	5.0	0.638916671053	62.4388061273	36.9189872085
год не указан	7889.0	1031.0	4613.0	2206.0	39.0	13.0688300165	58.4738243123	27.9629864368
не указавшие непрерывность проживания в месте постоянного жительства	3398.0	619.0	1951.0	546.0	282.0	18.2165979988	57.4161271336	16.0682754562
Мужчины, проживающие непрерывно в месте постоянного жительства	302013.0	62712.0	199827.0	39315.0	159.0	20.7646690705	66.165032631	13.017651558
с рождения	188445.0	52925.0	117230.0	18283.0	7.0	28.0851176736	62.2091326382	9.70203507655
не с рождения	111995.0	9490.0	81640.0	20859.0	6.0	8.4735925711	72.8961114335	18.6249386133
в том числе:								
с 1992-2002 года	36971.0	7533.0	27088.0	2350.0	-	20.3754293906	73.268237267	6.35633334235
с 1989-1991 года	7722.0	974.0	6235.0	513.0	-	12.6133126133	80.7433307433	6.64335664336
с 1988 года и ранее	63830.0	474.0	46054.0	17302.0	-	0.742597524675	72.1510261632	27.1063763121
год не указан	3472.0	509.0	2263.0	694.0	6.0	14.6601382488	65.1785714286	19.9884792627
не указавшие непрерывность проживания в месте постоянного жительства	1573.0	297.0	957.0	173.0	146.0	18.8811188811	60.8391608392	10.9980928163
Женщины, проживающие непрерывно в месте постоянного жительства	363198.0	60302.0	213841.0	88877.0	178.0	16.6030649949	58.8772515267	24.470674398
с рождения	218737.0	50854.0	127031.0	40848.0	4.0	23.2489245075	58.0747655861	18.6744812263
не с рождения	142636.0	9126.0	85816.0	47656.0	38.0	6.3981042654	60.1643343896	33.4109201043
в том числе:								
с 1992-2002 года	41753.0	7188.0	28372.0	6193.0	-	17.215529423	67.9520034489	14.8324671281
с 1989-1991 года	8320.0	919.0	6256.0	1145.0	-	11.0456730769	75.1923076923	13.7620192308
с 1988 года и ранее	88146.0	497.0	48838.0	38806.0	5.0	0.563837269984	55.405804007	44.0246863159
год не указан	4417.0	522.0	2350.0	1512.0	33.0	11.8179760018	53.2035318089	34.2313787639
не указавшие непрерывность проживания в месте постоянного жительства	1825.0	322.0	994.0	373.0	136.0	17.6438356164	54.4657534247	20.4383561644
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	322874.0	74510.0	188061.0	60249.0	54.0	23.0771136728	58.2459411411	18.6602203956
с рождения	228068.0	64852.0	126284.0	36910.0	22.0	28.4353789221	55.3712050792	16.1837697529
не с рождения	94394.0	9513.0	61587.0	23287.0	7.0	10.0779710575	65.2446130051	24.6700002119
в том числе:								
с 1992-2002 года	32366.0	7405.0	21391.0	3568.0	2.0	22.8789470432	66.090959649	11.0239139838
с 1989-1991 года	7761.0	1140.0	5866.0	754.0	1.0	14.6888287592	75.5830434222	9.71524288107
с 1988 года и ранее	51335.0	466.0	32586.0	18280.0	3.0	0.907762734976	63.4771598325	35.6092334664
год не указан	2932.0	502.0	1744.0	685.0	1.0	17.1214188267	59.4815825375	23.3628922237
не указавшие непрерывность проживания в месте постоянного жительства	412.0	145.0	190.0	52.0	25.0	35.1941747573	46.1165048544	12.6213592233
Мужчины, проживающие непрерывно в месте постоянного жительства	155291.0	38198.0	96309.0	20754.0	30.0	24.597690787	62.0184041574	13.364586486
с рождения	112915.0	33272.0	66789.0	12840.0	14.0	29.4664127884	59.1498029491	11.3713855555
не с рождения	42168.0	4845.0	29418.0	7905.0	-	11.4897552647	69.7638019351	18.7464428002
в том числе:								
с 1992-2002 года	15289.0	3800.0	10275.0	1214.0	-	24.8544705344	67.2051801949	7.94034927072
с 1989-1991 года	3518.0	593.0	2667.0	258.0	-	16.8561682774	75.810119386	7.33371233655
с 1988 года и ранее	22112.0	226.0	15631.0	6255.0	-	1.02206946454	70.6901230101	28.2878075253
год не указан	1249.0	226.0	845.0	178.0	-	18.0944755805	67.6541232986	14.2514011209
не указавшие непрерывность проживания в месте постоянного жительства	208.0	81.0	102.0	9.0	16.0	38.9423076923	49.0384615385	4.32692307692
Женщины, проживающие непрерывно в месте постоянного жительства	167583.0	36312.0	91752.0	39495.0	24.0	21.6680689569	54.7501834912	23.5674262903
с рождения	115153.0	31580.0	59495.0	24070.0	8.0	27.4243832119	51.6660443063	20.902625203
не с рождения	52226.0	4668.0	32169.0	15382.0	7.0	8.93807681997	61.5957569027	29.4527629916
в том числе:								
с 1992-2002 года	17077.0	3605.0	11116.0	2354.0	2.0	21.1102652691	65.0934004802	13.7846225918
с 1989-1991 года	4243.0	547.0	3199.0	496.0	1.0	12.8918218242	75.3947678529	11.6898420929
с 1988 года и ранее	29223.0	240.0	16955.0	12025.0	3.0	0.821270916744	58.0193683058	41.149094891
год не указан	1683.0	276.0	899.0	507.0	1.0	16.3992869875	53.4165181224	30.1247771836
не указавшие непрерывность проживания в месте постоянного жительства	204.0	64.0	88.0	43.0	9.0	31.3725490196	43.137254902	21.0784313725
Волгоградская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2652032.0	468636.0	1581600.0	599084.0	2712.0	17.6708275013	59.6372894445	22.5896218447
с рождения	1409101.0	388024.0	821098.0	199574.0	405.0	27.5369898964	58.2710536718	14.1632147021
не с рождения	1234023.0	79600.0	755678.0	398477.0	268.0	6.45044703381	61.2369461509	32.2908892298
в том числе:								
с 1992-2002 года	361277.0	64938.0	246897.0	49373.0	69.0	17.9745735267	68.3400825405	13.6662450142
с 1989-1991 года	82389.0	9475.0	62299.0	10596.0	19.0	11.5003216449	75.6156768501	12.8609401741
с 1988 года и ранее	787916.0	4809.0	445179.0	337840.0	88.0	0.610344249895	56.5008198844	42.8776671625
год не указан	2441.0	378.0	1303.0	668.0	92.0	15.48545678	53.3797623925	27.3658336747
не указавшие непрерывность проживания в месте постоянного жительства	8908.0	1012.0	4824.0	1033.0	2039.0	11.3605747643	54.1535698249	11.5963179165
Мужчины, проживающие непрерывно в месте постоянного жительства	1214511.0	239329.0	779565.0	194366.0	1251.0	19.705791055	64.1875619076	16.0036426183
с рождения	674029.0	197901.0	411545.0	64398.0	185.0	29.3609028692	61.0574619193	9.55418832127
не с рождения	536332.0	40876.0	365664.0	129659.0	133.0	7.62139868589	68.1786654535	24.1751377878
в том числе:								
с 1992-2002 года	170189.0	33533.0	121799.0	14825.0	32.0	19.7033885856	71.5669050291	8.71090375994
с 1989-1991 года	38104.0	4766.0	29869.0	3469.0	-	12.5078731892	78.388095738	9.10403107285
с 1988 года и ранее	326919.0	2394.0	213346.0	111132.0	47.0	0.732291485047	65.2595902961	33.993741569
год не указан	1120.0	183.0	650.0	233.0	54.0	16.3392857143	58.0357142857	20.8035714286
не указавшие непрерывность проживания в месте постоянного жительства	4150.0	552.0	2356.0	309.0	933.0	13.3012048193	56.7710843373	7.44578313253
Женщины, проживающие непрерывно в месте постоянного жительства	1437521.0	229307.0	802035.0	404718.0	1461.0	15.9515582729	55.7929240686	28.1538843606
с рождения	735072.0	190123.0	409553.0	135176.0	220.0	25.8645411606	55.716038701	18.3894910975
не с рождения	697691.0	38724.0	390014.0	268818.0	135.0	5.55030808768	55.9006780939	38.5296642783
в том числе:								
с 1992-2002 года	191088.0	31405.0	125098.0	34548.0	37.0	16.4348363058	65.4661726534	18.0796282341
с 1989-1991 года	44285.0	4709.0	32430.0	7127.0	19.0	10.6333973129	73.2302133905	16.0934853788
с 1988 года и ранее	460997.0	2415.0	231833.0	226708.0	41.0	0.523864580464	50.2894812765	49.1777603759
год не указан	1321.0	195.0	653.0	435.0	38.0	14.7615442846	49.4322482967	32.9295987888
не указавшие непрерывность проживания в месте постоянного жительства	4758.0	460.0	2468.0	724.0	1106.0	9.66792770071	51.8705338377	15.2164775116
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1988606.0	329902.0	1212528.0	443731.0	2445.0	16.5896110139	60.9737675538	22.3136709836
с рождения	1050407.0	277514.0	646484.0	126097.0	312.0	26.4196639969	61.5460483413	12.0045848895
не с рождения	929491.0	51387.0	561243.0	316617.0	244.0	5.52850968971	60.3817573274	34.0634820563
в том числе:								
с 1992-2002 года	246357.0	42121.0	171900.0	32282.0	54.0	17.097545432	69.7767873452	13.1037478131
с 1989-1991 года	51698.0	5770.0	39110.0	6800.0	18.0	11.1609733452	75.6508955859	13.1533134744
с 1988 года и ранее	629603.0	3261.0	349240.0	277022.0	80.0	0.517945435457	55.4698754612	43.9994726836
год не указан	1833.0	235.0	993.0	513.0	92.0	12.8205128205	54.1734860884	27.9869067103
не указавшие непрерывность проживания в месте постоянного жительства	8708.0	1001.0	4801.0	1017.0	1889.0	11.4951768489	55.1332108406	11.6789159394
Мужчины, проживающие непрерывно в месте постоянного жительства	899345.0	168561.0	588022.0	141642.0	1120.0	18.7426404772	65.3833623359	15.7494621085
с рождения	498374.0	141631.0	316862.0	39736.0	145.0	28.4186173436	63.5791594265	7.97312861425
не с рождения	396927.0	26384.0	268819.0	101602.0	122.0	6.6470660852	67.7250476788	25.5971501057
в том числе:								
с 1992-2002 года	114634.0	21738.0	83546.0	9326.0	24.0	18.9629603782	72.8806462306	8.1354571942
с 1989-1991 года	23632.0	2924.0	18648.0	2060.0	-	12.3730534868	78.9099526066	8.71699390657
с 1988 года и ранее	257821.0	1602.0	166136.0	90039.0	44.0	0.621361332087	64.438505785	34.9230667789
год не указан	840.0	120.0	489.0	177.0	54.0	14.2857142857	58.2142857143	21.0714285714
не указавшие непрерывность проживания в месте постоянного жительства	4044.0	546.0	2341.0	304.0	853.0	13.5014836795	57.8882294758	7.51730959446
Женщины, проживающие непрерывно в месте постоянного жительства	1089261.0	161341.0	624506.0	302089.0	1325.0	14.8119688486	57.3329991618	27.7333898854
с рождения	552033.0	135883.0	329622.0	86361.0	167.0	24.6150139575	59.7105607817	15.6441734462
не с рождения	532564.0	25003.0	292424.0	215015.0	122.0	4.6948347992	54.9087058081	40.3735513478
в том числе:								
с 1992-2002 года	131723.0	20383.0	88354.0	22956.0	30.0	15.4741389127	67.075605627	17.4274803945
с 1989-1991 года	28066.0	2846.0	20462.0	4740.0	18.0	10.140383382	72.9067198746	16.8887622034
с 1988 года и ранее	371782.0	1659.0	183104.0	186983.0	36.0	0.446229241868	49.2503671506	50.2937205136
год не указан	993.0	115.0	504.0	336.0	38.0	11.5810674723	50.7552870091	33.836858006
не указавшие непрерывность проживания в месте постоянного жительства	4664.0	455.0	2460.0	713.0	1036.0	9.75557461407	52.7444253859	15.2873070326
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	663426.0	138734.0	369072.0	155353.0	267.0	20.9117520266	55.6312233768	23.4167789625
с рождения	358694.0	110510.0	174614.0	73477.0	93.0	30.8089903929	48.680490892	20.484591323
не с рождения	304532.0	28213.0	194435.0	81860.0	24.0	9.26437944124	63.8471490681	26.8805905455
в том числе:								
с 1992-2002 года	114920.0	22817.0	74997.0	17091.0	15.0	19.8546815176	65.2601809955	14.8720849286
с 1989-1991 года	30691.0	3705.0	23189.0	3796.0	1.0	12.0719429149	75.556352025	12.3684467759
с 1988 года и ранее	158313.0	1548.0	95939.0	60818.0	8.0	0.977809781888	60.6008350546	38.416301883
год не указан	608.0	143.0	310.0	155.0	-	23.5197368421	50.9868421053	25.4934210526
не указавшие непрерывность проживания в месте постоянного жительства	200.0	11.0	23.0	16.0	150.0	5.5	11.5	8.0
Мужчины, проживающие непрерывно в месте постоянного жительства	315166.0	70768.0	191543.0	52724.0	131.0	22.4541987397	60.7752739826	16.7289618804
с рождения	175655.0	56270.0	94683.0	24662.0	40.0	32.0343855854	53.9028208705	14.0400216333
не с рождения	139405.0	14492.0	96845.0	28057.0	11.0	10.3956099136	69.4702485564	20.1262508518
в том числе:								
с 1992-2002 года	55555.0	11795.0	38253.0	5499.0	8.0	21.2312123121	68.8560885609	9.89829898299
с 1989-1991 года	14472.0	1842.0	11221.0	1409.0	-	12.728026534	77.5359314538	9.73604201216
с 1988 года и ранее	69098.0	792.0	47210.0	21093.0	3.0	1.14619815335	68.3232510348	30.5262091522
год не указан	280.0	63.0	161.0	56.0	-	22.5	57.5	20.0
не указавшие непрерывность проживания в месте постоянного жительства	106.0	6.0	15.0	5.0	80.0	5.66037735849	14.1509433962	4.71698113208
Женщины, проживающие непрерывно в месте постоянного жительства	348260.0	67966.0	177529.0	102629.0	136.0	19.515878941	50.9759949463	29.4690748292
с рождения	183039.0	54240.0	79931.0	48815.0	53.0	29.6330290266	43.6688356033	26.6691797923
не с рождения	165127.0	13721.0	97590.0	53803.0	13.0	8.30936188509	59.0999654811	32.5827999055
в том числе:								
с 1992-2002 года	59365.0	11022.0	36744.0	11592.0	7.0	18.5664954098	61.8950560094	19.5266571212
с 1989-1991 года	16219.0	1863.0	11968.0	2387.0	1.0	11.486528146	73.7899993834	14.7173068623
с 1988 года и ранее	89215.0	756.0	48729.0	39725.0	5.0	0.847391133778	54.6197388332	44.5272655944
год не указан	328.0	80.0	149.0	99.0	-	24.3902439024	45.4268292683	30.1829268293
не указавшие непрерывность проживания в месте постоянного жительства	94.0	5.0	8.0	11.0	70.0	5.31914893617	8.51063829787	11.7021276596
Ростовская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	4344849.0	744969.0	2597273.0	999362.0	3245.0	17.1460273993	59.7782109344	23.0010755264
с рождения	2410006.0	625229.0	1390465.0	393718.0	594.0	25.9430474447	57.6954995133	16.3368058005
не с рождения	1922652.0	117726.0	1200711.0	603731.0	484.0	6.12310496127	62.4507711224	31.400950354
в том числе:								
с 1992-2002 года	569148.0	90490.0	403663.0	74873.0	122.0	15.8992037221	70.9240830153	13.1552777134
с 1989-1991 года	137344.0	15490.0	102937.0	18889.0	28.0	11.278250233	74.948304986	13.7530580149
с 1988 года и ранее	1169957.0	6005.0	668035.0	495672.0	245.0	0.513266726897	57.0991070612	42.3666852713
год не указан	46203.0	5741.0	26076.0	14297.0	89.0	12.4256000693	56.4378936433	30.9438781032
не указавшие непрерывность проживания в месте постоянного жительства	12191.0	2014.0	6097.0	1913.0	2167.0	16.5203838898	50.0123041588	15.6919038635
Мужчины, проживающие непрерывно в месте постоянного жительства	1993215.0	380762.0	1280386.0	330560.0	1507.0	19.1029066107	64.2372247851	16.5842621092
с рождения	1152893.0	319238.0	701327.0	132029.0	299.0	27.6901672575	60.8319245585	11.4519734268
не с рождения	834945.0	60541.0	576231.0	197963.0	210.0	7.25089676566	69.0142464474	23.7097054297
в том числе:								
с 1992-2002 года	265846.0	46372.0	196695.0	22740.0	39.0	17.4431813907	73.9883240673	8.55382439457
с 1989-1991 года	63990.0	8054.0	49478.0	6452.0	6.0	12.5863416159	77.3214564776	10.0828254415
с 1988 года и ранее	485171.0	3143.0	317455.0	164452.0	121.0	0.647812833001	65.4315694879	33.8956780187
год не указан	19938.0	2972.0	12603.0	4319.0	44.0	14.9062092487	63.2109539573	21.6621526733
не указавшие непрерывность проживания в месте постоянного жительства	5377.0	983.0	2828.0	568.0	998.0	18.2815696485	52.5943834852	10.5635112516
Женщины, проживающие непрерывно в месте постоянного жительства	2351634.0	364207.0	1316887.0	668802.0	1738.0	15.4874015259	55.9988076376	28.439884778
с рождения	1257113.0	305991.0	689138.0	261689.0	295.0	24.3407712751	54.8190974081	20.8166648503
не с рождения	1087707.0	57185.0	624480.0	405768.0	274.0	5.25739008759	57.4125200996	37.3048992054
в том числе:								
с 1992-2002 года	303302.0	44118.0	206968.0	52133.0	83.0	14.5458981477	68.2382575783	17.1884788099
с 1989-1991 года	73354.0	7436.0	53459.0	12437.0	22.0	10.1371431687	72.8780979906	16.9547672929
с 1988 года и ранее	684786.0	2862.0	350580.0	331220.0	124.0	0.417940787341	51.1955559839	48.3683953819
год не указан	26265.0	2769.0	13473.0	9978.0	45.0	10.5425471159	51.296402056	37.9897201599
не указавшие непрерывность проживания в месте постоянного жительства	6814.0	1031.0	3269.0	1345.0	1169.0	15.1306134429	47.9747578515	19.7387731142
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2934177.0	462469.0	1802419.0	666525.0	2764.0	15.7614554269	61.4284346173	22.7159097764
с рождения	1600960.0	393755.0	977651.0	229112.0	442.0	24.5949305417	61.0665475715	14.3109134519
не с рождения	1323123.0	67356.0	819529.0	435881.0	357.0	5.09068317911	61.9389882876	32.9433469148
в том числе:								
с 1992-2002 года	355249.0	51393.0	260977.0	42794.0	85.0	14.4667543047	73.463120234	12.0461985818
с 1989-1991 года	73191.0	8086.0	54661.0	10427.0	17.0	11.0478064243	74.6826795644	14.2462871118
с 1988 года и ранее	859798.0	4073.0	483762.0	371782.0	181.0	0.473715919321	56.26461099	43.2406216344
год не указан	34885.0	3804.0	20129.0	10878.0	74.0	10.904400172	57.7010176294	31.1824566433
не указавшие непрерывность проживания в месте постоянного жительства	10094.0	1358.0	5239.0	1532.0	1965.0	13.4535367545	51.9021200713	15.1773330691
Мужчины, проживающие непрерывно в месте постоянного жительства	1327903.0	236003.0	873998.0	216617.0	1285.0	17.7726083908	65.8179098925	16.3127126002
с рождения	756644.0	200908.0	481103.0	74414.0	219.0	26.5525134674	63.583798986	9.83474394828
не с рождения	566796.0	34393.0	390458.0	141784.0	161.0	6.06796801671	68.8886301244	25.0149965773
в том числе:								
с 1992-2002 года	164863.0	26191.0	126668.0	11979.0	25.0	15.8865239623	76.8322789225	7.26603300923
с 1989-1991 года	33686.0	4131.0	26185.0	3366.0	4.0	12.2632547646	77.7325892062	9.99228166004
с 1988 года и ранее	353215.0	2106.0	227893.0	123121.0	95.0	0.596237419136	64.5196268562	34.8572399247
год не указан	15032.0	1965.0	9712.0	3318.0	37.0	13.072112826	64.6088344864	22.0729111229
не указавшие непрерывность проживания в месте постоянного жительства	4463.0	702.0	2437.0	419.0	905.0	15.7293300471	54.6045261035	9.3883038315
Женщины, проживающие непрерывно в месте постоянного жительства	1606274.0	226466.0	928421.0	449908.0	1479.0	14.0988399239	57.7996655614	28.0094180694
с рождения	844316.0	192847.0	496548.0	154698.0	223.0	22.8406189152	58.8106822564	18.3222869163
не с рождения	756327.0	32963.0	429071.0	294097.0	196.0	4.35830004747	56.7308849215	38.8849003143
в том числе:								
с 1992-2002 года	190386.0	25202.0	134309.0	30815.0	60.0	13.23731787	70.545628355	16.1855388526
с 1989-1991 года	39505.0	3955.0	28476.0	7061.0	13.0	10.0113909632	72.0820149348	17.8736868751
с 1988 года и ранее	506583.0	1967.0	255869.0	248661.0	86.0	0.388287802788	50.5088011244	49.0859345853
год не указан	19853.0	1839.0	10417.0	7560.0	37.0	9.26308366494	52.4706593462	38.0798871707
не указавшие непрерывность проживания в месте постоянного жительства	5631.0	656.0	2802.0	1113.0	1060.0	11.6497957734	49.7602557272	19.7655833777
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1410672.0	282500.0	794854.0	332837.0	481.0	20.0259167262	56.3457699593	23.5942160899
с рождения	809046.0	231474.0	412814.0	164606.0	152.0	28.6107341239	51.0247872185	20.3456910979
не с рождения	599529.0	50370.0	381182.0	167850.0	127.0	8.40159525227	63.5802438247	27.9969776274
в том числе:								
с 1992-2002 года	213899.0	39097.0	142686.0	32079.0	37.0	18.2782528203	66.7071842318	14.9972650644
с 1989-1991 года	64153.0	7404.0	48276.0	8462.0	11.0	11.5411594158	75.2513522361	13.190341839
с 1988 года и ранее	310159.0	1932.0	184273.0	123890.0	64.0	0.622906315793	59.4124303986	39.9440287079
год не указан	11318.0	1937.0	5947.0	3419.0	15.0	17.1143311539	52.5446191907	30.2085174059
не указавшие непрерывность проживания в месте постоянного жительства	2097.0	656.0	858.0	381.0	202.0	31.2827849309	40.9155937053	18.1688125894
Мужчины, проживающие непрерывно в месте постоянного жительства	665312.0	144759.0	406388.0	113943.0	222.0	21.7580623828	61.0823192728	17.1262505411
с рождения	396249.0	118330.0	220224.0	57615.0	80.0	29.8625359307	55.5771749582	14.5400997857
не с рождения	268149.0	26148.0	185773.0	56179.0	49.0	9.75129498898	69.2797661002	20.9506654882
в том числе:								
с 1992-2002 года	100983.0	20181.0	70027.0	10761.0	14.0	19.9845518553	69.3453353535	10.6562490716
с 1989-1991 года	30304.0	3923.0	23293.0	3086.0	2.0	12.9454857445	76.8644403379	10.1834741288
с 1988 года и ранее	131956.0	1037.0	89562.0	41331.0	26.0	0.785868016612	67.8726242081	31.3218042378
год не указан	4906.0	1007.0	2891.0	1001.0	7.0	20.5258866694	58.927843457	20.4035874439
не указавшие непрерывность проживания в месте постоянного жительства	914.0	281.0	391.0	149.0	93.0	30.7439824945	42.7789934354	16.3019693654
Женщины, проживающие непрерывно в месте постоянного жительства	745360.0	137741.0	388466.0	218894.0	259.0	18.4797949984	52.1179027584	29.3675539337
с рождения	412797.0	113144.0	192590.0	106991.0	72.0	27.4091139228	46.6548933253	25.9185507647
не с рождения	331380.0	24222.0	195409.0	111671.0	78.0	7.30943327902	58.9682539683	33.6987748204
в том числе:								
с 1992-2002 года	112916.0	18916.0	72659.0	21318.0	23.0	16.7522760282	64.3478337879	18.8795210599
с 1989-1991 года	33849.0	3481.0	24983.0	5376.0	9.0	10.2839079441	73.8072025761	15.8823008065
с 1988 года и ранее	178203.0	895.0	94711.0	82559.0	38.0	0.502236213756	53.147814571	46.3286252196
год не указан	6412.0	930.0	3056.0	2418.0	8.0	14.5040548971	47.6606363069	37.7105427324
не указавшие непрерывность проживания в месте постоянного жительства	1183.0	375.0	467.0	232.0	109.0	31.6990701606	39.4759087067	19.6111580727
Приволжский федеральный округ								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	30703054.0	5758258.0	18485135.0	6447583.0	12078.0	18.7546750235	60.2061768839	20.9998099863
с рождения	18206070.0	5011960.0	10383479.0	2807556.0	3075.0	27.5290603628	57.0330609516	15.4209887142
не с рождения	12421244.0	735843.0	8055218.0	3628915.0	1268.0	5.92406847495	64.8503322212	29.2153909866
в том числе:								
с 1992-2002 года	3550368.0	594812.0	2555000.0	400274.0	282.0	16.7535309016	71.9643710173	11.2741552425
с 1989-1991 года	784002.0	86579.0	613997.0	83367.0	59.0	11.0432116245	78.3157440925	10.633518792
с 1988 года и ранее	7972538.0	38785.0	4821313.0	3111646.0	794.0	0.486482472708	60.4740046394	39.0295537005
год не указан	114336.0	15667.0	64908.0	33628.0	133.0	13.7025958578	56.7695214106	29.4115589141
не указавшие непрерывность проживания в месте постоянного жительства	75740.0	10455.0	46438.0	11112.0	7735.0	13.8038024822	61.3123844732	14.6712437285
Мужчины, проживающие непрерывно в месте постоянного жительства	14031161.0	2935734.0	9095972.0	1993832.0	5623.0	20.9229585492	64.8269376996	14.2100286641
с рождения	8716733.0	2557426.0	5299087.0	858844.0	1376.0	29.3392719497	60.7921224615	9.85281985808
не с рождения	5277988.0	372997.0	3773025.0	1131428.0	538.0	7.06703008798	71.4860473347	21.4367292991
в том числе:								
с 1992-2002 года	1623952.0	300858.0	1205478.0	117478.0	138.0	18.5262864912	74.2311349104	7.23408081027
с 1989-1991 года	356887.0	44361.0	285807.0	26696.0	23.0	12.4299848411	80.0833316988	7.48023884311
с 1988 года и ранее	3247836.0	19813.0	2250529.0	977187.0	307.0	0.610036959994	69.2931847544	30.0873258379
год не указан	49313.0	7965.0	31211.0	10067.0	70.0	16.1519274836	63.2916269544	20.4144951635
не указавшие непрерывность проживания в месте постоянного жительства	36440.0	5311.0	23860.0	3560.0	3709.0	14.5746432492	65.4774972558	9.76948408342
Женщины, проживающие непрерывно в месте постоянного жительства	16671893.0	2822524.0	9389163.0	4453751.0	6455.0	16.9298351423	56.3173180154	26.7141289834
с рождения	9489337.0	2454534.0	5084392.0	1948712.0	1699.0	25.8662328043	53.5800551714	20.5358077177
не с рождения	7143256.0	362846.0	4282193.0	2497487.0	730.0	5.07956035735	59.9473545397	34.9628656736
в том числе:								
с 1992-2002 года	1926416.0	293954.0	1349522.0	282796.0	144.0	15.2591132964	70.0535086918	14.6799029908
с 1989-1991 года	427115.0	42218.0	328190.0	56671.0	36.0	9.88445734755	76.8387904897	13.2683235194
с 1988 года и ранее	4724702.0	18972.0	2570784.0	2134459.0	487.0	0.401549134739	54.4115586549	45.176584682
год не указан	65023.0	7702.0	33697.0	23561.0	63.0	11.8450394476	51.8232010212	36.234870738
не указавшие непрерывность проживания в месте постоянного жительства	39300.0	5144.0	22578.0	7552.0	4026.0	13.0890585242	57.4503816794	19.2162849873
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	21714820.0	3842263.0	13597981.0	4263564.0	11012.0	17.6941968665	62.6207401213	19.6343511022
с рождения	12309272.0	3372277.0	7537103.0	1397340.0	2552.0	27.3962343183	61.2311028629	11.3519304797
не с рождения	9331977.0	460197.0	6015299.0	2855402.0	1079.0	4.93139878077	64.4589994167	30.5980394079
в том числе:								
с 1992-2002 года	2348936.0	368556.0	1745975.0	234175.0	230.0	15.6903380935	74.3304628138	9.96940742532
с 1989-1991 года	495934.0	53288.0	393715.0	48903.0	28.0	10.7449781624	79.3885879976	9.86078792743
с 1988 года и ранее	6396194.0	27333.0	3822394.0	2545774.0	693.0	0.42733225415	59.7604450397	39.801388138
год не указан	90913.0	11020.0	53215.0	26550.0	128.0	12.1214787764	58.5339830387	29.203744239
не указавшие непрерывность проживания в месте постоянного жительства	73571.0	9789.0	45579.0	10822.0	7381.0	13.3055144011	61.9523997227	14.7096002501
Мужчины, проживающие непрерывно в месте постоянного жительства	9788877.0	1957083.0	6530003.0	1296676.0	5115.0	19.9929266656	66.7083977049	13.2464224446
с рождения	5830074.0	1719629.0	3705068.0	404228.0	1149.0	29.4958348728	63.5509600736	6.93349689901
не с рождения	3923456.0	232486.0	2801524.0	888974.0	472.0	5.92554115555	71.404496444	22.6579321904
в том числе:								
с 1992-2002 года	1060610.0	185834.0	811637.0	63036.0	103.0	17.521426349	76.5254900482	5.94337221033
с 1989-1991 года	225134.0	27115.0	183609.0	14392.0	18.0	12.0439382768	81.555429211	6.3926372738
с 1988 года и ранее	2598533.0	13896.0	1780754.0	803602.0	281.0	0.534763268352	68.5292047474	30.9252181904
год не указан	39179.0	5641.0	25524.0	7944.0	70.0	14.3980193471	65.1471451543	20.2761683555
не указавшие непрерывность проживания в месте постоянного жительства	35347.0	4968.0	23411.0	3474.0	3494.0	14.0549410134	66.2319291595	9.8282739695
Женщины, проживающие непрерывно в месте постоянного жительства	11925943.0	1885180.0	7067978.0	2966888.0	5897.0	15.8073873068	59.2655691881	24.8775966815
с рождения	6479198.0	1652648.0	3832035.0	993112.0	1403.0	25.5069840434	59.1436625335	15.3276995085
не с рождения	5408521.0	227711.0	3213775.0	1966428.0	607.0	4.21022678843	59.4205883642	36.3579618162
в том числе:								
с 1992-2002 года	1288326.0	182722.0	934338.0	171139.0	127.0	14.1829009117	72.5234141048	13.2838272301
с 1989-1991 года	270800.0	26173.0	210106.0	34511.0	10.0	9.66506646972	77.5871491876	12.7440915805
с 1988 года и ранее	3797661.0	13437.0	2041640.0	1742172.0	412.0	0.353823050557	53.7604593986	45.8748687679
год не указан	51734.0	5379.0	27691.0	18606.0	58.0	10.3974175591	53.5257277612	35.9647427224
не указавшие непрерывность проживания в месте постоянного жительства	38224.0	4821.0	22168.0	7348.0	3887.0	12.6124947677	57.9949769778	19.2235244872
Сельское население								
